Run Name,Run 2
Run Date,03:49:57 PM   02-09-15
Method Name,24%B CR Group 6 2/27.5
Export Format Version, 1.00
Method ID, 1873
Points/Second, 5.00
Number of Records,   7311
Offset from Run Start Time,00:00:00
Run End Time,00:24:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000313,0.000000,0.001397,0.000261,  40.529
     0.2,0.000278,0.000000,0.001397,0.000248,  40.533
     0.4,0.000215,0.000000,0.001397,0.000296,  40.538
     0.6,0.000110,0.000000,0.001397,0.000283,  40.532
     0.8,0.000000,0.000000,0.000000,0.000317,  40.534
     1.0,0.000000,0.000000,0.000000,0.000257,  40.527
     1.2,0.000000,0.000000,0.000000,0.000230,  40.523
     1.4,0.000000,0.000000,0.000000,0.000000,  40.511
     1.6,0.000000,0.000000,0.000000,0.000000,  40.509
     1.8,0.000000,0.000000,0.000000,0.000000,  40.511
     2.0,0.000000,0.000000,0.000000,0.000000,  40.503
     2.2,0.000000,0.000000,0.000000,0.000000,  40.503
     2.4,0.000000,0.000000,0.000000,0.000000,  40.499
     2.6,0.000000,0.000000,0.000000,0.000000,  40.500
     2.8,0.000000,0.000000,0.000000,0.000000,  40.498
     3.0,0.000000,0.000000,0.000000,0.000000,  40.496
     3.2,0.000000,0.000000,0.000000,0.000000,  40.494
     3.4,0.000000,0.000000,0.000000,0.000000,  40.498
     3.6,0.000000,0.000000,0.000000,0.000000,  40.502
     3.8,0.000000,0.000000,0.000000,0.000000,  40.503
     4.0,0.000000,0.000000,0.000000,0.000000,  40.511
     4.2,0.000000,0.000000,0.000000,0.000000,  40.518
     4.4,-0.000107,0.000000,0.000000,0.000000,  40.523
     4.6,-0.000183,-0.000175,0.000554,0.000000,  40.521
     4.8,-0.000229,-0.000185,-0.000115,0.000000,  40.524
     5.0,-0.000264,-0.000191,-0.000132,0.000000,  40.524
     5.2,-0.000266,-0.000196,0.000461,0.000000,  40.529
     5.4,-0.000235,-0.000196,0.001703,0.000000,  40.531
     5.6,-0.000236,-0.000199,0.003562,0.000000,  40.533
     5.8,-0.000230,-0.000194,0.006048,-0.000078,  40.536
     6.0,-0.000218,-0.000193,0.006204,-0.000152,  40.531
     6.2,-0.000219,-0.000193,0.005496,-0.000226,  40.531
     6.4,-0.000213,-0.000196,0.003941,-0.000217,  40.522
     6.6,-0.000207,-0.000189,0.003245,-0.000265,  40.518
     6.8,-0.000236,-0.000200,0.002530,-0.000291,  40.504
     7.0,-0.000272,-0.000221,0.001825,-0.000304,  40.493
     7.2,-0.000318,-0.000241,0.001532,-0.000352,  40.483
     7.4,-0.000341,-0.000265,0.001445,-0.000317,  40.477
     7.6,-0.000355,-0.000306,0.001556,-0.000330,  40.472
     7.8,-0.000360,-0.000340,0.001389,-0.000365,  40.473
     8.0,-0.000363,-0.000338,0.001178,-0.000343,  40.465
     8.2,-0.000344,-0.000321,0.000900,-0.000343,  40.468
     8.4,-0.000313,-0.000287,0.000698,-0.000404,  40.464
     8.6,-0.000271,-0.000265,0.000510,-0.000422,  40.462
     8.8,-0.000247,-0.000242,0.000336,-0.000500,  40.460
     9.0,-0.000219,-0.000217,0.000193,-0.000522,  40.463
     9.2,-0.000184,-0.000196,0.000089,-0.000448,  40.469
     9.4,-0.000166,-0.000171,0.000017,-0.000409,  40.479
     9.6,-0.000149,-0.000150,-0.000035,-0.000404,  40.487
     9.8,-0.000126,-0.000149,-0.000074,-0.000317,  40.489
    10.0,-0.000138,-0.000153,-0.000093,-0.000278,  40.494
    10.2,-0.000158,-0.000171,-0.000018,-0.000274,  40.499
