Run Name,Run 1
Run Date,04:12:04 PM   02-19-15
Method Name,10-30%.1
Export Format Version, 1.00
Method ID, 2154
Points/Second, 5.00
Number of Records,  21169
Offset from Run Start Time,00:00:00
Run End Time,01:10:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.026167,0.017374, 10,0.277112,0.000572,  31.926,   12,     0.0
     0.2,0.025534,0.017376, 10,0.276660,0.000572,  31.924,   12,     0.0
     0.4,0.024887,0.017372, 10,0.275932,0.000585,  31.923,   12,     0.0
     0.6,0.025469,0.017370, 10,0.274971,0.000537,  31.880,   13,     0.0
     0.8,0.000000,0.017362, 10,0.274954,0.000572,  31.900,   13,     0.0
     1.0,0.000000,0.017368, 10,0.275308,0.000537,  31.924,   13,     0.0
     1.2,0.000000,0.000000, 10,0.276002,0.000572,  31.927,   12,     0.0
     1.4,0.000000,0.000000, 10,0.276748,0.000000,  31.933,   19,     0.0
     1.6,0.000000,0.000000, 10,0.276748,0.000000,  31.935,   26,     0.0
     1.8,0.000000,0.000000, 10,0.276748,0.000000,  31.937,   44,     0.0
     2.0,0.000000,0.000000, 10,0.276748,0.000000,  31.949,   63,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,  31.954,   65,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,  31.956,   66,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,  31.957,   66,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,  31.960,   65,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,  31.964,   65,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,  31.967,   64,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,  31.967,   65,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,  31.939,   65,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,  31.935,   62,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,  31.941,   58,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,  31.972,   38,     0.1
     4.4,0.000271,0.000000, 10,0.000000,0.000000,  31.992,   17,     0.1
     4.6,0.000471,0.000000, 10,0.000000,0.000000,  32.020,   14,     0.1
     4.8,0.000604,0.000000, 10,0.000000,0.000000,  32.049,   11,     0.1
     5.0,0.000652,0.000000, 10,0.000000,0.000000,  32.078,   11,     0.1
     5.2,0.000631,0.000000, 10,0.000000,0.000000,  32.112,   11,     0.1
     5.4,0.000541,0.000000, 10,0.000000,0.000000,  32.143,   12,     0.1
     5.6,0.000573,0.000000, 10,0.000000,0.000000,  32.175,   12,     0.1
     5.8,0.000640,0.000476, 10,0.000000,0.000250,  32.204,   12,     0.1
     6.0,0.000743,0.000434, 10,0.003364,0.000202,  32.237,   12,     0.1
     6.2,0.000800,0.000414, 10,0.003926,0.000224,  32.256,   20,     0.1
     6.4,0.000861,0.000428, 10,0.004532,0.000197,  32.287,   27,     0.1
     6.6,0.000921,0.000468, 10,0.005162,0.000149,  32.305,   46,     0.1
     6.8,0.000951,0.000540, 10,0.005869,0.000123,  32.315,   65,     0.1
     7.0,0.000982,0.000643, 10,0.006601,0.000083,  32.328,   66,     0.1
     7.2,0.000994,0.000699, 10,0.007353,0.000062,  32.345,   67,     0.1
     7.4,0.000939,0.000754, 10,0.008157,0.000136,  32.351,   66,     0.1
     7.6,0.000864,0.000796, 10,0.008979,0.000162,  32.356,   64,     0.1
     7.8,0.000749,0.000840, 10,0.009825,0.000154,  32.363,   64,     0.1
     8.0,0.000793,0.000882, 10,0.010596,0.000180,  32.369,   64,     0.1
     8.2,0.000915,0.000921, 10,0.011299,0.000193,  32.350,   63,     0.1
     8.4,0.001094,0.000959, 10,0.011972,0.000079,  32.309,   63,     0.1
     8.6,0.001296,0.000849, 10,0.011510,-0.000078,  32.313,   58,     0.1
     8.8,0.001551,0.000668, 10,0.010485,-0.000267,  32.332,   53,     0.1
     9.0,0.001842,0.000420, 10,0.008871,-0.000315,  32.363,   32,     0.2
     9.2,0.002026,0.000420, 10,0.009080,-0.000276,  32.394,   10,     0.2
     9.4,0.002191,0.000511, 10,0.009939,-0.000136,  32.425,    8,     0.2
     9.6,0.002318,0.000701, 10,0.011380,-0.000092,  32.468,    6,     0.2
     9.8,0.002412,0.000871, 10,0.012486,-0.000013,  32.484,    5,     0.2
    10.0,0.002473,0.001078, 10,0.013749,0.000101,  32.520,    4,     0.2
    10.2,0.002494,0.001320, 10,0.015117,0.000158,  32.541,    4,     0.2
    10.4,0.002497,0.001486, 10,0.016368,0.000237,  32.580,    3,     0.2
    10.6,0.002564,0.001630, 10,0.017582,0.000351,  32.613,    4,     0.2
    10.8,0.002637,0.001758, 10,0.018789,0.000329,  32.633,    4,     0.2
    11.0,0.002716,0.001841, 10,0.019935,0.000263,  32.656,   14,     0.2
    11.2,0.002779,0.001886, 10,0.020987,0.000206,  32.677,   24,     0.2
    11.4,0.002859,0.001905, 10,0.021977,0.000171,  32.691,   43,     0.2
    11.6,0.002939,0.001971, 10,0.022991,0.000185,  32.706,   62,     0.2
    11.8,0.003032,0.002036, 10,0.024044,0.000259,  32.717,   61,     0.2
    12.0,0.003151,0.002106, 10,0.025045,0.000250,  32.724,   60,     0.2
    12.2,0.003291,0.002161, 10,0.026042,0.000277,  32.733,   60,     0.2
    12.4,0.003269,0.002219, 10,0.027048,0.000351,  32.744,   60,     0.2
    12.6,0.003181,0.002275, 10,0.028038,0.000356,  32.750,   61,     0.2
    12.8,0.003030,0.002352, 10,0.028880,0.000382,  32.762,   62,     0.2
    13.0,0.003047,0.002437, 10,0.029640,0.000430,  32.743,   63,     0.2
    13.2,0.003120,0.002542, 10,0.030329,0.000342,  32.695,   65,     0.2
    13.4,0.003255,0.002474, 10,0.030365,0.000237,  32.690,   60,     0.2
    13.6,0.003361,0.002323, 10,0.030013,0.000101,  32.713,   55,     0.2
    13.8,0.003492,0.002100, 10,0.029306,0.000062,  32.735,   39,     0.2
    14.0,0.003651,0.002082, 10,0.029202,0.000062,  32.763,   23,     0.2
    14.2,0.003708,0.002127, 10,0.029215,0.000088,  32.788,   19,     0.2
    14.4,0.003738,0.002237, 10,0.029347,0.000154,  32.810,   16,     0.2
    14.6,0.003739,0.002316, 10,0.029657,0.000193,  32.844,   14,     0.2
    14.8,0.003729,0.002404, 10,0.030140,0.000219,  32.862,   13,     0.2
    15.0,0.003705,0.002512, 10,0.030725,0.000272,  32.889,   13,     0.3
    15.2,0.003666,0.002578, 10,0.031483,0.000277,  32.919,   12,     0.3
    15.4,0.003674,0.002620, 10,0.031974,0.000329,  32.950,   12,     0.3
    15.6,0.003708,0.002656, 10,0.032430,0.000404,  32.988,   12,     0.3
    15.8,0.003766,0.002656, 10,0.032844,0.000329,  33.013,   21,     0.3
    16.0,0.003802,0.002629, 10,0.033281,0.000277,  33.036,   30,     0.3
    16.2,0.003854,0.002580, 10,0.033736,0.000193,  33.058,   46,     0.3
    16.4,0.003909,0.002591, 10,0.034185,0.000132,  33.071,   62,     0.3
    16.6,0.003842,0.002618, 10,0.034859,0.000119,  33.086,   62,     0.3
    16.8,0.003723,0.002661, 10,0.035646,0.000154,  33.096,   61,     0.3
    17.0,0.003556,0.002690, 10,0.036535,0.000119,  33.106,   63,     0.3
    17.2,0.003534,0.002719, 10,0.037325,0.000145,  33.109,   65,     0.3
    17.4,0.003568,0.002746, 10,0.038068,0.000193,  33.114,   65,     0.3
    17.6,0.003657,0.002778, 10,0.038818,0.000171,  33.114,   65,     0.3
    17.8,0.003729,0.002762, 10,0.039629,0.000198,  33.084,   65,     0.3
    18.0,0.003833,0.002742, 10,0.040441,0.000246,  33.046,   65,     0.3
    18.2,0.003951,0.002704, 10,0.041267,0.000171,  33.056,   58,     0.3
    18.4,0.004036,0.002661, 10,0.040984,0.000114,  33.075,   51,     0.3
    18.6,0.004131,0.002595, 10,0.040164,0.000031,  33.098,   36,     0.3
    18.8,0.004214,0.002532, 10,0.038759,0.000009,  33.123,   22,     0.3
    19.0,0.004213,0.002552, 10,0.038285,0.000048,  33.146,   18,     0.3
    19.2,0.004183,0.002606, 10,0.037955,0.000141,  33.164,   15,     0.3
    19.4,0.004107,0.002701, 10,0.037787,0.000171,  33.199,   14,     0.3
    19.6,0.004092,0.002769, 10,0.037991,0.000224,  33.225,   13,     0.3
    19.8,0.004086,0.002841, 10,0.038494,0.000325,  33.248,   12,     0.3
    20.0,0.004079,0.002923, 10,0.039241,0.000356,  33.280,   12,     0.3
    20.2,0.004098,0.002945, 10,0.039360,0.000395,  33.315,   12,     0.3
    20.4,0.004128,0.002941, 10,0.039273,0.000456,  33.348,   12,     0.3
    20.6,0.004168,0.002916, 10,0.038993,0.000395,  33.377,   23,     0.3
    20.8,0.004220,0.002912, 10,0.039268,0.000303,  33.392,   34,     0.3
    21.0,0.004259,0.002896, 10,0.039686,0.000206,  33.410,   48,     0.3
    21.2,0.004314,0.002881, 10,0.040262,0.000145,  33.426,   61,     0.4
    21.4,0.004366,0.002899, 10,0.041007,0.000132,  33.439,   61,     0.4
    21.6,0.004274,0.002927, 10,0.041891,0.000167,  33.457,   61,     0.4
    21.8,0.004125,0.002960, 10,0.042928,0.000145,  33.467,   63,     0.4
