Run Name,R+L .30
Run Date,01:01:43 PM   02-29-16
Method Name,30% Isocratic
Export Format Version, 1.00
Method ID, 3016
Points/Second, 1.00
Number of Records,   1158
Offset from Run Start Time,00:00:00
Run End Time,00:19:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.002423,-0.001520,-0.008325,-0.000178,  88.538
     1.0,-0.002416,-0.001525,-0.008335,-0.000203,  87.990
     2.0,0.000000,0.000000,0.000000,-0.000164,  87.729
     3.0,0.000000,0.000000,0.000000,0.000000,  87.522
     4.0,0.000000,0.000000,0.000000,0.000000,  87.354
     5.0,-0.000002,-0.000009,0.000244,0.000000,  87.202
     6.0,-0.000024,-0.000025,0.000206,0.000000,  87.043
     7.0,-0.000041,-0.000026,-0.000046,0.000000,  86.921
     8.0,-0.000050,-0.000038,-0.000299,0.000000,  86.789
     9.0,-0.000038,-0.000046,-0.000571,0.000028,  86.725
    10.0,-0.000028,-0.000022,-0.000512,0.000067,  86.685
    11.0,-0.000018,-0.000012,-0.000706,0.000042,  86.690
    12.0,0.000004,0.000019,-0.000793,0.000056,  86.725
    13.0,0.000030,0.000039,-0.000579,0.000056,  86.812
    14.0,0.000053,0.000086,-0.000482,0.000031,  86.892
    15.0,0.000055,0.000086,-0.000639,0.000098,  87.025
    16.0,0.000066,0.000103,-0.000444,0.000098,  87.102
    17.0,0.000073,0.000110,-0.000357,0.000098,  87.174
    18.0,0.000080,0.000120,-0.000270,0.000123,  87.241
    19.0,0.000117,0.000139,-0.000407,0.000112,  87.285
    20.0,0.000136,0.000164,-0.000163,0.000140,  87.326
    21.0,0.000131,0.000172,-0.000066,0.000140,  87.360
    22.0,0.000141,0.000154,-0.000135,0.000153,  87.372
    23.0,0.000128,0.000151,-0.000398,0.000178,  87.407
    24.0,0.000125,0.000150,-0.000320,0.000140,  87.425
    25.0,0.000121,0.000147,0.000020,0.000140,  87.490
    26.0,0.000121,0.000144,0.000000,0.000140,  87.525
    27.0,0.000121,0.000155,0.000068,0.000153,  87.550
    28.0,0.000125,0.000167,-0.002494,0.000153,  87.570
    29.0,0.000116,0.000148,-0.000934,0.000115,  87.614
    30.0,0.000125,0.000160,-0.000380,0.000140,  87.655
    31.0,0.000125,0.000154,-0.000009,0.000140,  87.690
    32.0,0.000120,0.000145,-0.000078,0.000115,  87.719
