Run Name,ac .12
Run Date,04:02:26 PM   02-29-16
Method Name,12% isocratic
Export Format Version, 1.00
Method ID, 3023
Points/Second, 1.00
Number of Records,   1298
Offset from Run Start Time,00:00:00
Run End Time,00:21:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.009405,-0.005003,-0.066116,-0.000209,  80.807
     1.0,-0.009405,-0.005013,-0.065611,-0.000195,  80.996
     2.0,-0.009421,-0.005017,-0.065246,-0.000259,  81.092
     3.0,-0.009428,-0.005012,-0.065187,-0.000171,  81.175
     4.0,-0.011663,-0.005020,-0.065307,-0.000181,  81.296
     5.0,0.000000,0.000000,-0.065409,-0.000273,  81.426
     6.0,0.000000,0.000000,0.000000,-0.000220,  81.612
     7.0,0.000000,0.000000,0.000000,0.000000,  81.787
     8.0,0.000061,0.000000,0.000000,0.000000,  82.024
     9.0,0.000000,0.000041,0.000446,0.000000,  82.228
    10.0,-0.000092,-0.000022,-0.000136,0.000000,  82.511
    11.0,-0.000198,-0.000058,-0.000842,0.000039,  82.792
    12.0,-0.000268,-0.000122,-0.001982,0.000000,  83.072
    13.0,-0.000318,-0.000174,-0.002744,-0.000067,  83.343
    14.0,-0.000378,-0.000209,-0.003581,-0.000092,  83.543
    15.0,-0.000397,-0.000230,-0.004177,-0.000067,  83.774
    16.0,-0.000426,-0.000243,-0.004686,-0.000092,  83.933
    17.0,-0.000462,-0.000251,-0.004897,-0.000130,  84.148
    18.0,-0.000468,-0.000266,-0.005376,-0.000130,  84.308
    19.0,-0.000479,-0.000257,-0.005635,-0.000130,  84.461
    20.0,-0.000498,-0.000257,-0.005730,-0.000078,  84.564
    21.0,-0.000509,-0.000255,-0.005912,-0.000117,  84.657
    22.0,-0.000513,-0.000257,-0.006075,-0.000117,  84.755
    23.0,-0.000502,-0.000255,-0.005950,-0.000064,  84.774
    24.0,-0.000509,-0.000229,-0.006045,-0.000089,  84.810
    25.0,-0.000524,-0.000219,-0.006141,-0.000036,  84.852
    26.0,-0.000536,-0.000220,-0.006017,-0.000008,  84.940
    27.0,-0.000534,-0.000207,-0.006122,-0.000047,  85.025
    28.0,-0.000534,-0.000217,-0.006199,0.000003,  85.145
    29.0,-0.000522,-0.000222,-0.006160,0.000017,  85.226
    30.0,-0.000522,-0.000217,-0.006294,-0.000008,  85.330
    31.0,-0.000529,-0.000200,-0.006343,-0.000008,  85.430
    32.0,-0.000540,-0.000211,-0.006371,-0.000033,  85.573
    33.0,-0.000545,-0.000223,-0.006582,-0.000033,  85.665
    34.0,-0.000552,-0.000238,-0.006342,-0.000022,  85.758
    35.0,-0.000551,-0.000226,-0.006629,-0.000033,  85.873
    36.0,-0.000551,-0.000223,-0.006543,0.000031,  85.960
    37.0,-0.000574,-0.000230,-0.006466,0.000031,  86.040
    38.0,-0.000572,-0.000242,-0.006495,0.000006,  86.123
    39.0,-0.000572,-0.000240,-0.006485,0.000017,  86.252
    40.0,-0.000555,-0.000229,-0.006437,-0.000033,  86.337
    41.0,-0.000550,-0.000227,-0.006648,-0.000033,  86.399
    42.0,-0.000555,-0.000214,-0.006629,-0.000008,  86.429
