Run Name,AC .15
Run Date,04:30:30 PM   02-29-16
Method Name,15% isocratic
Export Format Version, 1.00
Method ID, 3024
Points/Second, 1.00
Number of Records,    960
Offset from Run Start Time,00:00:00
Run End Time,00:16:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.004059,0.000000,0.006302,0.000000,  88.767
     1.0,0.000000,0.000000,0.000000,0.000000,  88.744
     2.0,0.000000,0.000000,0.000000,0.000000,  88.722
     3.0,0.000000,0.000000,0.000000,0.000000,  88.701
     4.0,-0.000027,0.000000,-0.000058,-0.000039,  88.672
     5.0,-0.000048,-0.000096,-0.000291,-0.000078,  88.660
     6.0,-0.000074,-0.000132,-0.000661,-0.000089,  88.667
     7.0,-0.000088,-0.000161,-0.000894,-0.000103,  88.683
     8.0,-0.000110,-0.000186,-0.001244,-0.000155,  88.733
     9.0,-0.000129,-0.000199,-0.001680,-0.000183,  88.791
    10.0,-0.000146,-0.000190,-0.001913,-0.000130,  88.918
    11.0,-0.000145,-0.000188,-0.002049,-0.000169,  89.005
    12.0,-0.000134,-0.000190,-0.002116,-0.000141,  89.082
    13.0,-0.000129,-0.000178,-0.002319,-0.000117,  89.163
    14.0,-0.000120,-0.000172,-0.002679,-0.000155,  89.282
    15.0,-0.000116,-0.000163,-0.002776,-0.000130,  89.339
    16.0,-0.000100,-0.000155,-0.002406,-0.000141,  89.369
    17.0,-0.000085,-0.000130,-0.002484,-0.000141,  89.384
    18.0,-0.000070,-0.000116,-0.002591,-0.000089,  89.346
    19.0,-0.000021,-0.000093,-0.002435,-0.000100,  89.321
    20.0,-0.000037,-0.000086,-0.002513,-0.000089,  89.296
    21.0,-0.000039,-0.000096,-0.002513,-0.000064,  89.249
    22.0,-0.000057,-0.000102,-0.002591,-0.000075,  89.215
    23.0,-0.000054,-0.000117,-0.002678,-0.000061,  89.183
    24.0,-0.000061,-0.000104,-0.002940,-0.000061,  89.153
    25.0,-0.000066,-0.000102,-0.002911,-0.000050,  89.071
    26.0,-0.000050,-0.000098,-0.002873,-0.000036,  89.048
