Run Name,AC .10 RE DO
Run Date,06:19:57 PM   02-29-16
Method Name,10% isocratic
Export Format Version, 1.00
Method ID, 3049
Points/Second, 1.00
Number of Records,   1468
Offset from Run Start Time,00:00:00
Run End Time,00:24:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000744,0.000817,0.004319,0.000488,  88.107
     1.0,0.000739,0.000818,0.004361,0.000463,  88.064
     2.0,0.000000,0.000820,0.004010,0.000439,  88.033
     3.0,0.000000,0.000000,0.000000,0.000000,  88.002
     4.0,0.000000,0.000000,0.000000,0.000000,  87.990
     5.0,0.000000,0.000000,0.000000,0.000000,  87.987
     6.0,-0.000044,0.000000,0.000000,0.000000,  88.017
     7.0,-0.000057,-0.000018,-0.000406,-0.000064,  88.061
     8.0,-0.000073,-0.000021,-0.000651,-0.000039,  88.154
     9.0,-0.000054,-0.000037,-0.000896,-0.000064,  88.260
    10.0,-0.000051,-0.000038,-0.001250,-0.000064,  88.425
    11.0,-0.000012,-0.000018,-0.001514,-0.000039,  88.548
    12.0,-0.000001,-0.000002,-0.001878,-0.000050,  88.675
    13.0,0.000001,0.000007,-0.002026,-0.000036,  88.834
    14.0,0.000012,0.000031,-0.002262,-0.000022,  88.935
    15.0,0.000015,0.000047,-0.002300,-0.000071,  89.029
    16.0,0.000019,0.000057,-0.002448,-0.000019,  89.111
    17.0,0.000034,0.000046,-0.002437,0.000045,  89.223
    18.0,0.000041,0.000070,-0.002564,-0.000019,  89.261
    19.0,0.000067,0.000077,-0.002583,-0.000005,  89.268
    20.0,0.000084,0.000092,-0.002712,-0.000005,  89.277
    21.0,0.000095,0.000131,-0.002633,0.000009,  89.280
    22.0,0.000119,0.000149,-0.002535,0.000073,  89.259
    23.0,0.000110,0.000175,-0.002496,0.000062,  89.241
