Run Name,R+L .27
Run Date,02:07:56 PM   02-29-16
Method Name,27% isocratic
Export Format Version, 1.00
Method ID, 3015
Points/Second, 1.00
Number of Records,   1547
Offset from Run Start Time,00:00:00
Run End Time,00:25:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.001618,-0.000884,0.006698,-0.000053,  88.688
     1.0,-0.001626,-0.000887,0.006787,-0.000028,  88.692
     2.0,0.000000,0.000000,0.000000,-0.000017,  88.646
     3.0,0.000000,0.000000,0.000000,0.000000,  88.492
     4.0,0.000000,0.000000,0.000000,0.000000,  88.370
     5.0,-0.000016,-0.000039,0.000039,0.000000,  88.238
     6.0,-0.000027,-0.000074,-0.000175,0.000000,  88.057
     7.0,-0.000043,-0.000074,-0.000339,-0.000050,  87.918
     8.0,-0.000055,-0.000079,-0.000551,-0.000053,  87.776
     9.0,-0.000055,-0.000079,-0.000724,-0.000053,  87.636
    10.0,-0.000052,-0.000065,-0.000927,-0.000039,  87.620
    11.0,-0.000052,-0.000055,-0.000975,-0.000039,  87.638
    12.0,-0.000023,-0.000029,-0.001090,-0.000064,  87.671
    13.0,0.000003,-0.000015,-0.001197,-0.000061,  87.707
    14.0,-0.000001,-0.000018,-0.001178,-0.000061,  87.769
    15.0,0.000038,0.000008,-0.001216,-0.000033,  87.891
    16.0,0.000025,0.000003,-0.001158,-0.000022,  87.983
    17.0,0.000032,-0.000002,-0.001177,-0.000047,  88.078
    18.0,0.000050,0.000004,-0.001313,-0.000008,  88.178
    19.0,0.000050,0.000034,-0.001381,-0.000008,  88.312
    20.0,0.000087,0.000076,-0.001042,0.000020,  88.403
    21.0,0.000101,0.000091,-0.001333,0.000045,  88.464
    22.0,0.000083,0.000063,-0.001342,-0.000002,  88.499
    23.0,0.000081,0.000053,-0.001506,0.000023,  88.528
    24.0,0.000039,0.000029,-0.001419,-0.000005,  88.537
