Run Name,R ONLY .15
Run Date,05:34:37 PM   02-29-16
Method Name,15% isocratic
Export Format Version, 1.00
Method ID, 3053
Points/Second, 1.00
Number of Records,   1692
Offset from Run Start Time,00:00:00
Run End Time,00:28:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000709,-0.000325,0.000622,-0.000223,  88.425
     1.0,-0.000718,-0.000325,0.000763,-0.000223,  88.395
     2.0,-0.000698,-0.000313,0.000803,-0.000209,  88.373
     3.0,-0.000695,-0.000313,0.001004,-0.000209,  88.371
     4.0,-0.000695,-0.000310,0.001145,-0.000195,  88.372
     5.0,-0.004241,-0.000311,0.001297,-0.000195,  88.382
     6.0,0.000000,0.000000,0.001437,-0.000195,  88.388
     7.0,0.000000,0.000000,0.001211,-0.000146,  88.413
     8.0,0.000000,0.000000,0.000000,0.000000,  88.452
     9.0,0.000000,0.000000,0.000000,0.000000,  88.503
    10.0,-0.000022,0.000000,0.000000,0.000000,  88.560
    11.0,-0.000045,-0.000033,-0.000256,0.000000,  88.692
    12.0,-0.000068,-0.000058,-0.000521,0.000014,  88.769
    13.0,-0.000078,-0.000075,-0.000953,-0.000014,  88.839
    14.0,-0.000082,-0.000090,-0.001248,-0.000028,  88.894
    15.0,-0.000090,-0.000097,-0.001799,-0.000042,  88.971
    16.0,-0.000082,-0.000111,-0.001894,-0.000109,  89.086
    17.0,-0.000078,-0.000104,-0.002178,-0.000081,  89.128
    18.0,-0.000078,-0.000109,-0.002334,-0.000081,  89.158
    19.0,-0.000063,-0.000103,-0.002570,-0.000119,  89.183
    20.0,-0.000076,-0.000110,-0.002973,-0.000081,  89.179
    21.0,-0.000076,-0.000094,-0.002972,-0.000081,  89.173
    22.0,-0.000069,-0.000089,-0.002883,-0.000147,  89.160
    23.0,-0.000055,-0.000070,-0.003079,-0.000081,  89.137
    24.0,-0.000021,-0.000044,-0.003098,-0.000105,  89.114
    25.0,-0.000029,-0.000026,-0.003039,-0.000053,  89.089
    26.0,-0.000024,-0.000021,-0.003029,-0.000039,  89.058
    27.0,-0.000028,-0.000026,-0.003187,-0.000064,  89.028
    28.0,-0.000036,-0.000023,-0.003226,-0.000039,  88.994
    29.0,-0.000032,-0.000039,-0.003136,0.000000,  88.978
    30.0,-0.000027,-0.000046,-0.003254,-0.000025,  88.956
    31.0,-0.000032,-0.000027,-0.003224,-0.000039,  88.939
    32.0,-0.000019,-0.000035,-0.003165,-0.000053,  88.924
    33.0,-0.000019,-0.000024,-0.003185,-0.000003,  88.859
    34.0,-0.000024,-0.000030,-0.003243,-0.000014,  88.850
    35.0,-0.000016,-0.000022,-0.003185,-0.000028,  88.842
    36.0,-0.000021,-0.000021,-0.003294,-0.000014,  88.825
    37.0,-0.000016,-0.000031,-0.004841,-0.000014,  88.819
    38.0,-0.000016,-0.000019,-0.004656,-0.000039,  88.801
    39.0,-0.000004,-0.000008,-0.003804,-0.000039,  88.788
    40.0,-0.000007,-0.000013,-0.003333,-0.000039,  88.771
    41.0,-0.000008,-0.000012,-0.003362,-0.000064,  88.765
    42.0,0.000000,-0.000012,-0.003402,-0.000039,  88.751
    43.0,0.000003,-0.000023,-0.003195,-0.000064,  88.741
    44.0,-0.000010,-0.000012,-0.003294,-0.000028,  88.734
    45.0,-0.000005,-0.000015,-0.003214,-0.000028,  88.730
    46.0,-0.000001,-0.000017,-0.003273,0.000000,  88.736
    47.0,-0.000022,-0.000026,-0.003224,0.000011,  88.745
    48.0,-0.000024,-0.000028,-0.003292,-0.000039,  88.740
    49.0,-0.000012,-0.000028,-0.003361,-0.000078,  88.753
    50.0,-0.000021,-0.000024,-0.003676,-0.000039,  88.748
    51.0,-0.000016,-0.000030,-0.003577,-0.000025,  88.750
    52.0,-0.000006,-0.000031,-0.003479,-0.000042,  88.743
    53.0,-0.000017,-0.000026,-0.003665,-0.000014,  88.737
    54.0,-0.000022,-0.000031,-0.003793,-0.000064,  88.731
    55.0,-0.000022,-0.000016,-0.003852,-0.000025,  88.727
    56.0,-0.000013,-0.000009,-0.003606,-0.000025,  88.700
    57.0,-0.000011,-0.000011,-0.003567,-0.000025,  88.676
    58.0,-0.000011,-0.000011,-0.003518,-0.000039,  88.644
    59.0,0.000005,-0.000001,-0.003479,-0.000039,  88.609
    60.0,-0.000003,0.000005,-0.003292,-0.000039,  88.554
    61.0,0.000001,-0.000007,-0.003332,-0.000039,  88.481
    62.0,0.000010,-0.000011,-0.003372,-0.000064,  88.340
    63.0,-0.000007,0.000002,-0.003314,-0.000039,  88.221
    64.0,-0.000002,0.000010,-0.003089,-0.000039,  88.066
    65.0,0.000003,0.000009,-0.002885,-0.000064,  87.822
    66.0,-0.000010,0.000032,-0.002463,-0.000028,  87.536
    67.0,0.000014,0.000049,-0.002091,-0.000081,  87.225
    68.0,0.000034,0.000084,-0.001819,-0.000081,  86.809
    69.0,0.000049,0.000111,-0.001111,-0.000095,  86.259
    70.0,0.000065,0.000163,-0.000374,-0.000133,  85.672
    71.0,0.000108,0.000210,0.000373,-0.000133,  84.948
    72.0,0.000204,0.000269,0.001170,-0.000084,  84.120
    73.0,0.000270,0.000346,0.002337,-0.000147,  83.176
    74.0,0.000390,0.000470,0.003328,-0.000084,  82.109
    75.0,0.000487,0.000580,0.004892,-0.000067,  80.958
    76.0,0.000630,0.000674,0.005714,-0.000067,  79.676
    77.0,0.000662,0.000854,0.006861,0.000042,  78.298
    78.0,0.000779,0.000962,0.008021,0.000112,  76.852
    79.0,0.000912,0.001117,0.009174,0.000181,  75.314
    80.0,0.001001,0.001266,0.010147,0.000248,  73.686
    81.0,0.001111,0.001433,0.011218,0.000335,  72.046
    82.0,0.001132,0.001546,0.011921,0.000363,  70.388
    83.0,0.001288,0.001685,0.012652,0.000433,  68.730
    84.0,0.001365,0.001764,0.013158,0.000516,  67.010
    85.0,0.001399,0.001808,0.013422,0.000464,  65.302
    86.0,0.001439,0.001829,0.013625,0.000495,  63.657
    87.0,0.001491,0.001859,0.013706,0.000516,  62.010
    88.0,0.001509,0.001884,0.013551,0.000600,  60.403
    89.0,0.001460,0.001854,0.013533,0.000628,  58.803
    90.0,0.001426,0.001803,0.013269,0.000642,  57.271
    91.0,0.001433,0.001738,0.012985,0.000642,  55.819
    92.0,0.001345,0.001707,0.012588,0.000684,  54.386
    93.0,0.001293,0.001645,0.012248,0.000645,  53.016
    94.0,0.001274,0.001631,0.011750,0.000565,  51.690
    95.0,0.001225,0.001575,0.011408,0.000617,  50.434
    96.0,0.001242,0.001514,0.010892,0.000603,  49.203
    97.0,0.001202,0.001525,0.010520,0.000551,  48.027
    98.0,0.001164,0.001504,0.009812,0.000533,  46.903
    99.0,0.001134,0.001446,0.009453,0.000547,  45.815
   100.0,0.001133,0.001372,0.009093,0.000506,  44.783
   101.0,0.001156,0.001353,0.008480,0.000464,  43.798
   102.0,0.001123,0.001345,0.007979,0.000439,  42.838
   103.0,0.001093,0.001296,0.007366,0.000506,  41.919
   104.0,0.001088,0.001246,0.006979,0.000502,  41.064
   105.0,0.001080,0.001238,0.006460,0.000530,  40.226
   106.0,0.001021,0.001219,0.005891,0.000544,  39.426
   107.0,0.001029,0.001162,0.005442,0.000544,  38.658
   108.0,0.001029,0.001150,0.004895,0.000572,  37.930
   109.0,0.001025,0.001142,0.004567,0.000530,  37.224
   110.0,0.000977,0.001120,0.004039,0.000530,  36.544
   111.0,0.001018,0.001111,0.003663,0.000544,  35.919
   112.0,0.000984,0.001083,0.003127,0.000544,  35.306
   113.0,0.000976,0.001076,0.002771,0.000492,  34.715
   114.0,0.000973,0.001040,0.002097,0.000541,  34.147
   115.0,0.000996,0.001037,0.001783,0.000488,  33.604
   116.0,0.000996,0.001031,0.001070,0.000502,  33.090
   117.0,0.000995,0.001026,-0.000107,0.000527,  32.591
   118.0,0.000976,0.001007,0.000152,0.000530,  32.126
   119.0,0.000981,0.000996,0.000134,0.000583,  31.676
   120.0,0.000958,0.000980,-0.000189,0.000506,  31.236
   121.0,0.000936,0.000974,-0.000630,0.000467,  30.820
   122.0,0.000935,0.000966,-0.001251,0.000520,  30.434
   123.0,0.000932,0.000960,-0.001553,0.000520,  30.046
   124.0,0.000931,0.000930,-0.001847,0.000495,  29.689
   125.0,0.000947,0.000946,-0.002357,0.000533,  29.334
   126.0,0.000940,0.000949,-0.002659,0.000541,  29.006
   127.0,0.000928,0.000931,-0.002922,0.000516,  28.686
   128.0,0.000930,0.000935,-0.005095,0.000541,  28.377
   129.0,0.000930,0.000921,-0.005094,0.000516,  28.087
   130.0,0.000941,0.000927,-0.004622,0.000555,  27.810
   131.0,0.000937,0.000921,-0.004552,0.000544,  27.546
   132.0,0.000937,0.000918,-0.004815,0.000533,  27.295
   133.0,0.000933,0.000916,-0.005087,0.000544,  27.051
   134.0,0.000926,0.000907,-0.005485,0.000558,  26.821
   135.0,0.000922,0.000902,-0.005699,0.000572,  26.600
   136.0,0.000922,0.000891,-0.005708,0.000558,  26.389
   137.0,0.000915,0.000878,-0.006184,0.000572,  26.191
   138.0,0.000922,0.000885,-0.006494,0.000572,  25.992
   139.0,0.000919,0.000884,-0.006667,0.000572,  25.813
   140.0,0.000919,0.000870,-0.007026,0.000572,  25.638
   141.0,0.000908,0.000880,-0.007142,0.000572,  25.462
   142.0,0.000915,0.000877,-0.007452,0.000558,  25.306
   143.0,0.000922,0.000866,-0.007626,0.000572,  25.146
   144.0,0.000930,0.000878,-0.007790,0.000572,  24.999
   145.0,0.000922,0.000872,-0.008041,0.000586,  24.854
   146.0,0.000909,0.000874,-0.008427,0.000558,  24.721
   147.0,0.000922,0.000874,-0.008737,0.000572,  24.588
   148.0,0.000919,0.000866,-0.008832,0.000547,  24.461
   149.0,0.000919,0.000868,-0.008909,0.000547,  24.341
