Run Name,Run 1
Run Date,10:14:42 PM   02-01-16
Method Name,28% isocratic
Export Format Version, 1.00
Method ID, 2828
Points/Second, 5.00
Number of Records,   6053
Offset from Run Start Time,00:00:00
Run End Time,00:20:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.004792,-0.000091,0.057803,0.000000,  85.135
     0.2,-0.004306,-0.000091,0.057803,0.000000,  85.130
     0.4,-0.003078,-0.000878,0.057803,0.000000,  85.122
     0.6,-0.002446,-0.002448,0.057803,0.000000,  85.111
     0.8,0.000000,-0.002448,0.000000,0.000000,  85.099
     1.0,0.000000,0.000000,0.000000,0.000000,  85.089
     1.2,0.000000,0.000000,0.000000,0.000000,  85.075
     1.4,0.000000,0.000000,0.000000,0.000000,  85.058
     1.6,0.000000,0.000000,0.000000,0.000000,  85.008
     1.8,0.000000,0.000000,0.000000,0.000000,  85.005
     2.0,0.000000,0.000000,0.000000,0.000000,  84.979
     2.2,0.000000,0.000000,0.000000,0.000000,  84.979
     2.4,0.000000,0.000000,0.000000,0.000000,  84.963
     2.6,0.000000,0.000000,0.000000,0.000000,  84.958
     2.8,0.000000,0.000000,0.000000,0.000000,  84.952
     3.0,0.000000,0.000000,0.000000,0.000000,  84.930
     3.2,0.000000,0.000000,0.000000,0.000000,  84.930
     3.4,0.000000,-0.000014,0.000000,0.000000,  84.930
     3.6,-0.000009,-0.000039,-0.000008,0.000000,  84.925
     3.8,-0.000018,-0.000051,-0.000027,0.000038,  84.931
     4.0,-0.000026,-0.000057,-0.000074,0.000014,  84.930
     4.2,-0.000018,-0.000064,-0.000102,-0.000025,  84.929
     4.4,-0.000026,-0.000061,-0.000158,-0.000025,  84.933
     4.6,-0.000026,-0.000046,-0.000216,-0.000025,  84.937
     4.8,-0.000018,-0.000049,-0.000196,-0.000049,  84.949
     5.0,-0.000034,-0.000055,-0.000157,-0.000049,  84.961
     5.2,-0.000039,-0.000054,-0.000071,-0.000049,  84.963
     5.4,-0.000039,-0.000051,-0.000146,-0.000088,  84.969
     5.6,-0.000042,-0.000057,-0.000308,-0.000049,  84.990
     5.8,-0.000042,-0.000058,-0.000526,-0.000049,  85.005
     6.0,-0.000033,-0.000058,-0.000687,-0.000074,  85.021
     6.2,-0.000025,-0.000057,-0.000877,-0.000035,  85.029
     6.4,-0.000028,-0.000060,-0.001086,-0.000035,  85.046
     6.6,-0.000032,-0.000055,-0.001228,-0.000060,  85.063
     6.8,-0.000037,-0.000058,-0.001360,-0.000035,  85.087
     7.0,-0.000040,-0.000063,-0.001445,-0.000035,  85.117
     7.2,-0.000035,-0.000070,-0.001568,-0.000074,  85.132
     7.4,-0.000040,-0.000067,-0.001710,-0.000049,  85.154
     7.6,-0.000037,-0.000065,-0.001852,-0.000049,  85.211
     7.8,-0.000033,-0.000064,-0.002003,-0.000088,  85.244
     8.0,-0.000029,-0.000070,-0.002163,-0.000063,  85.271
     8.2,-0.000029,-0.000067,-0.002305,-0.000063,  85.290
