Run Name,Run 1
Run Date,07:16:06 PM   02-01-16
Method Name,37% Isocratic
Export Format Version, 1.00
Method ID, 2805
Points/Second, 5.00
Number of Records,   4710
Offset from Run Start Time,00:00:00
Run End Time,00:15:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000213,0.000311,0.052958,-0.000004,  85.656
     0.2,0.000208,0.000305,0.053007,-0.000004,  85.630
     0.4,0.000205,0.000307,0.053105,-0.000043,  85.608
     0.6,0.000206,0.000313,0.053261,-0.000004,  85.640
     0.8,0.000201,0.000313,0.053291,-0.000004,  85.559
     1.0,0.000206,0.000309,0.053281,-0.000043,  85.537
     1.2,0.000211,0.000311,0.053202,-0.000004,  85.518
     1.4,0.000206,0.000312,0.053192,-0.000004,  85.496
     1.6,0.000202,0.000306,0.053163,-0.000043,  85.482
     1.8,0.000202,0.000311,0.053094,-0.000004,  85.467
     2.0,0.000198,0.000304,0.053114,-0.000004,  85.426
     2.2,0.000194,0.000302,0.053172,-0.000043,  85.383
     2.4,-0.002781,0.000302,0.053211,-0.000004,  85.366
     2.6,-0.002563,0.000306,0.053211,-0.000004,  85.350
     2.8,-0.002068,0.000301,0.053201,-0.000029,  85.326
     3.0,-0.001394,0.000301,0.053152,0.000009,  85.323
     3.2,0.000000,0.000311,0.053055,0.000009,  85.299
     3.4,0.000000,0.000317,0.052956,-0.000029,  85.283
     3.6,0.000000,0.000314,0.052767,-0.000004,  85.280
     3.8,0.000000,0.000000,0.052767,-0.000018,  85.264
     4.0,0.000000,0.000000,0.052767,-0.000018,  85.303
     4.2,0.000000,0.000000,0.052767,0.000059,  85.270
     4.4,0.000000,0.000000,0.000000,0.000055,  85.243
     4.6,0.000000,0.000000,0.000000,0.000091,  85.244
     4.8,0.000000,0.000000,0.000000,0.000000,  85.229
     5.0,0.000000,0.000000,0.000000,0.000000,  85.229
     5.2,0.000000,0.000000,0.000000,0.000000,  85.225
     5.4,0.000000,0.000000,0.000000,0.000000,  85.230
     5.6,0.000000,0.000000,0.000000,0.000000,  85.227
     5.8,0.000000,0.000000,0.000000,0.000000,  85.231
     6.0,-0.000033,0.000000,0.000000,0.000000,  85.238
     6.2,-0.000034,0.000000,0.000000,0.000000,  85.240
     6.4,-0.000031,0.000000,0.000000,0.000000,  85.243
     6.6,-0.000027,0.000000,0.000000,0.000000,  85.250
     6.8,-0.000032,0.000000,0.000000,0.000000,  85.260
     7.0,-0.000016,0.000000,0.000104,0.000000,  85.270
     7.2,-0.000016,0.000066,0.000133,0.000000,  85.278
     7.4,-0.000028,0.000044,0.000144,0.000000,  85.301
     7.6,-0.000032,0.000036,0.000135,0.000000,  85.333
     7.8,-0.000039,0.000019,0.000125,0.000000,  85.338
     8.0,-0.000054,0.000005,0.000088,0.000000,  85.330
     8.2,-0.000053,-0.000003,0.000049,0.000000,  85.334
     8.4,-0.000052,-0.000009,-0.000008,0.000000,  85.345
     8.6,-0.000064,-0.000014,-0.000064,-0.000091,  85.366
     8.8,-0.000059,-0.000023,-0.000122,-0.000077,  85.384
     9.0,-0.000062,-0.000030,-0.000188,-0.000077,  85.398
     9.2,-0.000074,-0.000030,-0.000293,-0.000077,  85.412
     9.4,-0.000078,-0.000035,-0.000407,-0.000077,  85.424
     9.6,-0.000078,-0.000050,-0.000472,-0.000077,  85.450
     9.8,-0.000082,-0.000049,-0.000548,-0.000077,  85.469
    10.0,-0.000090,-0.000055,-0.000604,-0.000077,  85.477
    10.2,-0.000085,-0.000061,-0.000632,-0.000077,  85.492
    10.4,-0.000085,-0.000063,-0.000651,-0.000077,  85.507
    10.6,-0.000085,-0.000076,-0.000661,-0.000077,  85.528
    10.8,-0.000097,-0.000080,-0.000746,-0.000077,  85.561
    11.0,-0.000092,-0.000086,-0.000859,-0.000077,  85.642
    11.2,-0.000093,-0.000095,-0.001020,-0.000063,  85.621
    11.4,-0.000081,-0.000091,-0.001123,-0.000063,  85.637
    11.6,-0.000066,-0.000087,-0.001189,-0.000063,  85.657
    11.8,-0.000067,-0.000086,-0.001217,-0.000049,  85.683
    12.0,-0.000055,-0.000089,-0.001301,-0.000088,  85.697
    12.2,-0.000055,-0.000089,-0.001396,-0.000101,  85.715
    12.4,-0.000053,-0.000085,-0.001491,-0.000101,  85.727
    12.6,-0.000027,-0.000082,-0.001528,-0.000140,  85.753
    12.8,-0.000016,-0.000079,-0.001556,-0.000101,  85.771
    13.0,-0.000021,-0.000082,-0.001584,-0.000101,  85.782
    13.2,-0.000021,-0.000088,-0.001603,-0.000101,  85.800
    13.4,-0.000032,-0.000088,-0.001641,-0.000063,  85.809
    13.6,-0.000040,-0.000089,-0.001697,-0.000063,  85.826
    13.8,-0.000036,-0.000077,-0.001716,-0.000063,  85.833
    14.0,-0.000032,-0.000065,-0.001716,-0.000063,  85.849
    14.2,-0.000036,-0.000067,-0.001745,-0.000063,  85.857
    14.4,-0.000033,-0.000065,-0.001745,-0.000063,  85.879
    14.6,-0.000021,-0.000064,-0.001773,-0.000063,  85.887
    14.8,-0.000022,-0.000067,-0.001791,-0.000063,  85.892
    15.0,-0.000019,-0.000066,-0.001829,-0.000049,  85.900
    15.2,-0.000003,-0.000056,-0.001867,-0.000049,  85.912
    15.4,-0.000005,-0.000050,-0.001943,-0.000049,  85.927
    15.6,-0.000001,-0.000044,-0.002037,-0.000088,  85.983
    15.8,0.000003,-0.000041,-0.002028,-0.000088,  85.996
    16.0,-0.000002,-0.000038,-0.001999,-0.000088,  86.004
    16.2,0.000006,-0.000032,-0.001942,-0.000126,  86.014
    16.4,0.000014,-0.000033,-0.001885,-0.000088,  86.031
    16.6,0.000010,-0.000035,-0.001856,-0.000088,  86.038
    16.8,0.000013,-0.000028,-0.001819,-0.000088,  86.049
