Run Name,Run 1
Run Date,04:34:31 PM   03-01-16
Method Name,15% isocratic
Export Format Version, 1.00
Method ID, 3057
Points/Second, 5.00
Number of Records,   4336
Offset from Run Start Time,00:00:00
Run End Time,00:14:30
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,-0.002984, 15,  88.304,   65,     0.0
     0.2,-0.004929, 15,  88.295,   65,     0.0
     0.4,-0.004296, 15,  88.289,   65,     0.0
     0.6,-0.003547, 15,  88.279,   65,     0.0
     0.8,0.000000, 15,  88.276,   65,     0.0
     1.0,0.000000, 15,  88.262,   65,     0.0
     1.2,0.000000, 15,  88.254,   65,     0.0
     1.4,0.000000, 15,  88.204,   65,     0.0
     1.6,0.000000, 15,  88.193,   65,     0.1
     1.8,0.000000, 15,  88.188,   65,     0.1
     2.0,0.000000, 15,  88.180,   65,     0.1
     2.2,0.000000, 15,  88.171,   65,     0.1
     2.4,0.000000, 15,  88.176,   65,     0.1
     2.6,0.000000, 15,  88.175,   65,     0.1
     2.8,0.000000, 15,  88.171,   65,     0.1
     3.0,0.000000, 15,  88.157,   65,     0.1
     3.2,0.000000, 15,  88.161,   65,     0.1
     3.4,0.000000, 15,  88.163,   65,     0.1
     3.6,0.000000, 15,  88.166,   65,     0.1
     3.8,0.000000, 15,  88.166,   64,     0.1
     4.0,0.000000, 15,  88.161,   63,     0.1
     4.2,-0.000031, 15,  88.162,   64,     0.1
     4.4,-0.000033, 15,  88.172,   65,     0.1
     4.6,-0.000040, 15,  88.174,   65,     0.2
     4.8,-0.000043, 15,  88.176,   65,     0.2
     5.0,-0.000043, 15,  88.185,   65,     0.2
     5.2,-0.000047, 15,  88.193,   65,     0.2
     5.4,-0.000047, 15,  88.196,   66,     0.2
     5.6,-0.000043, 15,  88.202,   67,     0.2
     5.8,-0.000055, 15,  88.215,   66,     0.2
     6.0,-0.000055, 15,  88.217,   66,     0.2
     6.2,-0.000055, 15,  88.230,   66,     0.2
     6.4,-0.000054, 15,  88.247,   66,     0.2
     6.6,-0.000044, 15,  88.259,   66,     0.2
     6.8,-0.000036, 15,  88.272,   66,     0.2
     7.0,-0.000039, 15,  88.283,   65,     0.2
     7.2,-0.000043, 15,  88.293,   64,     0.2
     7.4,-0.000038, 15,  88.319,   64,     0.2
     7.6,-0.000038, 15,  88.384,   65,     0.3
     7.8,-0.000050, 15,  88.395,   64,     0.3
     8.0,-0.000055, 15,  88.409,   64,     0.3
     8.2,-0.000060, 15,  88.425,   64,     0.3
     8.4,-0.000056, 15,  88.441,   64,     0.3
     8.6,-0.000053, 15,  88.465,   64,     0.3
     8.8,-0.000070, 15,  88.478,   65,     0.3
     9.0,-0.000065, 15,  88.488,   64,     0.3
     9.2,-0.000077, 15,  88.509,   64,     0.3
     9.4,-0.000078, 15,  88.527,   65,     0.3
     9.6,-0.000071, 15,  88.551,   67,     0.3
     9.8,-0.000064, 15,  88.563,   66,     0.3
    10.0,-0.000060, 15,  88.580,   65,     0.3
    10.2,-0.000055, 15,  88.596,   64,     0.3
    10.4,-0.000047, 15,  88.620,   63,     0.3
    10.6,-0.000043, 15,  88.634,   64,     0.4
    10.8,-0.000051, 15,  88.647,   65,     0.4
    11.0,-0.000048, 15,  88.661,   65,     0.4
    11.2,-0.000044, 15,  88.675,   64,     0.4
    11.4,-0.000049, 15,  88.700,   64,     0.4
    11.6,-0.000040, 15,  88.716,   64,     0.4
    11.8,-0.000033, 15,  88.727,   66,     0.4
    12.0,-0.000034, 15,  88.744,   67,     0.4
    12.2,-0.000026, 15,  88.800,   65,     0.4
    12.4,-0.000031, 15,  88.822,   63,     0.4
    12.6,-0.000027, 15,  88.837,   65,     0.4
    12.8,-0.000027, 15,  88.844,   67,     0.4
    13.0,-0.000028, 15,  88.864,   65,     0.4
    13.2,-0.000016, 15,  88.877,   63,     0.4
    13.4,-0.000016, 15,  88.890,   64,     0.4
    13.6,-0.000017, 15,  88.904,   64,     0.5
    13.8,-0.000001, 15,  88.909,   64,     0.5
    14.0,-0.000001, 15,  88.930,   64,     0.5
    14.2,-0.000006, 15,  88.942,   64,     0.5
    14.4,0.000003, 15,  88.950,   63,     0.5
    14.6,0.000003, 15,  88.962,   64,     0.5
    14.8,0.000001, 15,  88.966,   64,     0.5
    15.0,0.000014, 15,  88.981,   64,     0.5
    15.2,0.000017, 15,  88.989,   63,     0.5
    15.4,0.000021, 15,  88.996,   63,     0.5
    15.6,0.000025, 15,  89.006,   63,     0.5
    15.8,0.000026, 15,  89.011,   64,     0.5
    16.0,0.000026, 15,  89.020,   64,     0.5
    16.2,0.000025, 15,  89.027,   65,     0.5
    16.4,0.000033, 15,  89.032,   66,     0.5
    16.6,0.000033, 15,  89.036,   65,     0.6
    16.8,0.000033, 15,  89.040,   64,     0.6
    17.0,0.000046, 15,  89.039,   64,     0.6
    17.2,0.000050, 15,  89.040,   65,     0.6
    17.4,0.000045, 15,  89.039,   64,     0.6
    17.6,0.000053, 15,  89.038,   63,     0.6
    17.8,0.000056, 15,  89.040,   63,     0.6
    18.0,0.000064, 15,  89.039,   64,     0.6
    18.2,0.000068, 15,  89.038,   64,     0.6
    18.4,0.000081, 15,  89.038,   65,     0.6
    18.6,0.000084, 15,  89.035,   65,     0.6
    18.8,0.000079, 15,  89.034,   65,     0.6
    19.0,0.000084, 15,  89.036,   65,     0.6
    19.2,0.000093, 15,  89.033,   65,     0.6
    19.4,0.000093, 15,  89.021,   64,     0.6
    19.6,0.000089, 15,  89.018,   63,     0.7
    19.8,0.000089, 15,  89.015,   64,     0.7
    20.0,0.000084, 15,  89.007,   65,     0.7
    20.2,0.000071, 15,  89.005,   64,     0.7
    20.4,0.000062, 15,  88.988,   64,     0.7
    20.6,0.000062, 15,  88.976,   64,     0.7
    20.8,0.000067, 15,  88.961,   64,     0.7
    21.0,0.000064, 15,  88.946,   63,     0.7
    21.2,0.000064, 15,  88.936,   63,     0.7
    21.4,0.000060, 15,  88.921,   64,     0.7
    21.6,0.000056, 15,  88.908,   64,     0.7
    21.8,0.000044, 15,  88.904,   64,     0.7
    22.0,0.000040, 15,  88.897,   64,     0.7
    22.2,0.000036, 15,  88.890,   64,     0.7
    22.4,0.000036, 15,  88.882,   65,     0.7
    22.6,0.000036, 15,  88.878,   64,     0.8
    22.8,0.000027, 15,  88.876,   64,     0.8
    23.0,0.000032, 15,  88.868,   64,     0.8
    23.2,0.000025, 15,  88.869,   63,     0.8
    23.4,0.000016, 15,  88.860,   64,     0.8
    23.6,0.000025, 15,  88.855,   65,     0.8
    23.8,0.000017, 15,  88.856,   64,     0.8
    24.0,0.000017, 15,  88.847,   64,     0.8
    24.2,0.000017, 15,  88.847,   64,     0.8
    24.4,0.000022, 15,  88.847,   64,     0.8
