Run Name,Run 1
Run Date,04:05:37 PM   03-01-16
Method Name,20% isocratic
Export Format Version, 1.00
Method ID, 3055
Points/Second, 5.00
Number of Records,   6627
Offset from Run Start Time,00:00:00
Run End Time,00:22:06
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,-0.001988, 20,  88.163,   65,     0.0
     0.2,-0.001984, 20,  88.160,   66,     0.0
     0.4,-0.001989, 20,  88.151,   68,     0.0
     0.6,-0.001989, 20,  88.151,   66,     0.0
     0.8,-0.001989, 20,  88.148,   65,     0.0
     1.0,-0.001984, 20,  88.137,   66,     0.0
     1.2,-0.001983, 20,  88.139,   67,     0.0
     1.4,-0.001987, 20,  88.134,   66,     0.0
     1.6,-0.001987, 20,  88.125,   66,     0.1
     1.8,-0.001987, 20,  88.128,   66,     0.1
     2.0,-0.001983, 20,  88.129,   66,     0.1
     2.2,-0.001974, 20,  88.123,   66,     0.1
     2.4,-0.001970, 20,  88.118,   66,     0.1
     2.6,-0.005577, 20,  88.111,   65,     0.1
     2.8,-0.004922, 20,  88.111,   65,     0.1
     3.0,-0.004204, 20,  88.110,   66,     0.1
     3.2,-0.003830, 20,  88.103,   68,     0.1
     3.4,0.000000, 20,  88.098,   66,     0.1
     3.6,0.000000, 20,  88.089,   65,     0.1
     3.8,0.000000, 20,  88.098,   65,     0.1
     4.0,0.000000, 20,  88.099,   66,     0.1
     4.2,0.000000, 20,  88.097,   65,     0.1
     4.4,0.000000, 20,  88.094,   64,     0.1
     4.6,0.000000, 20,  88.093,   64,     0.2
     4.8,0.000000, 20,  88.100,   64,     0.2
     5.0,0.000000, 20,  88.098,   64,     0.2
     5.2,0.000000, 20,  88.102,   64,     0.2
     5.4,0.000000, 20,  88.101,   64,     0.2
     5.6,0.000000, 20,  88.105,   63,     0.2
     5.8,0.000000, 20,  88.125,   64,     0.2
     6.0,0.000000, 20,  88.131,   64,     0.2
     6.2,0.000000, 20,  88.141,   65,     0.2
     6.4,0.000000, 20,  88.146,   66,     0.2
     6.6,0.000000, 20,  88.159,   66,     0.2
     6.8,0.000000, 20,  88.175,   65,     0.2
     7.0,-0.000007, 20,  88.189,   65,     0.2
     7.2,-0.000006, 20,  88.198,   64,     0.2
     7.4,-0.000010, 20,  88.208,   65,     0.2
     7.6,-0.000010, 20,  88.221,   65,     0.3
     7.8,-0.000015, 20,  88.248,   65,     0.3
     8.0,-0.000023, 20,  88.264,   64,     0.3
     8.2,-0.000023, 20,  88.274,   64,     0.3
     8.4,-0.000023, 20,  88.290,   64,     0.3
     8.6,-0.000023, 20,  88.301,   65,     0.3
     8.8,-0.000023, 20,  88.328,   66,     0.3
     9.0,-0.000032, 20,  88.341,   64,     0.3
     9.2,-0.000032, 20,  88.358,   63,     0.3
     9.4,-0.000032, 20,  88.380,   64,     0.3
     9.6,-0.000044, 20,  88.401,   64,     0.3
     9.8,-0.000039, 20,  88.470,   65,     0.3
    10.0,-0.000043, 20,  88.489,   65,     0.3
    10.2,-0.000034, 20,  88.505,   65,     0.3
    10.4,-0.000021, 20,  88.526,   65,     0.3
    10.6,-0.000021, 20,  88.535,   64,     0.4
    10.8,-0.000029, 20,  88.567,   64,     0.4
    11.0,-0.000034, 20,  88.592,   64,     0.4
    11.2,-0.000030, 20,  88.606,   63,     0.4
    11.4,-0.000027, 20,  88.624,   63,     0.4
    11.6,-0.000023, 20,  88.643,   63,     0.4
    11.8,-0.000023, 20,  88.671,   63,     0.4
    12.0,-0.000019, 20,  88.693,   63,     0.4
    12.2,-0.000015, 20,  88.708,   63,     0.4
    12.4,-0.000006, 20,  88.731,   63,     0.4
    12.6,-0.000011, 20,  88.752,   64,     0.4
    12.8,-0.000012, 20,  88.767,   65,     0.4
    13.0,-0.000008, 20,  88.793,   65,     0.4
    13.2,-0.000001, 20,  88.809,   64,     0.4
