Run Name,Run 1
Run Date,02:34:03 PM   03-01-16
Method Name,22% isocratic
Export Format Version, 1.00
Method ID, 3018
Points/Second, 5.00
Number of Records,   5356
Offset from Run Start Time,00:00:00
Run End Time,00:17:53
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,-0.004563,100,  88.901,  -10,     0.0
     0.2,-0.005414, 84,  88.902,  -10,     0.0
     0.4,-0.004152, 69,  88.901,  -10,     0.0
     0.6,-0.004152, 53,  88.820,   34,     0.0
     0.8,0.000000, 38,  88.389,   77,     0.0
     1.0,0.000000, 22,  88.252,   73,     0.0
     1.2,0.000000, 22,  88.199,   68,     0.0
     1.4,0.000000, 22,  88.164,   68,     0.0
     1.6,0.000000, 22,  88.139,   69,     0.1
     1.8,0.000000, 22,  88.117,   69,     0.1
     2.0,0.000000, 22,  88.108,   68,     0.1
     2.2,0.000000, 22,  88.094,   68,     0.1
     2.4,0.000000, 22,  88.076,   69,     0.1
     2.6,0.000000, 22,  88.072,   68,     0.1
     2.8,0.000000, 22,  88.050,   67,     0.1
     3.0,0.000000, 22,  88.040,   67,     0.1
     3.2,0.000000, 22,  88.041,   66,     0.1
     3.4,0.000000, 22,  88.030,   66,     0.1
     3.6,0.000000, 22,  88.026,   65,     0.1
     3.8,0.000000, 22,  87.958,   65,     0.1
     4.0,0.000000, 22,  87.956,   66,     0.1
     4.2,-0.000016, 22,  87.950,   67,     0.1
     4.4,-0.000021, 22,  87.939,   67,     0.1
     4.6,-0.000029, 22,  87.936,   67,     0.2
     4.8,-0.000033, 22,  87.926,   68,     0.2
     5.0,-0.000038, 22,  87.923,   68,     0.2
     5.2,-0.000029, 22,  87.909,   68,     0.2
     5.4,-0.000033, 22,  87.905,   67,     0.2
     5.6,-0.000041, 22,  87.911,   66,     0.2
     5.8,-0.000037, 22,  87.900,   66,     0.2
     6.0,-0.000048, 22,  87.899,   65,     0.2
     6.2,-0.000060, 22,  87.893,   64,     0.2
     6.4,-0.000060, 22,  87.889,   62,     0.2
     6.6,-0.000067, 22,  87.878,   64,     0.2
     6.8,-0.000076, 22,  87.873,   65,     0.2
     7.0,-0.000079, 22,  87.871,   66,     0.2
     7.2,-0.000074, 22,  87.864,   67,     0.2
     7.4,-0.000078, 22,  87.857,   67,     0.2
     7.6,-0.000085, 22,  87.862,   68,     0.3
     7.8,-0.000079, 22,  87.863,   67,     0.3
     8.0,-0.000088, 22,  87.858,   67,     0.3
     8.2,-0.000081, 22,  87.862,   68,     0.3
     8.4,-0.000073, 22,  87.850,   68,     0.3
     8.6,-0.000070, 22,  87.868,   67,     0.3
     8.8,-0.000074, 22,  87.866,   66,     0.3
     9.0,-0.000071, 22,  87.871,   65,     0.3
     9.2,-0.000071, 22,  87.878,   64,     0.3
     9.4,-0.000076, 22,  87.879,   64,     0.3
     9.6,-0.000076, 22,  87.894,   65,     0.3
     9.8,-0.000072, 22,  87.901,   65,     0.3
    10.0,-0.000073, 22,  87.901,   66,     0.3
    10.2,-0.000061, 22,  87.921,   67,     0.3
    10.4,-0.000054, 22,  87.920,   68,     0.3
    10.6,-0.000055, 22,  87.946,   68,     0.4
    10.8,-0.000046, 22,  87.959,   67,     0.4
    11.0,-0.000046, 22,  87.971,   67,     0.4
    11.2,-0.000051, 22,  87.978,   66,     0.4
    11.4,-0.000046, 22,  87.994,   66,     0.4
    11.6,-0.000038, 22,  88.023,   66,     0.4
    11.8,-0.000034, 22,  88.043,   64,     0.4
    12.0,-0.000029, 22,  88.059,   63,     0.4
    12.2,-0.000008, 22,  88.071,   63,     0.4
    12.4,-0.000004, 22,  88.091,   64,     0.4
    12.6,-0.000017, 22,  88.118,   65,     0.4
    12.8,-0.000017, 22,  88.183,   67,     0.4
    13.0,-0.000018, 22,  88.199,   67,     0.4
    13.2,-0.000015, 22,  88.216,   67,     0.4
    13.4,-0.000015, 22,  88.235,   67,     0.4
    13.6,-0.000019, 22,  88.262,   67,     0.5
    13.8,-0.000004, 22,  88.287,   66,     0.5
    14.0,-0.000007, 22,  88.306,   66,     0.5
    14.2,-0.000016, 22,  88.320,   66,     0.5
    14.4,-0.000004, 22,  88.345,   66,     0.5
    14.6,-0.000007, 22,  88.372,   65,     0.5
    14.8,-0.000016, 22,  88.398,   63,     0.5
    15.0,-0.000007, 22,  88.412,   64,     0.5
    15.2,-0.000015, 22,  88.431,   64,     0.5
    15.4,-0.000019, 22,  88.451,   65,     0.5
    15.6,-0.000007, 22,  88.476,   66,     0.5
    15.8,-0.000004, 22,  88.503,   66,     0.5
    16.0,-0.000008, 22,  88.515,   66,     0.5
    16.2,-0.000004, 22,  88.530,   66,     0.5
    16.4,-0.000004, 22,  88.550,   66,     0.5
    16.6,0.000000, 22,  88.632,   66,     0.6
    16.8,0.000000, 22,  88.647,   66,     0.6
    17.0,0.000004, 22,  88.667,   66,     0.6
    17.2,0.000004, 22,  88.685,   66,     0.6
    17.4,0.000007, 22,  88.702,   65,     0.6
    17.6,0.000007, 22,  88.712,   63,     0.6
    17.8,0.000011, 22,  88.739,   64,     0.6
    18.0,0.000010, 22,  88.749,   64,     0.6
    18.2,0.000022, 22,  88.770,   65,     0.6
    18.4,0.000029, 22,  88.787,   67,     0.6
    18.6,0.000032, 22,  88.801,   67,     0.6
    18.8,0.000039, 22,  88.817,   67,     0.6
    19.0,0.000046, 22,  88.833,   66,     0.6
    19.2,0.000045, 22,  88.844,   66,     0.6
    19.4,0.000057, 22,  88.857,   66,     0.6
    19.6,0.000066, 22,  88.880,   66,     0.7
    19.8,0.000061, 22,  88.892,   66,     0.7
    20.0,0.000070, 22,  88.899,   66,     0.7
    20.2,0.000066, 22,  88.911,   65,     0.7
    20.4,0.000057, 22,  88.922,   63,     0.7
    20.6,0.000062, 22,  88.924,   62,     0.7
    20.8,0.000055, 22,  88.932,   61,     0.7
    21.0,0.000046, 22,  88.944,   64,     0.7
    21.2,0.000055, 22,  88.951,   67,     0.7
    21.4,0.000051, 22,  88.957,   67,     0.7
    21.6,0.000043, 22,  89.017,   66,     0.7
    21.8,0.000046, 22,  89.028,   66,     0.7
    22.0,0.000043, 22,  89.033,   66,     0.7
    22.2,0.000034, 22,  89.042,   66,     0.7
    22.4,0.000038, 22,  89.041,   66,     0.7
    22.6,0.000043, 22,  89.057,   66,     0.8
    22.8,0.000034, 22,  89.053,   66,     0.8
    23.0,0.000038, 22,  89.064,   66,     0.8
    23.2,0.000043, 22,  89.070,   65,     0.8
    23.4,0.000039, 22,  89.077,   65,     0.8
    23.6,0.000048, 22,  89.070,   64,     0.8
    23.8,0.000057, 22,  89.073,   65,     0.8
    24.0,0.000052, 22,  89.080,   66,     0.8
    24.2,0.000052, 22,  89.085,   66,     0.8
    24.4,0.000048, 22,  89.088,   66,     0.8
    24.6,0.000043, 22,  89.093,   66,     0.8
    24.8,0.000051, 22,  89.097,   66,     0.8
    25.0,0.000048, 22,  89.103,   66,     0.8
    25.2,0.000048, 22,  89.107,   66,     0.8
    25.4,0.000051, 22,  89.106,   66,     0.8
    25.6,0.000051, 22,  89.095,   66,     0.9
    25.8,0.000051, 22,  89.093,   65,     0.9
    26.0,0.000055, 22,  89.089,   64,     0.9
    26.2,0.000059, 22,  89.094,   64,     0.9
    26.4,0.000059, 22,  89.092,   64,     0.9
    26.6,0.000050, 22,  89.082,   65,     0.9
    26.8,0.000062, 22,  89.074,   65,     0.9
    27.0,0.000059, 22,  89.074,   65,     0.9
    27.2,0.000050, 22,  89.070,   65,     0.9
    27.4,0.000059, 22,  89.063,   66,     0.9
    27.6,0.000055, 22,  89.062,   66,     0.9
    27.8,0.000050, 22,  89.049,   66,     0.9
    28.0,0.000062, 22,  89.047,   67,     0.9
    28.2,0.000070, 22,  89.048,   66,     0.9
    28.4,0.000065, 22,  89.037,   65,     0.9
    28.6,0.000070, 22,  89.029,   65,     1.0
    28.8,0.000070, 22,  89.023,   64,     1.0
    29.0,0.000065, 22,  89.018,   64,     1.0
    29.2,0.000073, 22,  89.013,   64,     1.0
    29.4,0.000077, 22,  89.005,   65,     1.0
    29.6,0.000072, 22,  88.990,   66,     1.0
    29.8,0.000084, 22,  88.985,   66,     1.0
    30.0,0.000084, 22,  88.982,   65,     1.0
    30.2,0.000080, 22,  88.977,   65,     1.0
    30.4,0.000083, 22,  88.968,   65,     1.0
    30.6,0.000076, 22,  88.958,   65,     1.0
    30.8,0.000067, 22,  88.959,   66,     1.0
    31.0,0.000080, 22,  88.952,   65,     1.0
    31.2,0.000084, 22,  88.949,   65,     1.0
    31.4,0.000076, 22,  88.946,   64,     1.0
    31.6,0.000088, 22,  88.941,   64,     1.1
    31.8,0.000084, 22,  88.935,   64,     1.1
    32.0,0.000076, 22,  88.930,   64,     1.1
    32.2,0.000088, 22,  88.928,   65,     1.1
    32.4,0.000084, 22,  88.926,   66,     1.1
    32.6,0.000072, 22,  88.916,   65,     1.1
    32.8,0.000081, 22,  88.907,   65,     1.1
    33.0,0.000073, 22,  88.912,   66,     1.1
    33.2,0.000070, 22,  88.907,   66,     1.1
    33.4,0.000073, 22,  88.905,   66,     1.1
    33.6,0.000073, 22,  88.902,   65,     1.1
    33.8,0.000077, 22,  88.894,   65,     1.1
    34.0,0.000077, 22,  88.895,   65,     1.1
    34.2,0.000077, 22,  88.895,   64,     1.1
    34.4,0.000077, 22,  88.889,   64,     1.1
    34.6,0.000077, 22,  88.844,   64,     1.2
    34.8,0.000077, 22,  88.840,   65,     1.2
    35.0,0.000086, 22,  88.843,   65,     1.2
    35.2,0.000081, 22,  88.834,   65,     1.2
    35.4,0.000084, 22,  88.833,   64,     1.2
    35.6,0.000088, 22,  88.825,   64,     1.2
    35.8,0.000083, 22,  88.824,   65,     1.2
    36.0,0.000092, 22,  88.815,   66,     1.2
    36.2,0.000088, 22,  88.813,   66,     1.2
    36.4,0.000080, 22,  88.813,   65,     1.2
    36.6,0.000084, 22,  88.810,   65,     1.2
    36.8,0.000081, 22,  88.804,   66,     1.2
    37.0,0.000068, 22,  88.796,   65,     1.2
    37.2,0.000077, 22,  88.798,   64,     1.2
    37.4,0.000073, 22,  88.792,   64,     1.2
    37.6,0.000068, 22,  88.788,   64,     1.3
    37.8,0.000077, 22,  88.784,   65,     1.3
    38.0,0.000081, 22,  88.784,   67,     1.3
    38.2,0.000072, 22,  88.780,   66,     1.3
    38.4,0.000081, 22,  88.774,   65,     1.3
    38.6,0.000077, 22,  88.773,   65,     1.3
    38.8,0.000068, 22,  88.762,   65,     1.3
    39.0,0.000081, 22,  88.763,   65,     1.3
    39.2,0.000088, 22,  88.760,   65,     1.3
    39.4,0.000087, 22,  88.754,   65,     1.3
    39.6,0.000099, 22,  88.746,   65,     1.3
    39.8,0.000099, 22,  88.734,   66,     1.3
    40.0,0.000103, 22,  88.737,   66,     1.3
    40.2,0.000099, 22,  88.731,   65,     1.3
    40.4,0.000104, 22,  88.729,   64,     1.3
    40.6,0.000099, 22,  88.720,   65,     1.4
    40.8,0.000099, 22,  88.718,   65,     1.4
    41.0,0.000099, 22,  88.719,   65,     1.4
    41.2,0.000103, 22,  88.719,   64,     1.4
    41.4,0.000098, 22,  88.717,   65,     1.4
    41.6,0.000106, 22,  88.711,   65,     1.4
    41.8,0.000110, 22,  88.711,   65,     1.4
    42.0,0.000115, 22,  88.711,   65,     1.4
    42.2,0.000116, 22,  88.708,   65,     1.4
    42.4,0.000113, 22,  88.711,   65,     1.4
    42.6,0.000117, 22,  88.716,   65,     1.4
    42.8,0.000100, 22,  88.713,   64,     1.4
    43.0,0.000104, 22,  88.713,   64,     1.4
    43.2,0.000107, 22,  88.714,   64,     1.4
    43.4,0.000095, 22,  88.711,   64,     1.4
    43.6,0.000104, 22,  88.711,   65,     1.5
    43.8,0.000107, 22,  88.710,   64,     1.5
    44.0,0.000095, 22,  88.711,   64,     1.5
    44.2,0.000104, 22,  88.710,   65,     1.5
    44.4,0.000099, 22,  88.712,   66,     1.5
    44.6,0.000099, 22,  88.708,   66,     1.5
    44.8,0.000103, 22,  88.712,   66,     1.5
    45.0,0.000098, 22,  88.714,   65,     1.5
    45.2,0.000098, 22,  88.713,   65,     1.5
    45.4,0.000102, 22,  88.711,   64,     1.5
    45.6,0.000093, 22,  88.710,   64,     1.5
    45.8,0.000093, 22,  88.714,   62,     1.5
    46.0,0.000102, 22,  88.709,   61,     1.5
    46.2,0.000093, 22,  88.707,   63,     1.5
    46.4,0.000093, 22,  88.708,   65,     1.5
    46.6,0.000098, 22,  88.708,   64,     1.6
    46.8,0.000093, 22,  88.706,   64,     1.6
    47.0,0.000094, 22,  88.706,   65,     1.6
    47.2,0.000095, 22,  88.703,   65,     1.6
    47.4,0.000091, 22,  88.702,   65,     1.6
    47.6,0.000091, 22,  88.703,   65,     1.6
    47.8,0.000094, 22,  88.702,   65,     1.6
    48.0,0.000089, 22,  88.706,   65,     1.6
    48.2,0.000082, 22,  88.704,   65,     1.6
    48.4,0.000087, 22,  88.702,   65,     1.6
    48.6,0.000082, 22,  88.705,   64,     1.6
    48.8,0.000082, 22,  88.701,   64,     1.6
    49.0,0.000094, 22,  88.703,   64,     1.6
    49.2,0.000089, 22,  88.701,   65,     1.6
    49.4,0.000098, 22,  88.703,   64,     1.6
    49.6,0.000106, 22,  88.697,   64,     1.7
    49.8,0.000105, 22,  88.698,   66,     1.7
    50.0,0.000105, 22,  88.697,   67,     1.7
    50.2,0.000105, 22,  88.701,   65,     1.7
    50.4,0.000105, 22,  88.700,   63,     1.7
    50.6,0.000114, 22,  88.705,   64,     1.7
    50.8,0.000118, 22,  88.709,   65,     1.7
    51.0,0.000132, 22,  88.707,   65,     1.7
    51.2,0.000127, 22,  88.720,   65,     1.7
    51.4,0.000127, 22,  88.709,   64,     1.7
    51.6,0.000122, 22,  88.701,   63,     1.7
    51.8,0.000117, 22,  88.699,   64,     1.7
    52.0,0.000117, 22,  88.701,   64,     1.7
    52.2,0.000114, 22,  88.699,   64,     1.7
    52.4,0.000105, 22,  88.693,   64,     1.7
    52.6,0.000117, 22,  88.696,   66,     1.8
    52.8,0.000117, 22,  88.690,   67,     1.8
    53.0,0.000109, 22,  88.691,   66,     1.8
    53.2,0.000121, 22,  88.686,   65,     1.8
    53.4,0.000121, 22,  88.681,   65,     1.8
    53.6,0.000113, 22,  88.683,   65,     1.8
    53.8,0.000117, 22,  88.680,   64,     1.8
    54.0,0.000114, 22,  88.682,   64,     1.8
    54.2,0.000105, 22,  88.679,   64,     1.8
    54.4,0.000117, 22,  88.679,   63,     1.8
    54.6,0.000117, 22,  88.676,   64,     1.8
    54.8,0.000109, 22,  88.676,   65,     1.8
    55.0,0.000121, 22,  88.674,   65,     1.8
    55.2,0.000121, 22,  88.674,   65,     1.8
    55.4,0.000113, 22,  88.671,   65,     1.8
    55.6,0.000121, 22,  88.666,   65,     1.9
    55.8,0.000121, 22,  88.675,   65,     1.9
    56.0,0.000113, 22,  88.667,   65,     1.9
    56.2,0.000121, 22,  88.663,   65,     1.9
    56.4,0.000121, 22,  88.654,   65,     1.9
    56.6,0.000113, 22,  88.655,   64,     1.9
    56.8,0.000117, 22,  88.661,   64,     1.9
    57.0,0.000114, 22,  88.654,   64,     1.9
    57.2,0.000105, 22,  88.654,   64,     1.9
    57.4,0.000114, 22,  88.650,   65,     1.9
    57.6,0.000114, 22,  88.648,   66,     1.9
    57.8,0.000102, 22,  88.640,   65,     1.9
    58.0,0.000110, 22,  88.640,   64,     1.9
    58.2,0.000106, 22,  88.638,   64,     1.9
    58.4,0.000106, 22,  88.633,   65,     1.9
    58.6,0.000114, 22,  88.633,   65,     2.0
    58.8,0.000114, 22,  88.626,   64,     2.0
    59.0,0.000121, 22,  88.625,   65,     2.0
    59.2,0.000125, 22,  88.621,   65,     2.0
    59.4,0.000128, 22,  88.621,   64,     2.0
    59.6,0.000132, 22,  88.620,   64,     2.0
    59.8,0.000127, 22,  88.614,   63,     2.0
    60.0,0.000136, 22,  88.611,   62,     2.0
    60.2,0.000136, 22,  88.607,   63,     2.0
    60.4,0.000139, 22,  88.602,   64,     2.0
    60.6,0.000144, 22,  88.594,   64,     2.0
    60.8,0.000157, 22,  88.587,   64,     2.0
    61.0,0.000161, 22,  88.583,   64,     2.0
    61.2,0.000144, 22,  88.574,   65,     2.0
    61.4,0.000144, 22,  88.571,   65,     2.0
    61.6,0.000148, 22,  88.561,   65,     2.1
