Run Name,Run 1
Run Date,12:56:17 PM   03-01-16
Method Name,33% Isocratic
Export Format Version, 1.00
Method ID, 2873
Points/Second, 5.00
Number of Records,   5517
Offset from Run Start Time,00:00:00
Run End Time,00:18:23
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,-0.000033, 33,  88.005,   69,     0.0
     0.2,-0.000033, 33,  88.003,   68,     0.0
     0.4,-0.000033, 33,  87.999,   68,     0.0
     0.6,-0.000037, 33,  87.996,   68,     0.0
     0.8,-0.000045, 33,  87.994,   67,     0.0
     1.0,-0.000042, 33,  87.992,   68,     0.0
     1.2,-0.000322, 33,  87.988,   69,     0.0
     1.4,-0.003138, 33,  87.975,   69,     0.0
     1.6,-0.002673, 33,  87.975,   69,     0.1
     1.8,-0.001783, 33,  87.975,   69,     0.1
     2.0,0.000000, 33,  87.972,   68,     0.1
     2.2,0.000000, 33,  87.971,   68,     0.1
     2.4,0.000000, 33,  87.965,   68,     0.1
     2.6,0.000000, 33,  87.960,   67,     0.1
     2.8,0.000000, 33,  87.963,   67,     0.1
     3.0,0.000000, 33,  87.956,   67,     0.1
     3.2,0.000000, 33,  87.952,   66,     0.1
     3.4,0.000000, 33,  87.953,   67,     0.1
     3.6,0.000000, 33,  87.950,   69,     0.1
     3.8,0.000000, 33,  87.946,   67,     0.1
     4.0,0.000000, 33,  87.945,   66,     0.1
     4.2,0.000000, 33,  87.947,   67,     0.1
     4.4,0.000000, 33,  87.947,   67,     0.1
     4.6,0.000000, 33,  87.946,   68,     0.2
     4.8,0.000000, 33,  87.953,   69,     0.2
     5.0,0.000000, 33,  87.941,   68,     0.2
     5.2,0.000000, 33,  87.896,   68,     0.2
     5.4,0.000000, 33,  87.902,   68,     0.2
     5.6,-0.000043, 33,  87.904,   68,     0.2
     5.8,-0.000078, 33,  87.915,   68,     0.2
     6.0,-0.000089, 33,  87.916,   67,     0.2
     6.2,-0.000097, 33,  87.920,   67,     0.2
     6.4,-0.000085, 33,  87.921,   67,     0.2
     6.6,-0.000071, 33,  87.932,   68,     0.2
     6.8,-0.000072, 33,  87.941,   68,     0.2
     7.0,-0.000063, 33,  87.950,   68,     0.2
     7.2,-0.000063, 33,  87.961,   68,     0.2
     7.4,-0.000072, 33,  88.024,   67,     0.2
     7.6,-0.000067, 33,  88.030,   66,     0.3
     7.8,-0.000071, 33,  88.050,   68,     0.3
     8.0,-0.000079, 33,  88.063,   69,     0.3
     8.2,-0.000071, 33,  88.074,   68,     0.3
     8.4,-0.000071, 33,  88.090,   67,     0.3
     8.6,-0.000083, 33,  88.110,   67,     0.3
     8.8,-0.000078, 33,  88.140,   68,     0.3
     9.0,-0.000085, 33,  88.159,   67,     0.3
     9.2,-0.000090, 33,  88.177,   66,     0.3
     9.4,-0.000082, 33,  88.193,   67,     0.3
     9.6,-0.000078, 33,  88.208,   68,     0.3
     9.8,-0.000074, 33,  88.236,   67,     0.3
    10.0,-0.000075, 33,  88.261,   67,     0.3
    10.2,-0.000079, 33,  88.277,   68,     0.3
    10.4,-0.000075, 33,  88.293,   68,     0.3
    10.6,-0.000068, 33,  88.317,   68,     0.4
    10.8,-0.000064, 33,  88.344,   67,     0.4
    11.0,-0.000061, 33,  88.366,   67,     0.4
    11.2,-0.000066, 33,  88.379,   66,     0.4
    11.4,-0.000066, 33,  88.402,   67,     0.4
    11.6,-0.000057, 33,  88.472,   67,     0.4
    11.8,-0.000066, 33,  88.497,   67,     0.4
    12.0,-0.000057, 33,  88.520,   67,     0.4
    12.2,-0.000052, 33,  88.534,   67,     0.4
    12.4,-0.000053, 33,  88.552,   67,     0.4
    12.6,-0.000045, 33,  88.569,   67,     0.4
    12.8,-0.000045, 33,  88.594,   67,     0.4
    13.0,-0.000046, 33,  88.615,   67,     0.4
    13.2,-0.000042, 33,  88.633,   67,     0.4
    13.4,-0.000039, 33,  88.647,   67,     0.4
    13.6,-0.000044, 33,  88.665,   67,     0.5
    13.8,-0.000044, 33,  88.681,   67,     0.5
    14.0,-0.000035, 33,  88.699,   67,     0.5
    14.2,-0.000040, 33,  88.713,   68,     0.5
    14.4,-0.000040, 33,  88.726,   68,     0.5
    14.6,-0.000035, 33,  88.743,   68,     0.5
    14.8,-0.000040, 33,  88.755,   67,     0.5
