Run Name,Run 1
Run Date,02:10:34 PM   03-08-16
Method Name,Gradient.6
Export Format Version, 1.00
Method ID, 3122
Points/Second, 5.00
Number of Records,  25425
Offset from Run Start Time,00:00:00
Run End Time,01:24:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000774,0.000000,  0,0.012014,0.000827,  87.654,   42,     0.0
     0.2,-0.000030,0.000000,  0,0.012014,0.000841,  87.650,   42,     0.0
     0.4,-0.001322,0.000000,  0,0.012014,0.000802,  87.648,   41,     0.0
     0.6,-0.001048,0.000000,  0,0.012014,0.000827,  87.642,   42,     0.0
     0.8,0.000000,0.000000,  0,0.000000,0.000852,  87.640,   43,     0.0
     1.0,0.000000,0.000000,  0,0.000000,0.000849,  87.632,   43,     0.0
     1.2,0.000000,0.000000,  0,0.000000,0.000000,  87.634,   43,     0.0
     1.4,0.000000,0.000000,  0,0.000000,0.000000,  87.628,   44,     0.0
     1.6,0.000000,0.000000,  0,0.000000,0.000000,  87.626,   44,     0.0
     1.8,0.000000,0.000000,  0,0.000000,0.000000,  87.626,   44,     0.0
     2.0,0.000000,0.000000,  0,0.000000,0.000000,  87.622,   43,     0.0
     2.2,0.000000,0.000000,  0,0.000000,0.000000,  87.623,   43,     0.0
     2.4,0.000000,0.000000,  0,0.000000,0.000000,  87.622,   42,     0.0
     2.6,0.000000,0.000000,  0,0.000000,0.000000,  87.624,   42,     0.0
     2.8,0.000000,0.000000,  0,0.000000,0.000000,  87.621,   42,     0.0
     3.0,0.000000,0.000000,  0,0.000000,0.000000,  87.620,   42,     0.1
     3.2,0.000000,0.000000,  0,0.000000,0.000000,  87.625,   42,     0.1
     3.4,0.000000,0.000000,  0,0.000000,0.000000,  87.619,   43,     0.1
     3.6,0.000000,0.000000,  0,0.000000,0.000000,  87.617,   43,     0.1
     3.8,0.000000,0.000000,  0,0.000000,0.000000,  87.630,   43,     0.1
     4.0,0.000000,0.000000,  0,0.000000,0.000000,  87.631,   43,     0.1
     4.2,0.000000,0.000000,  0,0.000000,0.000000,  87.623,   43,     0.1
     4.4,0.000025,0.000000,  0,0.000000,0.000000,  87.619,   42,     0.1
     4.6,0.000050,0.000120,  0,0.000602,0.000000,  87.620,   41,     0.1
     4.8,0.000072,0.000125,  0,0.000632,0.000000,  87.614,   41,     0.1
     5.0,0.000082,0.000124,  0,0.000661,0.000000,  87.614,   41,     0.1
     5.2,0.000089,0.000142,  0,0.000671,0.000000,  87.607,   42,     0.1
     5.4,0.000089,0.000152,  0,0.000680,0.000000,  87.608,   42,     0.1
     5.6,0.000100,0.000170,  0,0.000670,0.000070,  87.609,   42,     0.1
     5.8,0.000115,0.000186,  0,0.000679,0.000059,  87.607,   42,     0.1
     6.0,0.000138,0.000201,  0,0.000758,0.000112,  87.609,   43,     0.1
     6.2,0.000153,0.000200,  0,0.000867,0.000126,  87.607,   43,     0.1
     6.4,0.000156,0.000209,  0,0.001005,0.000154,  87.603,   43,     0.1
     6.6,0.000179,0.000215,  0,0.001104,0.000129,  87.598,   43,     0.1
     6.8,0.000193,0.000220,  0,0.001183,0.000143,  87.601,   43,     0.1
