Run Name,Run 1
Run Date,03:38:48 PM   02-09-16
Method Name,12% isocratic.1
Export Format Version, 1.00
Method ID, 2957
Points/Second, 5.00
Number of Records,   7800
Offset from Run Start Time,00:00:00
Run End Time,00:26:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.001200,-0.000609,0.003821,-0.000255,  86.612
     0.2,-0.001205,-0.000613,0.003774,-0.000280,  86.595
     0.4,-0.001200,-0.000609,0.003745,-0.000255,  86.586
     0.6,-0.001200,-0.000603,0.003745,-0.000255,  86.562
     0.8,-0.001205,-0.000605,0.003697,-0.000280,  86.558
     1.0,-0.001200,-0.000601,0.003650,-0.000255,  86.557
     1.2,-0.001183,-0.000600,0.003592,-0.000255,  86.545
     1.4,-0.001072,-0.000594,0.003573,-0.000280,  86.525
     1.6,-0.005192,-0.000595,0.003592,-0.000255,  86.513
     1.8,-0.004575,-0.000605,0.003621,-0.000255,  86.507
     2.0,0.000000,-0.000605,0.003554,-0.000280,  86.493
     2.2,0.000000,-0.000598,0.003468,-0.000255,  86.477
     2.4,0.000000,0.000000,0.000000,-0.000255,  86.469
     2.6,0.000000,0.000000,0.000000,-0.000280,  86.453
     2.8,0.000000,0.000000,0.000000,-0.000241,  86.402
     3.0,0.000000,0.000000,0.000000,-0.000241,  86.384
     3.2,0.000000,0.000000,0.000000,-0.000266,  86.367
     3.4,0.000000,0.000000,0.000000,-0.000227,  86.359
     3.6,0.000000,0.000000,0.000000,0.000000,  86.343
     3.8,0.000000,0.000000,0.000000,0.000000,  86.331
     4.0,0.000000,0.000000,0.000000,0.000000,  86.319
     4.2,0.000000,0.000000,0.000000,0.000000,  86.313
     4.4,0.000000,0.000000,0.000000,0.000000,  86.307
     4.6,0.000000,0.000000,0.000000,0.000000,  86.302
     4.8,0.000000,0.000000,0.000000,0.000000,  86.291
     5.0,0.000000,0.000000,0.000000,0.000000,  86.285
     5.2,0.000000,0.000000,0.000000,0.000000,  86.282
     5.4,-0.000008,0.000000,0.000000,0.000000,  86.278
     5.6,-0.000005,0.000000,0.000000,0.000000,  86.269
     5.8,-0.000010,0.000000,0.000000,0.000000,  86.268
     6.0,-0.000013,0.000000,0.000000,0.000000,  86.270
     6.2,-0.000010,0.000000,0.000000,0.000000,  86.275
     6.4,-0.000006,0.000000,-0.000176,0.000000,  86.270
     6.6,-0.000006,0.000010,0.000232,0.000000,  86.280
     6.8,-0.000010,-0.000001,0.000482,0.000000,  86.286
     7.0,-0.000014,-0.000013,0.000565,0.000000,  86.290
     7.2,-0.000006,-0.000012,0.000510,0.000000,  86.296
     7.4,-0.000006,-0.000010,0.000306,0.000000,  86.304
     7.6,-0.000011,-0.000008,-0.000056,-0.000025,  86.303
     7.8,-0.000002,-0.000009,-0.000213,0.000003,  86.321
     8.0,-0.000002,-0.000008,-0.000352,-0.000050,  86.318
     8.2,-0.000007,-0.000007,-0.000491,-0.000074,  86.334
     8.4,-0.000002,-0.000008,-0.000611,-0.000127,  86.357
     8.6,-0.000006,-0.000005,-0.000741,-0.000050,  86.371
     8.8,-0.000011,-0.000001,-0.000879,-0.000036,  86.374
     9.0,-0.000006,0.000002,-0.000972,-0.000074,  86.399
     9.2,-0.000006,-0.000001,-0.001064,-0.000074,  86.411
     9.4,-0.000011,-0.000010,-0.001147,-0.000060,  86.433
     9.6,-0.000006,-0.000022,-0.001240,-0.000060,  86.452
     9.8,-0.000006,-0.000022,-0.001350,-0.000074,  86.462
    10.0,-0.000011,-0.000022,-0.001452,-0.000060,  86.485
    10.2,-0.000002,-0.000003,-0.001526,-0.000060,  86.500
    10.4,0.000001,-0.000000,-0.001553,-0.000074,  86.517
    10.6,-0.000007,0.000006,-0.001600,-0.000074,  86.543
    10.8,-0.000007,0.000003,-0.001609,-0.000074,  86.600
    11.0,-0.000007,-0.000003,-0.001683,-0.000074,  86.615
    11.2,-0.000012,0.000007,-0.001775,-0.000074,  86.637
    11.4,-0.000008,0.000008,-0.001858,-0.000060,  86.664
    11.6,-0.000005,0.000001,-0.001913,-0.000060,  86.687
    11.8,-0.000006,0.000004,-0.001950,-0.000060,  86.700
    12.0,0.000006,0.000004,-0.002005,-0.000046,  86.720
    12.2,0.000006,0.000007,-0.002061,-0.000046,  86.742
    12.4,0.000001,0.000016,-0.002116,-0.000046,  86.768
    12.6,0.000013,0.000038,-0.002190,-0.000033,  86.787
    12.8,0.000017,0.000041,-0.002217,-0.000033,  86.799
    13.0,0.000012,0.000043,-0.002236,-0.000046,  86.815
    13.2,0.000021,0.000039,-0.002273,-0.000046,  86.839
    13.4,0.000021,0.000039,-0.002291,-0.000033,  86.859
    13.6,0.000016,0.000037,-0.002310,-0.000033,  86.874
    13.8,0.000028,0.000043,-0.002337,-0.000033,  86.886
    14.0,0.000028,0.000042,-0.002347,-0.000057,  86.907
    14.2,0.000023,0.000038,-0.002374,-0.000057,  86.919
    14.4,0.000035,0.000043,-0.002383,-0.000082,  86.937
    14.6,0.000039,0.000049,-0.002429,-0.000082,  86.999
    14.8,0.000037,0.000052,-0.002494,-0.000068,  87.007
    15.0,0.000049,0.000058,-0.002567,-0.000093,  87.023
    15.2,0.000061,0.000071,-0.002577,-0.000068,  87.039
    15.4,0.000065,0.000077,-0.002568,-0.000068,  87.056
    15.6,0.000065,0.000085,-0.002512,-0.000068,  87.076
    15.8,0.000060,0.000087,-0.002522,-0.000068,  87.085
    16.0,0.000065,0.000084,-0.002540,-0.000043,  87.094
    16.2,0.000069,0.000087,-0.002577,-0.000043,  87.107
    16.4,0.000072,0.000087,-0.002604,-0.000068,  87.124
    16.6,0.000080,0.000081,-0.002650,-0.000043,  87.133
    16.8,0.000075,0.000084,-0.002715,-0.000030,  87.140
    17.0,0.000075,0.000090,-0.002696,-0.000068,  87.156
    17.2,0.000080,0.000087,-0.002696,-0.000030,  87.156
    17.4,0.000075,0.000087,-0.002696,-0.000016,  87.170
    17.6,0.000078,0.000096,-0.002669,-0.000054,  87.177
    17.8,0.000090,0.000092,-0.002641,-0.000016,  87.190
    18.0,0.000082,0.000094,-0.002614,-0.000002,  87.196
    18.2,0.000082,0.000108,-0.002632,-0.000040,  87.205
    18.4,0.000090,0.000111,-0.002697,-0.000016,  87.214
    18.6,0.000089,0.000105,-0.002752,-0.000002,  87.220
    18.8,0.000096,0.000109,-0.002761,-0.000040,  87.225
    19.0,0.000112,0.000118,-0.002788,-0.000016,  87.230
    19.2,0.000111,0.000124,-0.002816,-0.000002,  87.232
    19.4,0.000111,0.000123,-0.002844,-0.000040,  87.235
    19.6,0.000112,0.000126,-0.002871,-0.000002,  87.237
    19.8,0.000107,0.000126,-0.002917,-0.000027,  87.244
    20.0,0.000111,0.000126,-0.002926,-0.000040,  87.247
    20.2,0.000111,0.000126,-0.002917,-0.000040,  87.247
    20.4,0.000106,0.000125,-0.002890,-0.000040,  87.250
    20.6,0.000106,0.000131,-0.002834,-0.000065,  87.256
    20.8,0.000102,0.000130,-0.002871,-0.000040,  87.258
    21.0,0.000096,0.000127,-0.002908,-0.000027,  87.257
    21.2,0.000100,0.000134,-0.002954,-0.000013,  87.261
    21.4,0.000107,0.000143,-0.002990,-0.000013,  87.255
    21.6,0.000111,0.000145,-0.002990,-0.000027,  87.257
    21.8,0.000111,0.000150,-0.002990,-0.000051,  87.259
    22.0,0.000121,0.000157,-0.002908,-0.000013,  87.262
    22.2,0.000124,0.000154,-0.002752,-0.000027,  87.257
    22.4,0.000124,0.000152,-0.002559,-0.000051,  87.255
    22.6,0.000124,0.000151,-0.002513,-0.000051,  87.258
    22.8,0.000119,0.000151,-0.002522,-0.000051,  87.256
    23.0,0.000116,0.000152,-0.002614,-0.000090,  87.257
    23.2,0.000124,0.000151,-0.002632,-0.000090,  87.254
    23.4,0.000119,0.000149,-0.002660,-0.000051,  87.255
    23.6,0.000119,0.000149,-0.002687,-0.000090,  87.252
    23.8,0.000128,0.000151,-0.002696,-0.000051,  87.255
    24.0,0.000123,0.000152,-0.002715,-0.000013,  87.253
    24.2,0.000123,0.000153,-0.002752,-0.000051,  87.256
    24.4,0.000128,0.000158,-0.002761,-0.000013,  87.248
    24.6,0.000123,0.000158,-0.002807,-0.000027,  87.248
    24.8,0.000123,0.000159,-0.002844,-0.000051,  87.251
    25.0,0.000131,0.000166,-0.002853,-0.000013,  87.249
    25.2,0.000135,0.000169,-0.002825,-0.000027,  87.247
    25.4,0.000127,0.000170,-0.002807,-0.000051,  87.242
    25.6,0.000134,0.000167,-0.002816,-0.000013,  87.243
    25.8,0.000142,0.000158,-0.002825,-0.000027,  87.242
