Run Name,Run 1
Run Date,02:06:15 PM   02-09-16
Method Name,26% isocratic
Export Format Version, 1.00
Method ID, 2818
Points/Second, 5.00
Number of Records,   8370
Offset from Run Start Time,00:00:00
Run End Time,00:27:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.003100,0.000000,0.008373,-0.000252,  86.696
     0.2,-0.005378,0.000000,0.008364,-0.000252,  86.687
     0.4,-0.004760,0.000000,0.008383,-0.000291,  86.668
     0.6,-0.003419,0.000000,0.008373,-0.000252,  86.653
     0.8,0.000000,0.000000,0.008420,-0.000252,  86.606
     1.0,0.000000,0.000000,0.008525,-0.000252,  86.594
     1.2,0.000000,0.000000,0.008233,-0.000291,  86.579
     1.4,0.000000,0.000000,0.008233,-0.000252,  86.572
     1.6,0.000000,0.000000,0.008233,-0.000238,  86.554
     1.8,0.000000,0.000000,0.008233,-0.000238,  86.551
     2.0,0.000000,0.000000,0.000000,-0.000199,  86.532
     2.2,0.000000,0.000000,0.000000,-0.004099,  86.517
     2.4,0.000000,0.000000,0.000000,0.000000,  86.514
     2.6,0.000000,0.000000,0.000000,0.000000,  86.494
     2.8,0.000000,0.000000,0.000000,0.000000,  86.483
     3.0,0.000000,0.000000,0.000000,0.000000,  86.475
     3.2,0.000000,0.000000,0.000000,0.000000,  86.467
     3.4,0.000000,0.000000,0.000000,0.000000,  86.452
     3.6,0.000000,0.000000,0.000000,0.000000,  86.438
     3.8,0.000000,0.000000,0.000000,0.000000,  86.436
     4.0,0.000000,0.000000,0.000000,0.000000,  86.424
     4.2,0.000000,0.000000,0.000000,0.000000,  86.407
     4.4,0.000011,0.000000,0.000000,0.000000,  86.401
     4.6,0.000022,-0.000001,0.000000,0.000000,  86.399
     4.8,0.000034,0.000005,0.000000,0.000000,  86.385
     5.0,0.000032,0.000011,0.000000,0.000000,  86.373
     5.2,0.000029,0.000013,0.000000,0.000000,  86.361
     5.4,0.000013,0.000019,0.000000,0.000000,  86.354
     5.6,0.000008,0.000022,0.000000,0.000000,  86.346
     5.8,0.000017,0.000022,-0.000572,0.000000,  86.337
     6.0,0.000013,0.000021,-0.000498,0.000000,  86.333
     6.2,0.000008,0.000027,-0.000452,0.000000,  86.320
     6.4,0.000012,0.000026,-0.000434,0.000000,  86.323
     6.6,0.000016,0.000023,-0.000425,0.000000,  86.308
     6.8,0.000011,0.000016,-0.000462,-0.000025,  86.312
     7.0,0.000015,0.000027,-0.000508,-0.000011,  86.309
     7.2,0.000023,0.000038,-0.000517,0.000017,  86.302
     7.4,0.000018,0.000041,-0.000517,0.000003,  86.269
     7.6,0.000018,0.000041,-0.000526,0.000017,  86.271
     7.8,0.000019,0.000042,-0.000554,-0.000022,  86.271
     8.0,0.000011,0.000039,-0.000591,-0.000008,  86.272
     8.2,0.000015,0.000033,-0.000646,0.000006,  86.277
     8.4,0.000023,0.000039,-0.000702,-0.000033,  86.291
     8.6,0.000018,0.000042,-0.000776,0.000006,  86.299
     8.8,0.000022,0.000042,-0.000859,0.000020,  86.301
     9.0,0.000034,0.000045,-0.000933,-0.000019,  86.306
     9.2,0.000029,0.000054,-0.000969,0.000006,  86.320
     9.4,0.000029,0.000053,-0.001043,0.000006,  86.375
     9.6,0.000041,0.000059,-0.001052,-0.000033,  86.394
     9.8,0.000045,0.000064,-0.001071,0.000006,  86.404
    10.0,0.000040,0.000061,-0.001053,0.000006,  86.420
    10.2,0.000052,0.000064,-0.001071,-0.000019,  86.428
    10.4,0.000052,0.000067,-0.001126,0.000020,  86.457
    10.6,0.000047,0.000069,-0.001191,0.000020,  86.485
    10.8,0.000063,0.000075,-0.001228,-0.000005,  86.491
    11.0,0.000066,0.000078,-0.001274,0.000020,  86.511
    11.2,0.000061,0.000084,-0.001338,0.000020,  86.533
    11.4,0.000058,0.000085,-0.001357,-0.000005,  86.561
    11.6,0.000066,0.000084,-0.001393,0.000020,  86.580
    11.8,0.000061,0.000093,-0.001430,0.000020,  86.597
    12.0,0.000061,0.000095,-0.001476,-0.000005,  86.617
    12.2,0.000073,0.000094,-0.001550,0.000020,  86.642
    12.4,0.000072,0.000103,-0.001642,0.000020,  86.668
    12.6,0.000072,0.000103,-0.001660,-0.000005,  86.696
    12.8,0.000084,0.000103,-0.001670,0.000020,  86.709
    13.0,0.000080,0.000112,-0.001651,0.000020,  86.735
    13.2,0.000083,0.000115,-0.001651,-0.000005,  86.798
    13.4,0.000080,0.000114,-0.001651,0.000020,  86.831
    13.6,0.000075,0.000116,-0.001651,0.000020,  86.854
    13.8,0.000082,0.000109,-0.001707,-0.000005,  86.870
    14.0,0.000086,0.000112,-0.001799,0.000034,  86.890
    14.2,0.000089,0.000118,-0.001900,0.000034,  86.912
    14.4,0.000089,0.000122,-0.001927,0.000009,  86.940
    14.6,0.000094,0.000121,-0.001891,0.000048,  86.967
    14.8,0.000106,0.000124,-0.001845,0.000048,  86.986
    15.0,0.000102,0.000124,-0.001725,0.000048,  87.009
    15.2,0.000090,0.000120,-0.001716,0.000009,  87.031
    15.4,0.000094,0.000130,-0.001735,0.000048,  87.050
    15.6,0.000090,0.000136,-0.001753,0.000062,  87.081
    15.8,0.000090,0.000139,-0.001790,0.000062,  87.094
    16.0,0.000094,0.000142,-0.001845,0.000062,  87.119
    16.2,0.000094,0.000136,-0.001928,0.000076,  87.174
    16.4,0.000098,0.000136,-0.001928,0.000023,  87.198
    16.6,0.000096,0.000139,-0.001900,0.000062,  87.222
    16.8,0.000096,0.000145,-0.001826,0.000076,  87.234
    17.0,0.000100,0.000148,-0.001808,0.000037,  87.254
    17.2,0.000095,0.000145,-0.001845,0.000076,  87.264
    17.4,0.000099,0.000151,-0.001845,0.000089,  87.280
    17.6,0.000107,0.000151,-0.001872,0.000051,  87.298
    17.8,0.000111,0.000147,-0.001937,0.000076,  87.308
