Run Name,New Run
Run Date,12:21:11 PM   02-09-16
Method Name,50% Isocratic
Export Format Version, 1.00
Method ID, 2919
Points/Second, 5.00
Number of Records,   4483
Offset from Run Start Time,00:00:00
Run End Time,00:15:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  86.573
     0.2,0.000000,0.000000,0.000000,0.000000,  86.559
     0.4,0.000000,0.000000,0.000000,0.000000,  86.554
     0.6,0.000000,0.000000,0.000000,0.000000,  86.539
     0.8,0.000000,0.000000,0.000000,0.000000,  86.525
     1.0,0.000000,0.000000,0.000000,0.000000,  86.511
     1.2,0.000000,0.000000,0.000000,0.000000,  86.506
     1.4,0.000000,0.000000,0.000000,0.000000,  86.495
     1.6,0.000000,0.000000,0.000000,0.000000,  86.484
     1.8,0.000000,0.000000,0.000000,0.000000,  86.475
     2.0,0.000000,0.000000,0.000000,0.000000,  86.458
     2.2,0.000000,0.000000,0.000000,0.000000,  86.461
     2.4,0.000000,0.000000,0.000000,0.000000,  86.450
     2.6,0.000000,0.000000,0.000000,0.000000,  86.433
     2.8,0.000000,0.000000,0.000000,0.000000,  86.426
     3.0,0.000000,0.000000,0.000000,0.000028,  86.414
     3.2,0.000000,0.000000,0.000000,-0.000011,  86.397
     3.4,0.000000,0.000000,0.000000,-0.000011,  86.395
     3.6,0.000014,0.000017,0.000000,-0.000011,  86.388
     3.8,0.000025,0.000013,-0.000118,-0.000011,  86.385
     4.0,0.000037,0.000006,-0.000118,-0.000036,  86.377
     4.2,0.000032,0.000009,-0.000136,0.000003,  86.370
     4.4,0.000024,0.000008,-0.000155,0.000003,  86.373
     4.6,0.000013,0.000008,-0.000155,-0.000022,  86.358
     4.8,0.000005,-0.000005,-0.000155,0.000003,  86.361
     5.0,0.000008,-0.000003,-0.000182,0.000003,  86.353
     5.2,0.000013,-0.000003,-0.000201,-0.000022,  86.347
     5.4,0.000001,-0.000004,-0.000246,0.000003,  86.347
     5.6,0.000001,-0.000001,-0.000292,0.000003,  86.348
     5.8,-0.000002,0.000005,-0.000355,-0.000022,  86.352
     6.0,-0.000011,0.000005,-0.000455,0.000003,  86.349
     6.2,0.000001,0.000003,-0.000564,-0.000036,  86.350
     6.4,0.000005,0.000009,-0.000628,-0.000022,  86.350
     6.6,0.000004,0.000017,-0.000692,-0.000036,  86.354
     6.8,0.000019,0.000016,-0.000783,-0.000074,  86.352
     7.0,0.000023,0.000022,-0.000783,-0.000060,  86.363
     7.2,0.000018,0.000015,-0.000738,-0.000060,  86.358
     7.4,0.000026,0.000018,-0.000702,-0.000099,  86.372
     7.6,0.000030,0.000020,-0.000738,-0.000099,  86.377
     7.8,0.000025,0.000026,-0.000783,-0.000060,  86.381
     8.0,0.000037,0.000037,-0.000892,-0.000099,  86.389
     8.2,0.000041,0.000046,-0.000901,-0.000099,  86.400
     8.4,0.000036,0.000048,-0.000901,-0.000060,  86.411
     8.6,0.000045,0.000055,-0.000874,-0.000099,  86.424
     8.8,0.000041,0.000053,-0.000838,-0.000099,  86.439
     9.0,0.000036,0.000058,-0.000765,-0.000060,  86.443
     9.2,0.000040,0.000059,-0.000693,-0.000099,  86.457
     9.4,0.000047,0.000062,-0.000693,-0.000099,  86.473
     9.6,0.000047,0.000063,-0.000730,-0.000060,  86.486
     9.8,0.000051,0.000067,-0.000820,-0.000085,  86.500
    10.0,0.000047,0.000067,-0.000848,-0.000085,  86.515
    10.2,0.000052,0.000070,-0.000848,-0.000033,  86.531
    10.4,0.000047,0.000067,-0.000866,-0.000057,  86.550
    10.6,0.000047,0.000058,-0.000948,-0.000057,  86.562
    10.8,0.000051,0.000058,-0.001065,-0.000044,  86.578
    11.0,0.000041,0.000062,-0.001237,-0.000068,  86.591
    11.2,0.000041,0.000053,-0.001292,-0.000044,  86.601
    11.4,0.000041,0.000051,-0.001283,-0.000019,  86.621
    11.6,0.000036,0.000055,-0.001255,-0.000019,  86.636
    11.8,0.000036,0.000052,-0.001274,-0.000019,  86.648
    12.0,0.000041,0.000054,-0.001319,-0.000005,  86.661
    12.2,0.000045,0.000059,-0.001373,-0.000019,  86.676
    12.4,0.000048,0.000064,-0.001346,-0.000005,  86.694
    12.6,0.000055,0.000066,-0.001328,-0.000005,  86.708
    12.8,0.000059,0.000068,-0.001247,-0.000019,  86.722
    13.0,0.000059,0.000071,-0.001283,-0.000044,  86.735
    13.2,0.000059,0.000071,-0.001310,-0.000044,  86.749
    13.4,0.000063,0.000072,-0.001391,-0.000019,  86.800
    13.6,0.000066,0.000068,-0.001491,-0.000044,  86.816
    13.8,0.000066,0.000081,-0.001482,-0.000044,  86.826
    14.0,0.000082,0.000091,-0.001437,-0.000019,  86.838
    14.2,0.000082,0.000093,-0.001346,-0.000044,  86.845
    14.4,0.000082,0.000103,-0.001292,-0.000044,  86.859
    14.6,0.000094,0.000113,-0.001283,-0.000005,  86.864
    14.8,0.000098,0.000119,-0.001256,-0.000030,  86.878
    15.0,0.000094,0.000112,-0.001229,-0.000005,  86.885
    15.2,0.000089,0.000111,-0.001210,0.000020,  86.897
    15.4,0.000096,0.000108,-0.001220,-0.000005,  86.907
    15.6,0.000100,0.000117,-0.001238,0.000034,  86.916
    15.8,0.000104,0.000108,-0.001283,0.000034,  86.930
    16.0,0.000104,0.000120,-0.001365,0.000009,  86.931
    16.2,0.000100,0.000126,-0.001374,0.000048,  86.942
    16.4,0.000107,0.000126,-0.001374,0.000062,  86.948
    16.6,0.000114,0.000126,-0.001356,0.000023,  86.953
    16.8,0.000126,0.000129,-0.001329,0.000062,  86.956
    17.0,0.000122,0.000135,-0.001311,0.000062,  86.962
    17.2,0.000134,0.000144,-0.001265,0.000037,  86.965
    17.4,0.000138,0.000150,-0.001238,0.000051,  86.976
    17.6,0.000130,0.000152,-0.001220,0.000051,  86.981
    17.8,0.000142,0.000163,-0.001202,0.000026,  86.985
    18.0,0.000142,0.000167,-0.001211,0.000026,  86.991
    18.2,0.000137,0.000165,-0.001211,0.000037,  86.993
    18.4,0.000146,0.000169,-0.001211,-0.000002,  86.993
    18.6,0.000154,0.000172,-0.001184,0.000037,  86.996
    18.8,0.000162,0.000175,-0.001157,0.000075,  87.001
    19.0,0.000161,0.000183,-0.001102,0.000037,  87.001
    19.2,0.000161,0.000183,-0.001066,0.000075,  87.001
    19.4,0.000165,0.000186,-0.001093,0.000075,  86.995
    19.6,0.000165,0.000192,-0.001120,0.000037,  86.991
    19.8,0.000165,0.000194,-0.001083,0.000075,  86.995
    20.0,0.000177,0.000196,-0.001056,0.000075,  86.991
    20.2,0.000172,0.000208,-0.001011,0.000037,  86.993
    20.4,0.000181,0.000205,-0.001047,0.000051,  86.995
    20.6,0.000181,0.000200,-0.001138,0.000051,  86.996
    20.8,0.000176,0.000199,-0.001264,0.000051,  86.992
    21.0,0.000184,0.000195,-0.001319,0.000051,  86.990
    21.2,0.000181,0.000201,-0.001355,0.000075,  86.989
    21.4,0.000172,0.000207,-0.001381,0.000075,  86.985
    21.6,0.000181,0.000203,-0.001372,0.000075,  86.978
    21.8,0.000181,0.000209,-0.001309,0.000075,  86.981
    22.0,0.000172,0.000200,-0.001237,0.000075,  86.976
    22.2,0.000181,0.000193,-0.001209,0.000023,  86.976
    22.4,0.000181,0.000200,-0.001164,0.000062,  86.971
    22.6,0.000172,0.000194,-0.001164,0.000062,  86.970
    22.8,0.000181,0.000191,-0.001155,0.000023,  86.966
    23.0,0.000181,0.000193,-0.001137,0.000062,  86.970
    23.2,0.000172,0.000190,-0.001110,0.000075,  86.966
    23.4,0.000172,0.000189,-0.001056,0.000051,  86.965
    23.6,0.000172,0.000192,-0.001101,0.000089,  86.966
    23.8,0.000164,0.000198,-0.001191,0.000075,  86.964
    24.0,0.000164,0.000198,-0.001354,0.000037,  86.964
    24.2,0.000172,0.000195,-0.001363,0.000075,  86.967
    24.4,0.000164,0.000196,-0.001309,0.000075,  86.956
    24.6,0.000164,0.000190,-0.001237,0.000037,  86.951
    24.8,0.000172,0.000193,-0.001209,0.000051,  86.959
    25.0,0.000164,0.000185,-0.001192,0.000051,  86.951
    25.2,0.000164,0.000189,-0.001173,0.000012,  86.948
    25.4,0.000172,0.000192,-0.001137,0.000026,  86.947
    25.6,0.000164,0.000198,-0.001146,0.000065,  86.945
    25.8,0.000171,0.000206,-0.001137,0.000026,  86.943
    26.0,0.000183,0.000200,-0.001128,0.000026,  86.942
    26.2,0.000175,0.000203,-0.001110,0.000065,  86.940
    26.4,0.000175,0.000201,-0.001128,0.000026,  86.934
    26.6,0.000179,0.000200,-0.001137,0.000026,  86.933
    26.8,0.000171,0.000203,-0.001101,0.000051,  86.930
    27.0,0.000171,0.000204,-0.001110,0.000012,  86.924
    27.2,0.000179,0.000210,-0.001120,0.000026,  86.931
    27.4,0.000171,0.000208,-0.001101,0.000051,  86.929
    27.6,0.000179,0.000210,-0.001129,0.000012,  86.920
    27.8,0.000188,0.000201,-0.001120,0.000040,  86.923
    28.0,0.000188,0.000204,-0.001093,0.000040,  86.916
    28.2,0.000191,0.000210,-0.001075,0.000001,  86.919
    28.4,0.000200,0.000206,-0.001075,0.000040,  86.911
    28.6,0.000200,0.000215,-0.001102,0.000065,  86.904
    28.8,0.000203,0.000221,-0.001128,0.000026,  86.908
    29.0,0.000195,0.000221,-0.001156,0.000040,  86.903
    29.2,0.000203,0.000220,-0.001201,0.000040,  86.899
    29.4,0.000207,0.000216,-0.001264,0.000001,  86.898
    29.6,0.000207,0.000216,-0.001274,0.000040,  86.894
    29.8,0.000207,0.000221,-0.001274,0.000051,  86.892
    30.0,0.000211,0.000226,-0.001237,0.000051,  86.895
    30.2,0.000202,0.000226,-0.001192,0.000051,  86.892
    30.4,0.000211,0.000226,-0.001147,0.000051,  86.887
    30.6,0.000214,0.000230,-0.001083,0.000051,  86.888
    30.8,0.000202,0.000235,-0.001056,0.000051,  86.886
    31.0,0.000211,0.000240,-0.001056,0.000051,  86.881
    31.2,0.000214,0.000235,-0.001083,0.000051,  86.875
    31.4,0.000211,0.000234,-0.001074,0.000012,  86.873
    31.6,0.000215,0.000231,-0.001092,0.000026,  86.869
    31.8,0.000219,0.000236,-0.001101,0.000065,  86.872
    32.0,0.000219,0.000238,-0.001110,0.000026,  86.870
    32.2,0.000219,0.000235,-0.001137,0.000040,  86.863
    32.4,0.000223,0.000247,-0.001164,0.000040,  86.861
    32.6,0.000223,0.000247,-0.001210,0.000001,  86.858
    32.8,0.000235,0.000247,-0.001210,0.000040,  86.861
    33.0,0.000235,0.000257,-0.001182,0.000065,  86.849
    33.2,0.000226,0.000259,-0.001155,0.000026,  86.851
    33.4,0.000235,0.000256,-0.001155,0.000065,  86.854
    33.6,0.000235,0.000265,-0.001192,0.000103,  86.853
    33.8,0.000235,0.000271,-0.001209,0.000065,  86.851
    34.0,0.000239,0.000261,-0.001227,0.000103,  86.848
    34.2,0.000243,0.000267,-0.001300,0.000103,  86.846
    34.4,0.000243,0.000267,-0.001372,0.000065,  86.844
    34.6,0.000243,0.000257,-0.001399,0.000103,  86.840
    34.8,0.000243,0.000258,-0.001399,0.000103,  86.842
    35.0,0.000243,0.000256,-0.001408,0.000078,  86.839
    35.2,0.000243,0.000253,-0.001399,0.000078,  86.836
    35.4,0.000247,0.000255,-0.001372,0.000092,  86.829
    35.6,0.000238,0.000258,-0.001345,0.000054,  86.827
    35.8,0.000238,0.000258,-0.001309,0.000078,  86.817
    36.0,0.000242,0.000249,-0.001264,0.000103,  86.813
    36.2,0.000233,0.000250,-0.001237,0.000065,  86.812
    36.4,0.000238,0.000253,-0.001209,0.000103,  86.808
    36.6,0.000238,0.000250,-0.001182,0.000103,  86.794
    36.8,0.000230,0.000253,-0.001164,0.000103,  86.794
