Run Name,Run 4: alpha/R
Run Date,02:44:33 PM   02-25-16
Method Name,22% isocratic
Export Format Version, 1.00
Method ID, 2931
Points/Second, 1.00
Number of Records,   1242
Offset from Run Start Time,00:00:00
Run End Time,00:20:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.007099,0.000000,0.009335,0.000000,  86.155
     1.0,0.000000,0.000000,0.000000,0.000000,  86.034
     2.0,0.000000,0.000000,0.000000,0.000000,  85.961
     3.0,0.000000,0.000000,0.000000,0.000000,  85.879
     4.0,0.000026,0.000025,-0.000069,0.000064,  85.793
     5.0,0.000040,0.000046,-0.000517,0.000056,  85.658
     6.0,0.000032,0.000041,-0.001793,0.000084,  85.588
     7.0,0.000032,0.000042,-0.003416,0.000073,  85.543
     8.0,0.000021,0.000034,-0.004681,0.000087,  85.545
     9.0,0.000017,0.000024,-0.005825,0.000048,  85.561
    10.0,0.000024,0.000053,-0.007146,0.000115,  85.584
    11.0,0.000028,0.000058,-0.007811,0.000115,  85.664
    12.0,0.000032,0.000052,-0.008526,0.000115,  85.741
    13.0,0.000023,0.000060,-0.009141,0.000129,  85.837
    14.0,0.000024,0.000064,-0.009717,0.000090,  85.984
    15.0,0.000032,0.000079,-0.010519,0.000129,  86.068
    16.0,0.000032,0.000085,-0.012208,0.000129,  86.174
    17.0,0.000028,0.000082,-0.012352,0.000142,  86.256
    18.0,0.000050,0.000100,-0.012457,0.000170,  86.383
    19.0,0.000070,0.000133,-0.012552,0.000170,  86.447
    20.0,0.000068,0.000147,-0.012891,0.000248,  86.505
    21.0,0.000065,0.000130,-0.013376,0.000223,  86.548
    22.0,0.000059,0.000112,-0.013579,0.000184,  86.574
    23.0,0.000035,0.000124,-0.014045,0.000198,  86.590
    24.0,0.000032,0.000127,-0.014266,0.000184,  86.601
    25.0,0.000021,0.000122,-0.014420,0.000146,  86.613
    26.0,0.000024,0.000110,-0.014787,0.000198,  86.619
    27.0,0.000010,0.000095,-0.015096,0.000170,  86.617
    28.0,0.000024,0.000115,-0.015560,0.000146,  86.628
    29.0,0.000021,0.000127,-0.015724,0.000184,  86.627
    30.0,0.000024,0.000137,-0.015878,0.000223,  86.627
    31.0,0.000028,0.000140,-0.015983,0.000237,  86.595
    32.0,0.000032,0.000141,-0.016040,0.000223,  86.564
    33.0,0.000037,0.000131,-0.016281,0.000159,  86.531
    34.0,0.000049,0.000145,-0.016406,0.000173,  86.500
    35.0,0.000032,0.000134,-0.016763,0.000159,  86.482
    36.0,0.000028,0.000138,-0.017061,0.000173,  86.467
    37.0,0.000028,0.000134,-0.017002,0.000173,  86.453
    38.0,0.000024,0.000135,-0.017050,0.000198,  86.440
    39.0,0.000017,0.000135,-0.017435,0.000237,  86.438
    40.0,0.000014,0.000131,-0.017589,0.000248,  86.440
    41.0,0.000014,0.000132,-0.017790,0.000223,  86.435
    42.0,-0.000005,0.000122,-0.018078,0.000212,  86.443
    43.0,-0.000001,0.000107,-0.018096,0.000223,  86.434
    44.0,0.000011,0.000124,-0.018163,0.000223,  86.429
    45.0,0.000006,0.000124,-0.018191,0.000237,  86.424
    46.0,0.000018,0.000125,-0.018134,0.000237,  86.425
    47.0,0.000010,0.000129,-0.018489,0.000265,  86.435
    48.0,0.000010,0.000128,-0.018518,0.000251,  86.445
    49.0,0.000014,0.000144,-0.018729,0.000300,  86.459
    50.0,0.000010,0.000149,-0.018690,0.000223,  86.478
    51.0,0.000014,0.000150,-0.018814,0.000251,  86.506
    52.0,0.000006,0.000146,-0.018843,0.000290,  86.520
    53.0,0.000014,0.000142,-0.018747,0.000290,  86.540
    54.0,0.000010,0.000154,-0.018708,0.000251,  86.544
    55.0,0.000014,0.000152,-0.018747,0.000328,  86.528
    56.0,0.000021,0.000162,-0.018622,0.000251,  86.507
    57.0,0.000026,0.000161,-0.018747,0.000251,  86.484
    58.0,0.000017,0.000159,-0.018709,0.000251,  86.454
    59.0,0.000021,0.000164,-0.018478,0.000237,  86.408
    60.0,0.000021,0.000177,-0.018450,0.000237,  86.303
    61.0,0.000028,0.000192,-0.018355,0.000276,  86.243
    62.0,0.000032,0.000211,-0.017789,0.000223,  86.167
    63.0,0.000033,0.000264,-0.017559,0.000184,  86.073
    64.0,0.000075,0.000303,-0.017484,0.000184,  85.893
    65.0,0.000097,0.000337,-0.016820,0.000146,  85.719
    66.0,0.000181,0.000435,-0.016147,0.000212,  85.443
    67.0,0.000245,0.000502,-0.015259,0.000212,  85.147
    68.0,0.000278,0.000542,-0.014515,0.000240,  84.768
    69.0,0.000362,0.000684,-0.013771,0.000293,  84.336
    70.0,0.000439,0.000801,-0.013229,0.000349,  83.848
    71.0,0.000538,0.000927,-0.012618,0.000335,  83.211
    72.0,0.000655,0.001041,-0.012065,0.000376,  82.501
    73.0,0.000780,0.001189,-0.011627,0.000485,  81.689
    74.0,0.000857,0.001259,-0.011268,0.000491,  80.753
    75.0,0.001015,0.001413,-0.010741,0.000572,  79.729
    76.0,0.001106,0.001558,-0.010879,0.000614,  78.610
    77.0,0.001148,0.001574,-0.013096,0.000683,  77.371
    78.0,0.001289,0.001692,-0.011983,0.000725,  76.057
    79.0,0.001226,0.001682,-0.011696,0.000725,  74.646
    80.0,0.001286,0.001745,-0.012446,0.000753,  73.188
    81.0,0.001276,0.001738,-0.012988,0.000711,  71.759
    82.0,0.001220,0.001617,-0.013898,0.000739,  70.259
    83.0,0.001239,0.001631,-0.014574,0.000837,  68.770
    84.0,0.001256,0.001604,-0.015684,0.000759,  67.312
    85.0,0.001167,0.001590,-0.016877,0.000753,  65.827
    86.0,0.001214,0.001610,-0.017990,0.000767,  64.381
    87.0,0.001175,0.001532,-0.019062,0.000806,  62.946
    88.0,0.001133,0.001457,-0.020351,0.000778,  61.549
    89.0,0.001100,0.001447,-0.021379,0.000778,  60.165
    90.0,0.001092,0.001401,-0.022319,0.000792,  58.847
    91.0,0.001062,0.001310,-0.023816,0.000736,  57.541
    92.0,0.001016,0.001281,-0.025006,0.000764,  56.277
    93.0,0.001008,0.001221,-0.025892,0.000753,  55.054
    94.0,0.000953,0.001196,-0.027797,0.000739,  53.865
    95.0,0.000931,0.001156,-0.028649,0.000803,  52.771
    96.0,0.000945,0.001127,-0.029275,0.000645,  51.670
    97.0,0.000939,0.001068,-0.030088,0.000697,  50.633
    98.0,0.000908,0.001045,-0.031214,0.000711,  49.628
    99.0,0.000857,0.000974,-0.031975,0.000711,  48.660
   100.0,0.000896,0.000986,-0.032625,0.000725,  47.748
   101.0,0.000859,0.000949,-0.033550,0.000683,  46.854
   102.0,0.000830,0.000915,-0.034849,0.000683,  46.005
   103.0,0.000864,0.000889,-0.035238,0.000725,  45.211
   104.0,0.000811,0.000866,-0.035754,0.000750,  44.424
   105.0,0.000820,0.000865,-0.036352,0.000697,  43.693
   106.0,0.000815,0.000847,-0.036986,0.000789,  42.977
   107.0,0.000799,0.000824,-0.037718,0.000761,  42.287
   108.0,0.000777,0.000777,-0.037994,0.000725,  41.637
   109.0,0.000782,0.000782,-0.038769,0.000739,  41.019
   110.0,0.000729,0.000780,-0.039217,0.000725,  40.428
   111.0,0.000761,0.000771,-0.039918,0.000725,  39.852
   112.0,0.000756,0.000764,-0.040228,0.000711,  39.309
   113.0,0.000765,0.000741,-0.040385,0.000700,  38.799
   114.0,0.000734,0.000726,-0.040795,0.000739,  38.308
   115.0,0.000729,0.000715,-0.041103,0.000739,  37.835
   116.0,0.000734,0.000719,-0.041718,0.000817,  37.393
   117.0,0.000749,0.000733,-0.042153,0.000753,  36.946
   118.0,0.000731,0.000691,-0.042137,0.000753,  36.542
   119.0,0.000712,0.000694,-0.042795,0.000714,  36.125
   120.0,0.000709,0.000678,-0.042968,0.000792,  35.717
   121.0,0.000717,0.000666,-0.043026,0.000764,  35.315
   122.0,0.000727,0.000659,-0.043324,0.000764,  34.924
   123.0,0.000715,0.000654,-0.043622,0.000753,  34.565
   124.0,0.000694,0.000625,-0.043964,0.000728,  34.212
   125.0,0.000694,0.000632,-0.044181,0.000831,  33.890
