Run Name,Group 4 (Chymo & Ribo)
Run Date,04:58:49 PM   03-28-16
Method Name,13% isocratic
Export Format Version, 1.00
Method ID, 3089
Points/Second, 1.00
Number of Records,   1206
Offset from Run Start Time,00:00:00
Run End Time,00:20:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.001308,-0.000416,0.012902,-0.000248,  87.827,   71,     0.0
     1.0,-0.001313,-0.000428,0.012882,-0.000248,  87.777,   71,     0.0
     2.0,-0.001314,-0.000420,0.012848,-0.000234,  87.647,   73,     0.1
     3.0,-0.003608,-0.000421,0.012911,-0.000273,  87.546,   69,     0.1
     4.0,0.000000,0.000000,0.012974,-0.000234,  87.440,   69,     0.1
     5.0,0.000000,0.000000,0.012290,0.000000,  87.339,   69,     0.2
     6.0,0.000000,0.000000,0.000000,0.000000,  87.202,   71,     0.2
     7.0,-0.000005,0.000000,0.000000,0.000000,  87.137,   70,     0.2
     8.0,-0.000003,0.000000,0.000000,0.000000,  87.112,   67,     0.3
     9.0,-0.000015,-0.000100,0.000000,0.000000,  87.105,   69,     0.3
    10.0,-0.000011,-0.000087,-0.000294,-0.000014,  87.147,   70,     0.3
    11.0,-0.000019,-0.000090,-0.000741,-0.000077,  87.197,   70,     0.4
    12.0,-0.000016,-0.000083,-0.001256,-0.000025,  87.271,   73,     0.4
    13.0,-0.000011,-0.000088,-0.001679,-0.000039,  87.358,   69,     0.4
    14.0,0.000000,-0.000088,-0.001971,-0.000025,  87.488,   69,     0.5
    15.0,0.000000,-0.000073,-0.002344,-0.000025,  87.564,   69,     0.5
    16.0,0.000020,-0.000065,-0.002636,-0.000025,  87.635,   68,     0.5
    17.0,0.000015,-0.000059,-0.002938,-0.000025,  87.684,   70,     0.6
    18.0,0.000019,-0.000047,-0.003038,-0.000011,  87.725,   66,     0.6
    19.0,0.000033,-0.000035,-0.003178,-0.000011,  87.754,   69,     0.6
    20.0,0.000060,-0.000032,-0.003674,-0.000011,  87.764,   69,     0.7
    21.0,0.000074,-0.000021,-0.003562,0.000003,  87.770,   71,     0.7
    22.0,0.000081,-0.000007,-0.003632,0.000017,  87.760,   72,     0.7
    23.0,0.000067,0.000008,-0.003621,0.000003,  87.744,   69,     0.8
    24.0,0.000053,0.000002,-0.003742,0.000031,  87.733,   67,     0.8
    25.0,0.000046,-0.000013,-0.004105,0.000045,  87.716,   67,     0.8
    26.0,0.000034,-0.000017,-0.004185,0.000017,  87.696,   66,     0.9
    27.0,0.000036,-0.000030,-0.004274,0.000003,  87.676,   68,     0.9
    28.0,0.000039,-0.000033,-0.004243,0.000017,  87.667,   66,     0.9
    29.0,0.000059,-0.000030,-0.004293,0.000017,  87.649,   68,     1.0
    30.0,0.000070,-0.000024,-0.004262,0.000017,  87.626,   68,     1.0
    31.0,0.000069,-0.000019,-0.004474,0.000017,  87.595,   69,     1.0
    32.0,0.000065,-0.000007,-0.004525,0.000017,  87.582,   71,     1.1
    33.0,0.000063,-0.000001,-0.004484,0.000017,  87.567,   67,     1.1
