Run Name,Group 4 (Chymo & Ribo)
Run Date,04:02:18 PM   03-28-16
Method Name,16% isocratic
Export Format Version, 1.00
Method ID, 3164
Points/Second, 1.00
Number of Records,   3072
Offset from Run Start Time,00:00:00
Run End Time,00:51:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.003939,0.000000,0.014938,-0.000301,  87.993,  -11,     0.0
     1.0,0.000000,0.000000,0.014966,0.000000,  87.606,   70,     0.0
     2.0,0.000000,0.000000,0.000000,0.000000,  87.510,   70,     0.1
     3.0,0.000000,0.000000,0.000000,0.000000,  87.405,   70,     0.1
     4.0,0.000000,0.000000,0.000000,0.000000,  87.320,   69,     0.1
     5.0,0.000003,-0.000035,0.000000,0.000000,  87.238,   68,     0.2
     6.0,-0.000015,-0.000069,-0.000100,0.000039,  87.149,   70,     0.2
     7.0,-0.000031,-0.000086,-0.000472,0.000053,  87.019,   68,     0.2
     8.0,-0.000034,-0.000086,-0.000924,0.000039,  86.943,   68,     0.3
     9.0,-0.000026,-0.000093,-0.001265,-0.000003,  86.879,   67,     0.3
    10.0,-0.000027,-0.000087,-0.001717,0.000011,  86.856,   68,     0.3
    11.0,-0.000020,-0.000087,-0.001895,0.000011,  86.834,   68,     0.4
    12.0,-0.000013,-0.000070,-0.002429,0.000025,  86.851,   67,     0.4
    13.0,-0.000006,-0.000053,-0.002458,0.000053,  86.887,   68,     0.4
    14.0,0.000006,-0.000043,-0.002306,0.000039,  86.940,   65,     0.5
    15.0,0.000021,-0.000025,-0.002457,0.000053,  87.001,   68,     0.5
    16.0,0.000023,-0.000014,-0.002366,0.000039,  87.061,   67,     0.5
    17.0,0.000055,0.000005,-0.002598,0.000053,  87.131,   68,     0.6
    18.0,0.000073,0.000031,-0.002487,0.000081,  87.190,   67,     0.6
    19.0,0.000103,0.000056,-0.002426,0.000081,  87.283,   69,     0.6
    20.0,0.000096,0.000059,-0.002305,0.000081,  87.322,   67,     0.7
    21.0,0.000086,0.000032,-0.002517,0.000042,  87.361,   67,     0.7
    22.0,0.000055,0.000001,-0.002557,0.000070,  87.392,   67,     0.7
    23.0,0.000053,-0.000007,-0.002495,0.000056,  87.424,   67,     0.8
    24.0,0.000040,-0.000004,-0.002645,0.000017,  87.436,   72,     0.8
    25.0,0.000053,0.000011,-0.002826,0.000042,  87.453,   67,     0.8
    26.0,0.000064,0.000012,-0.002725,0.000003,  87.449,   66,     0.9
    27.0,0.000066,0.000022,-0.002736,0.000056,  87.428,   67,     0.9
    28.0,0.000063,0.000031,-0.002615,0.000042,  87.397,   69,     0.9
    29.0,0.000062,0.000021,-0.002605,0.000003,  87.352,   68,     1.0
    30.0,0.000070,0.000018,-0.002514,0.000056,  87.286,   67,     1.0
    31.0,0.000065,0.000025,-0.002475,0.000042,  87.160,   68,     1.0
    32.0,0.000074,0.000022,-0.002485,0.000003,  87.108,   68,     1.1
    33.0,0.000066,0.000021,-0.002707,0.000042,  87.086,   66,     1.1
    34.0,0.000069,0.000033,-0.002536,0.000042,  87.090,   66,     1.1
    35.0,0.000066,0.000030,-0.002566,0.000095,  87.120,   67,     1.2
    36.0,0.000063,0.000030,-0.002525,0.000056,  87.159,   68,     1.2
    37.0,0.000063,0.000015,-0.002444,0.000017,  87.208,   67,     1.2
    38.0,0.000071,0.000021,-0.002574,0.000056,  87.256,   64,     1.3
    39.0,0.000071,0.000039,-0.002525,0.000042,  87.303,   66,     1.3
    40.0,0.000073,0.000041,-0.002656,0.000003,  87.395,   66,     1.3
    41.0,0.000074,0.000023,-0.002555,0.000070,  87.443,   66,     1.4
    42.0,0.000054,0.000030,-0.002525,0.000056,  87.479,   66,     1.4
    43.0,0.000071,0.000019,-0.002656,0.000017,  87.515,   64,     1.4
    44.0,0.000053,0.000001,-0.002756,0.000056,  87.548,   65,     1.5
    45.0,0.000049,0.000001,-0.002705,0.000017,  87.588,   67,     1.5
    46.0,0.000045,-0.000002,-0.002895,0.000056,  87.624,   64,     1.5
    47.0,0.000038,-0.000012,-0.002894,0.000042,  87.658,   66,     1.6
    48.0,0.000045,-0.000004,-0.002934,0.000003,  87.694,   63,     1.6
    49.0,0.000058,0.000008,-0.002943,0.000056,  87.767,   66,     1.6
    50.0,0.000058,0.000022,-0.002973,0.000042,  87.789,   71,     1.7
    51.0,0.000061,0.000019,-0.003014,0.000003,  87.807,   66,     1.7
    52.0,0.000064,0.000021,-0.002953,0.000042,  87.819,   66,     1.7
    53.0,0.000079,0.000025,-0.002903,0.000042,  87.824,   64,     1.8
    54.0,0.000079,0.000033,-0.002863,0.000081,  87.821,   66,     1.8
    55.0,0.000086,0.000043,-0.002773,0.000081,  87.816,   67,     1.8
    56.0,0.000101,0.000060,-0.002794,0.000081,  87.790,   66,     1.9
    57.0,0.000105,0.000059,-0.002614,0.000056,  87.755,   67,     1.9
    58.0,0.000105,0.000070,-0.002483,0.000056,  87.710,   65,     1.9
    59.0,0.000102,0.000093,-0.002394,0.000031,  87.602,   65,     2.0
    60.0,0.000119,0.000135,-0.002144,0.000084,  87.557,   64,     2.0
    61.0,0.000175,0.000187,-0.001823,0.000056,  87.500,   66,     2.0
    62.0,0.000228,0.000235,-0.001705,0.000031,  87.453,   65,     2.1
    63.0,0.000282,0.000307,-0.001335,0.000122,  87.398,   64,     2.1
    64.0,0.000349,0.000387,-0.000943,0.000150,  87.342,   64,     2.1
    65.0,0.000423,0.000456,-0.000300,0.000192,  87.204,   66,     2.2
    66.0,0.000523,0.000580,0.000504,0.000182,  87.096,   65,     2.2
    67.0,0.000668,0.000737,0.001340,0.000252,  86.965,   65,     2.2
    68.0,0.000776,0.000893,0.002054,0.000346,  86.744,   63,     2.3
    69.0,0.000914,0.001083,0.003196,0.000416,  86.535,   64,     2.3
    70.0,0.001081,0.001270,0.004434,0.000500,  86.206,   66,     2.3
    71.0,0.001192,0.001447,0.005676,0.000598,  85.817,   66,     2.4
    72.0,0.001362,0.001637,0.006558,0.000640,  85.354,   64,     2.4
    73.0,0.001551,0.001828,0.007540,0.000724,  84.764,   64,     2.4
    74.0,0.001688,0.002003,0.008513,0.000794,  84.117,   65,     2.5
    75.0,0.001826,0.002121,0.009344,0.000906,  83.304,   66,     2.5
    76.0,0.001960,0.002213,0.010002,0.001004,  82.418,   67,     2.5
    77.0,0.002042,0.002329,0.010528,0.001074,  81.394,   65,     2.6
    78.0,0.001985,0.002329,0.010877,0.001144,  80.269,   65,     2.6
    79.0,0.002045,0.002369,0.010884,0.001172,  78.999,   65,     2.6
    80.0,0.002135,0.002416,0.011175,0.001200,  77.654,   65,     2.7
    81.0,0.002109,0.002397,0.011113,0.001229,  76.196,   66,     2.7
    82.0,0.002116,0.002417,0.010635,0.001229,  74.686,   65,     2.7
