Run Name,Group 4 (Lyso & Ribo)
Run Date,01:05:04 PM   03-28-16
Method Name,24% isocratic
Export Format Version, 1.00
Method ID, 3183
Points/Second, 1.00
Number of Records,   2154
Offset from Run Start Time,00:00:00
Run End Time,00:35:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.006160,-0.001132,0.006422,-0.000305,  87.682,   71,     0.0
     1.0,0.000000,0.000000,0.006357,-0.000294,  87.405,   71,     0.0
     2.0,0.000000,0.000000,0.000000,0.000000,  87.320,   74,     0.1
     3.0,0.000000,0.000000,0.000000,0.000000,  87.266,   69,     0.1
     4.0,0.000000,0.000000,0.000000,0.000000,  87.209,   72,     0.1
     5.0,-0.000042,0.000004,0.000000,0.000000,  87.093,   70,     0.2
     6.0,-0.000026,-0.000011,-0.000058,-0.000039,  86.997,   70,     0.2
     7.0,-0.000026,-0.000014,-0.000459,-0.000155,  86.892,   70,     0.2
     8.0,-0.000034,-0.000020,-0.001183,-0.000116,  86.725,   71,     0.3
     9.0,-0.000030,-0.000023,-0.001724,-0.000102,  86.620,   70,     0.3
    10.0,-0.000041,-0.000010,-0.002305,-0.000102,  86.518,   71,     0.3
    11.0,-0.000033,-0.000005,-0.002784,-0.000102,  86.462,   70,     0.4
    12.0,-0.000022,0.000007,-0.003083,-0.000074,  86.376,   69,     0.4
    13.0,-0.000016,0.000012,-0.003321,-0.000088,  86.377,   69,     0.4
    14.0,-0.000007,0.000030,-0.003450,-0.000088,  86.407,   70,     0.5
    15.0,0.000004,0.000053,-0.003709,-0.000088,  86.474,   69,     0.5
    16.0,0.000021,0.000064,-0.003809,-0.000074,  86.594,   70,     0.5
    17.0,0.000067,0.000099,-0.004000,-0.000046,  86.689,   70,     0.6
    18.0,0.000107,0.000155,-0.003999,-0.000032,  86.793,   70,     0.6
    19.0,0.000130,0.000177,-0.004040,-0.000018,  86.883,   70,     0.6
    20.0,0.000138,0.000194,-0.003840,0.000024,  87.009,   70,     0.7
    21.0,0.000138,0.000180,-0.003829,0.000010,  87.084,   71,     0.7
    22.0,0.000111,0.000172,-0.003899,0.000010,  87.144,   69,     0.7
    23.0,0.000093,0.000141,-0.003899,0.000024,  87.188,   69,     0.8
    24.0,0.000069,0.000131,-0.004070,0.000010,  87.217,   69,     0.8
    25.0,0.000072,0.000112,-0.004219,0.000024,  87.241,   70,     0.8
    26.0,0.000056,0.000117,-0.004359,0.000010,  87.257,   69,     0.9
    27.0,0.000056,0.000109,-0.004609,-0.000004,  87.271,   71,     0.9
    28.0,0.000056,0.000110,-0.004708,-0.000004,  87.284,   69,     0.9
    29.0,0.000056,0.000104,-0.004647,0.000021,  87.302,   70,     1.0
    30.0,0.000044,0.000092,-0.004666,-0.000018,  87.317,   69,     1.0
    31.0,0.000032,0.000078,-0.004976,-0.000018,  87.375,   70,     1.0
    32.0,0.000016,0.000076,-0.005035,-0.000018,  87.389,   69,     1.1
    33.0,0.000049,0.000094,-0.005355,-0.000018,  87.425,   69,     1.1
    34.0,0.000041,0.000097,-0.005174,-0.000004,  87.432,   69,     1.1
    35.0,0.000041,0.000101,-0.005283,-0.000018,  87.457,   69,     1.2
    36.0,0.000046,0.000101,-0.005153,-0.000018,  87.481,   69,     1.2
    37.0,0.000044,0.000106,-0.005202,0.000010,  87.506,   67,     1.2
    38.0,0.000059,0.000112,-0.005222,-0.000004,  87.521,   71,     1.3
    39.0,0.000064,0.000113,-0.005182,-0.000004,  87.542,   69,     1.3
    40.0,0.000068,0.000117,-0.005182,-0.000004,  87.561,   70,     1.3
    41.0,0.000072,0.000135,-0.005092,-0.000004,  87.576,   69,     1.4
    42.0,0.000070,0.000135,-0.005112,0.000035,  87.583,   68,     1.4
    43.0,0.000051,0.000123,-0.005212,-0.000004,  87.585,   68,     1.4
    44.0,0.000068,0.000116,-0.005261,-0.000004,  87.582,   69,     1.5
    45.0,0.000062,0.000108,-0.005221,-0.000032,  87.571,   68,     1.5
    46.0,0.000034,0.000102,-0.005501,-0.000018,  87.548,   69,     1.5
    47.0,0.000043,0.000090,-0.005490,-0.000018,  87.518,   70,     1.6
    48.0,0.000043,0.000093,-0.005859,-0.000018,  87.495,   73,     1.6
    49.0,0.000047,0.000093,-0.005739,-0.000032,  87.484,   68,     1.6
    50.0,0.000047,0.000101,-0.005668,-0.000018,  87.472,   69,     1.7
    51.0,0.000031,0.000097,-0.005718,-0.000018,  87.455,   68,     1.7
    52.0,0.000039,0.000085,-0.005787,-0.000032,  87.444,   66,     1.7
    53.0,0.000047,0.000109,-0.005967,-0.000018,  87.431,   69,     1.8
    54.0,0.000047,0.000108,-0.006156,-0.000032,  87.420,   68,     1.8
    55.0,0.000047,0.000108,-0.006076,-0.000018,  87.408,   69,     1.8
    56.0,0.000065,0.000119,-0.006065,-0.000018,  87.397,   68,     1.9
    57.0,0.000084,0.000141,-0.005976,-0.000018,  87.378,   69,     1.9
    58.0,0.000107,0.000167,-0.005897,-0.000018,  87.361,   68,     1.9
    59.0,0.000139,0.000198,-0.005858,-0.000004,  87.345,   68,     2.0
    60.0,0.000154,0.000238,-0.005669,-0.000004,  87.322,   67,     2.0
    61.0,0.000195,0.000296,-0.005451,0.000024,  87.296,   69,     2.0
    62.0,0.000257,0.000371,-0.005244,0.000052,  87.211,   68,     2.1
    63.0,0.000348,0.000458,-0.004686,0.000052,  87.164,   68,     2.1
    64.0,0.000414,0.000553,-0.004389,0.000185,  87.097,   67,     2.1
    65.0,0.000530,0.000673,-0.003912,0.000189,  87.009,   71,     2.2
    66.0,0.000659,0.000807,-0.003143,0.000231,  86.889,   68,     2.2
    67.0,0.000789,0.000951,-0.002263,0.000273,  86.681,   67,     2.2
    68.0,0.000960,0.001145,-0.001444,0.000329,  86.489,   68,     2.3
    69.0,0.001075,0.001303,-0.000643,0.000427,  86.201,   66,     2.3
    70.0,0.001254,0.001512,0.000321,0.000539,  85.856,   69,     2.3
    71.0,0.001440,0.001715,0.001227,0.000609,  85.469,   67,     2.4
    72.0,0.001630,0.001922,0.002237,0.000682,  85.014,   69,     2.4
    73.0,0.001789,0.002147,0.003107,0.000819,  84.442,   68,     2.4
    74.0,0.001957,0.002326,0.003560,0.000945,  83.794,   70,     2.5
    75.0,0.002068,0.002435,0.004556,0.001057,  83.057,   67,     2.5
    76.0,0.002187,0.002521,0.004897,0.001071,  82.226,   69,     2.5
    77.0,0.002266,0.002645,0.005591,0.001169,  81.272,   68,     2.6
    78.0,0.002310,0.002726,0.005843,0.001254,  80.241,   68,     2.6
    79.0,0.002395,0.002785,0.006265,0.001282,  79.116,   69,     2.6
    80.0,0.002412,0.002777,0.006358,0.001324,  77.894,   67,     2.7
    81.0,0.002402,0.002747,0.006144,0.001232,  76.626,   67,     2.7
    82.0,0.002350,0.002765,0.005808,0.001313,  75.266,   67,     2.7
    83.0,0.002345,0.002712,0.005399,0.001313,  73.867,   67,     2.8
    84.0,0.002302,0.002560,0.005043,0.001299,  72.452,   69,     2.8
    85.0,0.002246,0.002483,0.004382,0.001201,  70.960,   69,     2.8
    86.0,0.002126,0.002428,0.003673,0.001243,  69.499,   65,     2.9
    87.0,0.002090,0.002378,0.003066,0.001201,  68.012,   69,     2.9
    88.0,0.002068,0.002327,0.002349,0.001145,  66.571,   68,     2.9
    89.0,0.002009,0.002197,0.001622,0.001117,  65.120,   67,     3.0
    90.0,0.001920,0.002128,0.000836,0.001075,  63.677,   67,     3.0
    91.0,0.001864,0.002032,0.000082,0.001075,  62.329,   68,     3.0
    92.0,0.001838,0.001994,-0.000752,0.001047,  60.953,   68,     3.1
    93.0,0.001773,0.001873,-0.001432,0.001019,  59.647,   68,     3.1
    94.0,0.001690,0.001778,-0.002063,0.000991,  58.376,   69,     3.1
    95.0,0.001595,0.001755,-0.003094,0.000959,  57.167,   68,     3.2
    96.0,0.001611,0.001709,-0.003721,0.000945,  55.962,   68,     3.2
    97.0,0.001566,0.001664,-0.004337,0.000931,  54.819,   69,     3.2
    98.0,0.001477,0.001537,-0.005094,0.000903,  53.734,   68,     3.3
    99.0,0.001481,0.001520,-0.005778,0.000889,  52.669,   67,     3.3
   100.0,0.001462,0.001484,-0.006433,0.000861,  51.656,   68,     3.3
   101.0,0.001421,0.001422,-0.006926,0.000833,  50.682,   67,     3.4
   102.0,0.001395,0.001383,-0.007539,0.000819,  49.761,   69,     3.4
   103.0,0.001332,0.001323,-0.008073,0.000819,  48.852,   67,     3.4
   104.0,0.001288,0.001286,-0.008545,0.000763,  47.997,   69,     3.5
   105.0,0.001272,0.001271,-0.009126,0.000763,  47.173,   67,     3.5
   106.0,0.001231,0.001217,-0.009716,0.000763,  46.386,   70,     3.5
   107.0,0.001201,0.001155,-0.010286,0.000749,  45.647,   67,     3.6
   108.0,0.001181,0.001140,-0.010845,0.000749,  44.923,   67,     3.6
   109.0,0.001179,0.001106,-0.011226,0.000721,  44.243,   67,     3.6
   110.0,0.001142,0.001088,-0.011657,0.000721,  43.581,   68,     3.7
   111.0,0.001132,0.001056,-0.012195,0.000707,  42.951,   68,     3.7
   112.0,0.001080,0.001021,-0.012634,0.000707,  42.357,   67,     3.7
   113.0,0.001084,0.001014,-0.013093,0.000693,  41.776,   68,     3.8
   114.0,0.001084,0.001001,-0.013443,0.000679,  41.227,   71,     3.8
   115.0,0.001062,0.000952,-0.013872,0.000693,  40.698,   67,     3.8
   116.0,0.001058,0.000932,-0.014378,0.000679,  40.192,   66,     3.9
   117.0,0.001035,0.000926,-0.014688,0.000665,  39.712,   68,     3.9
   118.0,0.001029,0.000903,-0.015028,0.000651,  39.257,   66,     3.9
   119.0,0.000994,0.000888,-0.015484,0.000651,  38.818,   68,     4.0
   120.0,0.000983,0.000871,-0.015979,0.000651,  38.394,   67,     4.0
   121.0,0.000976,0.000835,-0.016385,0.000612,  38.003,   68,     4.0
   122.0,0.000976,0.000833,-0.016772,0.000623,  37.617,   67,     4.1
   123.0,0.000961,0.000839,-0.016956,0.000623,  37.248,   68,     4.1
   124.0,0.000946,0.000815,-0.017313,0.000637,  36.908,   68,     4.1
   125.0,0.000939,0.000810,-0.017477,0.000623,  36.582,   67,     4.2
