Run Name,Group 4 (Lyso & Ribo)
Run Date,12:39:28 PM   03-28-16
Method Name,30% Isocratic
Export Format Version, 1.00
Method ID, 3181
Points/Second, 1.00
Number of Records,   1139
Offset from Run Start Time,00:00:00
Run End Time,00:19:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000187,0.000443,0.000597,0.000343,  87.833,  -12,     0.0
     1.0,0.000000,0.000446,0.000771,0.000343,  87.597,   71,     0.0
     2.0,0.000000,0.000000,0.000000,0.001285,  87.493,   74,     0.1
     3.0,0.000000,0.000000,0.000000,0.000000,  87.369,   72,     0.1
     4.0,0.000000,0.000000,0.000000,0.000000,  87.271,   70,     0.1
     5.0,-0.000102,0.000000,0.000000,0.000000,  87.156,   71,     0.2
     6.0,-0.000132,-0.000034,-0.000128,0.000000,  86.969,   71,     0.2
     7.0,-0.000147,-0.000052,-0.000655,-0.000116,  86.807,   71,     0.2
     8.0,-0.000131,-0.000072,-0.000703,-0.000116,  86.620,   70,     0.3
     9.0,-0.000132,-0.000050,-0.000791,-0.000091,  86.488,   71,     0.3
    10.0,-0.000128,-0.000043,-0.000820,-0.000155,  86.382,   72,     0.3
    11.0,-0.000109,-0.000049,-0.000948,-0.000155,  86.240,   71,     0.4
    12.0,-0.000095,-0.000038,-0.001018,-0.000130,  86.192,   71,     0.4
    13.0,-0.000088,-0.000017,-0.001216,-0.000155,  86.175,   71,     0.4
    14.0,-0.000064,-0.000009,-0.001107,-0.000141,  86.195,   73,     0.5
    15.0,-0.000065,0.000009,-0.001067,-0.000116,  86.233,   70,     0.5
    16.0,-0.000046,0.000014,-0.001068,-0.000127,  86.299,   74,     0.5
    17.0,-0.000016,0.000035,-0.000998,-0.000102,  86.385,   70,     0.6
    18.0,0.000026,0.000053,-0.000939,-0.000127,  86.469,   71,     0.6
    19.0,0.000052,0.000082,-0.000781,-0.000099,  86.615,   71,     0.6
    20.0,0.000052,0.000112,-0.000912,-0.000046,  86.724,   72,     0.7
    21.0,0.000037,0.000148,-0.000684,-0.000085,  86.805,   72,     0.7
    22.0,0.000011,0.000130,-0.000544,-0.000085,  86.879,   69,     0.7
    23.0,-0.000004,0.000108,-0.000743,-0.000046,  86.976,   69,     0.8
    24.0,-0.000007,0.000082,-0.000723,-0.000099,  87.027,   70,     0.8
    25.0,-0.000003,0.000067,-0.000642,-0.000074,  87.061,   72,     0.8
    26.0,0.000004,0.000073,-0.000692,-0.000113,  87.087,   70,     0.9
    27.0,-0.000003,0.000087,-0.000584,-0.000113,  87.114,   69,     0.9
    28.0,0.000009,0.000082,-0.000783,-0.000074,  87.135,   69,     0.9
    29.0,0.000004,0.000100,-0.000604,-0.000046,  87.158,   69,     1.0
    30.0,0.000017,0.000100,-0.000574,-0.000060,  87.186,   68,     1.0
    31.0,0.000025,0.000101,-0.000554,-0.000021,  87.203,   69,     1.0
    32.0,0.000038,0.000095,-0.000485,-0.000021,  87.209,   73,     1.1
    33.0,0.000046,0.000127,-0.000485,-0.000074,  87.197,   70,     1.1
    34.0,0.000065,0.000142,-0.000297,0.000003,  87.181,   68,     1.1
    35.0,0.000062,0.000144,-0.000258,0.000031,  87.170,   69,     1.2
    36.0,0.000050,0.000147,-0.000239,0.000031,  87.162,   70,     1.2
    37.0,0.000044,0.000147,-0.000249,-0.000007,  87.169,   69,     1.2
    38.0,0.000033,0.000122,-0.000408,-0.000007,  87.181,   71,     1.3
    39.0,0.000029,0.000124,-0.000338,-0.000021,  87.186,   70,     1.3
    40.0,0.000029,0.000112,-0.000318,-0.000007,  87.209,   69,     1.3
    41.0,0.000033,0.000115,-0.000457,-0.000074,  87.223,   70,     1.4
    42.0,0.000048,0.000111,-0.000506,-0.000035,  87.249,   68,     1.4
    43.0,0.000038,0.000117,-0.000576,-0.000035,  87.259,   69,     1.4
    44.0,0.000054,0.000123,-0.000487,-0.000035,  87.287,   69,     1.5
    45.0,0.000058,0.000142,-0.000417,-0.000021,  87.358,   67,     1.5
    46.0,0.000070,0.000141,-0.000268,-0.000060,  87.382,   70,     1.5
    47.0,0.000066,0.000153,-0.000219,-0.000021,  87.409,   71,     1.6
    48.0,0.000081,0.000155,-0.000170,-0.000007,  87.434,   68,     1.6
    49.0,0.000081,0.000158,-0.000051,-0.000046,  87.455,   70,     1.6
    50.0,0.000078,0.000161,-0.000101,-0.000007,  87.476,   69,     1.7
    51.0,0.000074,0.000166,-0.000081,-0.000007,  87.479,   68,     1.7
    52.0,0.000066,0.000162,-0.000091,-0.000046,  87.491,   69,     1.7
    53.0,0.000058,0.000155,-0.000071,-0.000007,  87.500,   69,     1.8
    54.0,0.000071,0.000150,-0.000070,0.000007,  87.504,   67,     1.8
    55.0,0.000063,0.000155,-0.000090,-0.000007,  87.507,   69,     1.8
    56.0,0.000074,0.000161,-0.000150,-0.000007,  87.513,   70,     1.9
    57.0,0.000085,0.000161,-0.000110,-0.000046,  87.510,   68,     1.9
    58.0,0.000100,0.000173,0.000008,-0.000007,  87.511,   67,     1.9
    59.0,0.000122,0.000181,0.000077,-0.000007,  87.499,   70,     2.0
    60.0,0.000160,0.000212,0.000126,-0.000060,  87.488,   68,     2.0
    61.0,0.000196,0.000253,0.000503,0.000007,  87.458,   70,     2.0
    62.0,0.000233,0.000294,0.000741,0.000021,  87.425,   69,     2.1
    63.0,0.000305,0.000348,0.001138,0.000010,  87.372,   69,     2.1
    64.0,0.000378,0.000413,0.001505,0.000101,  87.312,   67,     2.1
    65.0,0.000474,0.000497,0.001922,0.000077,  87.175,   69,     2.2
    66.0,0.000589,0.000603,0.002599,0.000157,  87.057,   69,     2.2
    67.0,0.000715,0.000699,0.003226,0.000161,  86.908,   69,     2.2
    68.0,0.000864,0.000845,0.004014,0.000231,  86.665,   69,     2.3
    69.0,0.000987,0.001012,0.004843,0.000325,  86.396,   69,     2.3
    70.0,0.001150,0.001165,0.005583,0.000357,  86.108,   69,     2.3
    71.0,0.001329,0.001362,0.006720,0.000427,  85.723,   68,     2.4
    72.0,0.001488,0.001555,0.007665,0.000578,  85.296,   68,     2.4
    73.0,0.001651,0.001726,0.008430,0.000637,  84.768,   68,     2.4
    74.0,0.001801,0.001921,0.009127,0.000732,  84.193,   69,     2.5
    75.0,0.001841,0.002101,0.009917,0.000819,  83.516,   70,     2.5
    76.0,0.001938,0.002218,0.010454,0.000879,  82.758,   67,     2.5
    77.0,0.002118,0.002273,0.010757,0.000960,  81.880,   69,     2.6
    78.0,0.002150,0.002427,0.011122,0.001002,  80.926,   67,     2.6
    79.0,0.002158,0.002511,0.011027,0.001058,  79.906,   69,     2.6
    80.0,0.002228,0.002500,0.011275,0.001167,  78.808,   69,     2.7
    81.0,0.002232,0.002593,0.011112,0.001156,  77.594,   69,     2.7
    82.0,0.002210,0.002623,0.010798,0.001184,  76.348,   68,     2.7
    83.0,0.002157,0.002535,0.010361,0.001237,  75.032,   69,     2.8
    84.0,0.002105,0.002473,0.009966,0.001237,  73.727,   68,     2.8
    85.0,0.002063,0.002473,0.009452,0.001209,  72.366,   69,     2.8
    86.0,0.002066,0.002421,0.008671,0.001142,  70.993,   68,     2.9
    87.0,0.001965,0.002393,0.008128,0.001100,  69.636,   68,     2.9
    88.0,0.001919,0.002264,0.007431,0.001138,  68.293,   68,     2.9
    89.0,0.001916,0.002211,0.006706,0.001058,  66.998,   68,     3.0
    90.0,0.001825,0.002169,0.006266,0.001044,  65.697,   69,     3.0
    91.0,0.001723,0.002057,0.005614,0.001068,  64.449,   70,     3.0
    92.0,0.001711,0.001958,0.004913,0.000974,  63.220,   68,     3.1
    93.0,0.001660,0.001912,0.004273,0.000942,  62.027,   68,     3.1
    94.0,0.001588,0.001840,0.003583,0.000942,  60.889,   70,     3.1
    95.0,0.001558,0.001755,0.002867,0.000889,  59.795,   68,     3.2
    96.0,0.001523,0.001683,0.002150,0.000844,  58.719,   70,     3.2
    97.0,0.001471,0.001644,0.001484,0.000833,  57.700,   69,     3.2
    98.0,0.001413,0.001608,0.000720,0.000833,  56.709,   70,     3.3
    99.0,0.001371,0.001508,0.000016,0.000802,  55.737,   68,     3.3
   100.0,0.001355,0.001469,-0.000616,0.000749,  54.819,   68,     3.3
   101.0,0.001315,0.001441,-0.001199,0.000763,  53.943,   69,     3.4
   102.0,0.001286,0.001386,-0.001691,0.000760,  53.084,   67,     3.4
   103.0,0.001267,0.001362,-0.002242,0.000721,  52.259,   68,     3.4
   104.0,0.001242,0.001318,-0.002804,0.000760,  51.469,   67,     3.5
   105.0,0.001200,0.001273,-0.003314,0.000679,  50.707,   69,     3.5
   106.0,0.001189,0.001256,-0.003775,0.000693,  49.997,   68,     3.5
   107.0,0.001164,0.001201,-0.004255,0.000676,  49.291,   68,     3.6
   108.0,0.001157,0.001160,-0.004814,0.000690,  48.639,   73,     3.6
   109.0,0.001131,0.001160,-0.005244,0.000676,  48.008,   68,     3.6
   110.0,0.001081,0.001117,-0.005733,0.000686,  47.402,   67,     3.7
   111.0,0.001074,0.001069,-0.006220,0.000700,  46.847,   68,     3.7
   112.0,0.001042,0.001067,-0.006688,0.000648,  46.289,   69,     3.7
   113.0,0.001033,0.001021,-0.007078,0.000672,  45.770,   69,     3.8
   114.0,0.001037,0.000995,-0.007409,0.000606,  45.274,   68,     3.8
   115.0,0.001008,0.001001,-0.007720,0.000658,  44.790,   70,     3.8
   116.0,0.000988,0.000995,-0.008118,0.000658,  44.333,   69,     3.9
   117.0,0.000981,0.000947,-0.008730,0.000620,  43.895,   67,     3.9
   118.0,0.000975,0.000925,-0.009001,0.000644,  43.474,   70,     3.9
   119.0,0.000929,0.000916,-0.009389,0.000630,  43.079,   71,     4.0
   120.0,0.000940,0.000864,-0.009611,0.000606,  42.702,   67,     4.0
   121.0,0.000933,0.000874,-0.009988,0.000616,  42.331,   69,     4.0
   122.0,0.000907,0.000862,-0.010220,0.000602,  41.993,   71,     4.1
   123.0,0.000926,0.000856,-0.010452,0.000602,  41.655,   67,     4.1
   124.0,0.000920,0.000827,-0.010722,0.000616,  41.343,   68,     4.1
   125.0,0.000878,0.000820,-0.010935,0.000578,  41.046,   68,     4.2
   126.0,0.000887,0.000812,-0.011234,0.000602,  40.762,   71,     4.2
   127.0,0.000879,0.000791,-0.011552,0.000602,  40.471,   68,     4.2
   128.0,0.000868,0.000765,-0.011975,0.000511,  40.205,   68,     4.3
   129.0,0.000872,0.000755,-0.012206,0.000549,  39.950,   68,     4.3
   130.0,0.000860,0.000741,-0.012312,0.000497,  39.708,   69,     4.3
   131.0,0.000860,0.000749,-0.012735,0.000483,  39.474,   68,     4.4
   132.0,0.000855,0.000743,-0.012697,0.000521,  39.246,   68,     4.4
   133.0,0.000860,0.000734,-0.012917,0.000521,  39.033,   69,     4.4
   134.0,0.000849,0.000732,-0.013013,0.000535,  38.823,   68,     4.5
   135.0,0.000844,0.000737,-0.013033,0.000525,  38.631,   67,     4.5
   136.0,0.000849,0.000737,-0.013148,0.000511,  38.438,   69,     4.5
   137.0,0.000853,0.000736,-0.013148,0.000549,  38.267,   68,     4.6
   138.0,0.000837,0.000734,-0.013282,0.000525,  38.085,   67,     4.6
   139.0,0.000839,0.000717,-0.013465,0.000511,  37.926,   67,     4.6
   140.0,0.000839,0.000710,-0.013656,0.000549,  37.770,   67,     4.7
   141.0,0.000811,0.000706,-0.013838,0.000497,  37.621,   68,     4.7
   142.0,0.000824,0.000690,-0.013886,0.000535,  37.481,   70,     4.7
   143.0,0.000827,0.000688,-0.014020,0.000521,  37.345,   69,     4.8
   144.0,0.000815,0.000678,-0.013982,0.000483,  37.211,   70,     4.8
   145.0,0.000824,0.000679,-0.014107,0.000521,  37.090,   68,     4.8
   146.0,0.000805,0.000666,-0.014212,0.000497,  36.959,   69,     4.9
   147.0,0.000794,0.000671,-0.014336,0.000483,  36.856,   68,     4.9
   148.0,0.000774,0.000659,-0.014384,0.000521,  36.743,   68,     4.9
   149.0,0.000778,0.000642,-0.014528,0.000497,  36.637,   68,     5.0
   150.0,0.000775,0.000636,-0.014777,0.000469,  36.544,   73,     5.0
   151.0,0.000775,0.000632,-0.014929,0.000493,  36.453,   67,     5.0
   152.0,0.000767,0.000634,-0.015025,0.000455,  36.358,   67,     5.1
   153.0,0.000772,0.000634,-0.015178,0.000493,  36.278,   69,     5.1
   154.0,0.000772,0.000619,-0.015226,0.000455,  36.204,   69,     5.1
   155.0,0.000757,0.000618,-0.015378,0.000455,  36.131,   69,     5.2
   156.0,0.000742,0.000625,-0.015503,0.000493,  36.051,   68,     5.2
   157.0,0.000741,0.000597,-0.015636,0.000455,  35.981,   68,     5.2
   158.0,0.000754,0.000601,-0.015713,0.000455,  35.909,   69,     5.3
   159.0,0.000731,0.000596,-0.015808,0.000493,  35.839,   68,     5.3
   160.0,0.000732,0.000584,-0.015942,0.000455,  35.784,   70,     5.3
   161.0,0.000743,0.000582,-0.016075,0.000465,  35.725,   66,     5.4
   162.0,0.000738,0.000586,-0.016266,0.000479,  35.673,   68,     5.4
   163.0,0.000736,0.000569,-0.016371,0.000455,  35.617,   68,     5.4
   164.0,0.000728,0.000578,-0.016342,0.000479,  35.567,   67,     5.5
   165.0,0.000724,0.000565,-0.016532,0.000455,  35.513,   68,     5.5
   166.0,0.000736,0.000554,-0.016580,0.000455,  35.454,   68,     5.5
   167.0,0.000743,0.000559,-0.016675,0.000465,  35.408,   70,     5.6
   168.0,0.000738,0.000562,-0.016808,0.000427,  35.366,   66,     5.6
   169.0,0.000747,0.000567,-0.016647,0.000441,  35.319,   69,     5.6
   170.0,0.000742,0.000580,-0.016590,0.000465,  35.267,   68,     5.7
   171.0,0.000734,0.000576,-0.016514,0.000441,  35.229,   68,     5.7
   172.0,0.000750,0.000585,-0.016542,0.000479,  35.182,   69,     5.7
   173.0,0.000742,0.000590,-0.016514,0.000455,  35.144,   69,     5.8
   174.0,0.000730,0.000593,-0.016542,0.000455,  35.102,   68,     5.8
   175.0,0.000738,0.000580,-0.016552,0.000479,  35.062,   69,     5.8
   176.0,0.000738,0.000580,-0.016609,0.000441,  35.022,   67,     5.9
   177.0,0.000738,0.000583,-0.016685,0.000441,  34.993,   69,     5.9
   178.0,0.000738,0.000590,-0.016600,0.000465,  34.961,   68,     5.9
   179.0,0.000726,0.000583,-0.016827,0.000455,  34.933,   68,     6.0
   180.0,0.000731,0.000587,-0.016723,0.000455,  34.903,   69,     6.0
   181.0,0.000731,0.000574,-0.016751,0.000455,  34.877,   69,     6.0
   182.0,0.000736,0.000572,-0.016790,0.000455,  34.846,   67,     6.1
