Run Name,Group 4 Run 1 (3 proteins)
Run Date,12:18:32 PM   03-28-16
Method Name,50% Isocratic
Export Format Version, 1.00
Method ID, 3178
Points/Second, 1.00
Number of Records,    670
Offset from Run Start Time,00:00:00
Run End Time,00:11:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001289,0.001292,0.041945,0.001252,  87.209,   77,     0.0
     1.0,0.001284,0.001300,0.041893,0.001252,  87.126,   73,     0.0
     2.0,0.001280,0.001304,0.041955,0.001174,  87.067,   74,     0.1
     3.0,-0.000310,0.000000,0.041945,0.001213,  86.990,   74,     0.1
     4.0,0.000000,0.000000,0.041421,0.001238,  86.840,   73,     0.1
     5.0,0.000000,0.000000,0.000000,0.000000,  86.764,   72,     0.2
     6.0,0.000000,0.000000,0.000000,0.000000,  86.708,   72,     0.2
     7.0,0.000000,0.000000,0.000000,0.000000,  86.655,   73,     0.2
     8.0,-0.000019,0.000013,0.000000,0.000000,  86.618,   73,     0.3
     9.0,-0.000004,0.000026,-0.000049,0.000000,  86.610,   75,     0.3
    10.0,0.000014,0.000027,-0.000237,-0.000049,  86.633,   74,     0.3
    11.0,0.000033,0.000056,-0.000276,-0.000049,  86.664,   72,     0.4
    12.0,0.000033,0.000061,-0.000424,-0.000035,  86.708,   73,     0.4
    13.0,0.000036,0.000076,-0.000523,-0.000060,  86.779,   73,     0.4
    14.0,0.000059,0.000081,-0.000572,-0.000060,  86.845,   72,     0.5
    15.0,0.000083,0.000096,-0.000473,-0.000046,  86.914,   72,     0.5
    16.0,0.000086,0.000119,-0.000552,-0.000046,  86.986,   73,     0.5
    17.0,0.000128,0.000149,-0.000532,-0.000046,  87.082,   72,     0.6
    18.0,0.000169,0.000198,-0.000760,-0.000071,  87.136,   73,     0.6
    19.0,0.000188,0.000222,-0.000641,-0.000032,  87.181,   72,     0.6
    20.0,0.000188,0.000228,-0.000434,-0.000018,  87.218,   70,     0.7
    21.0,0.000195,0.000229,-0.000564,-0.000004,  87.240,   73,     0.7
