Run Name,Run 2
Run Date,04:02:31 PM   02-03-17
Method Name,Group 16 multigradient
Export Format Version, 1.00
Method ID, 3551
Points/Second, 5.00
Number of Records,  12442
Offset from Run Start Time,00:00:00
Run End Time,00:41:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000172,0.000000,  0,-0.007305,0.000022,   4.252,  113,     0.0
     0.2,0.000177,0.000000,  3,-0.007316,-0.000002,   4.250,  111,     0.0
     0.4,0.000181,0.000000,  6,-0.007346,0.000022,   4.251,  108,     0.0
     0.6,0.000232,0.000000,  9,-0.007385,0.000022,   4.251,  109,     0.0
     0.8,0.000000,0.000000, 12,-0.007466,-0.000002,   4.254,  110,     0.0
     1.0,0.000000,0.000000, 15,-0.007567,0.000022,   4.250,  113,     0.0
     1.2,0.000000,0.000000, 15,0.000000,0.000022,   4.251,  115,     0.0
     1.4,0.000000,0.000000, 15,0.000000,-0.000016,   4.253,  114,     0.0
     1.6,0.000000,0.000000, 15,0.000000,0.000046,   4.251,  112,     0.1
     1.8,0.000000,0.000000, 15,0.000000,0.000070,   4.250,  111,     0.1
     2.0,0.000000,0.000000, 15,0.000000,0.000032,   4.251,  111,     0.1
     2.2,0.000000,0.000000, 15,0.000000,0.000000,   4.250,  112,     0.1
     2.4,0.000000,0.000000, 15,0.000000,0.000000,   4.253,  113,     0.1
     2.6,0.000000,0.000000, 15,0.000000,0.000000,   4.255,  113,     0.1
     2.8,0.000000,0.000000, 15,0.000000,0.000000,   4.254,  112,     0.1
     3.0,0.000000,0.000000, 15,0.000000,0.000000,   4.252,  112,     0.1
     3.2,0.000000,0.000000, 15,0.000000,0.000000,   4.255,  112,     0.1
     3.4,0.000000,0.000000, 15,0.000000,0.000000,   4.250,  112,     0.1
     3.6,0.000000,0.000000, 15,0.000000,0.000000,   4.250,  111,     0.1
     3.8,0.000000,0.000000, 15,0.000000,0.000000,   4.253,  112,     0.1
     4.0,0.000000,0.000033, 15,0.000000,0.000000,   4.253,  112,     0.1
     4.2,0.000000,0.000033, 15,0.000000,0.000000,   4.253,  112,     0.1
     4.4,-0.000009,0.000022, 15,0.000000,0.000000,   4.256,  111,     0.1
     4.6,0.000004,0.000028, 15,0.000000,0.000000,   4.256,  110,     0.2
     4.8,0.000000,0.000025, 15,0.000000,0.000000,   4.251,  108,     0.2
     5.0,0.000004,0.000021, 15,0.000000,0.000000,   4.255,  110,     0.2
     5.2,-0.000005,0.000017, 15,0.000000,0.000000,   4.252,  111,     0.2
     5.4,0.000004,0.000027, 15,0.000020,0.000000,   4.253,  110,     0.2
     5.6,0.000008,0.000030, 15,0.000031,0.000000,   4.255,  110,     0.2
     5.8,-0.000005,0.000031, 15,0.000021,0.000000,   4.253,  110,     0.2
     6.0,0.000000,0.000032, 15,0.000000,0.000000,   4.252,  110,     0.2
     6.2,0.000004,0.000025, 15,-0.000020,0.000000,   4.253,  112,     0.2
     6.4,-0.000009,0.000025, 15,-0.000040,0.000000,   4.253,  114,     0.2
     6.6,0.000000,0.000028, 15,-0.000070,0.000014,   4.253,  112,     0.2
     6.8,0.000004,0.000024, 15,-0.000100,-0.000024,   4.255,  111,     0.2
     7.0,-0.000009,0.000024, 15,-0.000130,-0.000024,   4.258,  109,     0.2
     7.2,-0.000004,0.000024, 15,-0.000130,-0.000024,   4.254,  107,     0.2
     7.4,0.000005,0.000014, 15,-0.000121,-0.000063,   4.256,  109,     0.2
     7.6,0.000001,0.000025, 15,-0.000100,-0.000024,   4.257,  110,     0.3
     7.8,0.000007,0.000022, 15,-0.000110,-0.000024,   4.251,  111,     0.3
     8.0,0.000007,0.000019, 15,-0.000140,-0.000063,   4.258,  113,     0.3
     8.2,0.000007,0.000028, 15,-0.000191,-0.000063,   4.254,  111,     0.3
     8.4,0.000002,0.000028, 15,-0.000221,-0.000063,   4.256,  109,     0.3
     8.6,0.000002,0.000025, 15,-0.000251,-0.000101,   4.255,  112,     0.3
