Run Name,Run 1
Run Date,05:00:52 PM   03-02-17
Method Name,Group 2 multigradient
Export Format Version, 1.00
Method ID, 3584
Points/Second, 5.00
Number of Records,  14239
Offset from Run Start Time,00:00:00
Run End Time,00:47:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000574,0.000657, 14,0.040799,0.000274,  36.147,  156,     0.0
     0.2,0.000771,0.000650, 14,0.040882,0.000260,  36.149,  154,     0.0
     0.4,-0.003030,0.000660, 14,0.041025,0.000260,  36.150,  152,     0.0
     0.6,-0.002904,0.000653, 14,0.041250,0.000284,  36.154,  153,     0.0
     0.8,0.000000,0.000660, 14,0.041240,0.000284,  36.058,  154,     0.0
     1.0,0.000000,0.000657, 14,0.076330,0.000299,  35.946,  152,     0.0
     1.2,0.000000,0.000661, 14,0.076330,0.000000,  35.907,  151,     0.0
     1.4,0.000000,0.000000, 14,0.076330,0.000000,  35.891,  151,     0.0
     1.6,0.000000,0.000000, 14,0.076330,0.000000,  35.880,  152,     0.1
     1.8,0.000000,0.000000, 14,0.000000,0.000000,  35.873,  152,     0.1
     2.0,0.000000,0.000000, 14,0.000000,0.000000,  35.857,  152,     0.1
     2.2,0.000000,0.000000, 14,0.000000,0.000000,  35.847,  151,     0.1
     2.4,0.000000,0.000000, 14,0.000000,0.000000,  35.843,  150,     0.1
     2.6,0.000000,0.000000, 14,0.000000,0.000000,  35.839,  149,     0.1
     2.8,0.000000,0.000000, 14,0.000000,0.000000,  35.837,  148,     0.1
     3.0,0.000000,0.000000, 14,0.000000,0.000000,  35.833,  151,     0.1
     3.2,0.000000,0.000000, 14,0.000000,0.000000,  35.832,  155,     0.1
     3.4,0.000000,0.000000, 14,0.000000,0.000000,  35.822,  153,     0.1
     3.6,0.000000,0.000000, 14,0.000000,0.000000,  35.825,  150,     0.1
     3.8,0.000000,0.000000, 14,0.000000,0.000000,  35.820,  150,     0.1
     4.0,0.000000,0.000000, 14,0.000000,0.000000,  35.816,  149,     0.1
     4.2,0.000072,0.000000, 14,0.000000,0.000000,  35.818,  149,     0.1
     4.4,0.000067,0.000000, 14,0.000000,0.000000,  35.815,  149,     0.1
     4.6,0.000066,0.000000, 14,0.000000,0.000000,  35.812,  150,     0.2
     4.8,0.000083,0.000000, 14,0.000000,0.000000,  35.803,  150,     0.2
     5.0,0.000085,0.000000, 14,-0.000393,0.000000,  35.804,  148,     0.2
     5.2,0.000093,0.000000, 14,-0.000380,0.000067,  35.808,  146,     0.2
     5.4,0.000110,0.000069, 14,-0.000390,0.000081,  35.804,  150,     0.2
     5.6,0.000109,0.000078, 14,-0.000456,0.000119,  35.799,  154,     0.2
     5.8,0.000117,0.000090, 14,-0.000524,0.000133,  35.798,  152,     0.2
     6.0,0.000130,0.000096, 14,-0.000625,0.000095,  35.793,  150,     0.2
     6.2,0.000129,0.000105, 14,-0.000750,0.000095,  35.793,  149,     0.2
     6.4,0.000137,0.000113, 14,-0.000851,0.000085,  35.792,  148,     0.2
     6.6,0.000150,0.000125, 14,-0.000951,0.000085,  35.795,  149,     0.2
     6.8,0.000149,0.000130, 14,-0.001031,0.000085,  35.793,  151,     0.2
     7.0,0.000156,0.000133, 14,-0.001086,0.000061,  35.791,  151,     0.2
     7.2,0.000169,0.000146, 14,-0.001143,0.000113,  35.796,  151,     0.2
     7.4,0.000168,0.000156, 14,-0.001187,0.000113,  35.798,  150,     0.2
     7.6,0.000172,0.000168, 14,-0.001253,0.000075,  35.795,  149,     0.3
     7.8,0.000180,0.000174, 14,-0.001277,0.000127,  35.802,  150,     0.3
     8.0,0.000179,0.000186, 14,-0.001333,0.000127,  35.800,  152,     0.3
     8.2,0.000188,0.000192, 14,-0.001377,0.000103,  35.803,  150,     0.3
     8.4,0.000188,0.000198, 14,-0.001378,0.000155,  35.806,  148,     0.3
     8.6,0.000187,0.000207, 14,-0.001389,0.000155,  35.809,  148,     0.3
     8.8,0.000196,0.000213, 14,-0.001376,0.000131,  35.813,  148,     0.3
     9.0,0.000200,0.000217, 14,-0.001353,0.000170,  35.815,  147,     0.3
     9.2,0.000204,0.000226, 14,-0.001317,0.000170,  35.822,  146,     0.3
     9.4,0.000208,0.000230, 14,-0.001316,0.000145,  35.839,  148,     0.3
