Run Name,Linear Gradient 1
Run Date,01:53:41 PM   02-02-17
Method Name,Group 3 Linear Gradient
Export Format Version, 1.00
Method ID, 3539
Points/Second, 5.00
Number of Records,  15012
Offset from Run Start Time,00:00:00
Run End Time,00:50:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000845,-0.345403, 15,-0.002396,-0.434452,   4.054,   98,     0.0
     0.2,-0.000854,-0.345403, 15,-0.002489,-0.434504,   4.056,   98,     0.0
     0.4,-0.000845,-0.345410, 15,-0.002624,-0.434466,   4.056,   98,     0.0
     0.6,-0.000844,-0.345406, 15,-0.002790,-0.434466,   4.057,   96,     0.0
     0.8,-0.000853,-0.345406, 15,-0.002790,-0.434466,   4.057,   95,     0.0
     1.0,-0.000844,-0.345413, 15,-0.002717,-0.434504,   4.055,   97,     0.0
     1.2,-0.000843,-0.345406, 15,-0.002572,-0.434504,   4.056,   98,     0.0
     1.4,-0.000856,-0.345410, 15,-0.002531,-0.434466,   4.052,   97,     0.0
     1.6,-0.000847,-0.345410, 15,-0.002510,-0.434504,   4.053,   96,     0.0
     1.8,-0.000846,-0.345403, 15,-0.002479,-0.434504,   4.052,   97,     0.0
     2.0,-0.000846,-0.345402, 15,-0.002448,-0.434466,   4.050,   98,     0.0
     2.2,-0.000850,-0.345408, 15,-0.002406,-0.434504,   4.054,   97,     0.0
     2.4,-0.000844,-0.345407, 15,-0.002365,-0.434466,   4.052,   95,     0.0
     2.6,-0.000844,-0.345407, 15,-0.002323,-0.434466,   4.053,   97,     0.0
     2.8,-0.000854,-0.345401, 15,-0.002292,-0.434504,   4.054,   98,     0.0
     3.0,-0.000852,-0.345401, 15,-0.002251,-0.434466,   4.052,   97,     0.1
     3.2,-0.000852,-0.345404, 15,-0.002220,-0.434466,   4.048,   97,     0.1
     3.4,-0.000857,-0.345397, 15,-0.002230,-0.434504,   4.047,   96,     0.1
     3.6,-0.000852,-0.345407, 15,-0.002261,-0.434466,   4.051,   94,     0.1
     3.8,-0.000852,-0.345400, 15,-0.002323,-0.434466,   4.050,   96,     0.1
     4.0,-0.000852,-0.345400, 15,-0.002344,-0.434504,   4.053,   97,     0.1
     4.2,-0.000838,-0.345403, 15,-0.002355,-0.434466,   4.057,   97,     0.1
     4.4,-0.000838,-0.345403, 15,-0.002375,-0.434466,   4.056,   96,     0.1
     4.6,-0.000847,-0.345406, 15,-0.002355,-0.434504,   4.054,   96,     0.1
     4.8,-0.002300,-0.345412, 15,-0.002292,-0.434466,   4.050,   96,     0.1
     5.0,-0.002161,0.000000, 15,-0.002199,-0.434466,   4.053,   96,     0.1
     5.2,-0.001900,0.000000, 15,-0.002220,-0.434466,   4.053,   96,     0.1
     5.4,-0.001688,0.000000, 15,-0.002261,-0.434466,   4.053,   96,     0.1
     5.6,0.000000,0.000000, 15,-0.002344,-0.434428,   4.056,   96,     0.1
     5.8,0.000000,0.000000, 15,-0.002365,-0.434428,   4.058,   97,     0.1
     6.0,0.000000,0.000000, 15,-0.002365,-0.434466,   4.055,   97,     0.1
     6.2,0.000000,0.000000, 15,-0.002304,-0.434442,   4.055,   96,     0.1
     6.4,0.000000,0.000000, 15,-0.002304,-0.434428,   4.052,   95,     0.1
     6.6,0.000000,0.000000, 15,-0.002304,-0.434466,   4.054,   95,     0.1
     6.8,0.000000,0.000000, 15,-0.002304,-0.434442,   4.054,   95,     0.1
     7.0,0.000000,0.000000, 15,0.000000,-0.434428,   4.053,   94,     0.1
     7.2,0.000000,0.000000, 15,0.000000,-0.434403,   4.054,   94,     0.1
     7.4,0.000000,0.000000, 15,0.000000,0.000000,   4.049,   94,     0.1
     7.6,0.000000,0.000000, 15,0.000000,0.000000,   4.058,   95,     0.1
     7.8,0.000000,0.000000, 15,0.000000,0.000000,   4.057,   97,     0.1
     8.0,0.000000,0.000000, 15,0.000000,0.000000,   4.053,   99,     0.1
     8.2,0.000000,0.000000, 15,0.000000,0.000000,   4.051,   97,     0.1
     8.4,0.000000,0.000000, 15,0.000000,0.000000,   4.053,   95,     0.1
     8.6,0.000024,0.000008, 15,0.000000,0.000000,   4.052,   94,     0.1
     8.8,0.000036,0.000028, 15,0.000000,0.000000,   4.051,   94,     0.1
     9.0,0.000057,0.000035, 15,0.000000,0.000000,   4.053,   93,     0.2
     9.2,0.000059,0.000051, 15,0.000000,0.000000,   4.046,   92,     0.2
     9.4,0.000077,0.000057, 15,0.000000,0.000000,   4.050,   94,     0.2
     9.6,0.000077,0.000076, 15,0.000000,0.000000,   4.054,   97,     0.2
     9.8,0.000075,0.000084, 15,0.000000,0.000000,   4.056,   95,     0.2
    10.0,0.000088,0.000092, 15,0.000000,0.000000,   4.055,   93,     0.2
