Run Name,Run 1
Run Date,04:05:11 PM   02-02-17
Method Name,MulitStep.1
Export Format Version, 1.00
Method ID, 3544
Points/Second, 5.00
Number of Records,  12534
Offset from Run Start Time,00:00:00
Run End Time,00:41:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001190,0.000000, 10,0.008192,0.000000,   4.300,   94,     0.0
     0.2,0.000390,0.000000, 10,0.008192,0.000000,   4.296,   94,     0.0
     0.4,-0.001251,0.000000, 10,0.008192,0.000000,   4.297,   94,     0.0
     0.6,-0.001288,0.000000, 10,0.008192,0.000000,   4.298,   95,     0.0
     0.8,0.000000,0.000000, 10,0.008192,0.000000,   4.296,   96,     0.0
     1.0,0.000000,0.000000, 10,0.000000,0.000000,   4.300,   96,     0.0
     1.2,0.000000,0.000000, 10,0.000000,0.000000,   4.299,   96,     0.0
     1.4,0.000000,0.000000, 10,0.000000,0.000000,   4.296,   96,     0.0
     1.6,0.000000,0.000000, 10,0.000000,0.000000,   4.294,   96,     0.0
     1.8,0.000000,0.000000, 10,0.000000,0.000000,   4.298,   96,     0.0
     2.0,0.000000,0.000000, 10,0.000000,0.000000,   4.296,   96,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,   4.294,   95,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   4.298,   93,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   4.293,   95,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   4.298,   96,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   4.299,   96,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   4.302,   96,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   4.301,   95,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   4.297,   94,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   4.301,   94,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   4.302,   94,     0.1
     4.2,0.000055,0.000000, 10,0.000000,0.000000,   4.301,   95,     0.1
     4.4,0.000063,0.000017, 10,0.000000,0.000066,   4.303,   96,     0.1
     4.6,0.000070,0.000028, 10,-0.000072,0.000042,   4.303,   94,     0.1
     4.8,0.000078,0.000037, 10,-0.000153,0.000004,   4.301,   92,     0.1
     5.0,0.000086,0.000039, 10,-0.000194,0.000056,   4.300,   93,     0.1
     5.2,0.000103,0.000045, 10,-0.000235,0.000032,   4.303,   94,     0.1
     5.4,0.000111,0.000051, 10,-0.000256,0.000046,   4.295,   94,     0.1
     5.6,0.000120,0.000056, 10,-0.000256,0.000032,   4.299,   94,     0.1
     5.8,0.000132,0.000062, 10,-0.000225,-0.000006,   4.301,   93,     0.1
     6.0,0.000148,0.000075, 10,-0.000236,0.000022,   4.300,   92,     0.1
     6.2,0.000156,0.000088, 10,-0.000246,0.000022,   4.298,   93,     0.1
     6.4,0.000164,0.000093, 10,-0.000266,0.000036,   4.301,   94,     0.1
     6.6,0.000173,0.000102, 10,-0.000307,0.000051,   4.299,   94,     0.1
     6.8,0.000182,0.000115, 10,-0.000368,0.000051,   4.300,   94,     0.1
     7.0,0.000199,0.000117, 10,-0.000450,0.000065,   4.295,   94,     0.1
     7.2,0.000203,0.000126, 10,-0.000491,0.000065,   4.297,   93,     0.1
     7.4,0.000211,0.000136, 10,-0.000511,0.000079,   4.299,   94,     0.1
