Run Name,Run 1
Run Date,02:27:37 PM   03-27-17
Method Name,Group 5
Export Format Version, 1.00
Method ID, 3588
Points/Second, 5.00
Number of Records,  12134
Offset from Run Start Time,00:00:00
Run End Time,00:40:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000000,-0.344557, 15,0.066106,-0.438223,   4.768,  164,     0.0
     0.2,0.000000,-0.344560, 15,0.066106,-0.438209,   4.766,  164,     0.0
     0.4,0.000000,-0.344563, 15,0.066106,-0.438262,   4.762,  163,     0.0
     0.6,0.000000,-0.344557, 15,0.066106,-0.438262,   4.759,  162,     0.0
     0.8,0.000000,-0.344553, 15,0.000000,-0.438248,   4.762,  160,     0.0
     1.0,0.000000,-0.344548, 15,0.000000,-0.438287,   4.760,  163,     0.0
     1.2,0.000000,0.000000, 15,0.000000,0.000000,   4.756,  165,     0.0
     1.4,0.000000,0.000000, 15,0.000000,0.000000,   4.759,  164,     0.0
     1.6,0.000000,0.000000, 15,0.000000,0.000000,   4.756,  163,     0.1
     1.8,0.000000,0.000000, 15,0.000000,0.000000,   4.756,  162,     0.1
     2.0,0.000000,0.000000, 15,0.000000,0.000000,   4.755,  160,     0.1
     2.2,0.000000,0.000000, 15,0.000000,0.000000,   4.757,  163,     0.1
     2.4,0.000000,0.000000, 15,0.000000,0.000000,   4.755,  166,     0.1
     2.6,0.000000,0.000000, 15,0.000000,0.000000,   4.760,  164,     0.1
     2.8,0.000000,0.000000, 15,0.000000,0.000000,   4.757,  163,     0.1
     3.0,0.000000,0.000000, 15,0.000000,0.000000,   4.761,  162,     0.1
     3.2,0.000000,0.000000, 15,0.000000,0.000000,   4.762,  161,     0.1
     3.4,0.000000,0.000000, 15,0.000000,0.000000,   4.768,  161,     0.1
     3.6,0.000000,0.000000, 15,0.000000,0.000000,   4.771,  161,     0.1
     3.8,0.000000,0.000000, 15,0.000000,0.000000,   4.778,  162,     0.1
     4.0,0.000000,0.000000, 15,0.000000,0.000000,   4.777,  163,     0.1
     4.2,0.000000,0.000000, 15,0.000000,0.000000,   4.782,  161,     0.1
     4.4,0.000000,0.000000, 15,-0.000015,0.000000,   4.785,  159,     0.1
     4.6,-0.000009,0.000000, 15,0.000048,0.000000,   4.784,  158,     0.2
     4.8,-0.000011,0.000000, 15,0.000098,0.000000,   4.788,  157,     0.2
     5.0,-0.000016,0.000000, 15,0.000124,0.000000,   4.792,  159,     0.2
