Run Name,Alam_Jan 26 2017
Run Date,06:01:03 PM   01-26-17
Method Name,Isocratic 36%
Export Format Version, 1.00
Method ID, 3509
Points/Second, 5.00
Number of Records,   5886
Offset from Run Start Time,00:00:00
Run End Time,00:19:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000189,0.000495, 36,0.034352,0.000041,  83.949,  110,     0.0
     0.2,0.000189,0.000495, 36,0.034376,0.000055,  83.938,  111,     0.0
     0.4,0.000189,0.000494, 36,0.034402,0.000041,  83.934,  113,     0.0
     0.6,0.000181,0.000500, 36,0.034440,0.000041,  83.923,  112,     0.0
     0.8,0.000181,0.000499, 36,0.034502,0.000055,  83.914,  111,     0.0
     1.0,0.000185,0.000502, 36,0.034542,0.000041,  83.908,  111,     0.0
     1.2,0.000181,0.000502, 36,0.034582,0.000041,  83.900,  112,     0.0
     1.4,0.000181,0.000498, 36,0.034518,0.000055,  83.899,  111,     0.0
     1.6,0.000176,0.000495, 36,0.034376,0.000041,  83.884,  110,     0.1
     1.8,0.000172,0.000498, 36,0.034170,0.000041,  83.876,  112,     0.1
     2.0,0.000172,0.000494, 36,0.034158,0.000055,  83.885,  114,     0.1
     2.2,0.000167,0.000494, 36,0.034196,0.000041,  83.873,  113,     0.1
     2.4,0.000172,0.000495, 36,0.034309,0.000041,  83.821,  113,     0.1
     2.6,0.000172,0.000488, 36,0.034347,0.000041,  83.805,  111,     0.1
     2.8,0.000172,0.000494, 36,0.034397,0.000041,  83.804,  110,     0.1
     3.0,0.000172,0.000494, 36,0.034423,0.000027,  83.813,  110,     0.1
     3.2,0.000172,0.000494, 36,0.034511,0.000027,  83.802,  110,     0.1
     3.4,0.000176,0.000497, 36,0.034636,0.000041,  83.799,  110,     0.1
     3.6,0.000176,0.000495, 36,0.034501,0.000027,  83.797,  110,     0.1
     3.8,0.000262,0.000495, 36,0.034501,0.000027,  83.793,  109,     0.1
     4.0,-0.000624,-0.000898, 36,0.034501,0.000027,  83.788,  108,     0.1
     4.2,-0.004257,-0.003694, 36,0.034501,0.000051,  83.792,  109,     0.1
     4.4,-0.003167,-0.003694, 36,0.000000,-0.002057,  83.783,  110,     0.1
     4.6,0.000000,0.000000, 36,0.000000,-0.005725,  83.787,  110,     0.2
     4.8,0.000000,0.000000, 36,0.000000,0.000000,  83.786,  110,     0.2
     5.0,0.000000,0.000000, 36,0.000000,0.000000,  83.799,  110,     0.2
     5.2,0.000000,0.000000, 36,0.000000,0.000000,  83.801,  109,     0.2
     5.4,0.000000,0.000000, 36,0.000000,0.000000,  83.808,  110,     0.2
     5.6,0.000000,0.000000, 36,0.000000,0.000000,  83.803,  111,     0.2
     5.8,0.000000,0.000000, 36,0.000000,0.000000,  83.811,  110,     0.2
     6.0,0.000000,0.000000, 36,0.000000,0.000000,  83.832,  108,     0.2
     6.2,0.000000,0.000000, 36,0.000000,0.000000,  83.841,  109,     0.2
     6.4,0.000000,0.000000, 36,0.000000,0.000000,  83.844,  109,     0.2
     6.6,0.000000,0.000000, 36,0.000000,0.000000,  83.850,  109,     0.2
     6.8,0.000000,0.000000, 36,0.000000,0.000000,  83.862,  109,     0.2
     7.0,0.000000,0.000000, 36,0.000000,0.000000,  83.885,  109,     0.2
     7.2,0.000000,0.000000, 36,0.000000,0.000000,  83.902,  110,     0.2
     7.4,0.000000,0.000000, 36,0.000000,0.000000,  83.905,  110,     0.2
     7.6,0.000000,0.000035, 36,0.000000,0.000000,  83.919,  109,     0.3
     7.8,0.000000,0.000048, 36,0.000129,0.000000,  83.934,  109,     0.3
     8.0,0.000034,0.000062, 36,0.000196,0.000000,  83.958,  109,     0.3
     8.2,0.000049,0.000074, 36,0.000201,0.000000,  84.029,  109,     0.3
     8.4,0.000053,0.000082, 36,0.000169,0.000000,  84.040,  108,     0.3
     8.6,0.000061,0.000079, 36,0.000083,0.000000,  84.053,  110,     0.3
     8.8,0.000069,0.000079, 36,-0.000063,0.000000,  84.069,  111,     0.3
     9.0,0.000064,0.000082, 36,-0.000159,0.000000,  84.102,  110,     0.3
     9.2,0.000064,0.000082, 36,-0.000244,-0.000020,  84.118,  109,     0.3
     9.4,0.000072,0.000094, 36,-0.000342,0.000008,  84.138,  107,     0.3
     9.6,0.000071,0.000101, 36,-0.000389,0.000036,  84.155,  106,     0.3
     9.8,0.000087,0.000107, 36,-0.000413,-0.000016,  84.172,  108,     0.3
    10.0,0.000095,0.000113, 36,-0.000435,-0.000040,  84.194,  109,     0.3
    10.2,0.000094,0.000116, 36,-0.000457,-0.000040,  84.218,  109,     0.3
    10.4,0.000107,0.000119, 36,-0.000480,-0.000002,  84.232,  109,     0.3
    10.6,0.000115,0.000122, 36,-0.000504,0.000012,  84.247,  109,     0.4
    10.8,0.000113,0.000132, 36,-0.000538,-0.000026,  84.265,  109,     0.4
    11.0,0.000130,0.000138, 36,-0.000561,-0.000026,  84.294,  110,     0.4
    11.2,0.000142,0.000144, 36,-0.000598,-0.000012,  84.313,  111,     0.4
    11.4,0.000141,0.000153, 36,-0.000610,-0.000050,  84.326,  110,     0.4
    11.6,0.000153,0.000165, 36,-0.000620,-0.000026,  84.338,  108,     0.4
    11.8,0.000161,0.000171, 36,-0.000620,-0.000026,  84.353,  108,     0.4
    12.0,0.000160,0.000181, 36,-0.000668,-0.000050,  84.377,  108,     0.4
    12.2,0.000173,0.000190, 36,-0.000729,0.000002,  84.398,  109,     0.4
    12.4,0.000181,0.000196, 36,-0.000803,0.000002,  84.411,  109,     0.4
    12.6,0.000185,0.000199, 36,-0.001097,-0.000022,  84.478,  108,     0.4
    12.8,0.000192,0.000211, 36,-0.001502,0.000017,  84.489,  107,     0.4
    13.0,0.000192,0.000217, 36,-0.002018,0.000017,  84.512,  109,     0.4
    13.2,0.000196,0.000226, 36,-0.002043,-0.000007,  84.530,  110,     0.4
    13.4,0.000200,0.000232, 36,-0.001894,0.000017,  84.539,  109,     0.4
    13.6,0.000208,0.000239, 36,-0.001552,0.000031,  84.555,  108,     0.5
    13.8,0.000216,0.000246, 36,-0.001514,-0.000007,  84.564,  109,     0.5
    14.0,0.000211,0.000255, 36,-0.001526,0.000031,  84.584,  109,     0.5
    14.2,0.000224,0.000258, 36,-0.001599,0.000045,  84.599,  109,     0.5
    14.4,0.000231,0.000263, 36,-0.001571,0.000007,  84.608,  109,     0.5
    14.6,0.000230,0.000272, 36,-0.001488,0.000059,  84.618,  108,     0.5
    14.8,0.000243,0.000275, 36,-0.001392,0.000073,  84.630,  106,     0.5
    15.0,0.000251,0.000275, 36,-0.001319,0.000021,  84.646,  107,     0.5
