Run Name,Alam_26 jan 2017
Run Date,06:29:11 PM   01-26-17
Method Name,Isocratic 38%
Export Format Version, 1.00
Method ID, 3511
Points/Second, 5.00
Number of Records,   5027
Offset from Run Start Time,00:00:00
Run End Time,00:16:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000327,0.000000, 38,0.036170,0.000000,  84.118,  114,     0.0
     0.2,-0.002972,0.000000, 38,0.036170,0.000000,  84.113,  114,     0.0
     0.4,-0.004160,0.000000, 38,0.036170,0.000000,  84.104,  115,     0.0
     0.6,-0.003023,0.000000, 38,0.036170,0.000000,  84.096,  115,     0.0
     0.8,0.000000,0.000000, 38,0.000000,0.000000,  84.077,  115,     0.0
     1.0,0.000000,0.000000, 38,0.000000,0.000000,  84.072,  116,     0.0
     1.2,0.000000,0.000000, 38,0.000000,0.000000,  84.077,  117,     0.0
     1.4,0.000000,0.000000, 38,0.000000,0.000000,  84.067,  115,     0.0
     1.6,0.000000,0.000000, 38,0.000000,0.000000,  84.050,  113,     0.1
     1.8,0.000000,0.000000, 38,0.000000,0.000000,  84.048,  114,     0.1
     2.0,0.000000,0.000000, 38,0.000000,0.000000,  84.044,  115,     0.1
     2.2,0.000000,0.000000, 38,0.000000,0.000000,  84.042,  115,     0.1
     2.4,0.000000,0.000000, 38,0.000000,0.000000,  84.027,  115,     0.1
     2.6,0.000000,0.000000, 38,0.000000,0.000000,  83.977,  115,     0.1
     2.8,0.000000,0.000000, 38,0.000000,0.000000,  83.963,  115,     0.1
     3.0,0.000000,0.000000, 38,0.000000,0.000000,  83.963,  114,     0.1
     3.2,0.000000,0.000000, 38,0.000000,0.000000,  83.954,  114,     0.1
     3.4,0.000000,0.000000, 38,0.000000,0.000000,  83.947,  114,     0.1
     3.6,0.000000,0.000000, 38,0.000000,0.000000,  83.943,  114,     0.1
     3.8,0.000000,0.000000, 38,0.000000,0.000000,  83.942,  115,     0.1
     4.0,0.000000,0.000014, 38,0.000000,0.000000,  83.934,  115,     0.1
     4.2,0.000038,0.000032, 38,-0.000139,0.000000,  83.938,  114,     0.1
     4.4,0.000033,0.000036, 38,-0.000233,0.000056,  83.933,  112,     0.1
     4.6,0.000037,0.000037, 38,-0.000304,0.000032,  83.934,  113,     0.2
     4.8,0.000046,0.000037, 38,-0.000352,0.000070,  83.939,  115,     0.2
     5.0,0.000044,0.000036, 38,-0.000388,0.000070,  83.939,  114,     0.2
     5.2,0.000057,0.000041, 38,-0.000391,0.000085,  83.945,  113,     0.2
