Run Name,Lysozyme_1.25.17
Run Date,01:33:27 AM   01-26-17
Method Name,Linear Gradient Template
Export Format Version, 1.00
Method ID, 3488
Points/Second, 5.00
Number of Records,   9390
Offset from Run Start Time,00:00:00
Run End Time,00:31:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000000,0.000000,  0,0.000000,0.000000,   4.341,   52,     0.0
     0.2,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   52,     0.0
     0.4,0.000000,0.000000,  0,0.000000,0.000000,   4.342,   53,     0.0
     0.6,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   53,     0.0
     0.8,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   53,     0.0
     1.0,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   53,     0.0
     1.2,0.000000,0.000000,  0,0.000000,0.000000,   4.337,   53,     0.0
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   4.336,   53,     0.0
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   53,     0.0
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   4.340,   53,     0.0
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   4.338,   54,     0.0
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   4.335,   53,     0.0
     2.4,0.000000,0.000000,  0,0.000000,0.000000,   4.336,   52,     0.0
     2.6,0.000000,0.000000,  0,0.000000,0.000000,   4.335,   51,     0.0
     2.8,0.000000,0.000000,  0,0.000000,0.000000,   4.337,   50,     0.0
     3.0,0.000000,0.000000,  0,0.000000,0.000000,   4.333,   52,     0.1
     3.2,0.000016,0.000000,  0,0.000000,-0.000038,   4.337,   53,     0.1
     3.4,0.000027,0.000000,  0,0.000000,0.000000,   4.335,   53,     0.1
