Run Name,Ribo-A_1.25.17
Run Date,12:41:57 AM   01-26-17
Method Name,Linear Gradient Template
Export Format Version, 1.00
Method ID, 3485
Points/Second, 5.00
Number of Records,   9824
Offset from Run Start Time,00:00:00
Run End Time,00:32:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001279,0.001373,  0,-0.013677,0.000976,   4.381,   53,     0.0
     0.2,0.001283,0.001374,  0,-0.013709,0.000938,   4.380,   52,     0.0
     0.4,0.001279,0.001367,  0,-0.013751,0.000938,   4.381,   52,     0.0
     0.6,0.001279,0.001378,  0,-0.013804,0.000976,   4.381,   52,     0.0
     0.8,0.001283,0.001374,  0,-0.013835,0.000938,   4.376,   52,     0.0
     1.0,0.001279,0.001377,  0,-0.013877,0.000938,   4.378,   53,     0.0
     1.2,0.001279,0.001380,  0,-0.013909,0.000976,   4.377,   53,     0.0
     1.4,0.001283,0.001379,  0,-0.013867,0.000938,   4.378,   53,     0.0
     1.6,0.001270,0.001372,  0,-0.013793,0.000938,   4.377,   52,     0.0
     1.8,0.001270,0.001376,  0,-0.013688,0.000976,   4.381,   52,     0.0
     2.0,0.001274,0.001379,  0,-0.013688,0.000938,   4.377,   51,     0.0
     2.2,0.001270,0.001375,  0,-0.013719,0.000938,   4.375,   54,     0.0
     2.4,-0.001086,0.001378,  0,-0.013783,0.000976,   4.377,   56,     0.0
     2.6,-0.000922,0.001378,  0,-0.013793,0.000938,   4.375,   54,     0.0
     2.8,-0.000646,0.001381,  0,-0.013814,0.000938,   4.376,   51,     0.0
     3.0,-0.000646,0.001381,  0,-0.013793,0.000976,   4.371,   51,     0.1
     3.2,0.000000,0.001378,  0,-0.013583,0.000938,   4.374,   50,     0.1
     3.4,0.000000,0.001378,  0,-0.013288,0.000938,   4.375,   51,     0.1
     3.6,0.000000,0.001371,  0,-0.013907,0.000000,   4.376,   52,     0.1
     3.8,0.000000,0.000000,  0,-0.013907,0.000000,   4.372,   52,     0.1
     4.0,0.000000,0.000000,  0,-0.013907,0.000000,   4.376,   52,     0.1
     4.2,0.000000,0.000000,  0,-0.013907,0.000000,   4.374,   52,     0.1
     4.4,0.000000,0.000000,  0,0.000000,0.000000,   4.375,   51,     0.1
     4.6,0.000000,0.000000,  0,0.000000,0.000000,   4.374,   52,     0.1
     4.8,0.000000,0.000000,  0,0.000000,0.000000,   4.373,   52,     0.1
     5.0,0.000000,0.000000,  0,0.000000,0.000000,   4.373,   52,     0.1
     5.2,0.000000,0.000000,  0,0.000000,0.000000,   4.370,   53,     0.1
     5.4,0.000000,0.000000,  0,0.000000,0.000000,   4.375,   52,     0.1
     5.6,0.000000,0.000000,  0,0.000000,0.000000,   4.372,   51,     0.1
     5.8,0.000000,0.000000,  0,0.000000,0.000000,   4.370,   51,     0.1
     6.0,0.000000,0.000000,  0,0.000000,0.000000,   4.368,   51,     0.1
     6.2,0.000000,0.000000,  0,0.000000,0.000000,   4.370,   51,     0.1
     6.4,0.000000,0.000000,  0,0.000000,0.000000,   4.371,   52,     0.1
     6.6,0.000075,0.000000,  0,0.000000,0.000000,   4.373,   53,     0.1
     6.8,0.000074,0.000000,  0,0.000000,0.000000,   4.372,   54,     0.1
     7.0,0.000078,0.000000,  0,0.000000,0.000000,   4.371,   53,     0.1
     7.2,0.000082,0.000000,  0,0.000000,0.000000,   4.368,   52,     0.1
     7.4,0.000090,0.000000,  0,0.000000,0.000000,   4.371,   52,     0.1
     7.6,0.000106,0.000000,  0,0.000000,0.000000,   4.369,   52,     0.1
     7.8,0.000119,0.000000,  0,0.000020,0.000000,   4.366,   52,     0.1
     8.0,0.000118,0.000019,  0,-0.000000,0.000119,   4.368,   52,     0.1
     8.2,0.000122,0.000038,  0,-0.000021,0.000080,   4.362,   51,     0.1
     8.4,0.000130,0.000058,  0,-0.000062,0.000042,   4.367,   50,     0.1
     8.6,0.000129,0.000067,  0,-0.000124,0.000066,   4.369,   50,     0.1
     8.8,0.000129,0.000070,  0,-0.000216,0.000042,   4.368,   51,     0.1
     9.0,0.000129,0.000063,  0,-0.000268,0.000042,   4.368,   51,     0.2
     9.2,0.000128,0.000065,  0,-0.000309,0.000080,   4.368,   51,     0.2
     9.4,0.000131,0.000073,  0,-0.000340,0.000056,   4.365,   51,     0.2
     9.6,0.000135,0.000087,  0,-0.000350,0.000042,   4.367,   52,     0.2
     9.8,0.000134,0.000100,  0,-0.000381,0.000080,   4.367,   52,     0.2
    10.0,0.000142,0.000099,  0,-0.000371,0.000056,   4.369,   52,     0.2
    10.2,0.000151,0.000099,  0,-0.000391,0.000056,   4.366,   52,     0.2
    10.4,0.000155,0.000100,  0,-0.000422,0.000056,   4.368,   52,     0.2
    10.6,0.000159,0.000099,  0,-0.000453,0.000071,   4.365,   51,     0.2
    10.8,0.000159,0.000108,  0,-0.000473,0.000071,   4.365,   51,     0.2
    11.0,0.000167,0.000121,  0,-0.000514,0.000056,   4.363,   51,     0.2
    11.2,0.000171,0.000127,  0,-0.000556,0.000071,   4.369,   51,     0.2
    11.4,0.000171,0.000124,  0,-0.000751,0.000071,   4.369,   51,     0.2
    11.6,0.000178,0.000128,  0,-0.001007,0.000056,   4.365,   51,     0.2
    11.8,0.000186,0.000131,  0,-0.001355,0.000071,   4.371,   52,     0.2
    12.0,0.000186,0.000129,  0,-0.001570,0.000071,   4.365,   52,     0.2
    12.2,0.000186,0.000130,  0,-0.001713,0.000071,   4.362,   52,     0.2
    12.4,0.000190,0.000127,  0,-0.001815,0.000085,   4.364,   53,     0.2
    12.6,0.000190,0.000136,  0,-0.001734,0.000071,   4.366,   52,     0.2
    12.8,0.000199,0.000138,  0,-0.001519,0.000071,   4.367,   51,     0.2
    13.0,0.000203,0.000138,  0,-0.001192,0.000085,   4.366,   53,     0.2
    13.2,0.000211,0.000134,  0,-0.001038,0.000085,   4.369,   54,     0.2
    13.4,0.000211,0.000134,  0,-0.000915,0.000085,   4.362,   53,     0.2
    13.6,0.000215,0.000140,  0,-0.000823,0.000099,   4.367,   51,     0.2
    13.8,0.000218,0.000146,  0,-0.000772,0.000099,   4.372,   51,     0.2
    14.0,0.000218,0.000159,  0,-0.000761,0.000099,   4.367,   50,     0.2
    14.2,0.000222,0.000165,  0,-0.000792,0.000099,   4.363,   51,     0.2
    14.4,0.000226,0.000164,  0,-0.000751,0.000099,   4.370,   52,     0.2
    14.6,0.000230,0.000171,  0,-0.000690,0.000099,   4.368,   51,     0.2
    14.8,0.000238,0.000181,  0,-0.000618,0.000113,   4.368,   51,     0.2
    15.0,0.000242,0.000182,  0,-0.000587,0.000113,   4.365,   51,     0.3
    15.2,0.000246,0.000189,  0,-0.000567,0.000113,   4.368,   51,     0.3
    15.4,0.000241,0.000191,  0,-0.000556,0.000127,   4.367,   52,     0.3
    15.6,0.000245,0.000194,  0,-0.000556,0.000127,   4.364,   53,     0.3
    15.8,0.000245,0.000189,  0,-0.000587,0.000113,   4.364,   52,     0.3
    16.0,0.000240,0.000188,  0,-0.000638,0.000113,   4.365,   51,     0.3
    16.2,0.000244,0.000185,  0,-0.000628,0.000127,   4.358,   50,     0.3
    16.4,0.000256,0.000196,  0,-0.000608,0.000113,   4.361,   49,     0.3
    16.6,0.000269,0.000202,  0,-0.000556,0.000127,   4.361,   50,     0.3
    16.8,0.000274,0.000202,  0,-0.000536,0.000141,   4.362,   52,     0.3
    17.0,0.000279,0.000212,  0,-0.000515,0.000141,   4.358,   51,     0.3
    17.2,0.000283,0.000218,  0,-0.000505,0.000141,   4.363,   51,     0.3
    17.4,0.000287,0.000217,  0,-0.000484,0.000141,   4.361,   52,     0.3
    17.6,0.000282,0.000213,  0,-0.000484,0.000141,   4.360,   53,     0.3
    17.8,0.000281,0.000219,  0,-0.000505,0.000141,   4.361,   53,     0.3
    18.0,0.000285,0.000223,  0,-0.000546,0.000141,   4.359,   52,     0.3
    18.2,0.000294,0.000232,  0,-0.000669,0.000155,   4.358,   52,     0.3
    18.4,0.000293,0.000238,  0,-0.000864,0.000155,   4.359,   52,     0.3
    18.6,0.000297,0.000235,  0,-0.001110,0.000169,   4.359,   52,     0.3
    18.8,0.000306,0.000245,  0,-0.001100,0.000169,   4.358,   52,     0.3
    19.0,0.000300,0.000248,  0,-0.000997,0.000169,   4.359,   51,     0.3
    19.2,0.000300,0.000244,  0,-0.000813,0.000183,   4.357,   50,     0.3
    19.4,0.000300,0.000257,  0,-0.000761,0.000183,   4.359,   52,     0.3
