Run Name,Alam_Jan 26 2017
Run Date,05:32:45 PM   01-26-17
Method Name,Isocratic 32%.1
Export Format Version, 1.00
Method ID, 3506
Points/Second, 5.00
Number of Records,   4598
Offset from Run Start Time,00:00:00
Run End Time,00:15:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001916,0.001837, 32,-0.025155,0.001267,  35.219,  111,     0.0
     0.2,0.001911,0.001833, 32,-0.025155,0.001243,  35.199,  111,     0.0
     0.4,0.001911,0.001839, 32,-0.025167,0.001243,  35.179,  111,     0.0
     0.6,0.001920,0.001842, 32,-0.025200,0.001267,  35.149,  110,     0.0
     0.8,0.001920,0.001838, 32,-0.025189,0.001243,  35.126,  110,     0.0
     1.0,0.001924,0.001852, 32,-0.025155,0.001243,  35.115,  110,     0.0
     1.2,0.001920,0.001849, 32,-0.025122,0.001229,  35.091,  111,     0.0
     1.4,-0.002054,0.001842, 32,-0.025133,0.001243,  35.067,  110,     0.0
     1.6,-0.001891,0.001842, 32,-0.025168,0.001243,  35.055,  108,     0.1
     1.8,-0.000720,0.001833, 32,-0.025248,0.001243,  35.039,  110,     0.1
     2.0,-0.000190,0.001826, 32,-0.025259,0.001257,  35.023,  111,     0.1
     2.2,0.000000,0.001829, 32,-0.025259,0.001243,  35.008,  110,     0.1
     2.4,0.000000,0.000000, 32,-0.025230,0.001243,  34.990,  109,     0.1
     2.6,0.000000,0.000000, 32,-0.025230,0.001257,  34.977,  109,     0.1
     2.8,0.000000,0.000000, 32,-0.025230,0.001243,  34.951,  109,     0.1
     3.0,0.000000,0.000000, 32,-0.025230,0.001229,  34.938,  109,     0.1
     3.2,0.000000,0.000000, 32,0.000000,0.001243,  34.925,  110,     0.1
     3.4,0.000000,0.000000, 32,0.000000,0.001229,  34.911,  110,     0.1
     3.6,0.000000,0.000000, 32,0.000000,0.000000,  34.895,  110,     0.1
     3.8,0.000000,0.000000, 32,0.000000,0.000000,  34.874,  109,     0.1
     4.0,0.000000,0.000000, 32,0.000000,0.000000,  34.869,  108,     0.1
     4.2,0.000000,0.000000, 32,0.000000,0.000000,  34.859,  109,     0.1
     4.4,0.000000,0.000000, 32,0.000000,0.000000,  34.845,  111,     0.1
     4.6,0.000000,0.000000, 32,0.000000,0.000000,  34.836,  109,     0.2
     4.8,0.000000,0.000000, 32,0.000000,0.000000,  34.813,  108,     0.2
     5.0,0.000000,0.000000, 32,0.000000,0.000000,  34.806,  108,     0.2
     5.2,0.000000,0.000000, 32,0.000000,0.000000,  34.795,  109,     0.2
     5.4,0.000000,0.000000, 32,0.000000,0.000000,  34.791,  108,     0.2
     5.6,0.000023,0.000000, 32,0.000000,0.000000,  34.780,  107,     0.2
     5.8,0.000031,0.000000, 32,0.000000,0.000000,  34.770,  107,     0.2
     6.0,0.000035,0.000000, 32,0.000000,0.000000,  34.755,  107,     0.2
     6.2,0.000039,0.000000, 32,0.000000,0.000000,  34.747,  109,     0.2
     6.4,0.000047,0.000025, 32,0.000000,0.000000,  34.738,  111,     0.2
     6.6,0.000060,0.000048, 32,-0.000010,0.000000,  34.736,  109,     0.2
     6.8,0.000073,0.000067, 32,-0.000053,0.000000,  34.730,  108,     0.2
     7.0,0.000084,0.000083, 32,-0.000119,0.000000,  34.725,  108,     0.2
     7.2,0.000091,0.000089, 32,-0.000228,0.000000,  34.718,  107,     0.2
     7.4,0.000103,0.000091, 32,-0.000370,0.000000,  34.714,  107,     0.2
     7.6,0.000118,0.000090, 32,-0.000567,0.000000,  34.702,  108,     0.3
     7.8,0.000121,0.000089, 32,-0.000610,0.000000,  34.694,  108,     0.3
     8.0,0.000142,0.000102, 32,-0.000577,0.000000,  34.690,  108,     0.3
     8.2,0.000153,0.000092, 32,-0.000501,0.000014,  34.685,  108,     0.3
     8.4,0.000156,0.000106, 32,-0.000522,-0.000024,  34.689,  108,     0.3
     8.6,0.000173,0.000111, 32,-0.000566,0.000014,  34.685,  108,     0.3
     8.8,0.000184,0.000117, 32,-0.000621,-0.000024,  34.676,  107,     0.3
     9.0,0.000187,0.000115, 32,-0.000840,0.000004,  34.678,  107,     0.3
     9.2,0.000204,0.000128, 32,-0.001145,0.000004,  34.673,  107,     0.3
     9.4,0.000216,0.000144, 32,-0.001548,-0.000020,  34.672,  107,     0.3
     9.6,0.000215,0.000167, 32,-0.001526,-0.000006,  34.675,  108,     0.3
     9.8,0.000231,0.000182, 32,-0.001319,-0.000006,  34.670,  108,     0.3
    10.0,0.000239,0.000187, 32,-0.000959,0.000008,  34.669,  108,     0.3
    10.2,0.000238,0.000195, 32,-0.000807,0.000008,  34.669,  107,     0.3
    10.4,0.000251,0.000197, 32,-0.000686,0.000008,  34.664,  107,     0.3
    10.6,0.000255,0.000202, 32,-0.000577,0.000022,  34.670,  107,     0.4
    10.8,0.000254,0.000221, 32,-0.000490,0.000022,  34.666,  107,     0.4
    11.0,0.000257,0.000224, 32,-0.000414,0.000036,  34.666,  107,     0.4
    11.2,0.000261,0.000233, 32,-0.000381,0.000051,  34.664,  107,     0.4
    11.4,0.000260,0.000246, 32,-0.000347,0.000051,  34.664,  107,     0.4
    11.6,0.000264,0.000248, 32,-0.000304,0.000051,  34.663,  106,     0.4
    11.8,0.000277,0.000254, 32,-0.000282,0.000065,  34.666,  107,     0.4
    12.0,0.000285,0.000264, 32,-0.000272,0.000079,  34.667,  107,     0.4
    12.2,0.000289,0.000263, 32,-0.000293,0.000079,  34.665,  107,     0.4
    12.4,0.000293,0.000273, 32,-0.000305,0.000079,  34.662,  107,     0.4
    12.6,0.000296,0.000285, 32,-0.000392,0.000079,  34.665,  107,     0.4
    12.8,0.000300,0.000285, 32,-0.000502,0.000079,  34.662,  108,     0.4
    13.0,0.000300,0.000288, 32,-0.000655,0.000079,  34.661,  108,     0.4
    13.2,0.000304,0.000295, 32,-0.000655,0.000093,  34.657,  108,     0.4
    13.4,0.000308,0.000294, 32,-0.000611,0.000093,  34.652,  109,     0.4
    13.6,0.000312,0.000297, 32,-0.000480,0.000107,  34.651,  110,     0.5
    13.8,0.000316,0.000304, 32,-0.000437,0.000107,  34.649,  108,     0.5
    14.0,0.000316,0.000303, 32,-0.000404,0.000107,  34.646,  107,     0.5
    14.2,0.000316,0.000299, 32,-0.000382,0.000121,  34.648,  107,     0.5
    14.4,0.000324,0.000306, 32,-0.000360,0.000107,  34.644,  108,     0.5
    14.6,0.000328,0.000305, 32,-0.000360,0.000107,  34.644,  108,     0.5
    14.8,0.000332,0.000311, 32,-0.000382,0.000107,  34.641,  108,     0.5
    15.0,0.000339,0.000317, 32,-0.000393,0.000121,  34.639,  108,     0.5
    15.2,0.000343,0.000323, 32,-0.000393,0.000083,  34.638,  109,     0.5
    15.4,0.000343,0.000330, 32,-0.000404,0.000121,  34.629,  109,     0.5
    15.6,0.000347,0.000347, 32,-0.000426,0.000097,  34.632,  108,     0.5
    15.8,0.000343,0.000343, 32,-0.000415,0.000097,  34.630,  107,     0.5
    16.0,0.000352,0.000349, 32,-0.000393,0.000135,  34.626,  107,     0.5
    16.2,0.000356,0.000356, 32,-0.000360,0.000149,  34.622,  107,     0.5
    16.4,0.000347,0.000352, 32,-0.000328,0.000135,  34.621,  108,     0.5
    16.6,0.000360,0.000355, 32,-0.000295,0.000135,  34.615,  110,     0.6
    16.8,0.000364,0.000355, 32,-0.000251,0.000149,  34.612,  113,     0.6
    17.0,0.000355,0.000358, 32,-0.000251,0.000135,  34.608,  110,     0.6
    17.2,0.000368,0.000351, 32,-0.000252,0.000135,  34.604,  107,     0.6
    17.4,0.000372,0.000361, 32,-0.000295,0.000149,  34.599,  106,     0.6
    17.6,0.000367,0.000361, 32,-0.000316,0.000135,  34.595,  104,     0.6
    17.8,0.000367,0.000364, 32,-0.000317,0.000135,  34.581,  105,     0.6
    18.0,0.000371,0.000358, 32,-0.000338,0.000149,  34.581,  106,     0.6
    18.2,0.000374,0.000364, 32,-0.000458,0.000135,  34.576,  107,     0.6
    18.4,0.000371,0.000364, 32,-0.000622,0.000135,  34.567,  108,     0.6
    18.6,0.000371,0.000370, 32,-0.000863,0.000149,  34.562,  108,     0.6
    18.8,0.000374,0.000369, 32,-0.000851,0.000135,  34.553,  108,     0.6
    19.0,0.000374,0.000375, 32,-0.000753,0.000135,  34.552,  107,     0.6
    19.2,0.000374,0.000375, 32,-0.000578,0.000149,  34.549,  106,     0.6
    19.4,0.000378,0.000369, 32,-0.000523,0.000135,  34.543,  105,     0.6
    19.6,0.000374,0.000372, 32,-0.000479,0.000135,  34.539,  105,     0.7
    19.8,0.000374,0.000372, 32,-0.000469,0.000149,  34.529,  108,     0.7
    20.0,0.000378,0.000369, 32,-0.000425,0.000149,  34.525,  110,     0.7
    20.2,0.000369,0.000368, 32,-0.000413,0.000149,  34.515,  108,     0.7
    20.4,0.000378,0.000372, 32,-0.000359,0.000163,  34.508,  106,     0.7
    20.6,0.000369,0.000375, 32,-0.000358,0.000163,  34.498,  105,     0.7
    20.8,0.000369,0.000368, 32,-0.000369,0.000163,  34.491,  105,     0.7
    21.0,0.000382,0.000368, 32,-0.000402,0.000177,  34.490,  106,     0.7
    21.2,0.000386,0.000368, 32,-0.000402,0.000177,  34.485,  106,     0.7
    21.4,0.000386,0.000375, 32,-0.000391,0.000177,  34.477,  107,     0.7
    21.6,0.000382,0.000376, 32,-0.000369,0.000153,  34.472,  108,     0.7
    21.8,0.000386,0.000386, 32,-0.000391,0.000153,  34.464,  106,     0.7
    22.0,0.000386,0.000389, 32,-0.000424,0.000139,  34.462,  104,     0.7
    22.2,0.000395,0.000389, 32,-0.000468,0.000101,  34.449,  105,     0.7
    22.4,0.000403,0.000392, 32,-0.000511,0.000101,  34.444,  106,     0.7
    22.6,0.000394,0.000392, 32,-0.000544,0.000139,  34.436,  106,     0.8
    22.8,0.000407,0.000392, 32,-0.000555,0.000139,  34.431,  105,     0.8
    23.0,0.000411,0.000402, 32,-0.000522,0.000139,  34.427,  109,     0.8
    23.2,0.000410,0.000401, 32,-0.000500,0.000139,  34.423,  113,     0.8
    23.4,0.000419,0.000407, 32,-0.000435,0.000139,  34.413,  110,     0.8
