Run Name,Run 1
Run Date,02:27:00 PM   01-22-18
Method Name,Group 1 Spring 2018
Export Format Version, 1.00
Method ID, 3631
Points/Second, 5.00
Number of Records,  13966
Offset from Run Start Time,00:00:00
Run End Time,00:46:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.022194,0.000000, 10,-0.330349,-0.457809,   1.127,  162,     0.0
     0.2,-0.022055,0.000000, 10,-0.330349,-0.457842,   1.129,  161,     0.0
     0.4,-0.022430,0.000000, 10,-0.330349,-0.457842,   1.125,  160,     0.0
     0.6,-0.023038,0.000000, 10,-0.330349,-0.457842,   1.127,  162,     0.0
     0.8,0.000000,0.000000, 10,0.000000,-0.457842,   1.127,  164,     0.0
     1.0,0.000000,0.000000, 10,0.000000,-0.457853,   1.127,  163,     0.0
     1.2,0.000000,0.000000, 10,0.000000,-0.457843,   1.124,  161,     0.0
     1.4,0.000000,0.000000, 10,0.000000,-0.457822,   1.124,  162,     0.0
     1.6,0.000000,0.000000, 10,0.000000,-0.457812,   1.125,  163,     0.0
     1.8,0.000000,0.000000, 10,0.000000,-0.457792,   1.123,  163,     0.0
     2.0,0.000000,0.000000, 10,0.000000,-0.458246,   1.124,  163,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,   1.124,  162,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   1.126,  160,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   1.123,  161,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   1.119,  162,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   1.122,  157,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   1.121,  152,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   1.123,  156,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   1.126,  160,     0.1
