Run Name,Run 3 2018
Run Date,03:48:49 PM   01-22-18
Method Name,Group 1
Export Format Version, 1.00
Method ID, 3634
Points/Second, 5.00
Number of Records,   9000
Offset from Run Start Time,00:00:00
Run End Time,00:30:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001349,0.000000, 20,-0.302750,-0.005820,   1.424,  158,     0.0
     0.2,0.001512,0.000000, 20,-0.302744,-0.005820,   1.420,  158,     0.0
     0.4,0.001033,0.000000, 20,-0.302738,-0.005809,   1.420,  159,     0.0
     0.6,-0.000697,0.000000, 20,-0.302731,-0.005809,   1.416,  158,     0.0
     0.8,0.000000,0.000000, 20,-0.302737,-0.005809,   1.443,  158,     0.0
     1.0,0.000000,0.000000, 20,-0.302734,-0.005797,   1.424,  160,     0.0
     1.2,0.000000,0.000000, 20,-0.302760,-0.005809,   1.418,  162,     0.0
     1.4,0.000000,0.000000, 20,-0.302760,-0.005800,   1.418,  159,     0.0
     1.6,0.000000,0.000000, 20,-0.302760,-0.005761,   1.417,  157,     0.0
     1.8,0.000000,0.000000, 20,-0.302760,-0.005723,   1.418,  156,     0.0
     2.0,0.000000,0.000000, 20,0.000000,-0.006637,   1.415,  156,     0.0
     2.2,0.000000,0.000000, 20,0.000000,-0.008162,   1.416,  155,     0.0
     2.4,0.000000,0.000000, 20,0.000000,0.000000,   1.413,  154,     0.0
     2.6,0.000000,0.000000, 20,0.000000,0.000000,   1.419,  156,     0.0
     2.8,0.000000,0.000000, 20,0.000000,0.000000,   1.412,  158,     0.0
     3.0,0.000000,0.000000, 20,0.000000,0.000000,   1.411,  156,     0.1
     3.2,0.000000,0.000000, 20,0.000000,0.000000,   1.416,  154,     0.1
     3.4,0.000000,0.000000, 20,0.000000,0.000000,   1.410,  155,     0.1
     3.6,0.000000,0.000000, 20,0.000000,0.000000,   1.414,  155,     0.1
     3.8,0.000000,0.000000, 20,0.000000,0.000000,   1.413,  156,     0.1
     4.0,0.000000,0.000000, 20,0.000000,0.000000,   1.411,  156,     0.1
     4.2,0.000000,0.000000, 20,0.000000,0.000000,   1.414,  157,     0.1
     4.4,0.000000,0.000000, 20,0.000000,0.000000,   1.413,  157,     0.1
     4.6,0.000000,0.000062, 20,0.000000,0.000000,   1.413,  155,     0.1
     4.8,0.000094,0.000080, 20,0.000000,0.000000,   1.413,  154,     0.1
     5.0,0.000113,0.000107, 20,0.000000,0.000000,   1.411,  154,     0.1
     5.2,0.000124,0.000122, 20,0.000000,0.000000,   1.408,  154,     0.1
     5.4,0.000144,0.000138, 20,0.000000,0.000000,   1.405,  154,     0.1
     5.6,0.000153,0.000145, 20,0.000000,0.000000,   1.415,  154,     0.1
     5.8,0.000172,0.000152, 20,0.000048,0.000000,   1.410,  153,     0.1
     6.0,0.000185,0.000160, 20,0.000075,0.000000,   1.407,  151,     0.1
     6.2,0.000193,0.000178, 20,0.000098,0.000000,   1.410,  154,     0.1
     6.4,0.000206,0.000196, 20,0.000111,0.000000,   1.404,  157,     0.1
     6.6,0.000218,0.000209, 20,0.000120,0.000000,   1.407,  156,     0.1
     6.8,0.000224,0.000227, 20,0.000145,0.000000,   1.410,  155,     0.1
     7.0,0.000236,0.000242, 20,0.000175,-0.000021,   1.403,  155,     0.1
     7.2,0.000250,0.000258, 20,0.000194,-0.000031,   1.404,  155,     0.1
     7.4,0.000249,0.000268, 20,0.000207,0.000001,   1.408,  154,     0.1
     7.6,0.000252,0.000273, 20,0.000231,-0.000008,   1.404,  154,     0.1
     7.8,0.000259,0.000271, 20,0.000245,0.000024,   1.405,  154,     0.1
     8.0,0.000258,0.000272, 20,0.000261,0.000024,   1.406,  155,     0.1
     8.2,0.000264,0.000277, 20,0.000272,0.000003,   1.402,  154,     0.1
     8.4,0.000271,0.000282, 20,0.000282,0.000026,   1.404,  153,     0.1
     8.6,0.000269,0.000286, 20,0.000296,0.000026,   1.405,  153,     0.1
     8.8,0.000276,0.000289, 20,0.000295,0.000004,   1.404,  153,     0.1
     9.0,0.000278,0.000297, 20,0.000290,0.000016,   1.403,  154,     0.2
     9.2,0.000288,0.000302, 20,0.000299,0.000060,   1.403,  155,     0.2
     9.4,0.000298,0.000305, 20,0.000294,0.000038,   1.403,  155,     0.2
     9.6,0.000301,0.000313, 20,0.000282,0.000038,   1.402,  154,     0.2
     9.8,0.000297,0.000321, 20,0.000290,0.000050,   1.401,  154,     0.2
    10.0,0.000295,0.000323, 20,0.000290,0.000061,   1.403,  154,     0.2
    10.2,0.000302,0.000333, 20,0.000285,0.000061,   1.400,  155,     0.2
    10.4,0.000308,0.000338, 20,0.000278,0.000061,   1.398,  156,     0.2
    10.6,0.000307,0.000341, 20,0.000284,0.000061,   1.400,  157,     0.2
    10.8,0.000313,0.000336, 20,0.000297,0.000061,   1.397,  158,     0.2
    11.0,0.000324,0.000338, 20,0.000290,0.000050,   1.399,  155,     0.2
    11.2,0.000327,0.000344, 20,0.000284,0.000050,   1.401,  153,     0.2
    11.4,0.000333,0.000346, 20,0.000298,0.000061,   1.395,  152,     0.2
    11.6,0.000336,0.000354, 20,0.000293,0.000072,   1.401,  151,     0.2
    11.8,0.000343,0.000353, 20,0.000289,0.000084,   1.400,  154,     0.2
    12.0,0.000341,0.000361, 20,0.000282,0.000095,   1.392,  157,     0.2
    12.2,0.000345,0.000369, 20,0.000282,0.000072,   1.396,  155,     0.2
    12.4,0.000348,0.000371, 20,0.000294,0.000072,   1.397,  153,     0.2
    12.6,0.000340,0.000380, 20,0.000288,0.000072,   1.395,  153,     0.2
    12.8,0.000348,0.000385, 20,0.000289,0.000061,   1.396,  152,     0.2
    13.0,0.000354,0.000390, 20,0.000298,0.000061,   1.397,  151,     0.2
    13.2,0.000357,0.000401, 20,0.000302,0.000061,   1.394,  150,     0.2
    13.4,0.000368,0.000406, 20,0.000296,0.000061,   1.396,  152,     0.2
    13.6,0.000371,0.000406, 20,0.000296,0.000061,   1.396,  155,     0.2
    13.8,0.000371,0.000414, 20,0.000292,0.000072,   1.393,  153,     0.2
    14.0,0.000374,0.000417, 20,0.000292,0.000040,   1.397,  151,     0.2
    14.2,0.000380,0.000416, 20,0.000290,0.000072,   1.399,  152,     0.2
    14.4,0.000380,0.000416, 20,0.000294,0.000051,   1.395,  153,     0.2
    14.6,0.000383,0.000413, 20,0.000294,0.000051,   1.398,  153,     0.2
    14.8,0.000386,0.000416, 20,0.000300,0.000072,   1.395,  152,     0.2
    15.0,0.000390,0.000418, 20,0.000307,0.000072,   1.393,  154,     0.3
    15.2,0.000390,0.000421, 20,0.000302,0.000084,   1.392,  157,     0.3
    15.4,0.000400,0.000426, 20,0.000292,0.000072,   1.395,  154,     0.3
    15.6,0.000403,0.000431, 20,0.000302,0.000072,   1.394,  151,     0.3
    15.8,0.000406,0.000434, 20,0.000307,0.000084,   1.393,  152,     0.3
    16.0,0.000417,0.000436, 20,0.000300,0.000084,   1.391,  153,     0.3
    16.2,0.000417,0.000436, 20,0.000308,0.000084,   1.395,  151,     0.3
    16.4,0.000406,0.000434, 20,0.000303,0.000095,   1.394,  150,     0.3
    16.6,0.000410,0.000434, 20,0.000294,0.000095,   1.393,  150,     0.3
    16.8,0.000410,0.000431, 20,0.000296,0.000095,   1.392,  151,     0.3
    17.0,0.000406,0.000437, 20,0.000296,0.000106,   1.395,  155,     0.3
    17.2,0.000410,0.000440, 20,0.000285,0.000095,   1.391,  158,     0.3
    17.4,0.000413,0.000433, 20,0.000284,0.000095,   1.389,  157,     0.3
    17.6,0.000416,0.000441, 20,0.000295,0.000106,   1.393,  155,     0.3
    17.8,0.000416,0.000444, 20,0.000295,0.000095,   1.393,  154,     0.3
    18.0,0.000416,0.000440, 20,0.000290,0.000095,   1.391,  152,     0.3
    18.2,0.000416,0.000446, 20,0.000290,0.000106,   1.392,  153,     0.3
    18.4,0.000420,0.000452, 20,0.000280,0.000095,   1.393,  154,     0.3
    18.6,0.000423,0.000455, 20,0.000280,0.000095,   1.391,  153,     0.3
    18.8,0.000427,0.000456, 20,0.000273,0.000106,   1.393,  152,     0.3
    19.0,0.000427,0.000462, 20,0.000271,0.000095,   1.387,  152,     0.3
    19.2,0.000423,0.000462, 20,0.000281,0.000084,   1.386,  153,     0.3
    19.4,0.000431,0.000459, 20,0.000275,0.000105,   1.393,  152,     0.3
    19.6,0.000435,0.000461, 20,0.000279,0.000115,   1.388,  151,     0.3
    19.8,0.000431,0.000459, 20,0.000269,0.000082,   1.387,  153,     0.3
    20.0,0.000435,0.000462, 20,0.000259,0.000094,   1.388,  155,     0.3
    20.2,0.000439,0.000456, 20,0.000269,0.000116,   1.386,  153,     0.3
    20.4,0.000435,0.000462, 20,0.000285,0.000095,   1.388,  151,     0.3
    20.6,0.000442,0.000463, 20,0.000283,0.000106,   1.387,  152,     0.3
    20.8,0.000442,0.000457, 20,0.000280,0.000128,   1.386,  153,     0.3
    21.0,0.000441,0.000471, 20,0.000282,0.000095,   1.387,  153,     0.3
    21.2,0.000447,0.000474, 20,0.000280,0.000106,   1.384,  153,     0.4
    21.4,0.000451,0.000473, 20,0.000285,0.000128,   1.388,  154,     0.4
    21.6,0.000449,0.000484, 20,0.000281,0.000106,   1.386,  155,     0.4
    21.8,0.000456,0.000486, 20,0.000286,0.000106,   1.383,  153,     0.4
    22.0,0.000463,0.000485, 20,0.000282,0.000139,   1.384,  152,     0.4
    22.2,0.000462,0.000490, 20,0.000283,0.000139,   1.383,  152,     0.4
    22.4,0.000465,0.000493, 20,0.000284,0.000106,   1.383,  152,     0.4
    22.6,0.000473,0.000492, 20,0.000280,0.000139,   1.385,  153,     0.4
    22.8,0.000471,0.000495, 20,0.000290,0.000139,   1.381,  154,     0.4
    23.0,0.000478,0.000500, 20,0.000275,0.000118,   1.381,  153,     0.4
    23.2,0.000478,0.000503, 20,0.000280,0.000139,   1.378,  152,     0.4
    23.4,0.000473,0.000502, 20,0.000270,0.000139,   1.381,  151,     0.4
    23.6,0.000481,0.000505, 20,0.000274,0.000118,   1.383,  151,     0.4
    23.8,0.000481,0.000510, 20,0.000288,0.000118,   1.378,  151,     0.4
    24.0,0.000477,0.000510, 20,0.000273,0.000150,   1.373,  151,     0.4
    24.2,0.000484,0.000514, 20,0.000287,0.000129,   1.378,  153,     0.4
    24.4,0.000484,0.000512, 20,0.000292,0.000129,   1.377,  154,     0.4
    24.6,0.000483,0.000511, 20,0.000287,0.000162,   1.376,  152,     0.4
    24.8,0.000490,0.000514, 20,0.000293,0.000140,   1.378,  150,     0.4
    25.0,0.000498,0.000519, 20,0.000298,0.000140,   1.376,  152,     0.4
    25.2,0.000493,0.000513, 20,0.000294,0.000173,   1.376,  153,     0.4
    25.4,0.000497,0.000519, 20,0.000294,0.000152,   1.377,  153,     0.4
    25.6,0.000501,0.000523, 20,0.000303,0.000140,   1.377,  153,     0.4
    25.8,0.000493,0.000517, 20,0.000301,0.000162,   1.371,  153,     0.4
    26.0,0.000500,0.000520, 20,0.000293,0.000140,   1.377,  152,     0.4
    26.2,0.000507,0.000523, 20,0.000292,0.000129,   1.377,  151,     0.4
    26.4,0.000503,0.000525, 20,0.000291,0.000162,   1.371,  150,     0.4
    26.6,0.000506,0.000530, 20,0.000297,0.000140,   1.371,  151,     0.4
    26.8,0.000513,0.000534, 20,0.000294,0.000129,   1.375,  151,     0.4
    27.0,0.000516,0.000539, 20,0.000283,0.000162,   1.375,  150,     0.4
    27.2,0.000516,0.000539, 20,0.000294,0.000140,   1.373,  150,     0.5
    27.4,0.000516,0.000536, 20,0.000300,0.000129,   1.374,  149,     0.5
    27.6,0.000516,0.000541, 20,0.000298,0.000162,   1.371,  149,     0.5
    27.8,0.000512,0.000544, 20,0.000299,0.000140,   1.371,  153,     0.5
    28.0,0.000515,0.000547, 20,0.000298,0.000140,   1.374,  157,     0.5
    28.2,0.000519,0.000543, 20,0.000302,0.000173,   1.372,  155,     0.5
    28.4,0.000514,0.000543, 20,0.000291,0.000152,   1.371,  154,     0.5
    28.6,0.000522,0.000543, 20,0.000288,0.000152,   1.369,  152,     0.5
    28.8,0.000519,0.000540, 20,0.000291,0.000173,   1.368,  151,     0.5
    29.0,0.000511,0.000540, 20,0.000286,0.000152,   1.366,  151,     0.5
    29.2,0.000519,0.000543, 20,0.000285,0.000152,   1.367,  152,     0.5
    29.4,0.000526,0.000546, 20,0.000283,0.000173,   1.373,  152,     0.5
    29.6,0.000519,0.000546, 20,0.000275,0.000152,   1.372,  153,     0.5
    29.8,0.000519,0.000543, 20,0.000274,0.000152,   1.371,  152,     0.5
    30.0,0.000519,0.000546, 20,0.000268,0.000152,   1.367,  152,     0.5
    30.2,0.000508,0.000546, 20,0.000278,0.000152,   1.367,  151,     0.5
    30.4,0.000515,0.000543, 20,0.000287,0.000152,   1.369,  151,     0.5
    30.6,0.000515,0.000552, 20,0.000290,0.000152,   1.369,  153,     0.5
    30.8,0.000515,0.000552, 20,0.000284,0.000152,   1.366,  154,     0.5
    31.0,0.000526,0.000549, 20,0.000284,0.000152,   1.363,  152,     0.5
    31.2,0.000544,0.000555, 20,0.000290,0.000152,   1.367,  150,     0.5
    31.4,0.000540,0.000555, 20,0.000282,0.000152,   1.369,  151,     0.5
    31.6,0.000546,0.000548, 20,0.000276,0.000152,   1.363,  152,     0.5
    31.8,0.000543,0.000545, 20,0.000276,0.000119,   1.365,  153,     0.5
    32.0,0.000538,0.000552, 20,0.000284,0.000152,   1.366,  153,     0.5
    32.2,0.000549,0.000554, 20,0.000277,0.000119,   1.365,  154,     0.5
    32.4,0.000549,0.000554, 20,0.000276,0.000119,   1.361,  154,     0.5
    32.6,0.000545,0.000553, 20,0.000282,0.000152,   1.363,  151,     0.5
    32.8,0.000548,0.000547, 20,0.000279,0.000152,   1.366,  148,     0.5
    33.0,0.000544,0.000552, 20,0.000271,0.000152,   1.364,  150,     0.6
    33.2,0.000539,0.000551, 20,0.000275,0.000152,   1.360,  151,     0.6
    33.4,0.000542,0.000546, 20,0.000271,0.000152,   1.367,  151,     0.6
    33.6,0.000546,0.000545, 20,0.000269,0.000152,   1.364,  152,     0.6
    33.8,0.000541,0.000542, 20,0.000267,0.000152,   1.362,  152,     0.6
    34.0,0.000541,0.000553, 20,0.000269,0.000163,   1.363,  153,     0.6
