Run Name,Linear Gradient 25CV 18%-50%
Run Date,02:39:56 PM   01-25-18
Method Name,Group 11 Linear Gradient.2
Export Format Version, 1.00
Method ID, 3650
Points/Second, 5.00
Number of Records,  14250
Offset from Run Start Time,00:00:00
Run End Time,00:47:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001364,0.001437, 18,0.148088,0.001979,  85.100,  147,     0.0
     0.2,0.001350,0.001434, 18,0.148078,0.001979,  85.094,  145,     0.0
     0.4,0.001341,0.001439, 18,0.148079,0.001979,  85.096,  143,     0.0
     0.6,0.001324,0.001444, 18,0.148042,0.001979,  85.092,  144,     0.0
     0.8,0.000000,0.001444, 18,0.147995,0.001979,  85.098,  145,     0.0
     1.0,0.000000,0.001446, 18,0.147959,0.001946,  85.088,  145,     0.0
     1.2,0.000000,0.000000, 18,0.147879,0.001979,  85.084,  144,     0.0
     1.4,0.000000,0.000000, 18,0.147879,0.000000,  85.083,  146,     0.0
     1.6,0.000000,0.000000, 18,0.147879,0.000000,  85.084,  147,     0.0
     1.8,0.000000,0.000000, 18,0.147879,0.000000,  85.083,  146,     0.0
     2.0,0.000000,0.000000, 18,0.000000,0.000000,  85.090,  145,     0.0
     2.2,0.000000,0.000000, 18,0.000000,0.000000,  85.085,  146,     0.0
     2.4,0.000000,0.000000, 18,0.000000,0.000000,  85.083,  147,     0.0
     2.6,0.000000,0.000000, 18,0.000000,0.000000,  85.082,  148,     0.0
     2.8,0.000000,0.000000, 18,0.000000,0.000000,  85.081,  149,     0.0
     3.0,0.000000,0.000000, 18,0.000000,0.000000,  85.084,  147,     0.1
     3.2,0.000000,0.000000, 18,0.000000,0.000000,  85.077,  146,     0.1
     3.4,0.000000,0.000000, 18,0.000000,0.000000,  85.077,  148,     0.1
     3.6,0.000000,0.000000, 18,0.000000,0.000000,  85.079,  150,     0.1
     3.8,0.000000,0.000000, 18,0.000000,0.000000,  85.076,  149,     0.1
     4.0,0.000000,0.000000, 18,0.000000,0.000000,  85.072,  147,     0.1
     4.2,0.000000,0.000000, 18,0.000000,0.000000,  85.073,  147,     0.1
     4.4,0.000000,0.000000, 18,0.000000,0.000000,  85.074,  146,     0.1
     4.6,0.000000,0.000000, 18,0.000000,0.000000,  85.073,  146,     0.1
