Run Name,Run 2
Run Date,03:10:00 PM   02-15-18
Method Name,Group 12 Spring 2018 Multigradient 1
Export Format Version, 1.00
Method ID, 3693
Points/Second, 5.00
Number of Records,  10755
Offset from Run Start Time,00:00:00
Run End Time,00:35:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.003859,0.000000, 10,-0.000270,0.002224,   1.180,  166,     0.0
     0.2,0.003862,0.000000, 10,-0.000280,0.002236,   1.179,  168,     0.0
     0.4,0.003870,0.000000, 10,-0.000278,0.002214,   1.180,  169,     0.0
     0.6,0.003882,0.000000, 10,-0.000281,0.002224,   1.176,  166,     0.0
     0.8,0.003874,0.000000, 10,-0.000281,0.002213,   1.179,  164,     0.0
     1.0,0.003882,0.000000, 10,-0.000283,0.002213,   1.182,  164,     0.0
     1.2,0.003732,0.000000, 10,-0.000248,0.002189,   1.179,  164,     0.0
     1.4,0.003737,0.000000, 10,-0.000248,0.000000,   1.179,  165,     0.0
     1.6,0.003754,0.000000, 10,-0.000248,0.000000,   1.179,  165,     0.0
     1.8,0.003755,0.000000, 10,-0.000248,0.000000,   1.183,  165,     0.0
     2.0,0.000000,0.000000, 10,-0.000248,0.000000,   1.181,  165,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,   1.180,  166,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   1.181,  167,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   1.181,  166,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   1.178,  166,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   1.179,  166,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   1.178,  165,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   1.182,  165,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   1.180,  165,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   1.180,  165,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   1.182,  165,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   1.180,  165,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   1.178,  165,     0.1
     4.6,0.000000,0.000000, 10,0.000000,0.000000,   1.179,  165,     0.1
     4.8,0.000000,0.000012, 10,0.000000,0.000000,   1.179,  166,     0.1
     5.0,0.000000,0.000003, 10,0.000000,0.000000,   1.178,  167,     0.1
     5.2,0.000000,0.000000, 10,0.000000,0.000000,   1.180,  167,     0.1
     5.4,0.000000,0.000000, 10,0.000000,0.000000,   1.177,  167,     0.1
     5.6,0.000000,-0.000006, 10,0.000000,0.000000,   1.178,  168,     0.1
     5.8,0.000000,-0.000003, 10,0.000000,0.000000,   1.181,  166,     0.1
     6.0,0.000000,-0.000000, 10,0.000000,0.000000,   1.178,  165,     0.1
     6.2,-0.000011,-0.000004, 10,0.000000,0.000000,   1.180,  165,     0.1
     6.4,-0.000005,-0.000001, 10,0.000008,0.000012,   1.180,  165,     0.1
     6.6,-0.000001,0.000002, 10,-0.000012,0.000012,   1.180,  165,     0.1
     6.8,0.000003,-0.000002, 10,-0.000015,0.000000,   1.182,  165,     0.1
     7.0,0.000014,0.000001, 10,-0.000004,0.000000,   1.179,  166,     0.1
     7.2,0.000011,0.000001, 10,-0.000009,0.000000,   1.180,  167,     0.1
     7.4,-0.000004,-0.000002, 10,-0.000010,0.000000,   1.181,  166,     0.1
     7.6,-0.000000,0.000004, 10,-0.000005,-0.000012,   1.177,  166,     0.1
     7.8,-0.000000,0.000001, 10,-0.000006,-0.000012,   1.177,  166,     0.1
     8.0,0.000004,-0.000002, 10,0.000004,-0.000022,   1.183,  167,     0.1
     8.2,-0.000004,-0.000002, 10,0.000004,-0.000022,   1.179,  166,     0.1
     8.4,-0.000004,-0.000001, 10,0.000004,-0.000022,   1.175,  166,     0.1
     8.6,-0.000002,-0.000004, 10,0.000006,-0.000055,   1.179,  166,     0.1
     8.8,-0.000007,-0.000008, 10,0.000009,-0.000033,   1.178,  165,     0.1
     9.0,-0.000004,-0.000005, 10,-0.000002,-0.000033,   1.180,  165,     0.2
     9.2,0.000004,-0.000008, 10,-0.000008,-0.000055,   1.177,  164,     0.2
     9.4,-0.000000,-0.000005, 10,-0.000004,-0.000067,   1.179,  165,     0.2
     9.6,-0.000004,-0.000002, 10,-0.000004,-0.000033,   1.179,  166,     0.2
     9.8,0.000001,-0.000005, 10,-0.000012,-0.000067,   1.178,  167,     0.2
    10.0,-0.000004,0.000001, 10,-0.000005,-0.000022,   1.177,  167,     0.2
    10.2,-0.000004,0.000004, 10,-0.000006,-0.000022,   1.176,  166,     0.2
    10.4,0.000004,0.000004, 10,-0.000013,-0.000022,   1.178,  166,     0.2
    10.6,-0.000000,-0.000002, 10,-0.000015,-0.000055,   1.177,  165,     0.2
    10.8,-0.000004,-0.000002, 10,-0.000007,-0.000033,   1.176,  165,     0.2
    11.0,0.000001,-0.000007, 10,-0.000013,-0.000033,   1.180,  164,     0.2
    11.2,-0.000007,-0.000007, 10,-0.000004,-0.000067,   1.177,  163,     0.2
    11.4,-0.000002,-0.000010, 10,-0.000004,-0.000033,   1.178,  164,     0.2
    11.6,-0.000001,-0.000012, 10,-0.000009,-0.000033,   1.177,  165,     0.2
    11.8,-0.000012,-0.000018, 10,0.000001,-0.000067,   1.176,  166,     0.2
    12.0,-0.000004,-0.000012, 10,0.000001,-0.000033,   1.177,  168,     0.2
    12.2,-0.000008,-0.000009, 10,-0.000004,-0.000033,   1.177,  167,     0.2
    12.4,-0.000019,-0.000009, 10,0.000006,-0.000067,   1.173,  165,     0.2
    12.6,-0.000010,-0.000009, 10,0.000001,-0.000033,   1.177,  165,     0.2
    12.8,-0.000005,0.000000, 10,0.000001,-0.000033,   1.177,  165,     0.2
    13.0,-0.000010,-0.000006, 10,0.000007,-0.000055,   1.177,  166,     0.2
    13.2,-0.000002,-0.000000, 10,0.000003,-0.000022,   1.179,  166,     0.2
    13.4,-0.000002,0.000002, 10,0.000002,-0.000022,   1.175,  166,     0.2
    13.6,-0.000007,-0.000004, 10,0.000006,-0.000044,   1.176,  165,     0.2
    13.8,0.000004,0.000005, 10,0.000000,-0.000022,   1.179,  165,     0.2
    14.0,0.000004,0.000002, 10,-0.000005,-0.000033,   1.174,  165,     0.2
    14.2,0.000003,-0.000001, 10,0.000001,-0.000045,   1.178,  166,     0.2
