Run Name,Run 1
Run Date,02:11:15 PM   04-05-18
Method Name,Group 14 spring 2018 R1
Export Format Version, 1.00
Method ID, 3734
Points/Second, 5.00
Number of Records,  18780
Offset from Run Start Time,00:00:00
Run End Time,01:02:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.004348,-0.348697, 10,-0.022022,-0.456118,   3.461,  191,     0.0
     0.2,-0.004464,-0.348697, 10,-0.021955,-0.456118,   3.460,  189,     0.0
     0.4,-0.005119,-0.348697, 10,-0.021821,-0.456130,   3.462,  187,     0.0
     0.6,-0.004915,-0.348691, 10,-0.021600,-0.456107,   3.457,  189,     0.0
     0.8,0.000000,-0.348691, 10,-0.021571,-0.456142,   3.460,  192,     0.0
     1.0,0.000000,-0.348691, 10,-0.021600,-0.456107,   3.460,  189,     0.0
     1.2,0.000000,0.000000, 10,-0.021687,0.000000,   3.457,  186,     0.0
     1.4,0.000000,0.000000, 10,-0.021667,0.000000,   3.460,  187,     0.0
     1.6,0.000000,0.000000, 10,-0.021638,0.000000,   3.462,  187,     0.0
     1.8,0.000000,0.000000, 10,-0.021600,0.000000,   3.461,  186,     0.0
     2.0,0.000000,0.000000, 10,-0.021620,0.000000,   3.461,  186,     0.0
     2.2,0.000000,0.000000, 10,-0.021658,0.000000,   3.459,  186,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   3.456,  186,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   3.458,  185,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   3.458,  184,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   3.458,  187,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   3.458,  189,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   3.460,  187,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   3.460,  185,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   3.456,  184,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   3.459,  183,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   3.460,  182,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   3.461,  180,     0.1
     4.6,0.000000,0.000000, 10,0.000000,0.000000,   3.459,  182,     0.1
     4.8,0.000203,0.000000, 10,0.000000,0.000000,   3.461,  184,     0.1
     5.0,0.000222,0.000000, 10,0.000000,0.000000,   3.459,  183,     0.1
     5.2,0.000241,0.000000, 10,0.000000,0.000000,   3.461,  182,     0.1
     5.4,0.000240,0.000000, 10,0.000000,0.000000,   3.458,  182,     0.1
     5.6,0.000236,0.000000, 10,0.000000,0.000000,   3.459,  183,     0.1
     5.8,0.000221,0.000113, 10,0.000000,0.000000,   3.461,  182,     0.1
     6.0,0.000213,0.000148, 10,0.000000,0.000000,   3.459,  181,     0.1
     6.2,0.000219,0.000178, 10,0.000000,0.000165,   3.458,  182,     0.1
     6.4,0.000221,0.000205, 10,0.000000,0.000165,   3.461,  183,     0.1
     6.6,0.000238,0.000219, 10,0.000000,0.000131,   3.461,  182,     0.1
     6.8,0.000241,0.000221, 10,0.000000,0.000153,   3.458,  181,     0.1
     7.0,0.000241,0.000213, 10,0.000136,0.000107,   3.455,  181,     0.1
     7.2,0.000242,0.000205, 10,0.000272,0.000107,   3.459,  181,     0.1
     7.4,0.000239,0.000201, 10,0.000351,0.000119,   3.456,  181,     0.1
     7.6,0.000223,0.000217, 10,0.000400,0.000097,   3.460,  181,     0.1
     7.8,0.000203,0.000236, 10,0.000401,0.000121,   3.456,  184,     0.1
     8.0,0.000200,0.000241, 10,0.000362,0.000133,   3.456,  186,     0.1
     8.2,0.000196,0.000250, 10,0.000265,0.000122,   3.457,  184,     0.1
     8.4,0.000204,0.000250, 10,0.000217,0.000122,   3.459,  182,     0.1
     8.6,0.000201,0.000241, 10,0.000178,0.000111,   3.456,  181,     0.1
     8.8,0.000194,0.000242, 10,0.000130,0.000076,   3.461,  181,     0.1
     9.0,0.000180,0.000228, 10,0.000109,0.000065,   3.457,  180,     0.2
     9.2,0.000178,0.000217, 10,0.000119,0.000087,   3.452,  179,     0.2
     9.4,0.000167,0.000209, 10,0.000137,0.000087,   3.459,  180,     0.2
     9.6,0.000168,0.000201, 10,0.000126,0.000087,   3.458,  181,     0.2
     9.8,0.000165,0.000187, 10,0.000116,0.000087,   3.457,  181,     0.2
    10.0,0.000161,0.000182, 10,0.000096,0.000087,   3.456,  181,     0.2
    10.2,0.000154,0.000177, 10,0.000048,0.000087,   3.459,  182,     0.2
    10.4,0.000165,0.000162, 10,-0.000029,0.000087,   3.457,  183,     0.2
    10.6,0.000165,0.000162, 10,-0.000115,0.000087,   3.459,  181,     0.2
    10.8,0.000154,0.000159, 10,-0.000134,0.000075,   3.457,  179,     0.2
    11.0,0.000158,0.000156, 10,-0.000145,0.000063,   3.455,  180,     0.2
    11.2,0.000161,0.000152, 10,-0.000135,0.000063,   3.457,  182,     0.2
    11.4,0.000150,0.000155, 10,-0.000126,0.000075,   3.457,  181,     0.2
    11.6,0.000155,0.000155, 10,-0.000118,0.000075,   3.455,  181,     0.2
    11.8,0.000155,0.000152, 10,-0.000099,0.000075,   3.455,  180,     0.2
    12.0,0.000147,0.000147, 10,-0.000137,0.000087,   3.458,  180,     0.2
    12.2,0.000148,0.000148, 10,-0.000194,0.000087,   3.455,  180,     0.2
    12.4,0.000152,0.000148, 10,-0.000270,0.000087,   3.461,  180,     0.2
    12.6,0.000144,0.000149, 10,-0.000280,0.000087,   3.459,  183,     0.2
    12.8,0.000152,0.000149, 10,-0.000252,0.000099,   3.455,  185,     0.2
    13.0,0.000155,0.000152, 10,-0.000184,0.000087,   3.456,  183,     0.2
    13.2,0.000147,0.000149, 10,-0.000157,0.000087,   3.456,  180,     0.2
    13.4,0.000158,0.000149, 10,-0.000128,0.000087,   3.453,  180,     0.2
    13.6,0.000161,0.000152, 10,-0.000080,0.000087,   3.452,  179,     0.2
    13.8,0.000161,0.000150, 10,-0.000061,0.000087,   3.458,  179,     0.2
    14.0,0.000169,0.000147, 10,-0.000071,0.000087,   3.456,  179,     0.2
    14.2,0.000172,0.000152, 10,-0.000081,0.000087,   3.455,  180,     0.2
    14.4,0.000172,0.000158, 10,-0.000091,0.000087,   3.451,  181,     0.2
    14.6,0.000169,0.000154, 10,-0.000071,0.000087,   3.455,  180,     0.2
    14.8,0.000180,0.000158, 10,-0.000072,0.000087,   3.449,  179,     0.2
    15.0,0.000180,0.000164, 10,-0.000052,0.000087,   3.452,  180,     0.3
    15.2,0.000177,0.000164, 10,-0.000051,0.000087,   3.456,  181,     0.3
    15.4,0.000188,0.000164, 10,-0.000060,0.000087,   3.456,  179,     0.3
    15.6,0.000188,0.000158, 10,-0.000090,0.000087,   3.455,  177,     0.3
    15.8,0.000180,0.000155, 10,-0.000090,0.000087,   3.452,  178,     0.3
    16.0,0.000184,0.000149, 10,-0.000100,0.000087,   3.455,  179,     0.3
    16.2,0.000184,0.000155, 10,-0.000100,0.000087,   3.455,  179,     0.3
    16.4,0.000191,0.000155, 10,-0.000099,0.000087,   3.457,  179,     0.3
    16.6,0.000187,0.000152, 10,-0.000128,0.000087,   3.454,  179,     0.3
    16.8,0.000190,0.000152, 10,-0.000146,0.000087,   3.454,  179,     0.3
    17.0,0.000198,0.000155, 10,-0.000166,0.000087,   3.455,  179,     0.3
    17.2,0.000190,0.000151, 10,-0.000175,0.000087,   3.454,  179,     0.3
    17.4,0.000190,0.000156, 10,-0.000195,0.000087,   3.452,  182,     0.3
    17.6,0.000198,0.000164, 10,-0.000186,0.000087,   3.454,  184,     0.3
    17.8,0.000198,0.000164, 10,-0.000166,0.000087,   3.454,  182,     0.3
    18.0,0.000197,0.000166, 10,-0.000147,0.000087,   3.455,  181,     0.3
    18.2,0.000204,0.000175, 10,-0.000119,0.000087,   3.455,  179,     0.3
    18.4,0.000200,0.000178, 10,-0.000090,0.000087,   3.456,  178,     0.3
    18.6,0.000200,0.000178, 10,-0.000061,0.000121,   3.455,  178,     0.3
    18.8,0.000200,0.000178, 10,-0.000071,0.000109,   3.456,  179,     0.3
    19.0,0.000200,0.000184, 10,-0.000089,0.000097,   3.456,  180,     0.3
    19.2,0.000203,0.000187, 10,-0.000126,0.000097,   3.452,  181,     0.3
    19.4,0.000211,0.000191, 10,-0.000135,0.000121,   3.457,  180,     0.3
    19.6,0.000219,0.000191, 10,-0.000135,0.000099,   3.454,  179,     0.3
    19.8,0.000214,0.000191, 10,-0.000145,0.000065,   3.454,  180,     0.3
    20.0,0.000219,0.000191, 10,-0.000126,0.000065,   3.455,  181,     0.3
    20.2,0.000227,0.000190, 10,-0.000088,0.000087,   3.453,  180,     0.3
    20.4,0.000230,0.000193, 10,-0.000050,0.000087,   3.457,  179,     0.3
    20.6,0.000223,0.000196, 10,-0.000146,0.000065,   3.456,  179,     0.3
    20.8,0.000236,0.000193, 10,-0.000278,0.000065,   3.456,  179,     0.3
    21.0,0.000231,0.000199, 10,-0.000488,0.000076,   3.454,  181,     0.3
    21.2,0.000231,0.000202, 10,-0.000498,0.000042,   3.452,  183,     0.4
    21.4,0.000231,0.000196, 10,-0.000432,0.000054,   3.453,  182,     0.4
    21.6,0.000227,0.000196, 10,-0.000308,0.000054,   3.457,  182,     0.4
    21.8,0.000230,0.000202, 10,-0.000270,0.000054,   3.458,  181,     0.4
    22.0,0.000230,0.000196, 10,-0.000251,0.000054,   3.455,  180,     0.4
    22.2,0.000225,0.000199, 10,-0.000241,0.000054,   3.459,  182,     0.4
    22.4,0.000225,0.000207, 10,-0.000183,0.000066,   3.454,  184,     0.4
    22.6,0.000230,0.000201, 10,-0.000126,0.000066,   3.455,  184,     0.4
    22.8,0.000225,0.000204, 10,-0.000060,0.000066,   3.458,  183,     0.4
    23.0,0.000225,0.000210, 10,-0.000069,0.000078,   3.456,  181,     0.4
    23.2,0.000230,0.000207, 10,-0.000136,0.000078,   3.459,  179,     0.4
    23.4,0.000236,0.000209, 10,-0.000240,0.000078,   3.461,  180,     0.4
    23.6,0.000240,0.000218, 10,-0.000240,0.000090,   3.453,  181,     0.4
    23.8,0.000255,0.000215, 10,-0.000222,0.000090,   3.454,  181,     0.4
    24.0,0.000259,0.000215, 10,-0.000155,0.000090,   3.452,  181,     0.4
    24.2,0.000254,0.000223, 10,-0.000059,0.000090,   3.456,  180,     0.4
    24.4,0.000255,0.000217, 10,-0.000212,0.000090,   3.457,  179,     0.4
    24.6,0.000255,0.000223, 10,-0.000449,0.000090,   3.457,  180,     0.4
    24.8,0.000248,0.000227, 10,-0.000762,0.000102,   3.456,  182,     0.4
    25.0,0.000252,0.000229, 10,-0.000792,0.000102,   3.455,  180,     0.4
    25.2,0.000252,0.000226, 10,-0.000686,0.000102,   3.454,  179,     0.4
    25.4,0.000255,0.000229, 10,-0.000495,0.000102,   3.457,  179,     0.4
    25.6,0.000263,0.000234, 10,-0.000429,0.000102,   3.456,  179,     0.4
    25.8,0.000263,0.000237, 10,-0.000372,0.000124,   3.457,  180,     0.4
    26.0,0.000266,0.000237, 10,-0.000324,0.000124,   3.454,  180,     0.4
    26.2,0.000266,0.000234, 10,-0.000257,0.000090,   3.456,  180,     0.4
    26.4,0.000266,0.000234, 10,-0.000210,0.000136,   3.458,  179,     0.4
    26.6,0.000274,0.000231, 10,-0.000182,0.000136,   3.464,  179,     0.4
    26.8,0.000279,0.000238, 10,-0.000134,0.000124,   3.456,  179,     0.4
    27.0,0.000279,0.000238, 10,-0.000115,0.000122,   3.456,  181,     0.4
    27.2,0.000282,0.000232, 10,-0.000116,0.000122,   3.459,  183,     0.5
    27.4,0.000282,0.000238, 10,-0.000107,0.000134,   3.458,  182,     0.5
    27.6,0.000282,0.000239, 10,-0.000088,0.000146,   3.461,  182,     0.5
    27.8,0.000282,0.000239, 10,-0.000078,0.000158,   3.460,  181,     0.5
    28.0,0.000274,0.000243, 10,-0.000098,0.000124,   3.456,  180,     0.5
    28.2,0.000279,0.000243, 10,-0.000126,0.000124,   3.460,  181,     0.5
    28.4,0.000279,0.000243, 10,-0.000183,0.000124,   3.463,  181,     0.5
    28.6,0.000279,0.000241, 10,-0.000345,0.000078,   3.462,  181,     0.5
    28.8,0.000275,0.000235, 10,-0.000564,0.000100,   3.460,  181,     0.5
    29.0,0.000283,0.000239, 10,-0.000839,0.000112,   3.464,  181,     0.5
    29.2,0.000286,0.000248, 10,-0.000811,0.000088,   3.456,  181,     0.5
    29.4,0.000286,0.000253, 10,-0.000649,0.000111,   3.455,  181,     0.5
    29.6,0.000294,0.000250, 10,-0.000383,0.000122,   3.459,  182,     0.5
    29.8,0.000298,0.000250, 10,-0.000298,0.000100,   3.461,  181,     0.5
    30.0,0.000294,0.000255, 10,-0.000232,0.000112,   3.460,  180,     0.5
    30.2,0.000286,0.000252, 10,-0.000203,0.000124,   3.461,  180,     0.5
    30.4,0.000290,0.000252, 10,-0.000146,0.000102,   3.464,  180,     0.5
    30.6,0.000294,0.000254, 10,-0.000079,0.000136,   3.460,  180,     0.5
    30.8,0.000286,0.000254, 10,-0.000021,0.000136,   3.464,  180,     0.5
    31.0,0.000290,0.000258, 10,-0.000002,0.000114,   3.463,  180,     0.5
    31.2,0.000290,0.000260, 10,-0.000021,0.000136,   3.463,  180,     0.5
    31.4,0.000290,0.000258, 10,-0.000069,0.000136,   3.462,  180,     0.5
    31.6,0.000286,0.000261, 10,-0.000078,0.000136,   3.465,  179,     0.5
    31.8,0.000291,0.000261, 10,-0.000097,0.000114,   3.463,  181,     0.5
    32.0,0.000280,0.000252, 10,-0.000116,0.000160,   3.463,  182,     0.5
    32.2,0.000280,0.000256, 10,-0.000126,0.000160,   3.460,  182,     0.5
    32.4,0.000284,0.000258, 10,-0.000126,0.000126,   3.461,  182,     0.5
    32.6,0.000277,0.000252, 10,-0.000116,0.000148,   3.463,  180,     0.5
    32.8,0.000273,0.000261, 10,-0.000106,0.000148,   3.464,  179,     0.5
    33.0,0.000278,0.000264, 10,-0.000097,0.000126,   3.465,  180,     0.6
    33.2,0.000273,0.000255, 10,-0.000077,0.000148,   3.464,  181,     0.6
    33.4,0.000273,0.000261, 10,-0.000068,0.000136,   3.463,  181,     0.6
    33.6,0.000281,0.000264, 10,-0.000173,0.000102,   3.466,  181,     0.6
    33.8,0.000277,0.000262, 10,-0.000326,0.000124,   3.465,  181,     0.6
    34.0,0.000281,0.000262, 10,-0.000544,0.000124,   3.464,  180,     0.6
    34.2,0.000289,0.000263, 10,-0.000544,0.000102,   3.464,  181,     0.6
    34.4,0.000284,0.000257, 10,-0.000459,0.000114,   3.465,  182,     0.6
    34.6,0.000284,0.000259, 10,-0.000296,0.000126,   3.461,  181,     0.6
    34.8,0.000284,0.000262, 10,-0.000248,0.000138,   3.463,  181,     0.6
    35.0,0.000283,0.000258, 10,-0.000210,0.000126,   3.464,  180,     0.6
    35.2,0.000283,0.000258, 10,-0.000201,0.000126,   3.465,  180,     0.6
    35.4,0.000291,0.000262, 10,-0.000163,0.000126,   3.472,  180,     0.6
    35.6,0.000286,0.000264, 10,-0.000106,0.000126,   3.467,  179,     0.6
    35.8,0.000298,0.000264, 10,-0.000040,0.000138,   3.466,  180,     0.6
    36.0,0.000310,0.000267, 10,-0.000041,0.000138,   3.464,  180,     0.6
    36.2,0.000310,0.000273, 10,-0.000040,0.000150,   3.466,  180,     0.6
    36.4,0.000313,0.000270, 10,-0.000077,0.000161,   3.465,  179,     0.6
    36.6,0.000310,0.000271, 10,-0.000050,0.000161,   3.466,  180,     0.6
    36.8,0.000318,0.000268, 10,0.000017,0.000161,   3.467,  181,     0.6
    37.0,0.000321,0.000273, 10,0.000094,0.000173,   3.466,  181,     0.6
    37.2,0.000318,0.000272, 10,0.000094,0.000173,   3.469,  180,     0.6
    37.4,0.000314,0.000269, 10,0.000055,0.000161,   3.464,  180,     0.6
    37.6,0.000307,0.000269, 10,-0.000001,0.000173,   3.467,  180,     0.6
    37.8,0.000314,0.000275, 10,-0.000134,0.000173,   3.470,  179,     0.6
    38.0,0.000314,0.000280, 10,-0.000325,0.000173,   3.472,  179,     0.6
    38.2,0.000307,0.000274, 10,-0.000573,0.000185,   3.469,  179,     0.6
    38.4,0.000318,0.000274, 10,-0.000573,0.000173,   3.465,  180,     0.6
    38.6,0.000318,0.000274, 10,-0.000497,0.000161,   3.469,  179,     0.6
    38.8,0.000310,0.000274, 10,-0.000326,0.000173,   3.468,  179,     0.6
    39.0,0.000318,0.000275, 10,-0.000269,0.000161,   3.467,  179,     0.6
    39.2,0.000314,0.000275, 10,-0.000212,0.000150,   3.467,  180,     0.7
    39.4,0.000314,0.000272, 10,-0.000174,0.000150,   3.464,  180,     0.7
    39.6,0.000314,0.000272, 10,-0.000127,0.000161,   3.465,  179,     0.7
    39.8,0.000322,0.000281, 10,-0.000079,0.000150,   3.469,  180,     0.7
    40.0,0.000322,0.000281, 10,-0.000032,0.000161,   3.468,  180,     0.7
    40.2,0.000318,0.000281, 10,-0.000003,0.000161,   3.468,  179,     0.7
    40.4,0.000325,0.000287, 10,-0.000003,0.000161,   3.470,  178,     0.7
    40.6,0.000325,0.000288, 10,-0.000013,0.000161,   3.471,  179,     0.7
    40.8,0.000329,0.000286, 10,-0.000012,0.000173,   3.470,  179,     0.7
    41.0,0.000341,0.000282, 10,-0.000041,0.000173,   3.471,  179,     0.7
    41.2,0.000341,0.000282, 10,-0.000069,0.000173,   3.469,  180,     0.7
