Run Name,Run 1
Run Date,03:39:17 PM   04-05-18
Method Name,Group 14 Spring 2018 Multistep
Export Format Version, 1.00
Method ID, 3736
Points/Second, 5.00
Number of Records,  12918
Offset from Run Start Time,00:00:00
Run End Time,00:43:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.004671,0.004007, 23,0.014177,0.002417,   4.223,  171,     0.0
     0.2,0.004671,0.004007, 23,0.014167,0.002382,   4.218,  171,     0.0
     0.4,0.004671,0.004009, 23,0.014147,0.002394,   4.211,  171,     0.0
     0.6,0.004672,0.004006, 23,0.014127,0.002417,   4.208,  170,     0.0
     0.8,0.004669,0.004006, 23,0.014056,0.002394,   4.207,  170,     0.0
     1.0,0.004669,0.004003, 23,0.013946,0.002394,   4.202,  171,     0.0
     1.2,0.004680,0.004004, 23,0.013815,0.002429,   4.202,  173,     0.0
     1.4,0.004677,0.003995, 23,0.013835,0.002406,   4.198,  171,     0.0
     1.6,0.004680,0.003995, 23,0.013905,0.002406,   4.199,  169,     0.0
     1.8,0.004673,0.003998, 23,0.014056,0.002406,   4.197,  169,     0.0
     2.0,0.004678,0.003998, 23,0.014117,0.002418,   4.197,  169,     0.0
     2.2,0.004675,0.003995, 23,0.014157,0.002418,   4.192,  169,     0.0
     2.4,0.004679,0.003996, 23,0.014187,0.002406,   4.192,  168,     0.0
     2.6,0.004886,0.003993, 23,0.014207,0.002406,   4.192,  169,     0.0
     2.8,0.004326,0.003993, 23,0.014207,0.002394,   4.190,  169,     0.0
     3.0,0.002700,0.003996, 23,0.014207,0.002405,   4.186,  168,     0.1
     3.2,0.001886,0.003990, 23,0.014197,0.002405,   4.185,  167,     0.1
     3.4,0.000000,0.003990, 23,0.014167,0.002427,   4.188,  167,     0.1
     3.6,0.000000,0.003979, 23,0.014187,0.002427,   4.180,  167,     0.1
     3.8,0.000000,0.003979, 23,0.014187,0.000000,   4.181,  171,     0.1
     4.0,0.000000,0.003054, 23,0.014187,0.000000,   4.179,  175,     0.1
     4.2,0.000000,0.001216, 23,0.014187,0.000000,   4.179,  171,     0.1
     4.4,0.000000,0.001216, 23,0.014187,0.000000,   4.180,  167,     0.1
     4.6,0.000000,0.000000, 23,0.000000,0.000000,   4.179,  167,     0.1
