Run Name,Run 1
Run Date,02:24:59 PM   01-26-18
Method Name,Group 16, Spring 2018
Export Format Version, 1.00
Method ID, 3656
Points/Second, 5.00
Number of Records,  10018
Offset from Run Start Time,00:00:00
Run End Time,00:33:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.006001,0.000000, 10,0.002642,0.003698,   1.093,  183,     0.0
     0.2,0.005997,0.000000, 10,0.002646,0.003687,   1.097,  182,     0.0
     0.4,0.006007,0.000000, 10,0.002631,0.003687,   1.096,  181,     0.0
     0.6,0.006011,0.000000, 10,0.002646,0.003698,   1.094,  182,     0.0
     0.8,0.006003,0.000000, 10,0.002641,0.003731,   1.094,  184,     0.0
     1.0,0.006003,0.000000, 10,0.002641,0.003731,   1.094,  181,     0.0
     1.2,0.005990,0.000000, 10,0.002636,0.003720,   1.093,  178,     0.0
     1.4,0.005468,0.000000, 10,0.002641,0.003764,   1.094,  179,     0.0
     1.6,0.004565,0.000000, 10,0.002631,0.003764,   1.093,  179,     0.0
     1.8,0.004057,0.000000, 10,0.002630,0.003731,   1.093,  179,     0.0
     2.0,0.000000,0.000000, 10,0.002639,0.003731,   1.092,  179,     0.0
     2.2,0.000000,0.000000, 10,0.002643,0.003741,   1.093,  179,     0.0
     2.4,0.000000,0.000000, 10,0.002627,0.000000,   1.091,  178,     0.0
     2.6,0.000000,0.000000, 10,0.002563,0.000000,   1.089,  178,     0.0
     2.8,0.000000,0.000000, 10,0.002563,0.000000,   1.092,  179,     0.0
     3.0,0.000000,0.000000, 10,0.002563,0.000000,   1.092,  181,     0.1
     3.2,0.000000,0.000000, 10,0.002563,0.000000,   1.092,  184,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   1.088,  182,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   1.092,  180,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   1.089,  178,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   1.088,  176,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   1.090,  177,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   1.093,  178,     0.1
     4.6,0.000000,0.000142, 10,0.000000,0.000000,   1.086,  178,     0.1
     4.8,0.000000,0.000150, 10,0.000000,0.000000,   1.091,  178,     0.1
     5.0,0.000000,0.000161, 10,0.000000,0.000000,   1.090,  177,     0.1
     5.2,0.000000,0.000171, 10,0.000000,0.000000,   1.090,  177,     0.1
     5.4,0.000000,0.000187, 10,0.000000,0.000000,   1.091,  178,     0.1
     5.6,0.000000,0.000200, 10,0.000000,0.000000,   1.090,  179,     0.1
     5.8,0.000000,0.000223, 10,0.000000,0.000000,   1.088,  177,     0.1
     6.0,0.000165,0.000244, 10,0.000000,0.000000,   1.089,  175,     0.1
     6.2,0.000167,0.000268, 10,0.000000,0.000000,   1.085,  176,     0.1
     6.4,0.000166,0.000306, 10,0.000000,0.000000,   1.087,  176,     0.1
     6.6,0.000175,0.000325, 10,0.000000,0.000000,   1.088,  177,     0.1
     6.8,0.000180,0.000324, 10,0.000000,0.000000,   1.088,  177,     0.1
     7.0,0.000193,0.000331, 10,0.000000,0.000000,   1.087,  177,     0.1
     7.2,0.000209,0.000333, 10,0.000210,0.000000,   1.086,  176,     0.1
     7.4,0.000224,0.000335, 10,0.000286,0.000090,   1.087,  176,     0.1
     7.6,0.000250,0.000344, 10,0.000338,0.000092,   1.085,  175,     0.1
     7.8,0.000279,0.000344, 10,0.000383,0.000103,   1.088,  178,     0.1
     8.0,0.000287,0.000341, 10,0.000409,0.000115,   1.090,  181,     0.1
     8.2,0.000307,0.000341, 10,0.000431,0.000105,   1.087,  179,     0.1
     8.4,0.000307,0.000344, 10,0.000425,0.000161,   1.089,  177,     0.1
     8.6,0.000306,0.000338, 10,0.000438,0.000161,   1.089,  175,     0.1
     8.8,0.000309,0.000347, 10,0.000466,0.000151,   1.086,  174,     0.1
     9.0,0.000299,0.000347, 10,0.000509,0.000174,   1.088,  175,     0.2
     9.2,0.000302,0.000343, 10,0.000534,0.000185,   1.093,  176,     0.2
     9.4,0.000302,0.000349, 10,0.000547,0.000163,   1.092,  176,     0.2
     9.6,0.000306,0.000351, 10,0.000559,0.000175,   1.088,  176,     0.2
     9.8,0.000302,0.000348, 10,0.000576,0.000185,   1.095,  176,     0.2
    10.0,0.000306,0.000354, 10,0.000575,0.000152,   1.094,  175,     0.2
    10.2,0.000311,0.000357, 10,0.000567,0.000163,   1.093,  177,     0.2
    10.4,0.000306,0.000354, 10,0.000561,0.000152,   1.098,  178,     0.2
    10.6,0.000314,0.000357, 10,0.000560,0.000130,   1.095,  177,     0.2
    10.8,0.000314,0.000352, 10,0.000551,0.000163,   1.098,  176,     0.2
    11.0,0.000309,0.000351, 10,0.000533,0.000163,   1.103,  176,     0.2
    11.2,0.000317,0.000357, 10,0.000542,0.000130,   1.098,  175,     0.2
    11.4,0.000314,0.000362, 10,0.000542,0.000163,   1.101,  175,     0.2
    11.6,0.000309,0.000361, 10,0.000542,0.000152,   1.105,  175,     0.2
    11.8,0.000320,0.000366, 10,0.000546,0.000119,   1.102,  176,     0.2
    12.0,0.000323,0.000369, 10,0.000542,0.000163,   1.102,  176,     0.2
