Run Name,Run 1
Run Date,04:28:00 PM   02-16-18
Method Name,Group17 Spring 2018 Gradient
Export Format Version, 1.00
Method ID, 3700
Points/Second, 5.00
Number of Records,  18896
Offset from Run Start Time,00:00:00
Run End Time,01:03:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.003000,0.000000, 10,0.001660,0.000000,   1.006,  -11,     0.0
     0.2,0.003117,0.000000, 10,0.001660,0.000000,   0.882,  -11,     0.0
     0.4,0.002940,0.000000, 10,0.001660,0.000000,   0.903,  -11,     0.0
     0.6,0.001783,0.000000, 10,0.001660,0.000000,   1.002,   79,     0.0
     0.8,0.000000,0.000000, 10,0.000000,0.000000,   0.921,  170,     0.0
     1.0,0.000000,0.000000, 10,0.000000,0.000000,   1.126,  186,     0.0
     1.2,0.000000,0.000000, 10,0.000000,0.000000,   1.197,  201,     0.0
     1.4,0.000000,0.000000, 10,0.000000,0.000000,   0.926,  200,     0.0
     1.6,0.000000,0.000000, 10,0.000000,0.000000,   1.096,  199,     0.0
     1.8,0.000000,0.000000, 10,0.000000,0.000000,   1.100,  197,     0.0
     2.0,0.000000,0.000000, 10,0.000000,0.000000,   1.134,  196,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,   1.171,  195,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   1.049,  195,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   0.905,  195,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   0.983,  195,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   1.047,  194,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   0.935,  192,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   1.149,  192,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   1.166,  191,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   1.115,  191,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   1.110,  191,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   1.109,  191,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   1.077,  190,     0.1
     4.6,0.000000,0.000288, 10,0.000000,0.000000,   1.003,  189,     0.1
     4.8,0.000405,0.000690, 10,0.000619,0.000000,   0.875,  188,     0.1
     5.0,0.000550,0.001003, 10,0.001087,0.000000,   0.902,  188,     0.1
     5.2,0.000669,0.001235, 10,0.001413,0.000000,   1.003,  189,     0.1
     5.4,0.000768,0.001374, 10,0.001593,0.000000,   0.923,  189,     0.1
     5.6,0.000850,0.001420, 10,0.001623,0.000000,   1.124,  189,     0.1
     5.8,0.000913,0.001385, 10,0.001518,0.000000,   1.201,  188,     0.1
     6.0,0.000953,0.001251, 10,0.001553,0.000000,   0.933,  186,     0.1
     6.2,0.001019,0.001277, 10,0.001583,0.000429,   1.139,  187,     0.1
     6.4,0.001082,0.001327, 10,0.001629,0.000465,   1.172,  188,     0.1
     6.6,0.001144,0.001374, 10,0.001664,0.000512,   1.045,  187,     0.1
     6.8,0.001191,0.001409, 10,0.001698,0.000547,   0.911,  187,     0.1
     7.0,0.001220,0.001439, 10,0.001737,0.000582,   1.027,  186,     0.1
     7.2,0.001240,0.001473, 10,0.001718,0.000583,   0.941,  185,     0.1
     7.4,0.001227,0.001447, 10,0.001664,0.000617,   1.113,  186,     0.1
     7.6,0.001191,0.001407, 10,0.001586,0.000652,   1.120,  187,     0.1
     7.8,0.001134,0.001342, 10,0.001506,0.000653,   1.115,  186,     0.1
     8.0,0.001098,0.001287, 10,0.001420,0.000688,   1.106,  185,     0.1
     8.2,0.001062,0.001244, 10,0.001324,0.000711,   1.079,  184,     0.1
