Run Name,Run 1
Run Date,05:43:38 PM   02-16-18
Method Name,Group17 Spring 2018 Gradient 2
Export Format Version, 1.00
Method ID, 3702
Points/Second, 5.00
Number of Records,  15732
Offset from Run Start Time,00:00:00
Run End Time,00:52:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001305,0.001375, 10,0.004091,0.000640,   1.793,  159,     0.0
     0.2,0.001297,0.001371, 10,0.004095,0.000652,   1.789,  156,     0.0
     0.4,0.001300,0.001374, 10,0.004103,0.000641,   1.786,  154,     0.0
     0.6,0.001304,0.001377, 10,0.004107,0.000620,   1.788,  154,     0.0
     0.8,0.001307,0.001374, 10,0.004107,0.000631,   1.791,  154,     0.0
     1.0,0.001303,0.001376, 10,0.004096,0.000631,   1.788,  153,     0.0
     1.2,0.001303,0.001384, 10,0.004112,0.000631,   1.781,  152,     0.0
     1.4,0.001314,0.001378, 10,0.004120,0.000643,   1.782,  153,     0.0
     1.6,0.001309,0.001382, 10,0.004119,0.000643,   1.779,  153,     0.0
     1.8,0.001309,0.001385, 10,0.004125,0.000643,   1.781,  153,     0.0
     2.0,0.001314,0.001382, 10,0.004130,0.000643,   1.783,  152,     0.0
     2.2,0.001309,0.001385, 10,0.004132,0.000655,   1.778,  153,     0.0
     2.4,0.001306,0.001388, 10,0.004132,0.000621,   1.781,  155,     0.0
     2.6,0.001310,0.001385, 10,0.004120,0.000655,   1.782,  151,     0.0
     2.8,0.001306,0.001388, 10,0.004115,0.000666,   1.778,  147,     0.0
     3.0,0.001310,0.001396, 10,0.004132,0.000655,   1.778,  150,     0.1
     3.2,0.001318,0.001393, 10,0.004137,0.000676,   1.773,  153,     0.1
