Run Name,Run 2
Run Date,03:15:40 PM   02-12-18
Method Name,Group 2 Spring 2018.1
Export Format Version, 1.00
Method ID, 3676
Points/Second, 5.00
Number of Records,   8986
Offset from Run Start Time,00:00:00
Run End Time,00:30:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.002930,0.002376, 15,-0.003563,0.000892,   1.190,  160,     0.0
     0.2,0.002663,0.002367, 15,-0.003570,0.000903,   1.189,  160,     0.0
     0.4,0.001411,0.002372, 15,-0.003562,0.000892,   1.193,  160,     0.0
     0.6,0.001135,0.002375, 15,-0.003555,0.000913,   1.188,  158,     0.0
     0.8,0.000000,0.002372, 15,-0.003556,0.000925,   1.190,  157,     0.0
     1.0,0.000000,0.002377, 15,-0.003552,0.000892,   1.191,  158,     0.0
     1.2,0.000000,0.000000, 15,-0.003558,0.000892,   1.189,  158,     0.0
     1.4,0.000000,0.000000, 15,-0.003558,0.000903,   1.192,  160,     0.0
     1.6,0.000000,0.000000, 15,-0.003557,0.000892,   1.188,  162,     0.0
     1.8,0.000000,0.000000, 15,-0.003556,0.000892,   1.193,  161,     0.0
     2.0,0.000000,0.000000, 15,-0.003564,0.000892,   1.186,  159,     0.0
     2.2,0.000000,0.000000, 15,-0.003557,0.000880,   1.187,  158,     0.0
     2.4,0.000000,0.000000, 15,-0.003603,0.000857,   1.187,  157,     0.0
     2.6,0.000000,0.000000, 15,-0.003603,0.000879,   1.194,  157,     0.0
     2.8,0.000000,0.000000, 15,-0.003603,0.000889,   1.191,  158,     0.0
     3.0,0.000000,0.000000, 15,-0.003603,0.000887,   1.187,  156,     0.1
     3.2,0.000000,0.000000, 15,0.000000,0.000374,   1.192,  155,     0.1
     3.4,0.000000,0.000000, 15,0.000000,0.000000,   1.188,  156,     0.1
     3.6,0.000000,0.000000, 15,0.000000,0.000000,   1.192,  157,     0.1
     3.8,0.000000,0.000000, 15,0.000000,0.000000,   1.190,  158,     0.1
     4.0,0.000000,0.000000, 15,0.000000,0.000000,   1.189,  160,     0.1
     4.2,0.000000,0.000000, 15,0.000000,0.000000,   1.191,  158,     0.1
     4.4,0.000000,0.000000, 15,0.000000,0.000000,   1.189,  156,     0.1
     4.6,0.000000,0.000000, 15,0.000000,0.000000,   1.189,  157,     0.1
     4.8,0.000132,0.000000, 15,0.000000,0.000000,   1.186,  157,     0.1
     5.0,0.000139,0.000000, 15,0.000000,0.000000,   1.190,  157,     0.1
     5.2,0.000145,0.000000, 15,0.000000,0.000000,   1.188,  157,     0.1
     5.4,0.000152,0.000000, 15,0.000000,0.000000,   1.187,  157,     0.1
     5.6,0.000162,0.000000, 15,0.000000,0.000000,   1.188,  156,     0.1
     5.8,0.000165,0.000161, 15,0.000000,0.000000,   1.191,  156,     0.1
     6.0,0.000165,0.000172, 15,0.000000,0.000000,   1.189,  155,     0.1
     6.2,0.000175,0.000174, 15,0.000000,0.000000,   1.187,  159,     0.1
     6.4,0.000188,0.000183, 15,0.000000,0.000000,   1.190,  162,     0.1
     6.6,0.000197,0.000188, 15,0.000000,0.000000,   1.186,  160,     0.1
     6.8,0.000204,0.000192, 15,0.000000,0.000000,   1.184,  158,     0.1
     7.0,0.000207,0.000201, 15,0.000125,0.000000,   1.187,  157,     0.1
     7.2,0.000207,0.000211, 15,0.000148,0.000000,   1.191,  156,     0.1
     7.4,0.000207,0.000210, 15,0.000151,0.000000,   1.189,  155,     0.1
     7.6,0.000204,0.000220, 15,0.000177,0.000000,   1.187,  154,     0.1
     7.8,0.000197,0.000228, 15,0.000181,0.000000,   1.190,  156,     0.1
     8.0,0.000194,0.000232, 15,0.000208,0.000001,   1.191,  158,     0.1
     8.2,0.000194,0.000238, 15,0.000230,0.000046,   1.187,  157,     0.1
     8.4,0.000188,0.000246, 15,0.000237,0.000046,   1.189,  155,     0.1
     8.6,0.000188,0.000240, 15,0.000245,0.000058,   1.189,  156,     0.1
     8.8,0.000184,0.000244, 15,0.000263,0.000024,   1.188,  157,     0.1
     9.0,0.000181,0.000238, 15,0.000274,0.000058,   1.187,  156,     0.2
     9.2,0.000178,0.000226, 15,0.000293,0.000069,   1.189,  156,     0.2
     9.4,0.000178,0.000224, 15,0.000307,0.000048,   1.189,  157,     0.2
     9.6,0.000167,0.000221, 15,0.000301,0.000092,   1.192,  158,     0.2
     9.8,0.000171,0.000215, 15,0.000284,0.000115,   1.188,  158,     0.2
    10.0,0.000164,0.000218, 15,0.000268,0.000082,   1.189,  157,     0.2
    10.2,0.000168,0.000215, 15,0.000253,0.000115,   1.186,  156,     0.2
    10.4,0.000172,0.000212, 15,0.000238,0.000115,   1.188,  155,     0.2
    10.6,0.000172,0.000214, 15,0.000234,0.000082,   1.183,  156,     0.2
    10.8,0.000168,0.000214, 15,0.000219,0.000104,   1.186,  156,     0.2
    11.0,0.000176,0.000208, 15,0.000208,0.000071,   1.184,  156,     0.2
    11.2,0.000176,0.000209, 15,0.000208,0.000071,   1.187,  156,     0.2
    11.4,0.000171,0.000207, 15,0.000193,0.000059,   1.187,  158,     0.2
    11.6,0.000176,0.000204, 15,0.000188,0.000026,   1.189,  160,     0.2
    11.8,0.000176,0.000209, 15,0.000178,0.000071,   1.188,  158,     0.2
    12.0,0.000171,0.000214, 15,0.000162,0.000071,   1.187,  156,     0.2
    12.2,0.000179,0.000205, 15,0.000172,0.000037,   1.191,  155,     0.2
    12.4,0.000179,0.000208, 15,0.000171,0.000082,   1.184,  154,     0.2
    12.6,0.000171,0.000210, 15,0.000171,0.000071,   1.184,  154,     0.2
    12.8,0.000179,0.000204, 15,0.000167,0.000037,   1.191,  155,     0.2
    13.0,0.000182,0.000204, 15,0.000163,0.000071,   1.189,  156,     0.2
