Run Name,Run 3
Run Date,03:40:58 PM   01-23-18
Method Name,Group 6 2018
Export Format Version, 1.00
Method ID, 3642
Points/Second, 5.00
Number of Records,  13776
Offset from Run Start Time,00:00:00
Run End Time,00:46:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001166,0.001102, 10,0.000566,0.000413,   1.228,  222,     0.0
     0.2,0.001161,0.001099, 10,0.000577,0.000380,   1.105,  222,     0.0
     0.4,0.001169,0.001097, 10,0.000577,0.000391,   1.220,  221,     0.0
     0.6,0.001166,0.001100, 10,0.000572,0.000413,   1.092,  221,     0.0
     0.8,0.001161,0.001100, 10,0.000560,0.000380,   1.231,  220,     0.0
     1.0,0.001169,0.001094, 10,0.000558,0.000391,   1.110,  221,     0.0
     1.2,0.001169,0.001103, 10,0.000566,0.000413,   1.195,  221,     0.0
     1.4,0.001165,0.001097, 10,0.000560,0.000368,   1.059,  220,     0.0
     1.6,0.001165,0.001102, 10,0.000565,0.000401,   1.206,  219,     0.1
     1.8,0.001168,0.001102, 10,0.000575,0.000423,   1.079,  221,     0.1
     2.0,0.001171,0.001102, 10,0.000580,0.000390,   1.232,  222,     0.1
     2.2,0.001174,0.001105, 10,0.000580,0.000423,   1.116,  220,     0.1
     2.4,0.001174,0.001102, 10,0.000580,0.000434,   1.203,  217,     0.1
     2.6,0.001174,0.001102, 10,0.000575,0.000413,   1.087,  218,     0.1
     2.8,0.001170,0.001105, 10,0.000576,0.000445,   1.235,  219,     0.1
     3.0,0.001174,0.001102, 10,0.000582,0.000434,   1.134,  218,     0.1
     3.2,0.001171,0.001102, 10,0.000576,0.000401,   1.139,  217,     0.1
     3.4,0.001164,0.001107, 10,0.000576,0.000434,   1.132,  218,     0.1
     3.6,0.001167,0.001107, 10,0.000580,0.000434,   1.134,  219,     0.1
     3.8,0.000190,0.001116, 10,0.000584,0.000423,   1.131,  218,     0.1
     4.0,-0.000868,0.001116, 10,0.000580,0.000423,   1.129,  218,     0.1
     4.2,-0.002179,0.001113, 10,0.000565,0.000444,   1.161,  217,     0.1
     4.4,-0.000877,0.001114, 10,0.000569,0.000444,   1.069,  217,     0.1
