Run Name,Run 1
Run Date,02:37:41 PM   02-13-18
Method Name,Group 7 Spring 2018
Export Format Version, 1.00
Method ID, 3684
Points/Second, 5.00
Number of Records,  11396
Offset from Run Start Time,00:00:00
Run End Time,00:38:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.002957,0.000000, 10,-0.329503,-0.459978,   0.834,  182,     0.0
     0.2,-0.003432,0.000000, 10,-0.329503,-0.459967,   0.847,  183,     0.0
     0.4,-0.004403,0.000000, 10,-0.329502,-0.459967,   0.833,  185,     0.0
     0.6,-0.004705,0.000000, 10,-0.329505,-0.459967,   0.845,  185,     0.0
     0.8,0.000000,0.000000, 10,-0.329505,-0.459945,   0.837,  186,     0.0
     1.0,0.000000,0.000000, 10,-0.329510,0.000000,   0.840,  184,     0.0
     1.2,0.000000,0.000000, 10,-0.329605,0.000000,   0.844,  182,     0.0
     1.4,0.000000,0.000000, 10,-0.329605,0.000000,   0.832,  183,     0.0
     1.6,0.000000,0.000000, 10,-0.329605,0.000000,   0.842,  183,     0.0
     1.8,0.000000,0.000000, 10,-0.329605,0.000000,   0.845,  183,     0.0
     2.0,0.000000,0.000000, 10,0.000000,0.000000,   0.835,  182,     0.0
     2.2,0.000000,0.000000, 10,0.000000,0.000000,   0.843,  182,     0.0
     2.4,0.000000,0.000000, 10,0.000000,0.000000,   0.828,  181,     0.0
     2.6,0.000000,0.000000, 10,0.000000,0.000000,   0.831,  182,     0.0
     2.8,0.000000,0.000000, 10,0.000000,0.000000,   0.844,  182,     0.0
     3.0,0.000000,0.000000, 10,0.000000,0.000000,   0.836,  181,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   0.839,  180,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   0.839,  179,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   0.848,  178,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   0.834,  180,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   0.846,  181,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   0.837,  182,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   0.843,  182,     0.1
     4.6,0.000000,0.000206, 10,0.000000,0.000000,   0.835,  180,     0.1
     4.8,0.000208,0.000243, 10,0.000000,0.000000,   0.843,  178,     0.1
     5.0,0.000207,0.000271, 10,0.000000,0.000000,   0.832,  178,     0.1
     5.2,0.000221,0.000298, 10,0.000000,0.000000,   0.843,  178,     0.1
     5.4,0.000228,0.000313, 10,0.000000,0.000000,   0.844,  179,     0.1
     5.6,0.000241,0.000315, 10,0.000000,0.000000,   0.831,  180,     0.1
     5.8,0.000243,0.000320, 10,0.000000,0.000000,   0.843,  178,     0.1
     6.0,0.000253,0.000312, 10,0.000213,0.000148,   0.831,  176,     0.1
     6.2,0.000272,0.000328, 10,0.000362,0.000137,   0.844,  178,     0.1
     6.4,0.000281,0.000346, 10,0.000476,0.000116,   0.833,  180,     0.1
     6.6,0.000300,0.000368, 10,0.000525,0.000161,   0.842,  179,     0.1
     6.8,0.000299,0.000367, 10,0.000524,0.000150,   0.839,  179,     0.1
     7.0,0.000296,0.000361, 10,0.000474,0.000150,   0.840,  178,     0.1
     7.2,0.000283,0.000349, 10,0.000474,0.000139,   0.839,  177,     0.1
     7.4,0.000269,0.000341, 10,0.000475,0.000117,   0.844,  178,     0.1
     7.6,0.000273,0.000324, 10,0.000486,0.000150,   0.833,  178,     0.1
     7.8,0.000260,0.000319, 10,0.000481,0.000162,   0.844,  178,     0.1
     8.0,0.000246,0.000311, 10,0.000461,0.000140,   0.831,  178,     0.1
     8.2,0.000247,0.000300, 10,0.000446,0.000150,   0.839,  177,     0.1
     8.4,0.000237,0.000296, 10,0.000420,0.000139,   0.841,  176,     0.1
     8.6,0.000223,0.000290, 10,0.000390,0.000105,   0.843,  178,     0.1
     8.8,0.000221,0.000285, 10,0.000359,0.000127,   0.829,  180,     0.1
     9.0,0.000208,0.000282, 10,0.000335,0.000116,   0.831,  179,     0.2
     9.2,0.000201,0.000280, 10,0.000306,0.000071,   0.842,  178,     0.2
     9.4,0.000201,0.000274, 10,0.000278,0.000114,   0.842,  177,     0.2
     9.6,0.000191,0.000271, 10,0.000254,0.000125,   0.845,  176,     0.2
     9.8,0.000198,0.000272, 10,0.000229,0.000091,   0.836,  175,     0.2
    10.0,0.000191,0.000270, 10,0.000204,0.000113,   0.842,  175,     0.2
    10.2,0.000191,0.000269, 10,0.000169,0.000125,   0.841,  178,     0.2
    10.4,0.000201,0.000271, 10,0.000159,0.000103,   0.842,  180,     0.2
    10.6,0.000194,0.000273, 10,0.000149,0.000113,   0.843,  177,     0.2
    10.8,0.000197,0.000278, 10,0.000129,0.000101,   0.843,  173,     0.2
    11.0,0.000194,0.000266, 10,0.000111,0.000080,   0.842,  176,     0.2
    11.2,0.000186,0.000266, 10,0.000111,0.000080,   0.838,  179,     0.2
    11.4,0.000186,0.000263, 10,0.000097,0.000091,   0.838,  178,     0.2
    11.6,0.000187,0.000257, 10,0.000089,0.000069,   0.843,  176,     0.2
    11.8,0.000180,0.000257, 10,0.000082,0.000080,   0.841,  176,     0.2
    12.0,0.000183,0.000268, 10,0.000075,0.000101,   0.845,  177,     0.2
    12.2,0.000187,0.000274, 10,0.000074,0.000080,   0.831,  177,     0.2
    12.4,0.000183,0.000267, 10,0.000073,0.000068,   0.841,  176,     0.2
    12.6,0.000186,0.000270, 10,0.000071,0.000068,   0.841,  176,     0.2
    12.8,0.000197,0.000274, 10,0.000081,0.000068,   0.839,  176,     0.2
    13.0,0.000200,0.000275, 10,0.000068,0.000080,   0.841,  175,     0.2
    13.2,0.000197,0.000284, 10,0.000063,0.000080,   0.839,  174,     0.2
    13.4,0.000212,0.000284, 10,0.000060,0.000080,   0.844,  177,     0.2
    13.6,0.000216,0.000286, 10,0.000065,0.000080,   0.834,  180,     0.2
    13.8,0.000208,0.000287, 10,0.000064,0.000080,   0.841,  178,     0.2
    14.0,0.000216,0.000287, 10,0.000063,0.000091,   0.839,  177,     0.2
    14.2,0.000227,0.000292, 10,0.000063,0.000069,   0.841,  176,     0.2
    14.4,0.000234,0.000298, 10,0.000059,0.000069,   0.840,  174,     0.2
    14.6,0.000247,0.000300, 10,0.000055,0.000081,   0.843,  174,     0.2
    14.8,0.000250,0.000305, 10,0.000051,0.000048,   0.844,  173,     0.2
    15.0,0.000245,0.000301, 10,0.000043,0.000081,   0.833,  175,     0.3
    15.2,0.000241,0.000304, 10,0.000043,0.000114,   0.843,  177,     0.3
    15.4,0.000236,0.000297, 10,0.000041,0.000093,   0.841,  175,     0.3
    15.6,0.000232,0.000303, 10,0.000039,0.000093,   0.843,  174,     0.3
    15.8,0.000240,0.000303, 10,0.000037,0.000126,   0.840,  177,     0.3
    16.0,0.000239,0.000308, 10,0.000025,0.000104,   0.839,  180,     0.3
    16.2,0.000245,0.000305, 10,0.000033,0.000104,   0.842,  177,     0.3
    16.4,0.000241,0.000311, 10,0.000032,0.000126,   0.842,  175,     0.3
    16.6,0.000236,0.000316, 10,0.000017,0.000093,   0.839,  175,     0.3
    16.8,0.000244,0.000316, 10,0.000018,0.000093,   0.841,  176,     0.3
    17.0,0.000247,0.000322, 10,0.000021,0.000126,   0.836,  175,     0.3
    17.2,0.000239,0.000324, 10,0.000009,0.000093,   0.842,  175,     0.3
    17.4,0.000247,0.000321, 10,0.000017,0.000093,   0.844,  175,     0.3
    17.6,0.000247,0.000327, 10,0.000021,0.000126,   0.844,  175,     0.3
    17.8,0.000250,0.000333, 10,0.000006,0.000093,   0.832,  174,     0.3
    18.0,0.000246,0.000327, 10,0.000017,0.000093,   0.842,  173,     0.3
    18.2,0.000252,0.000327, 10,0.000022,0.000126,   0.840,  177,     0.3
    18.4,0.000252,0.000333, 10,0.000006,0.000081,   0.842,  180,     0.3
    18.6,0.000256,0.000336, 10,0.000015,0.000081,   0.838,  178,     0.3
    18.8,0.000256,0.000340, 10,0.000016,0.000114,   0.842,  176,     0.3
    19.0,0.000256,0.000339, 10,0.000012,0.000081,   0.840,  175,     0.3
    19.2,0.000251,0.000335, 10,0.000019,0.000093,   0.845,  173,     0.3
    19.4,0.000251,0.000334, 10,0.000019,0.000137,   0.833,  173,     0.3
    19.6,0.000254,0.000327, 10,0.000014,0.000116,   0.844,  172,     0.3
    19.8,0.000250,0.000330, 10,0.000014,0.000127,   0.833,  173,     0.3
    20.0,0.000254,0.000336, 10,0.000008,0.000149,   0.841,  175,     0.3
    20.2,0.000254,0.000336, 10,0.000007,0.000127,   0.843,  174,     0.3
    20.4,0.000250,0.000339, 10,0.000011,0.000127,   0.845,  173,     0.3
    20.6,0.000258,0.000343, 10,0.000006,0.000172,   0.832,  174,     0.3
    20.8,0.000265,0.000349, 10,0.000001,0.000172,   0.848,  175,     0.3
    21.0,0.000264,0.000349, 10,0.000002,0.000184,   0.830,  174,     0.3
    21.2,0.000264,0.000350, 10,0.000001,0.000150,   0.833,  173,     0.4
    21.4,0.000272,0.000353, 10,-0.000005,0.000150,   0.849,  174,     0.4
    21.6,0.000267,0.000355, 10,-0.000001,0.000128,   0.837,  174,     0.4
    21.8,0.000282,0.000355, 10,-0.000006,0.000128,   0.846,  174,     0.4
    22.0,0.000289,0.000354, 10,-0.000006,0.000150,   0.837,  173,     0.4
    22.2,0.000285,0.000357, 10,-0.000001,0.000128,   0.847,  173,     0.4
    22.4,0.000296,0.000365, 10,0.000004,0.000162,   0.836,  173,     0.4
    22.6,0.000296,0.000368, 10,-0.000004,0.000150,   0.844,  173,     0.4
    22.8,0.000291,0.000367, 10,0.000005,0.000128,   0.831,  173,     0.4
    23.0,0.000296,0.000365, 10,0.000012,0.000150,   0.830,  176,     0.4
    23.2,0.000293,0.000365, 10,0.000005,0.000172,   0.836,  179,     0.4
    23.4,0.000288,0.000365, 10,0.000017,0.000150,   0.850,  176,     0.4
    23.6,0.000299,0.000371, 10,0.000009,0.000139,   0.836,  174,     0.4
    23.8,0.000302,0.000374, 10,0.000006,0.000172,   0.851,  174,     0.4
    24.0,0.000301,0.000373, 10,0.000014,0.000150,   0.839,  173,     0.4
    24.2,0.000301,0.000373, 10,0.000024,0.000139,   0.851,  172,     0.4
    24.4,0.000301,0.000372, 10,0.000023,0.000172,   0.835,  171,     0.4
    24.6,0.000304,0.000366, 10,0.000016,0.000150,   0.847,  173,     0.4
    24.8,0.000311,0.000369, 10,0.000016,0.000139,   0.833,  174,     0.4
    25.0,0.000326,0.000379, 10,0.000014,0.000172,   0.847,  174,     0.4
    25.2,0.000326,0.000382, 10,0.000022,0.000150,   0.836,  174,     0.4
    25.4,0.000322,0.000383, 10,0.000019,0.000139,   0.844,  174,     0.4
    25.6,0.000326,0.000392, 10,0.000008,0.000172,   0.847,  174,     0.4
    25.8,0.000326,0.000395, 10,0.000024,0.000150,   0.836,  172,     0.4
    26.0,0.000322,0.000395, 10,0.000021,0.000139,   0.844,  170,     0.4
    26.2,0.000326,0.000391, 10,0.000016,0.000172,   0.844,  172,     0.4
    26.4,0.000330,0.000385, 10,0.000011,0.000139,   0.833,  174,     0.4
    26.6,0.000322,0.000390, 10,0.000012,0.000139,   0.845,  173,     0.4
    26.8,0.000330,0.000389, 10,0.000011,0.000161,   0.831,  173,     0.4
    27.0,0.000326,0.000386, 10,-0.000000,0.000139,   0.833,  173,     0.4
    27.2,0.000319,0.000388, 10,0.000014,0.000139,   0.849,  173,     0.5
    27.4,0.000323,0.000387, 10,0.000014,0.000172,   0.838,  172,     0.5
    27.6,0.000323,0.000390, 10,0.000014,0.000150,   0.848,  172,     0.5
    27.8,0.000315,0.000396, 10,0.000017,0.000150,   0.837,  176,     0.5
    28.0,0.000322,0.000399, 10,0.000013,0.000184,   0.845,  179,     0.5
    28.2,0.000328,0.000396, 10,0.000020,0.000162,   0.834,  176,     0.5
    28.4,0.000327,0.000401, 10,0.000023,0.000162,   0.846,  173,     0.5
    28.6,0.000335,0.000403, 10,0.000019,0.000184,   0.835,  172,     0.5
    28.8,0.000338,0.000406, 10,0.000035,0.000162,   0.844,  172,     0.5
    29.0,0.000337,0.000409, 10,0.000040,0.000162,   0.839,  172,     0.5
    29.2,0.000351,0.000412, 10,0.000027,0.000184,   0.842,  172,     0.5
    29.4,0.000355,0.000418, 10,0.000041,0.000162,   0.843,  173,     0.5
    29.6,0.000350,0.000417, 10,0.000045,0.000162,   0.846,  174,     0.5
    29.8,0.000353,0.000422, 10,0.000044,0.000184,   0.835,  173,     0.5
    30.0,0.000353,0.000425, 10,0.000045,0.000162,   0.847,  172,     0.5
    30.2,0.000349,0.000427, 10,0.000042,0.000162,   0.833,  174,     0.5
    30.4,0.000349,0.000432, 10,0.000041,0.000184,   0.845,  175,     0.5
    30.6,0.000349,0.000431, 10,0.000045,0.000184,   0.831,  173,     0.5
    30.8,0.000341,0.000434, 10,0.000049,0.000184,   0.830,  170,     0.5
    31.0,0.000349,0.000434, 10,0.000049,0.000195,   0.836,  172,     0.5
    31.2,0.000349,0.000431, 10,0.000048,0.000184,   0.849,  174,     0.5
    31.4,0.000344,0.000431, 10,0.000058,0.000195,   0.837,  174,     0.5
    31.6,0.000351,0.000433, 10,0.000063,0.000195,   0.844,  174,     0.5
    31.8,0.000354,0.000427, 10,0.000052,0.000184,   0.849,  174,     0.5
    32.0,0.000350,0.000428, 10,0.000058,0.000162,   0.840,  174,     0.5
    32.2,0.000361,0.000429, 10,0.000048,0.000162,   0.844,  173,     0.5
    32.4,0.000362,0.000432, 10,0.000047,0.000184,   0.834,  172,     0.5
    32.6,0.000354,0.000426, 10,0.000051,0.000162,   0.846,  175,     0.5
    32.8,0.000365,0.000438, 10,0.000056,0.000173,   0.837,  178,     0.5
    33.0,0.000362,0.000441, 10,0.000055,0.000207,   0.849,  175,     0.6
    33.2,0.000354,0.000437, 10,0.000044,0.000185,   0.836,  173,     0.6
    33.4,0.000357,0.000443, 10,0.000059,0.000173,   0.846,  172,     0.6
    33.6,0.000354,0.000439, 10,0.000054,0.000184,   0.833,  171,     0.6
    33.8,0.000347,0.000436, 10,0.000045,0.000162,   0.847,  172,     0.6
    34.0,0.000347,0.000442, 10,0.000051,0.000162,   0.830,  172,     0.6
    34.2,0.000351,0.000442, 10,0.000050,0.000184,   0.832,  173,     0.6
    34.4,0.000343,0.000439, 10,0.000044,0.000162,   0.833,  174,     0.6
    34.6,0.000347,0.000448, 10,0.000043,0.000162,   0.852,  173,     0.6
    34.8,0.000354,0.000449, 10,0.000039,0.000195,   0.839,  173,     0.6
    35.0,0.000350,0.000452, 10,0.000052,0.000173,   0.848,  174,     0.6
    35.2,0.000357,0.000453, 10,0.000051,0.000173,   0.834,  175,     0.6
    35.4,0.000365,0.000452, 10,0.000052,0.000207,   0.849,  173,     0.6
    35.6,0.000361,0.000452, 10,0.000052,0.000197,   0.839,  171,     0.6
    35.8,0.000365,0.000449, 10,0.000056,0.000197,   0.846,  172,     0.6
    36.0,0.000365,0.000446, 10,0.000053,0.000230,   0.836,  173,     0.6
    36.2,0.000368,0.000443, 10,0.000054,0.000197,   0.844,  173,     0.6
    36.4,0.000368,0.000439, 10,0.000054,0.000197,   0.840,  173,     0.6
    36.6,0.000372,0.000451, 10,0.000059,0.000218,   0.848,  173,     0.6
    36.8,0.000379,0.000450, 10,0.000053,0.000173,   0.835,  172,     0.6
    37.0,0.000379,0.000447, 10,0.000052,0.000162,   0.844,  172,     0.6
    37.2,0.000376,0.000446, 10,0.000047,0.000195,   0.843,  172,     0.6
    37.4,0.000376,0.000445, 10,0.000048,0.000195,   0.843,  174,     0.6
    37.6,0.000372,0.000451, 10,0.000044,0.000184,   0.845,  176,     0.6
    37.8,0.000364,0.000451, 10,0.000031,0.000227,   0.837,  175,     0.6
    38.0,0.000361,0.000451, 10,0.000035,0.000227,   0.850,  173,     0.6
    38.2,0.000356,0.000451, 10,0.000049,0.000206,   0.833,  172,     0.6
    38.4,0.000364,0.000453, 10,0.000042,0.000227,   0.846,  171,     0.6
    38.6,0.000368,0.000447, 10,0.000040,0.000227,   0.835,  171,     0.6
    38.8,0.000364,0.000447, 10,0.000054,0.000206,   0.846,  172,     0.6
    39.0,0.000372,0.000451, 10,0.000053,0.000227,   0.836,  172,     0.6
    39.2,0.000368,0.000447, 10,0.000047,0.000227,   0.840,  172,     0.7
    39.4,0.000364,0.000450, 10,0.000057,0.000194,   0.845,  172,     0.7
    39.6,0.000375,0.000458, 10,0.000051,0.000217,   0.832,  171,     0.7
    39.8,0.000378,0.000455, 10,0.000062,0.000217,   0.831,  173,     0.7
    40.0,0.000371,0.000461, 10,0.000059,0.000195,   0.836,  174,     0.7
    40.2,0.000378,0.000455, 10,0.000059,0.000207,   0.852,  173,     0.7
    40.4,0.000378,0.000447, 10,0.000053,0.000207,   0.842,  172,     0.7
    40.6,0.000371,0.000450, 10,0.000058,0.000185,   0.848,  172,     0.7
    40.8,0.000378,0.000451, 10,0.000062,0.000185,   0.837,  172,     0.7
    41.0,0.000386,0.000445, 10,0.000067,0.000207,   0.846,  172,     0.7
    41.2,0.000378,0.000450, 10,0.000072,0.000197,   0.840,  172,     0.7
    41.4,0.000378,0.000461, 10,0.000072,0.000197,   0.844,  172,     0.7
    41.6,0.000386,0.000464, 10,0.000061,0.000230,   0.847,  171,     0.7
    41.8,0.000381,0.000464, 10,0.000072,0.000208,   0.834,  171,     0.7
    42.0,0.000381,0.000464, 10,0.000067,0.000208,   0.845,  172,     0.7
    42.2,0.000389,0.000472, 10,0.000061,0.000230,   0.834,  173,     0.7
    42.4,0.000385,0.000472, 10,0.000065,0.000197,   0.843,  174,     0.7
    42.6,0.000392,0.000475, 10,0.000064,0.000197,   0.849,  172,     0.7
    42.8,0.000397,0.000476, 10,0.000068,0.000230,   0.836,  171,     0.7
    43.0,0.000389,0.000475, 10,0.000067,0.000197,   0.840,  170,     0.7
    43.2,0.000400,0.000481, 10,0.000082,0.000197,   0.844,  170,     0.7
    43.4,0.000403,0.000486, 10,0.000091,0.000230,   0.842,  171,     0.7
    43.6,0.000399,0.000486, 10,0.000090,0.000197,   0.844,  173,     0.7
    43.8,0.000410,0.000497, 10,0.000094,0.000197,   0.843,  173,     0.7
