Run Name,Group 7 Spring 2018 Multigradient Run 1
Run Date,03:50:15 PM   02-13-18
Method Name,Group 7 Spring 2018 Multigradient 2
Export Format Version, 1.00
Method ID, 3689
Points/Second, 5.00
Number of Records,   9473
Offset from Run Start Time,00:00:00
Run End Time,00:31:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001798,0.001646, 10,-0.302209,-0.005622,   1.219,  156,     0.0
     0.2,0.001800,0.001649, 10,-0.302206,-0.005611,   1.216,  156,     0.0
     0.4,0.001806,0.001652, 10,-0.302202,-0.005599,   1.219,  156,     0.0
     0.6,0.001814,0.001655, 10,-0.302192,-0.005599,   1.215,  157,     0.0
     0.8,0.001821,0.001663, 10,-0.302204,-0.005588,   1.217,  157,     0.0
     1.0,0.001827,0.001669, 10,-0.302197,-0.005609,   1.218,  156,     0.0
     1.2,0.001551,0.001681, 10,-0.302189,-0.005609,   1.214,  156,     0.0
     1.4,0.001788,0.001719, 10,-0.302195,-0.005598,   1.213,  156,     0.0
     1.6,0.001263,0.001719, 10,-0.302193,-0.005609,   1.218,  155,     0.0
     1.8,0.000321,0.001719, 10,-0.302177,-0.005588,   1.218,  156,     0.0
     2.0,0.000000,0.000687, 10,-0.302166,-0.005576,   1.218,  156,     0.0
     2.2,0.000000,0.000687, 10,-0.302157,-0.005609,   1.217,  156,     0.0
     2.4,0.000000,0.000000, 10,-0.302144,0.000000,   1.215,  156,     0.0
     2.6,0.000000,0.000000, 10,-0.302144,0.000000,   1.215,  155,     0.0
     2.8,0.000000,0.000000, 10,-0.302144,0.000000,   1.216,  155,     0.0
     3.0,0.000000,0.000000, 10,-0.302144,0.000000,   1.217,  155,     0.1
     3.2,0.000000,0.000000, 10,0.000000,0.000000,   1.217,  155,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000000,   1.214,  154,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   1.218,  154,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   1.214,  155,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   1.221,  156,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   1.215,  155,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   1.214,  154,     0.1
     4.6,0.000000,0.000000, 10,0.000000,0.000000,   1.220,  154,     0.1
     4.8,0.000000,0.000000, 10,0.000000,0.000000,   1.214,  155,     0.1
     5.0,0.000000,0.000000, 10,0.000000,0.000000,   1.219,  154,     0.1
     5.2,0.000000,0.000000, 10,0.000000,0.000000,   1.221,  154,     0.1
     5.4,0.000040,0.000012, 10,0.000000,0.000000,   1.215,  154,     0.1
     5.6,0.000046,0.000037, 10,0.000000,0.000000,   1.217,  154,     0.1
     5.8,0.000056,0.000062, 10,0.000000,0.000000,   1.214,  154,     0.1
     6.0,0.000065,0.000084, 10,0.000000,0.000000,   1.214,  153,     0.1
     6.2,0.000071,0.000094, 10,0.000000,0.000000,   1.216,  154,     0.1
     6.4,0.000084,0.000102, 10,0.000000,0.000000,   1.217,  154,     0.1
     6.6,0.000100,0.000107, 10,-0.000001,0.000000,   1.218,  154,     0.1
     6.8,0.000106,0.000111, 10,-0.000001,0.000023,   1.218,  154,     0.1
     7.0,0.000115,0.000119, 10,0.000031,0.000013,   1.217,  155,     0.1
     7.2,0.000125,0.000127, 10,0.000052,0.000070,   1.215,  156,     0.1
     7.4,0.000134,0.000132, 10,0.000083,0.000070,   1.216,  155,     0.1
     7.6,0.000150,0.000145, 10,0.000105,0.000081,   1.217,  154,     0.1
     7.8,0.000171,0.000161, 10,0.000114,0.000048,   1.217,  154,     0.1
     8.0,0.000173,0.000182, 10,0.000138,0.000093,   1.215,  153,     0.1
     8.2,0.000180,0.000187, 10,0.000146,0.000104,   1.216,  153,     0.1
     8.4,0.000180,0.000193, 10,0.000145,0.000082,   1.218,  153,     0.1
     8.6,0.000172,0.000196, 10,0.000155,0.000094,   1.216,  154,     0.1
     8.8,0.000180,0.000190, 10,0.000170,0.000117,   1.217,  155,     0.1
     9.0,0.000176,0.000187, 10,0.000170,0.000095,   1.216,  154,     0.2
     9.2,0.000172,0.000185, 10,0.000185,0.000095,   1.218,  154,     0.2
     9.4,0.000176,0.000174, 10,0.000200,0.000095,   1.219,  154,     0.2
     9.6,0.000170,0.000174, 10,0.000195,0.000050,   1.215,  155,     0.2
     9.8,0.000162,0.000167, 10,0.000200,0.000061,   1.216,  155,     0.2
    10.0,0.000167,0.000158, 10,0.000200,0.000061,   1.214,  155,     0.2
    10.2,0.000165,0.000155, 10,0.000191,0.000027,   1.222,  153,     0.2
    10.4,0.000161,0.000153, 10,0.000187,0.000061,   1.217,  152,     0.2
    10.6,0.000161,0.000147, 10,0.000178,0.000061,   1.217,  153,     0.2
    10.8,0.000158,0.000147, 10,0.000164,0.000027,   1.215,  154,     0.2
    11.0,0.000155,0.000147, 10,0.000159,0.000049,   1.214,  153,     0.2
    11.2,0.000158,0.000138, 10,0.000149,0.000049,   1.215,  153,     0.2
    11.4,0.000147,0.000141, 10,0.000140,0.000016,   1.216,  153,     0.2
    11.6,0.000144,0.000139, 10,0.000141,0.000037,   1.216,  152,     0.2
    11.8,0.000139,0.000133, 10,0.000137,0.000037,   1.218,  154,     0.2
    12.0,0.000144,0.000133, 10,0.000127,0.000016,   1.215,  155,     0.2
    12.2,0.000144,0.000135, 10,0.000123,0.000049,   1.215,  154,     0.2
    12.4,0.000139,0.000135, 10,0.000117,0.000049,   1.218,  154,     0.2
    12.6,0.000147,0.000135, 10,0.000119,0.000027,   1.215,  153,     0.2
    12.8,0.000150,0.000135, 10,0.000117,0.000049,   1.218,  152,     0.2
    13.0,0.000146,0.000134, 10,0.000117,0.000049,   1.217,  153,     0.2
    13.2,0.000154,0.000137, 10,0.000111,0.000027,   1.217,  153,     0.2
    13.4,0.000154,0.000139, 10,0.000118,0.000049,   1.217,  155,     0.2
    13.6,0.000149,0.000136, 10,0.000103,0.000049,   1.214,  156,     0.2
    13.8,0.000157,0.000127, 10,0.000092,0.000061,   1.220,  155,     0.2
    14.0,0.000154,0.000133, 10,0.000092,0.000049,   1.212,  154,     0.2
    14.2,0.000146,0.000136, 10,0.000103,0.000037,   1.214,  155,     0.2
    14.4,0.000157,0.000139, 10,0.000094,0.000016,   1.214,  155,     0.2
