Run Name,Run 1
Run Date,03:41:50 PM   03-06-18
Method Name,Group 8 Spring 2018
Export Format Version, 1.00
Method ID, 3712
Points/Second, 5.00
Number of Records,  20538
Offset from Run Start Time,00:00:00
Run End Time,01:08:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000129,0.000000,  0,-0.016744,-0.453887,   3.670,  -12,     0.0
     0.2,0.000007,0.000000,  1,-0.016745,-0.453921,   3.672,  -12,     0.0
     0.4,-0.000164,0.000000,  2,-0.016785,-0.453909,   3.674,  -12,     0.0
     0.6,-0.000747,0.000000,  3,-0.016886,-0.453887,   3.670,   79,     0.0
     0.8,0.000000,0.000000,  4,-0.016896,-0.453921,   3.669,  170,     0.0
     1.0,0.000000,0.000000,  5,-0.016877,-0.453909,   3.671,  184,     0.0
     1.2,0.000000,0.000000,  5,-0.017112,-0.453887,   3.667,  198,     0.0
     1.4,0.000000,0.000000,  5,-0.017112,-0.453921,   3.665,  199,     0.0
     1.6,0.000000,0.000000,  5,-0.017112,-0.453921,   3.663,  201,     0.0
     1.8,0.000000,0.000000,  5,-0.017112,-0.453899,   3.662,  196,     0.0
     2.0,0.000000,0.000000,  5,-0.017112,-0.453935,   3.664,  191,     0.0
     2.2,0.000000,0.000000,  5,0.000000,-0.453927,   3.663,  192,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   3.661,  192,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   3.661,  192,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   3.662,  191,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   3.657,  190,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   3.663,  190,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   3.660,  189,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   3.662,  188,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   3.659,  187,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   3.661,  187,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,   3.658,  188,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,   3.659,  188,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,   3.655,  188,     0.1
     4.8,0.000000,0.000271,  5,0.000000,0.000000,   3.658,  187,     0.1
     5.0,0.000350,0.000341,  5,0.000000,0.000000,   3.661,  187,     0.1
     5.2,0.000385,0.000399,  5,0.000000,0.000000,   3.662,  187,     0.1
     5.4,0.000419,0.000440,  5,0.000000,0.000000,   3.661,  187,     0.1
     5.6,0.000450,0.000464,  5,0.000000,0.000000,   3.659,  186,     0.1
     5.8,0.000455,0.000481,  5,0.000053,0.000000,   3.658,  187,     0.1
     6.0,0.000462,0.000479,  5,0.000486,0.000000,   3.655,  187,     0.1
     6.2,0.000455,0.000498,  5,0.000800,0.000000,   3.660,  187,     0.1
     6.4,0.000475,0.000528,  5,0.000971,0.000000,   3.659,  187,     0.1
     6.6,0.000501,0.000563,  5,0.001012,0.000000,   3.655,  187,     0.1
     6.8,0.000531,0.000571,  5,0.000911,0.000000,   3.661,  186,     0.1
     7.0,0.000531,0.000579,  5,0.000690,0.000000,   3.665,  186,     0.1
     7.2,0.000521,0.000585,  5,0.000650,0.000000,   3.665,  186,     0.1
     7.4,0.000501,0.000567,  5,0.000599,0.000216,   3.666,  186,     0.1
     7.6,0.000490,0.000553,  5,0.000589,0.000194,   3.670,  186,     0.1
     7.8,0.000484,0.000542,  5,0.000539,0.000206,   3.673,  185,     0.1
     8.0,0.000480,0.000531,  5,0.000469,0.000206,   3.671,  184,     0.1
     8.2,0.000466,0.000510,  5,0.000389,0.000218,   3.674,  185,     0.1
     8.4,0.000456,0.000508,  5,0.000348,0.000184,   3.676,  185,     0.1
     8.6,0.000447,0.000497,  5,0.000328,0.000218,   3.674,  184,     0.1
