Run Name,Run 1
Run Date,06:30:11 PM   02-06-18
Method Name,Isocratic RNAase 22
Export Format Version, 1.00
Method ID, 3668
Points/Second, 5.00
Number of Records,   9150
Offset from Run Start Time,00:00:00
Run End Time,00:30:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000391,0.000608, 22,0.273173,0.004481,  19.716,  210,     0.0
     0.2,0.000383,0.000608, 22,0.273173,0.004493,  19.743,  209,     0.0
     0.4,0.000375,0.000600, 22,0.273173,0.004481,  19.779,  209,     0.0
     0.6,0.000462,0.000600, 22,0.273173,0.004470,  19.812,  211,     0.0
     0.8,0.000000,0.000594, 22,0.000000,0.004481,  19.843,  212,     0.0
     1.0,0.000000,0.000592, 22,0.000000,0.004470,  19.887,  211,     0.0
     1.2,0.000000,0.000594, 22,0.000000,0.000000,  19.914,  210,     0.0
     1.4,0.000000,0.000559, 22,0.000000,0.000000,  19.950,  211,     0.0
     1.6,0.000000,0.000559, 22,0.000000,0.000000,  19.982,  212,     0.1
     1.8,0.000000,0.000502, 22,0.000000,0.000000,  20.015,  210,     0.1
     2.0,0.000000,0.000388, 22,0.000000,0.000000,  20.050,  209,     0.1
     2.2,0.000000,0.000388, 22,0.000000,0.000000,  20.080,  209,     0.1
     2.4,0.000000,0.000000, 22,0.000000,0.000000,  20.111,  209,     0.1
     2.6,0.000000,0.000000, 22,0.000000,0.000000,  20.140,  209,     0.1
     2.8,0.000000,0.000000, 22,0.000000,0.000000,  20.175,  209,     0.1
     3.0,0.000000,0.000000, 22,0.000000,0.000000,  20.218,  210,     0.1
     3.2,0.000000,0.000000, 22,0.000000,0.000000,  20.238,  211,     0.1
     3.4,0.000000,0.000000, 22,0.000000,0.000000,  20.268,  210,     0.1
     3.6,0.000000,0.000000, 22,0.000000,0.000000,  20.300,  209,     0.1
     3.8,0.000000,0.000000, 22,0.000000,0.000000,  20.334,  213,     0.1
     4.0,0.000000,0.000000, 22,0.000000,0.000000,  20.370,  217,     0.1
     4.2,0.000000,0.000000, 22,0.000000,0.000000,  20.392,  212,     0.1
     4.4,0.000000,0.000000, 22,0.000000,0.000000,  20.420,  208,     0.1
     4.6,0.000000,0.000000, 22,0.000266,0.000000,  20.453,  208,     0.2
     4.8,0.000004,0.000000, 22,0.000250,0.000000,  20.482,  209,     0.2
     5.0,0.000000,0.000000, 22,0.000243,0.000000,  20.513,  209,     0.2
     5.2,0.000008,0.000000, 22,0.000254,0.000000,  20.539,  208,     0.2
     5.4,0.000004,0.000000, 22,0.000273,0.000000,  20.570,  209,     0.2
     5.6,0.000000,0.000000, 22,0.000322,0.000012,  20.596,  209,     0.2
     5.8,0.000004,0.000000, 22,0.000378,0.000045,  20.631,  210,     0.2
     6.0,0.000001,-0.000020, 22,0.000425,0.000033,  20.664,  211,     0.2
     6.2,-0.000003,-0.000020, 22,0.000484,0.000000,  20.687,  210,     0.2
     6.4,0.000001,-0.000020, 22,0.000552,-0.000033,  20.712,  208,     0.2
     6.6,0.000001,-0.000020, 22,0.000638,-0.000010,  20.743,  210,     0.2
     6.8,-0.000003,-0.000020, 22,0.000742,-0.000010,  20.761,  212,     0.2
     7.0,-0.000003,-0.000017, 22,0.000864,-0.000031,  20.799,  210,     0.2
     7.2,0.000000,-0.000014, 22,0.000940,-0.000031,  20.825,  208,     0.2
     7.4,-0.000004,-0.000014, 22,0.001008,0.000002,  20.852,  210,     0.2
     7.6,-0.000004,-0.000014, 22,0.001066,0.000014,  20.877,  211,     0.3
     7.8,-0.000004,-0.000011, 22,0.001152,0.000002,  20.904,  210,     0.3
     8.0,-0.000009,-0.000002, 22,0.001229,0.000002,  20.937,  209,     0.3
     8.2,-0.000001,-0.000005, 22,0.001306,0.000002,  20.960,  207,     0.3
     8.4,-0.000004,-0.000008, 22,0.001410,-0.000010,  20.989,  205,     0.3
     8.6,-0.000004,-0.000002, 22,0.001532,-0.000033,  21.009,  207,     0.3
     8.8,-0.000009,-0.000005, 22,0.001663,-0.000033,  21.036,  209,     0.3
     9.0,0.000002,-0.000005, 22,0.001758,-0.000043,  21.069,  208,     0.3
     9.2,0.000002,-0.000002, 22,0.001834,-0.000043,  21.087,  207,     0.3
     9.4,-0.000006,-0.000008, 22,0.001903,-0.000031,  21.112,  209,     0.3
     9.6,0.000005,-0.000005, 22,0.001988,-0.000064,  21.138,  210,     0.3
     9.8,0.000002,-0.000002, 22,0.002093,-0.000031,  21.163,  209,     0.3
    10.0,-0.000006,-0.000005, 22,0.002197,-0.000031,  21.193,  208,     0.3
    10.2,0.000005,-0.000005, 22,0.002090,-0.000064,  21.213,  209,     0.3
    10.4,0.000009,-0.000005, 22,0.001874,-0.000043,  21.237,  211,     0.3
    10.6,0.000001,-0.000008, 22,0.001567,-0.000031,  21.264,  210,     0.4
    10.8,0.000009,-0.000002, 22,0.001651,-0.000064,  21.285,  210,     0.4
    11.0,0.000009,-0.000002, 22,0.001901,-0.000031,  21.315,  208,     0.4
    11.2,0.000001,-0.000008, 22,0.002288,-0.000020,  21.334,  207,     0.4
    11.4,0.000009,-0.000002, 22,0.002419,-0.000064,  21.359,  208,     0.4
    11.6,0.000005,-0.000002, 22,0.002497,-0.000031,  21.385,  210,     0.4
    11.8,-0.000002,-0.000005, 22,0.002519,-0.000020,  21.411,  209,     0.4
    12.0,0.000009,-0.000005, 22,0.002632,-0.000064,  21.436,  208,     0.4
    12.2,0.000005,-0.000001, 22,0.002773,-0.000031,  21.455,  210,     0.4
    12.4,-0.000006,-0.000004, 22,0.002922,-0.000031,  21.477,  211,     0.4
    12.6,0.000002,-0.000007, 22,0.003035,-0.000053,  21.499,  210,     0.4
    12.8,-0.000001,-0.000002, 22,0.003120,-0.000031,  21.523,  208,     0.4
    13.0,-0.000012,-0.000005, 22,0.003205,-0.000020,  21.551,  209,     0.4
    13.2,-0.000011,-0.000005, 22,0.003272,-0.000008,  21.573,  209,     0.4
    13.4,-0.000006,-0.000005, 22,0.003348,-0.000008,  21.592,  211,     0.4
    13.6,-0.000011,-0.000008, 22,0.003406,-0.000008,  21.611,  213,     0.5
    13.8,-0.000014,-0.000002, 22,0.003474,0.000004,  21.638,  210,     0.5
    14.0,-0.000006,-0.000001, 22,0.003567,-0.000041,  21.661,  207,     0.5
    14.2,-0.000014,-0.000005, 22,0.003680,-0.000008,  21.679,  208,     0.5
    14.4,-0.000017,-0.000001, 22,0.003821,0.000004,  21.705,  209,     0.5
    14.6,-0.000013,-0.000001, 22,0.003916,-0.000041,  21.724,  208,     0.5
    14.8,-0.000021,-0.000007, 22,0.003983,-0.000008,  21.749,  208,     0.5
    15.0,-0.000017,-0.000004, 22,0.004061,0.000004,  21.768,  209,     0.5
    15.2,-0.000010,-0.000009, 22,0.004137,-0.000041,  21.790,  210,     0.5
    15.4,-0.000017,-0.000009, 22,0.004204,-0.000008,  21.814,  210,     0.5
    15.6,-0.000014,-0.000015, 22,0.004281,0.000004,  21.831,  210,     0.5
    15.8,-0.000010,-0.000009, 22,0.004348,-0.000041,  21.849,  209,     0.5
    16.0,-0.000014,-0.000015, 22,0.004424,-0.000008,  21.878,  209,     0.5
    16.2,-0.000011,-0.000018, 22,0.004500,0.000004,  21.890,  208,     0.5
    16.4,-0.000003,-0.000024, 22,0.004540,-0.000041,  21.910,  208,     0.5
    16.6,-0.000008,-0.000019, 22,0.004561,-0.000008,  21.933,  208,     0.6
    16.8,-0.000004,-0.000028, 22,0.004574,0.000004,  21.957,  208,     0.6
    17.0,-0.000004,-0.000026, 22,0.004660,-0.000041,  21.982,  208,     0.6
    17.2,-0.000009,-0.000023, 22,0.004753,-0.000020,  21.994,  209,     0.6
    17.4,-0.000001,-0.000026, 22,0.004875,-0.000020,  22.016,  208,     0.6
    17.6,-0.000004,-0.000026, 22,0.004912,-0.000031,  22.030,  207,     0.6
    17.8,-0.000004,-0.000020, 22,0.004953,-0.000033,  22.052,  207,     0.6
    18.0,-0.000012,-0.000018, 22,0.004948,-0.000033,  22.076,  207,     0.6
    18.2,-0.000004,-0.000015, 22,0.005024,-0.000021,  22.090,  207,     0.6
    18.4,-0.000008,-0.000012, 22,0.005147,-0.000021,  22.111,  207,     0.6
    18.6,-0.000012,-0.000010, 22,0.005289,-0.000021,  22.128,  208,     0.6
    18.8,-0.000008,-0.000013, 22,0.005356,-0.000021,  22.144,  208,     0.6
    19.0,-0.000008,-0.000016, 22,0.005396,-0.000021,  22.165,  210,     0.6
    19.2,-0.000012,-0.000010, 22,0.005407,-0.000010,  22.182,  211,     0.6
    19.4,-0.000004,-0.000012, 22,0.005493,-0.000031,  22.199,  210,     0.6
    19.6,-0.000004,-0.000012, 22,0.005588,-0.000041,  22.218,  209,     0.7
    19.8,-0.000009,-0.000009, 22,0.005710,-0.000029,  22.237,  209,     0.7
    20.0,-0.000001,-0.000006, 22,0.005758,-0.000041,  22.258,  209,     0.7
    20.2,-0.000004,-0.000007, 22,0.005798,-0.000041,  22.274,  209,     0.7
    20.4,-0.000009,-0.000010, 22,0.005790,-0.000029,  22.293,  209,     0.7
    20.6,-0.000001,-0.000019, 22,0.005839,-0.000041,  22.307,  210,     0.7
    20.8,-0.000001,-0.000013, 22,0.005886,-0.000041,  22.327,  210,     0.7
    21.0,-0.000006,-0.000013, 22,0.005964,-0.000041,  22.344,  208,     0.7
    21.2,0.000002,-0.000018, 22,0.006029,-0.000063,  22.356,  206,     0.7
    21.4,0.000002,-0.000018, 22,0.006096,-0.000074,  22.373,  207,     0.7
    21.6,-0.000002,-0.000012, 22,0.006174,-0.000041,  22.394,  207,     0.7
    21.8,0.000005,-0.000009, 22,0.006241,-0.000029,  22.410,  207,     0.7
    22.0,0.000002,-0.000003, 22,0.006278,-0.000041,  22.430,  208,     0.7
    22.2,-0.000009,-0.000006, 22,0.006318,-0.000041,  22.438,  208,     0.7
    22.4,-0.000004,-0.000002, 22,0.006358,-0.000029,  22.460,  208,     0.7
    22.6,-0.000008,-0.000002, 22,0.006405,-0.000041,  22.476,  207,     0.8
    22.8,-0.000015,-0.000008, 22,0.006462,-0.000041,  22.493,  206,     0.8
    23.0,-0.000011,-0.000008, 22,0.006530,-0.000029,  22.509,  210,     0.8
    23.2,-0.000008,-0.000005, 22,0.006558,-0.000041,  22.525,  213,     0.8
    23.4,-0.000012,-0.000006, 22,0.006617,-0.000041,  22.543,  211,     0.8
    23.6,-0.000008,-0.000003, 22,0.006657,-0.000029,  22.554,  209,     0.8
