Run Name,Run 1
Run Date,05:49:12 PM   02-06-18
Method Name,Isocratic alpha chy 15
Export Format Version, 1.00
Method ID, 3666
Points/Second, 5.00
Number of Records,   7246
Offset from Run Start Time,00:00:00
Run End Time,00:24:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.002664,0.000000, 15,0.000000,0.000000,   7.347,  215,     0.0
     0.2,0.002765,0.000000, 15,0.000000,0.000000,   7.302,  214,     0.0
     0.4,0.000669,0.000000, 15,0.000000,0.000000,   7.250,  213,     0.0
     0.6,0.001208,0.000000, 15,0.000000,0.000000,   7.202,  214,     0.0
     0.8,0.000000,0.000000, 15,0.000000,0.000000,   7.150,  216,     0.0
     1.0,0.000000,0.000000, 15,0.000000,0.000000,   7.088,  218,     0.0
     1.2,0.000000,0.000000, 15,0.000000,0.000000,   7.047,  220,     0.0
     1.4,0.000000,0.000000, 15,0.000000,0.000000,   7.001,  217,     0.0
     1.6,0.000000,0.000000, 15,0.000000,0.000000,   6.956,  214,     0.1
     1.8,0.000000,0.000000, 15,0.000000,0.000000,   6.909,  214,     0.1
     2.0,0.000000,0.000000, 15,0.000000,0.000000,   6.859,  215,     0.1
     2.2,0.000000,0.000000, 15,0.000000,0.000000,   6.826,  215,     0.1
     2.4,0.000000,0.000000, 15,0.000000,0.000000,   6.778,  215,     0.1
     2.6,0.000000,0.000000, 15,0.000000,0.000000,   6.737,  214,     0.1
     2.8,0.000000,0.000000, 15,0.000000,0.000000,   6.689,  212,     0.1
     3.0,0.000000,0.000000, 15,0.000000,0.000000,   6.644,  214,     0.1
     3.2,0.000000,0.000000, 15,0.000000,0.000000,   6.609,  216,     0.1
     3.4,0.000000,0.000000, 15,0.000000,0.000000,   6.568,  216,     0.1
     3.6,0.000000,0.000000, 15,0.000000,0.000000,   6.525,  217,     0.1
     3.8,0.000000,0.000000, 15,0.000000,0.000000,   6.486,  216,     0.1
     4.0,0.000000,0.000000, 15,0.000000,0.000000,   6.434,  214,     0.1
     4.2,0.000000,0.000000, 15,0.000000,0.000000,   6.402,  215,     0.1
     4.4,-0.000004,0.000000, 15,0.000000,-0.000038,   6.366,  215,     0.1
     4.6,-0.000018,0.000001, 15,-0.000344,-0.000038,   6.327,  214,     0.2
     4.8,-0.000014,-0.000005, 15,-0.000404,-0.000038,   6.288,  212,     0.2
     5.0,-0.000025,-0.000007, 15,-0.000474,-0.000061,   6.240,  212,     0.2
     5.2,-0.000021,-0.000016, 15,-0.000549,-0.000061,   6.211,  212,     0.2
     5.4,-0.000019,-0.000019, 15,-0.000630,-0.000094,   6.170,  212,     0.2
     5.6,-0.000024,-0.000020, 15,-0.000715,-0.000127,   6.136,  212,     0.2
     5.8,-0.000021,-0.000014, 15,-0.000811,-0.000149,   6.099,  214,     0.2
     6.0,-0.000011,-0.000009, 15,-0.000906,-0.000160,   6.056,  216,     0.2
     6.2,-0.000012,-0.000006, 15,-0.001001,-0.000205,   6.026,  214,     0.2
     6.4,-0.000009,-0.000010, 15,-0.001111,-0.000205,   5.994,  213,     0.2
     6.6,-0.000009,-0.000007, 15,-0.001216,-0.000217,   5.952,  211,     0.2
     6.8,-0.000007,0.000004, 15,-0.001310,-0.000207,   5.920,  209,     0.2
     7.0,-0.000000,0.000008, 15,-0.001410,-0.000207,   5.879,  211,     0.2
     7.2,0.000009,0.000013, 15,-0.001524,-0.000240,   5.849,  212,     0.2
     7.4,0.000019,0.000012, 15,-0.001623,-0.000218,   5.814,  211,     0.2
     7.6,0.000022,0.000012, 15,-0.001727,-0.000230,   5.777,  209,     0.3
     7.8,0.000033,0.000016, 15,-0.001827,-0.000241,   5.745,  209,     0.3
     8.0,0.000047,0.000015, 15,-0.001918,-0.000231,   5.702,  210,     0.3
     8.2,0.000054,0.000023, 15,-0.002025,-0.000264,   5.677,  212,     0.3
     8.4,0.000049,0.000031, 15,-0.002136,-0.000276,   5.643,  214,     0.3
     8.6,0.000048,0.000036, 15,-0.002226,-0.000309,   5.611,  214,     0.3
     8.8,0.000055,0.000047, 15,-0.002326,-0.000309,   5.575,  213,     0.3
     9.0,0.000061,0.000058, 15,-0.002426,-0.000332,   5.533,  211,     0.3
     9.2,0.000064,0.000063, 15,-0.002521,-0.000322,   5.508,  208,     0.3
     9.4,0.000066,0.000065, 15,-0.002599,-0.000322,   5.478,  211,     0.3
     9.6,0.000074,0.000070, 15,-0.002698,-0.000355,   5.442,  214,     0.3
     9.8,0.000077,0.000072, 15,-0.002801,-0.000334,   5.413,  213,     0.3
    10.0,0.000080,0.000070, 15,-0.002908,-0.000345,   5.373,  211,     0.3
    10.2,0.000084,0.000070, 15,-0.003002,-0.000378,   5.348,  211,     0.3
    10.4,0.000087,0.000070, 15,-0.003096,-0.000357,   5.313,  211,     0.3
    10.6,0.000098,0.000072, 15,-0.003181,-0.000368,   5.285,  213,     0.4
    10.8,0.000104,0.000081, 15,-0.003271,-0.000380,   5.253,  215,     0.4
    11.0,0.000109,0.000081, 15,-0.003366,-0.000358,   5.214,  214,     0.4
    11.2,0.000112,0.000087, 15,-0.003456,-0.000370,   5.191,  214,     0.4
    11.4,0.000115,0.000099, 15,-0.003542,-0.000403,   5.160,  213,     0.4
    11.6,0.000111,0.000099, 15,-0.003622,-0.000393,   5.133,  211,     0.4
    11.8,0.000113,0.000098, 15,-0.003707,-0.000393,   5.102,  214,     0.4
    12.0,0.000116,0.000108, 15,-0.003803,-0.000393,   5.064,  218,     0.4
    12.2,0.000126,0.000104, 15,-0.003878,-0.000405,   5.041,  215,     0.4
    12.4,0.000121,0.000100, 15,-0.003947,-0.000416,   5.014,  212,     0.4
    12.6,0.000110,0.000100, 15,-0.004022,-0.000428,   4.982,  212,     0.4
    12.8,0.000101,0.000097, 15,-0.004091,-0.000461,   4.952,  213,     0.4
    13.0,0.000101,0.000097, 15,-0.004160,-0.000461,   4.917,  212,     0.4
    13.2,0.000107,0.000112, 15,-0.004204,-0.000506,   4.895,  212,     0.4
    13.4,0.000107,0.000114, 15,-0.004301,-0.000517,   4.868,  213,     0.4
    13.6,0.000103,0.000114, 15,-0.004381,-0.000517,   4.844,  213,     0.5
    13.8,0.000106,0.000110, 15,-0.004476,-0.000517,   4.811,  211,     0.5
    14.0,0.000098,0.000116, 15,-0.004571,-0.000529,   4.779,  209,     0.5
    14.2,0.000094,0.000118, 15,-0.004637,-0.000519,   4.757,  209,     0.5
    14.4,0.000105,0.000116, 15,-0.004710,-0.000519,   4.730,  208,     0.5
    14.6,0.000105,0.000118, 15,-0.004790,-0.000563,   4.699,  209,     0.5
    14.8,0.000108,0.000118, 15,-0.004863,-0.000553,   4.674,  211,     0.5
    15.0,0.000108,0.000116, 15,-0.004941,-0.000565,   4.643,  211,     0.5
    15.2,0.000113,0.000118, 15,-0.005011,-0.000610,   4.620,  210,     0.5
    15.4,0.000119,0.000121, 15,-0.005087,-0.000588,   4.596,  210,     0.5
    15.6,0.000115,0.000118, 15,-0.005159,-0.000600,   4.571,  211,     0.5
    15.8,0.000125,0.000120, 15,-0.005234,-0.000634,   4.540,  210,     0.5
    16.0,0.000129,0.000115, 15,-0.005308,-0.000624,   4.516,  210,     0.5
    16.2,0.000129,0.000126, 15,-0.005370,-0.000624,   4.494,  209,     0.5
    16.4,0.000130,0.000127, 15,-0.005440,-0.000646,   4.471,  209,     0.5
    16.6,0.000130,0.000133, 15,-0.005519,-0.000646,   4.443,  208,     0.6
    16.8,0.000130,0.000128, 15,-0.005589,-0.000679,   4.417,  207,     0.6
    17.0,0.000127,0.000131, 15,-0.005669,-0.000679,   4.388,  210,     0.6
    17.2,0.000127,0.000134, 15,-0.005748,-0.000690,   4.366,  214,     0.6
    17.4,0.000130,0.000130, 15,-0.005813,-0.000735,   4.348,  213,     0.6
    17.6,0.000130,0.000124, 15,-0.005883,-0.000702,   4.319,  212,     0.6
    17.8,0.000130,0.000120, 15,-0.005940,-0.000714,   4.295,  211,     0.6
    18.0,0.000136,0.000123, 15,-0.006001,-0.000747,   4.267,  210,     0.6
    18.2,0.000136,0.000138, 15,-0.006063,-0.000725,   4.255,  210,     0.6
    18.4,0.000129,0.000143, 15,-0.006125,-0.000737,   4.230,  211,     0.6
    18.6,0.000140,0.000136, 15,-0.006196,-0.000770,   4.206,  211,     0.6
    18.8,0.000124,0.000139, 15,-0.006256,-0.000748,   4.183,  211,     0.6
    19.0,0.000121,0.000136, 15,-0.006325,-0.000783,   4.156,  208,     0.6
    19.2,0.000124,0.000127, 15,-0.006393,-0.000828,   4.134,  206,     0.6
    19.4,0.000128,0.000125, 15,-0.006473,-0.000794,   4.113,  212,     0.6
    19.6,0.000128,0.000125, 15,-0.006523,-0.000806,   4.094,  218,     0.7
    19.8,0.000120,0.000119, 15,-0.006569,-0.000851,   4.070,  214,     0.7
    20.0,0.000124,0.000123, 15,-0.006638,-0.000817,   4.044,  211,     0.7
    20.2,0.000118,0.000123, 15,-0.006697,-0.000817,   4.026,  212,     0.7
    20.4,0.000121,0.000123, 15,-0.006755,-0.000817,   4.006,  213,     0.7
    20.6,0.000124,0.000132, 15,-0.006805,-0.000851,   3.983,  212,     0.7
    20.8,0.000135,0.000135, 15,-0.006860,-0.000862,   3.966,  211,     0.7
    21.0,0.000131,0.000131, 15,-0.006916,-0.000841,   3.939,  211,     0.7
    21.2,0.000134,0.000139, 15,-0.006961,-0.000885,   3.924,  210,     0.7
    21.4,0.000134,0.000138, 15,-0.007006,-0.000864,   3.899,  208,     0.7
    21.6,0.000133,0.000135, 15,-0.007055,-0.000875,   3.882,  206,     0.7
    21.8,0.000128,0.000135, 15,-0.007095,-0.000887,   3.862,  207,     0.7
    22.0,0.000124,0.000135, 15,-0.007144,-0.000898,   3.836,  207,     0.7
    22.2,0.000123,0.000143, 15,-0.007207,-0.000877,   3.827,  209,     0.7
    22.4,0.000126,0.000148, 15,-0.007254,-0.000888,   3.807,  212,     0.7
    22.6,0.000126,0.000145, 15,-0.007308,-0.000921,   3.784,  210,     0.8
    22.8,0.000133,0.000159, 15,-0.007358,-0.000888,   3.764,  209,     0.8
    23.0,0.000147,0.000168, 15,-0.007423,-0.000877,   3.739,  209,     0.8
    23.2,0.000158,0.000173, 15,-0.007482,-0.000921,   3.725,  210,     0.8
    23.4,0.000156,0.000179, 15,-0.007516,-0.000900,   3.703,  208,     0.8
    23.6,0.000170,0.000185, 15,-0.007570,-0.000921,   3.687,  207,     0.8
    23.8,0.000170,0.000190, 15,-0.007620,-0.000933,   3.672,  208,     0.8
    24.0,0.000166,0.000186, 15,-0.007659,-0.000944,   3.643,  210,     0.8
    24.2,0.000169,0.000189, 15,-0.007709,-0.000978,   3.630,  208,     0.8
    24.4,0.000169,0.000182, 15,-0.007749,-0.000956,   3.610,  207,     0.8
    24.6,0.000168,0.000185, 15,-0.007783,-0.000979,   3.596,  209,     0.8
    24.8,0.000183,0.000188, 15,-0.007832,-0.000991,   3.576,  211,     0.8
    25.0,0.000199,0.000197, 15,-0.007886,-0.001002,   3.557,  210,     0.8
    25.2,0.000194,0.000197, 15,-0.007930,-0.000992,   3.542,  208,     0.8
    25.4,0.000197,0.000200, 15,-0.007983,-0.000992,   3.524,  207,     0.8
