Run Name,Run 1
Run Date,02:51:51 PM   04-06-18
Method Name,Group19LinGrad1S2018
Export Format Version, 1.00
Method ID, 3738
Points/Second, 5.00
Number of Records,  13980
Offset from Run Start Time,00:00:00
Run End Time,00:46:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000000,0.000000, 15,0.000000,0.000000,   3.908,  192,     0.0
     0.2,0.000000,0.000000, 15,0.000000,0.000000,   3.909,  191,     0.0
     0.4,0.000000,0.000000, 15,0.000000,0.000000,   3.912,  191,     0.0
     0.6,0.000000,0.000000, 15,0.000000,0.000000,   3.912,  190,     0.0
     0.8,0.000000,0.000000, 15,0.000000,0.000000,   3.907,  189,     0.0
     1.0,0.000000,0.000000, 15,0.000000,0.000000,   3.907,  189,     0.0
     1.2,0.000000,0.000000, 15,0.000000,0.000000,   3.910,  189,     0.0
     1.4,0.000000,0.000000, 15,0.000000,0.000000,   3.909,  189,     0.0
     1.6,0.000000,0.000000, 15,0.000000,0.000000,   3.906,  189,     0.0
     1.8,0.000000,0.000000, 15,0.000000,0.000000,   3.909,  193,     0.0
     2.0,0.000000,0.000000, 15,0.000000,0.000000,   3.909,  196,     0.0
     2.2,0.000000,0.000000, 15,0.000000,0.000000,   3.907,  192,     0.0
     2.4,0.000000,0.000000, 15,0.000000,0.000000,   3.904,  189,     0.0
     2.6,0.000000,0.000000, 15,0.000000,0.000000,   3.908,  189,     0.0
     2.8,0.000000,0.000000, 15,0.000000,0.000000,   3.908,  189,     0.0
     3.0,0.000000,0.000000, 15,0.000000,0.000000,   3.909,  188,     0.1
     3.2,0.000000,0.000032, 15,0.000000,0.000000,   3.908,  187,     0.1
     3.4,0.000019,0.000051, 15,0.000000,0.000000,   3.907,  189,     0.1
     3.6,0.000035,0.000075, 15,0.000000,0.000000,   3.906,  190,     0.1
     3.8,0.000052,0.000096, 15,0.000000,0.000000,   3.906,  189,     0.1
     4.0,0.000065,0.000118, 15,0.000000,0.000000,   3.906,  187,     0.1
     4.2,0.000077,0.000140, 15,-0.000020,0.000000,   3.905,  188,     0.1
     4.4,0.000089,0.000156, 15,-0.000030,0.000025,   3.907,  188,     0.1
     4.6,0.000117,0.000161, 15,-0.000029,0.000015,   3.905,  188,     0.1
     4.8,0.000123,0.000164, 15,-0.000028,0.000027,   3.905,  188,     0.1
     5.0,0.000130,0.000161, 15,-0.000036,0.000072,   3.902,  188,     0.1
     5.2,0.000130,0.000164, 15,-0.000025,0.000062,   3.903,  187,     0.1
     5.4,0.000129,0.000161, 15,-0.000016,0.000074,   3.902,  188,     0.1
     5.6,0.000135,0.000156, 15,0.000002,0.000107,   3.904,  189,     0.1
     5.8,0.000139,0.000147, 15,0.000038,0.000085,   3.902,  187,     0.1
     6.0,0.000134,0.000141, 15,0.000029,0.000085,   3.905,  186,     0.1
     6.2,0.000130,0.000123, 15,-0.000009,0.000119,   3.905,  186,     0.1
