Run Name,Run 1
Run Date,04:42:02 PM   03-05-18
Method Name,Spring 2018 Group 3 Multigradient
Export Format Version, 1.00
Method ID, 3708
Points/Second, 5.00
Number of Records,   9096
Offset from Run Start Time,00:00:00
Run End Time,00:30:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001674,0.001844, 10,0.009080,0.000944,   4.150,  159,     0.0
     0.2,0.001674,0.001847, 10,0.009090,0.000955,   4.150,  163,     0.0
     0.4,0.001678,0.001843, 10,0.009080,0.000922,   4.151,  166,     0.0
     0.6,0.001674,0.001844, 10,0.009060,0.000955,   4.150,  163,     0.0
     0.8,0.001682,0.001844, 10,0.009060,0.000967,   4.151,  160,     0.0
     1.0,0.001685,0.001845, 10,0.009050,0.000934,   4.150,  159,     0.0
     1.2,0.001685,0.001843, 10,0.009029,0.000955,   4.148,  158,     0.0
     1.4,0.001689,0.001843, 10,0.009060,0.000967,   4.150,  157,     0.0
     1.6,0.001684,0.001846, 10,0.009091,0.000934,   4.148,  156,     0.0
     1.8,0.001684,0.001845, 10,0.009142,0.000955,   4.150,  158,     0.0
     2.0,0.001692,0.001842, 10,0.009194,0.000955,   4.150,  159,     0.0
     2.2,0.001688,0.001842, 10,0.009245,0.000955,   4.152,  158,     0.0
     2.4,0.001684,0.000000, 10,0.000000,0.000967,   4.151,  157,     0.0
     2.6,0.000568,0.000000, 10,0.000000,0.000955,   4.148,  157,     0.0
     2.8,0.000733,0.000000, 10,0.000000,0.000922,   4.150,  157,     0.0
     3.0,-0.000061,0.000000, 10,0.000000,0.000944,   4.149,  156,     0.1
     3.2,-0.001184,0.000000, 10,0.000000,0.000932,   4.146,  156,     0.1
     3.4,0.000000,0.000000, 10,0.000000,0.000934,   4.155,  157,     0.1
     3.6,0.000000,0.000000, 10,0.000000,0.000000,   4.151,  159,     0.1
     3.8,0.000000,0.000000, 10,0.000000,0.000000,   4.148,  158,     0.1
     4.0,0.000000,0.000000, 10,0.000000,0.000000,   4.151,  158,     0.1
     4.2,0.000000,0.000000, 10,0.000000,0.000000,   4.149,  159,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   4.149,  160,     0.1
     4.6,0.000000,0.000000, 10,0.000000,0.000000,   4.149,  160,     0.1
     4.8,0.000000,0.000000, 10,0.000000,0.000000,   4.152,  159,     0.1
     5.0,0.000000,0.000000, 10,0.000000,0.000000,   4.156,  161,     0.1
     5.2,0.000000,0.000000, 10,0.000000,0.000000,   4.157,  163,     0.1
     5.4,0.000000,0.000000, 10,0.000000,0.000000,   4.157,  160,     0.1
     5.6,0.000000,0.000000, 10,0.000000,0.000000,   4.154,  157,     0.1
     5.8,0.000000,0.000000, 10,0.000000,0.000000,   4.152,  156,     0.1
     6.0,0.000000,0.000000, 10,0.000000,0.000000,   4.151,  156,     0.1
     6.2,0.000000,0.000000, 10,0.000000,0.000000,   4.147,  155,     0.1
     6.4,0.000000,0.000000, 10,0.000000,0.000000,   4.153,  153,     0.1
     6.6,0.000000,0.000000, 10,0.000000,0.000000,   4.158,  154,     0.1
     6.8,0.000000,0.000000, 10,0.000000,0.000000,   4.149,  154,     0.1
     7.0,0.000089,0.000203, 10,0.000369,0.000000,   4.152,  155,     0.1
     7.2,0.000162,0.000263, 10,0.000040,0.000000,   4.150,  156,     0.1
     7.4,0.000237,0.000312, 10,-0.000178,0.000000,   4.151,  157,     0.1
     7.6,0.000282,0.000359, 10,-0.000266,0.000000,   4.154,  158,     0.1
     7.8,0.000323,0.000397, 10,-0.000234,0.000000,   4.152,  157,     0.1
     8.0,0.000351,0.000419, 10,-0.000094,0.000071,   4.155,  155,     0.1
     8.2,0.000370,0.000444, 10,0.000168,0.000073,   4.156,  156,     0.1
     8.4,0.000390,0.000447, 10,0.000288,0.000142,   4.153,  157,     0.1
     8.6,0.000411,0.000471, 10,0.000389,0.000154,   4.157,  156,     0.1
     8.8,0.000437,0.000513, 10,0.000490,0.000156,   4.156,  155,     0.1
     9.0,0.000470,0.000552, 10,0.000530,0.000168,   4.159,  156,     0.2
     9.2,0.000507,0.000568, 10,0.000509,0.000192,   4.159,  156,     0.2
     9.4,0.000516,0.000588, 10,0.000479,0.000194,   4.162,  156,     0.2
     9.6,0.000530,0.000594, 10,0.000479,0.000206,   4.161,  155,     0.2
     9.8,0.000527,0.000593, 10,0.000458,0.000218,   4.157,  158,     0.2
    10.0,0.000519,0.000590, 10,0.000446,0.000208,   4.158,  161,     0.2
    10.2,0.000527,0.000573, 10,0.000426,0.000231,   4.156,  159,     0.2
    10.4,0.000524,0.000564, 10,0.000385,0.000289,   4.157,  156,     0.2
    10.6,0.000516,0.000555, 10,0.000333,0.000267,   4.160,  155,     0.2
    10.8,0.000520,0.000550, 10,0.000322,0.000255,   4.162,  155,     0.2
    11.0,0.000510,0.000542, 10,0.000332,0.000289,   4.163,  154,     0.2
    11.2,0.000507,0.000531, 10,0.000341,0.000279,   4.160,  154,     0.2
    11.4,0.000499,0.000526, 10,0.000220,0.000291,   4.161,  154,     0.2
    11.6,0.000500,0.000526, 10,0.000049,0.000303,   4.163,  155,     0.2
    11.8,0.000497,0.000514, 10,-0.000182,0.000269,   4.163,  155,     0.2
    12.0,0.000482,0.000504, 10,-0.000213,0.000291,   4.159,  155,     0.2
    12.2,0.000484,0.000496, 10,-0.000163,0.000289,   4.161,  156,     0.2
    12.4,0.000477,0.000481, 10,-0.000022,0.000255,   4.163,  158,     0.2
    12.6,0.000466,0.000485, 10,0.000009,0.000243,   4.162,  156,     0.2
    12.8,0.000470,0.000482, 10,0.000008,0.000289,   4.161,  154,     0.2
    13.0,0.000463,0.000480, 10,0.000018,0.000267,   4.161,  155,     0.2
    13.2,0.000452,0.000483, 10,0.000018,0.000243,   4.162,  155,     0.2
    13.4,0.000457,0.000483, 10,-0.000002,0.000265,   4.161,  155,     0.2
    13.6,0.000450,0.000483, 10,-0.000042,0.000231,   4.162,  155,     0.2
    13.8,0.000442,0.000477, 10,-0.000021,0.000231,   4.163,  155,     0.2
    14.0,0.000450,0.000475, 10,-0.000023,0.000253,   4.158,  155,     0.2
    14.2,0.000443,0.000475, 10,0.000038,0.000219,   4.169,  155,     0.2
    14.4,0.000435,0.000469, 10,0.000067,0.000231,   4.169,  155,     0.2
    14.6,0.000439,0.000466, 10,0.000107,0.000253,   4.164,  158,     0.2
    14.8,0.000435,0.000461, 10,0.000157,0.000253,   4.163,  161,     0.2
    15.0,0.000428,0.000455, 10,0.000197,0.000253,   4.165,  159,     0.3
    15.2,0.000431,0.000453, 10,0.000166,0.000253,   4.156,  156,     0.3
    15.4,0.000435,0.000453, 10,0.000136,0.000253,   4.162,  155,     0.3
    15.6,0.000424,0.000451, 10,0.000077,0.000265,   4.160,  153,     0.3
    15.8,0.000432,0.000454, 10,0.000127,0.000253,   4.161,  155,     0.3
    16.0,0.000433,0.000449, 10,0.000227,0.000253,   4.161,  156,     0.3
    16.2,0.000422,0.000443, 10,0.000377,0.000219,   4.163,  156,     0.3
    16.4,0.000423,0.000440, 10,0.000388,0.000231,   4.159,  156,     0.3
    16.6,0.000413,0.000440, 10,0.000338,0.000253,   4.156,  156,     0.3
    16.8,0.000402,0.000440, 10,0.000196,0.000231,   4.157,  156,     0.3
    17.0,0.000410,0.000440, 10,0.000146,0.000231,   4.158,  157,     0.3
    17.2,0.000411,0.000446, 10,0.000126,0.000265,   4.155,  158,     0.3
    17.4,0.000403,0.000447, 10,0.000096,0.000231,   4.158,  156,     0.3
    17.6,0.000396,0.000439, 10,0.000065,0.000219,   4.156,  155,     0.3
    17.8,0.000393,0.000433, 10,0.000075,0.000241,   4.158,  155,     0.3
    18.0,0.000385,0.000442, 10,0.000075,0.000208,   4.158,  155,     0.3
    18.2,0.000393,0.000439, 10,0.000065,0.000208,   4.155,  156,     0.3
    18.4,0.000390,0.000433, 10,0.000065,0.000241,   4.157,  156,     0.3
    18.6,0.000382,0.000435, 10,0.000045,0.000208,   4.156,  155,     0.3
    18.8,0.000393,0.000433, 10,0.000034,0.000208,   4.156,  155,     0.3
    19.0,0.000390,0.000429, 10,0.000055,0.000241,   4.151,  154,     0.3
    19.2,0.000385,0.000429, 10,0.000065,0.000208,   4.155,  154,     0.3
    19.4,0.000396,0.000435, 10,0.000055,0.000208,   4.151,  157,     0.3
    19.6,0.000396,0.000432, 10,0.000035,0.000241,   4.150,  160,     0.3
    19.8,0.000396,0.000429, 10,0.000015,0.000208,   4.148,  158,     0.3
    20.0,0.000389,0.000435, 10,0.000014,0.000208,   4.148,  156,     0.3
    20.2,0.000396,0.000429, 10,0.000034,0.000241,   4.152,  155,     0.3
    20.4,0.000396,0.000433, 10,0.000065,0.000208,   4.153,  153,     0.3
    20.6,0.000389,0.000439, 10,0.000054,0.000208,   4.145,  154,     0.3
    20.8,0.000400,0.000433, 10,0.000054,0.000241,   4.150,  155,     0.3
    21.0,0.000406,0.000439, 10,0.000034,0.000208,   4.149,  155,     0.3
    21.2,0.000402,0.000439, 10,0.000034,0.000208,   4.149,  155,     0.4
    21.4,0.000405,0.000435, 10,0.000044,0.000241,   4.147,  154,     0.4
    21.6,0.000409,0.000447, 10,0.000074,0.000208,   4.149,  153,     0.4
    21.8,0.000404,0.000453, 10,0.000094,0.000208,   4.149,  155,     0.4
    22.0,0.000404,0.000449, 10,0.000093,0.000241,   4.148,  157,     0.4
    22.2,0.000409,0.000452, 10,0.000114,0.000208,   4.147,  156,     0.4
    22.4,0.000401,0.000446, 10,0.000104,0.000219,   4.144,  155,     0.4
    22.6,0.000401,0.000445, 10,0.000073,0.000253,   4.148,  155,     0.4
    22.8,0.000409,0.000448, 10,0.000043,0.000231,   4.146,  155,     0.4
    23.0,0.000401,0.000448, 10,0.000054,0.000231,   4.147,  154,     0.4
    23.2,0.000404,0.000445, 10,0.000063,0.000265,   4.146,  154,     0.4
    23.4,0.000412,0.000445, 10,0.000093,0.000277,   4.147,  154,     0.4
    23.6,0.000404,0.000451, 10,0.000133,0.000277,   4.145,  154,     0.4
    23.8,0.000408,0.000460, 10,0.000143,0.000277,   4.143,  153,     0.4
    24.0,0.000412,0.000460, 10,0.000163,0.000265,   4.146,  153,     0.4
    24.2,0.000404,0.000457, 10,0.000183,0.000265,   4.149,  156,     0.4
    24.4,0.000408,0.000466, 10,0.000113,0.000265,   4.147,  158,     0.4
    24.6,0.000412,0.000466, 10,-0.000007,0.000265,   4.147,  157,     0.4
    24.8,0.000404,0.000457, 10,-0.000187,0.000243,   4.141,  156,     0.4
    25.0,0.000408,0.000463, 10,-0.000207,0.000255,   4.146,  157,     0.4
    25.2,0.000412,0.000465, 10,-0.000187,0.000279,   4.146,  157,     0.4
    25.4,0.000408,0.000468, 10,-0.000116,0.000245,   4.148,  157,     0.4
    25.6,0.000411,0.000471, 10,-0.000087,0.000267,   4.147,  156,     0.4
    25.8,0.000419,0.000471, 10,-0.000067,0.000277,   4.148,  155,     0.4
    26.0,0.000414,0.000474, 10,-0.000037,0.000255,   4.144,  155,     0.4
    26.2,0.000414,0.000471, 10,-0.000007,0.000255,   4.149,  154,     0.4
    26.4,0.000419,0.000471, 10,0.000013,0.000277,   4.146,  154,     0.4
    26.6,0.000414,0.000471, 10,0.000054,0.000255,   4.150,  155,     0.4
    26.8,0.000418,0.000468, 10,0.000043,0.000255,   4.143,  156,     0.4
    27.0,0.000425,0.000465, 10,0.000044,0.000277,   4.147,  156,     0.4
    27.2,0.000421,0.000471, 10,0.000024,0.000255,   4.149,  157,     0.5
    27.4,0.000418,0.000475, 10,-0.000166,0.000255,   4.148,  156,     0.5
    27.6,0.000422,0.000474, 10,-0.000446,0.000277,   4.150,  155,     0.5
    27.8,0.000421,0.000477, 10,-0.000816,0.000255,   4.148,  154,     0.5
    28.0,0.000429,0.000485, 10,-0.000866,0.000255,   4.151,  154,     0.5
    28.2,0.000440,0.000485, 10,-0.000806,0.000277,   4.149,  154,     0.5
    28.4,0.000435,0.000485, 10,-0.000637,0.000255,   4.150,  154,     0.5
    28.6,0.000447,0.000491, 10,-0.000527,0.000255,   4.150,  153,     0.5
    28.8,0.000451,0.000487, 10,-0.000408,0.000277,   4.149,  152,     0.5
    29.0,0.000451,0.000485, 10,-0.000247,0.000255,   4.149,  155,     0.5
    29.2,0.000454,0.000488, 10,-0.000156,0.000255,   4.152,  157,     0.5
    29.4,0.000447,0.000479, 10,-0.000096,0.000289,   4.149,  157,     0.5
    29.6,0.000454,0.000480, 10,-0.000046,0.000267,   4.149,  156,     0.5
    29.8,0.000450,0.000484, 10,0.000005,0.000255,   4.152,  155,     0.5
    30.0,0.000450,0.000480, 10,0.000034,0.000289,   4.150,  154,     0.5
    30.2,0.000458,0.000480, 10,0.000044,0.000267,   4.148,  154,     0.5
    30.4,0.000453,0.000485, 10,0.000054,0.000267,   4.149,  154,     0.5
    30.6,0.000446,0.000490, 10,0.000055,0.000301,   4.150,  155,     0.5
    30.8,0.000446,0.000490, 10,0.000025,0.000279,   4.152,  155,     0.5
    31.0,0.000441,0.000493, 10,0.000025,0.000279,   4.150,  155,     0.5
    31.2,0.000444,0.000493, 10,0.000015,0.000301,   4.155,  155,     0.5
    31.4,0.000456,0.000498, 10,0.000026,0.000279,   4.150,  155,     0.5
    31.6,0.000454,0.000507, 10,0.000036,0.000313,   4.151,  156,     0.5
    31.8,0.000454,0.000504, 10,0.000035,0.000334,   4.151,  155,     0.5
    32.0,0.000454,0.000507, 10,0.000066,0.000313,   4.154,  155,     0.5
    32.2,0.000454,0.000511, 10,0.000097,0.000346,   4.151,  155,     0.5
    32.4,0.000454,0.000505, 10,0.000107,0.000334,   4.154,  154,     0.5
    32.6,0.000451,0.000505, 10,0.000137,0.000313,   4.152,  154,     0.5
    32.8,0.000451,0.000507, 10,0.000156,0.000346,   4.154,  154,     0.5
    33.0,0.000454,0.000504, 10,0.000167,0.000346,   4.151,  154,     0.6
    33.2,0.000458,0.000507, 10,0.000167,0.000346,   4.149,  154,     0.6
    33.4,0.000453,0.000513, 10,0.000167,0.000313,   4.154,  154,     0.6
    33.6,0.000460,0.000510, 10,0.000176,0.000358,   4.154,  154,     0.6
    33.8,0.000457,0.000510, 10,0.000207,0.000346,   4.152,  155,     0.6
    34.0,0.000457,0.000513, 10,0.000247,0.000313,   4.154,  156,     0.6
    34.2,0.000460,0.000506, 10,0.000247,0.000313,   4.156,  156,     0.6
    34.4,0.000465,0.000506, 10,0.000217,0.000313,   4.159,  155,     0.6
    34.6,0.000472,0.000511, 10,0.000188,0.000279,   4.152,  155,     0.6
    34.8,0.000472,0.000511, 10,0.000208,0.000279,   4.156,  154,     0.6
    35.0,0.000458,0.000508, 10,0.000228,0.000313,   4.154,  154,     0.6
    35.2,0.000458,0.000517, 10,0.000268,0.000291,   4.152,  154,     0.6
    35.4,0.000465,0.000512, 10,0.000288,0.000291,   4.151,  154,     0.6
    35.6,0.000465,0.000512, 10,0.000298,0.000324,   4.156,  155,     0.6
    35.8,0.000465,0.000512, 10,0.000309,0.000303,   4.150,  154,     0.6
    36.0,0.000468,0.000514, 10,0.000309,0.000303,   4.154,  153,     0.6
    36.2,0.000472,0.000517, 10,0.000288,0.000324,   4.158,  154,     0.6
    36.4,0.000468,0.000517, 10,0.000279,0.000291,   4.153,  155,     0.6
    36.6,0.000471,0.000522, 10,0.000258,0.000291,   4.156,  155,     0.6
    36.8,0.000482,0.000531, 10,0.000259,0.000324,   4.155,  155,     0.6
    37.0,0.000481,0.000526, 10,0.000249,0.000291,   4.158,  155,     0.6
    37.2,0.000481,0.000529, 10,0.000249,0.000291,   4.162,  155,     0.6
    37.4,0.000492,0.000538, 10,0.000269,0.000324,   4.157,  154,     0.6
    37.6,0.000485,0.000538, 10,0.000279,0.000291,   4.157,  154,     0.6
    37.8,0.000485,0.000532, 10,0.000269,0.000291,   4.154,  155,     0.6
    38.0,0.000486,0.000534, 10,0.000259,0.000324,   4.154,  156,     0.6
    38.2,0.000486,0.000534, 10,0.000229,0.000291,   4.157,  156,     0.6
    38.4,0.000478,0.000534, 10,0.000238,0.000291,   4.154,  156,     0.6
    38.6,0.000478,0.000534, 10,0.000289,0.000324,   4.157,  156,     0.6
    38.8,0.000482,0.000532, 10,0.000350,0.000291,   4.154,  156,     0.6
    39.0,0.000475,0.000536, 10,0.000279,0.000291,   4.155,  156,     0.6
    39.2,0.000476,0.000530, 10,0.000179,0.000324,   4.159,  155,     0.7
    39.4,0.000480,0.000529, 10,0.000038,0.000279,   4.155,  154,     0.7
    39.6,0.000472,0.000532, 10,0.000038,0.000301,   4.153,  153,     0.7
    39.8,0.000484,0.000523, 10,0.000099,0.000323,   4.153,  154,     0.7
    40.0,0.000480,0.000526, 10,0.000199,0.000289,   4.155,  155,     0.7
    40.2,0.000472,0.000528, 10,0.000260,0.000323,   4.151,  155,     0.7
    40.4,0.000484,0.000528, 10,0.000300,0.000346,   4.154,  154,     0.7
    40.6,0.000480,0.000523, 10,0.000330,0.000324,   4.154,  154,     0.7
    40.8,0.000472,0.000521, 10,0.000350,0.000358,   4.152,  153,     0.7
    41.0,0.000484,0.000527, 10,0.000350,0.000358,   4.148,  154,     0.7
    41.2,0.000480,0.000532, 10,0.000309,0.000336,   4.152,  155,     0.7
