Run Name,Run 2 multiple gradient
Run Date,03:35:48 PM   04-03-18
Method Name,group 9 multiple gradient.1
Export Format Version, 1.00
Method ID, 3732
Points/Second, 5.00
Number of Records,  13464
Offset from Run Start Time,00:00:00
Run End Time,00:44:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.005255,0.004617, 10,0.009843,0.002911,   3.870,  162,     0.0
     0.2,0.005252,0.004617, 10,0.009843,0.002911,   3.872,  161,     0.0
     0.4,0.005252,0.004611, 10,0.009791,0.002899,   3.870,  160,     0.0
     0.6,0.005260,0.004617, 10,0.009719,0.002922,   3.872,  159,     0.0
     0.8,0.005252,0.004617, 10,0.009709,0.002922,   3.873,  159,     0.0
     1.0,0.005255,0.004617, 10,0.009708,0.002934,   3.870,  159,     0.0
     1.2,0.005259,0.004623, 10,0.009718,0.002934,   3.865,  159,     0.0
     1.4,0.005259,0.004620, 10,0.009727,0.002946,   3.869,  162,     0.0
     1.6,0.005262,0.004620, 10,0.009768,0.002923,   3.872,  165,     0.0
     1.8,0.005259,0.004620, 10,0.009798,0.002923,   3.867,  163,     0.0
     2.0,0.005267,0.004618, 10,0.009798,0.002935,   3.868,  160,     0.0
     2.2,0.005259,0.004618, 10,0.009788,0.002901,   3.870,  159,     0.0
     2.4,0.005263,0.004624, 10,0.009757,0.002923,   3.869,  158,     0.0
     2.6,0.005075,0.004629, 10,0.009747,0.002935,   3.867,  158,     0.0
     2.8,0.005330,0.004622, 10,0.009737,0.002913,   3.872,  157,     0.0
     3.0,0.004786,0.004625, 10,0.009737,0.002925,   3.867,  158,     0.1
     3.2,0.003370,0.004628, 10,0.009535,0.002891,   3.866,  159,     0.1
     3.4,0.000000,0.004625, 10,0.009254,0.002925,   3.865,  158,     0.1
     3.6,0.000000,0.000000, 10,0.008220,0.002891,   3.867,  158,     0.1
     3.8,0.000000,0.000000, 10,0.008220,0.000000,   3.866,  159,     0.1
     4.0,0.000000,0.000000, 10,0.008220,0.000000,   3.869,  160,     0.1
     4.2,0.000000,0.000000, 10,0.008220,0.000000,   3.871,  159,     0.1
     4.4,0.000000,0.000000, 10,0.000000,0.000000,   3.868,  157,     0.1
     4.6,0.000000,0.000000, 10,0.000000,0.000000,   3.867,  157,     0.1
     4.8,0.000000,0.000000, 10,0.000000,0.000000,   3.868,  158,     0.1
     5.0,0.000000,0.000000, 10,0.000000,0.000000,   3.865,  158,     0.1
     5.2,0.000000,0.000000, 10,0.000000,0.000000,   3.865,  157,     0.1
     5.4,0.000000,0.000000, 10,0.000000,0.000000,   3.867,  157,     0.1
     5.6,0.000000,0.000000, 10,0.000000,0.000000,   3.869,  157,     0.1
     5.8,0.000000,0.000000, 10,0.000000,0.000000,   3.867,  157,     0.1
     6.0,0.000000,0.000000, 10,0.000000,0.000000,   3.867,  156,     0.1
     6.2,0.000000,0.000000, 10,0.000000,0.000000,   3.865,  159,     0.1
     6.4,0.000000,0.000000, 10,0.000000,0.000000,   3.868,  162,     0.1
     6.6,0.000000,0.000000, 10,0.000000,0.000000,   3.864,  160,     0.1
     6.8,0.000000,0.000000, 10,0.000000,0.000000,   3.868,  158,     0.1
     7.0,0.000000,0.000000, 10,0.000000,0.000000,   3.868,  157,     0.1
     7.2,0.000000,0.000000, 10,0.000000,0.000000,   3.866,  156,     0.1
     7.4,0.000046,0.000000, 10,0.000000,0.000000,   3.865,  156,     0.1
     7.6,0.000053,0.000000, 10,0.000000,0.000000,   3.867,  156,     0.1
     7.8,0.000064,0.000000, 10,0.000000,0.000000,   3.864,  157,     0.1
     8.0,0.000067,0.000000, 10,0.000000,0.000000,   3.863,  157,     0.1
     8.2,0.000071,0.000047, 10,0.000000,0.000000,   3.867,  156,     0.1
     8.4,0.000074,0.000068, 10,0.000029,0.000000,   3.862,  156,     0.1
     8.6,0.000074,0.000090, 10,0.000039,0.000000,   3.865,  157,     0.1
     8.8,0.000077,0.000107, 10,0.000029,-0.000006,   3.867,  159,     0.1
     9.0,0.000081,0.000109, 10,-0.000011,-0.000029,   3.865,  158,     0.2
     9.2,0.000087,0.000109, 10,-0.000070,-0.000005,   3.866,  156,     0.2
     9.4,0.000102,0.000110, 10,-0.000169,-0.000017,   3.863,  157,     0.2
     9.6,0.000113,0.000110, 10,-0.000200,-0.000005,   3.866,  157,     0.2
     9.8,0.000124,0.000116, 10,-0.000200,-0.000005,   3.864,  157,     0.2
    10.0,0.000127,0.000122, 10,-0.000190,0.000007,   3.862,  157,     0.2
    10.2,0.000135,0.000128, 10,-0.000320,0.000007,   3.866,  157,     0.2
    10.4,0.000128,0.000131, 10,-0.000489,0.000007,   3.864,  157,     0.2
    10.6,0.000120,0.000131, 10,-0.000707,0.000007,   3.862,  157,     0.2
    10.8,0.000124,0.000137, 10,-0.000748,0.000007,   3.867,  156,     0.2
    11.0,0.000127,0.000140, 10,-0.000719,0.000007,   3.866,  158,     0.2
    11.2,0.000123,0.000136, 10,-0.000599,0.000007,   3.864,  159,     0.2
    11.4,0.000129,0.000136, 10,-0.000630,0.000007,   3.863,  159,     0.2
    11.6,0.000136,0.000135, 10,-0.000680,-0.000005,   3.861,  158,     0.2
    11.8,0.000139,0.000141, 10,-0.000779,0.000018,   3.864,  156,     0.2
    12.0,0.000142,0.000140, 10,-0.000799,0.000042,   3.861,  155,     0.2
    12.2,0.000142,0.000142, 10,-0.000789,0.000007,   3.864,  156,     0.2
    12.4,0.000142,0.000145, 10,-0.000760,0.000053,   3.864,  156,     0.2
    12.6,0.000141,0.000145, 10,-0.000730,0.000066,   3.860,  157,     0.2
    12.8,0.000145,0.000144, 10,-0.000691,0.000031,   3.866,  157,     0.2
    13.0,0.000148,0.000150, 10,-0.000632,0.000019,   3.865,  156,     0.2
    13.2,0.000151,0.000152, 10,-0.000662,0.000019,   3.866,  156,     0.2
    13.4,0.000159,0.000152, 10,-0.000722,0.000031,   3.865,  156,     0.2
    13.6,0.000170,0.000157, 10,-0.000810,0.000043,   3.863,  157,     0.2
    13.8,0.000166,0.000160, 10,-0.000821,0.000043,   3.862,  156,     0.2
    14.0,0.000166,0.000159, 10,-0.000771,0.000043,   3.865,  156,     0.2
    14.2,0.000161,0.000168, 10,-0.000692,0.000031,   3.861,  156,     0.2
    14.4,0.000161,0.000174, 10,-0.000683,0.000031,   3.862,  156,     0.2
    14.6,0.000161,0.000174, 10,-0.000663,0.000043,   3.864,  157,     0.2
    14.8,0.000161,0.000176, 10,-0.000663,0.000031,   3.863,  157,     0.2
    15.0,0.000165,0.000182, 10,-0.000674,0.000043,   3.860,  157,     0.3
    15.2,0.000165,0.000182, 10,-0.000674,0.000021,   3.862,  156,     0.3
    15.4,0.000165,0.000188, 10,-0.000693,0.000033,   3.863,  156,     0.3
    15.6,0.000171,0.000198, 10,-0.000713,0.000033,   3.864,  155,     0.3
    15.8,0.000174,0.000192, 10,-0.000743,0.000011,   3.862,  158,     0.3
    16.0,0.000186,0.000195, 10,-0.000782,0.000033,   3.861,  160,     0.3
    16.2,0.000181,0.000197, 10,-0.000782,0.000033,   3.860,  159,     0.3
    16.4,0.000189,0.000196, 10,-0.000762,0.000045,   3.861,  158,     0.3
    16.6,0.000200,0.000205, 10,-0.000743,0.000011,   3.860,  156,     0.3
    16.8,0.000203,0.000211, 10,-0.000683,0.000045,   3.861,  155,     0.3
    17.0,0.000204,0.000210, 10,-0.000743,0.000023,   3.866,  156,     0.3
    17.2,0.000217,0.000213, 10,-0.000832,0.000035,   3.862,  157,     0.3
    17.4,0.000212,0.000213, 10,-0.000971,0.000035,   3.863,  157,     0.3
    17.6,0.000208,0.000212, 10,-0.001010,0.000013,   3.858,  157,     0.3
    17.8,0.000207,0.000212, 10,-0.001030,0.000035,   3.866,  156,     0.3
    18.0,0.000199,0.000214, 10,-0.001030,0.000023,   3.862,  156,     0.3
    18.2,0.000214,0.000211, 10,-0.001010,0.000035,   3.864,  157,     0.3
    18.4,0.000222,0.000220, 10,-0.000971,0.000023,   3.863,  158,     0.3
    18.6,0.000229,0.000220, 10,-0.000901,0.000045,   3.862,  157,     0.3
    18.8,0.000232,0.000226, 10,-0.000861,0.000023,   3.864,  157,     0.3
    19.0,0.000246,0.000224, 10,-0.000832,0.000035,   3.862,  157,     0.3
    19.2,0.000245,0.000224, 10,-0.000792,0.000035,   3.861,  156,     0.3
    19.4,0.000238,0.000224, 10,-0.000783,0.000013,   3.860,  157,     0.3
    19.6,0.000230,0.000230, 10,-0.000773,0.000047,   3.863,  157,     0.3
    19.8,0.000225,0.000238, 10,-0.000762,0.000035,   3.865,  156,     0.3
    20.0,0.000238,0.000240, 10,-0.000762,0.000047,   3.861,  155,     0.3
    20.2,0.000245,0.000234, 10,-0.000773,0.000047,   3.862,  154,     0.3
    20.4,0.000249,0.000234, 10,-0.000772,0.000069,   3.865,  154,     0.3
    20.6,0.000253,0.000240, 10,-0.000861,0.000081,   3.864,  156,     0.3
    20.8,0.000258,0.000234, 10,-0.001000,0.000035,   3.866,  159,     0.3
    21.0,0.000258,0.000234, 10,-0.001168,0.000057,   3.864,  158,     0.3
    21.2,0.000261,0.000240, 10,-0.001296,0.000069,   3.864,  157,     0.4
    21.4,0.000256,0.000239, 10,-0.001425,0.000023,   3.864,  156,     0.4
    21.6,0.000267,0.000241, 10,-0.001553,0.000057,   3.867,  155,     0.4
    21.8,0.000263,0.000250, 10,-0.001504,0.000069,   3.867,  156,     0.4
    22.0,0.000259,0.000252, 10,-0.001376,0.000023,   3.864,  157,     0.4
    22.2,0.000254,0.000254, 10,-0.001168,0.000057,   3.862,  157,     0.4
    22.4,0.000253,0.000260, 10,-0.001049,0.000069,   3.864,  157,     0.4
    22.6,0.000253,0.000257, 10,-0.000960,0.000023,   3.863,  157,     0.4
    22.8,0.000253,0.000260, 10,-0.000871,0.000057,   3.866,  156,     0.4
    23.0,0.000248,0.000261, 10,-0.000841,0.000069,   3.866,  158,     0.4
    23.2,0.000252,0.000252, 10,-0.000861,0.000057,   3.863,  159,     0.4
    23.4,0.000258,0.000258, 10,-0.000920,0.000079,   3.862,  159,     0.4
    23.6,0.000254,0.000264, 10,-0.001098,0.000091,   3.864,  159,     0.4
    23.8,0.000257,0.000261, 10,-0.001375,0.000091,   3.867,  158,     0.4
    24.0,0.000257,0.000263, 10,-0.001721,0.000079,   3.863,  158,     0.4
    24.2,0.000261,0.000268, 10,-0.001711,0.000091,   3.864,  157,     0.4
    24.4,0.000272,0.000270, 10,-0.001593,0.000091,   3.865,  157,     0.4
    24.6,0.000276,0.000276, 10,-0.001326,0.000091,   3.866,  156,     0.4
    24.8,0.000268,0.000276, 10,-0.001198,0.000091,   3.865,  156,     0.4
    25.0,0.000279,0.000278, 10,-0.001059,0.000091,   3.866,  156,     0.4
    25.2,0.000279,0.000281, 10,-0.000920,0.000091,   3.867,  155,     0.4
    25.4,0.000279,0.000288, 10,-0.000831,0.000091,   3.866,  157,     0.4
    25.6,0.000284,0.000288, 10,-0.000782,0.000103,   3.866,  159,     0.4
    25.8,0.000293,0.000296, 10,-0.000742,0.000091,   3.866,  158,     0.4
    26.0,0.000293,0.000294, 10,-0.000722,0.000091,   3.868,  157,     0.4
    26.2,0.000293,0.000288, 10,-0.000712,0.000103,   3.867,  157,     0.4
    26.4,0.000301,0.000296, 10,-0.000712,0.000091,   3.862,  156,     0.4
    26.6,0.000301,0.000294, 10,-0.000742,0.000091,   3.870,  157,     0.4
    26.8,0.000301,0.000290, 10,-0.000732,0.000103,   3.868,  157,     0.4
    27.0,0.000301,0.000293, 10,-0.000712,0.000091,   3.871,  157,     0.4
    27.2,0.000293,0.000293, 10,-0.000673,0.000091,   3.864,  157,     0.5
    27.4,0.000292,0.000296, 10,-0.000692,0.000103,   3.868,  157,     0.5
    27.6,0.000287,0.000296, 10,-0.000741,0.000103,   3.870,  157,     0.5
    27.8,0.000279,0.000302, 10,-0.000820,0.000103,   3.871,  157,     0.5
    28.0,0.000283,0.000299, 10,-0.000811,0.000115,   3.870,  158,     0.5
    28.2,0.000279,0.000302, 10,-0.000741,0.000103,   3.868,  158,     0.5
    28.4,0.000272,0.000296, 10,-0.000662,0.000091,   3.867,  158,     0.5
    28.6,0.000291,0.000298, 10,-0.000652,0.000103,   3.873,  157,     0.5
    28.8,0.000295,0.000295, 10,-0.000672,0.000091,   3.874,  157,     0.5
    29.0,0.000291,0.000292, 10,-0.000701,0.000091,   3.875,  156,     0.5
    29.2,0.000294,0.000296, 10,-0.000691,0.000115,   3.871,  156,     0.5
    29.4,0.000289,0.000292, 10,-0.000661,0.000081,   3.873,  156,     0.5
    29.6,0.000282,0.000292, 10,-0.000631,0.000093,   3.872,  157,     0.5
    29.8,0.000285,0.000298, 10,-0.000631,0.000093,   3.873,  157,     0.5
