Run Name,Run 1
Run Date,03:16:37 PM   03-21-19
Method Name,Group 10 Spring 19 LG 3%-46%
Export Format Version, 1.00
Method ID, 3830
Points/Second, 5.00
Number of Records,  10763
Offset from Run Start Time,00:00:00
Run End Time,00:35:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.006663,0.000000,  3,0.004854,-0.455636,   4.086,   -4,     0.0
     0.2,-0.006794,0.000000,  3,0.004844,-0.455658,   4.086,   -5,     0.0
     0.4,-0.007155,0.000000,  3,0.004854,-0.455671,   4.085,   -6,     0.0
     0.6,-0.007155,0.000000,  3,0.004844,-0.455636,   4.084,   -5,     0.0
     0.8,0.000000,0.000000,  3,0.004893,-0.455671,   4.088,   -4,     0.0
     1.0,0.000000,0.000000,  3,0.004982,-0.455696,   4.084,   27,     0.0
     1.2,0.000000,0.000000,  3,0.004873,0.000000,   4.086,   58,     0.0
     1.4,0.000000,0.000000,  3,0.004873,0.000000,   4.087,  107,     0.0
     1.6,0.000000,0.000000,  3,0.004873,0.000000,   4.087,  157,     0.0
     1.8,0.000000,0.000000,  3,0.004873,0.000000,   4.090,  165,     0.0
     2.0,0.000000,0.000000,  3,0.000000,0.000000,   4.089,  173,     0.0
     2.2,0.000000,0.000000,  3,0.000000,0.000000,   4.090,  173,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,   4.092,  173,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,   4.089,  172,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,   4.087,  170,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,   4.090,  170,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,   4.088,  169,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,   4.074,  129,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,   4.065,   90,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,   4.062,   50,     0.1
     4.0,0.000000,0.000000,  3,0.000000,0.000000,   4.060,   11,     0.1
     4.2,0.000000,0.000000,  3,0.000000,0.000000,   4.056,    4,     0.1
     4.4,-0.000173,0.000000,  3,0.000000,0.000000,   4.056,   -2,     0.1
     4.6,-0.000256,0.000082,  3,0.000000,0.000000,   4.053,   -3,     0.1
     4.8,-0.000275,0.000142,  3,0.000000,0.000000,   4.057,   -3,     0.1
     5.0,-0.000214,0.000223,  3,0.000000,0.000000,   4.054,   -3,     0.1
     5.2,-0.000089,0.000323,  3,0.000000,0.000000,   4.059,   -3,     0.1
     5.4,0.000129,0.000442,  3,0.000000,0.000000,   4.059,   18,     0.1
     5.6,0.000278,0.000576,  3,0.000000,0.000197,   4.065,   39,     0.1
     5.8,0.000426,0.000730,  3,-0.000097,0.000049,   4.068,   92,     0.1
     6.0,0.000589,0.000841,  3,0.000131,-0.000085,   4.072,  144,     0.1
     6.2,0.000732,0.000939,  3,0.000398,-0.000086,   4.071,  156,     0.1
     6.4,0.000864,0.001026,  3,0.000722,-0.000097,   4.075,  168,     0.1
     6.6,0.000998,0.001097,  3,0.001084,0.000000,   4.071,  169,     0.1
     6.8,0.000894,0.001063,  3,0.001504,0.000099,   4.072,  169,     0.1
     7.0,0.000659,0.000976,  3,0.001972,0.000137,   4.074,  170,     0.1
     7.2,0.000309,0.000831,  3,0.002412,0.000259,   4.078,  170,     0.1
     7.4,0.000199,0.000710,  3,0.002871,0.000345,   4.078,  170,     0.1
     7.6,0.000151,0.000566,  3,0.003340,0.000408,   4.073,  170,     0.1
     7.8,0.000165,0.000408,  3,0.003733,0.000554,   4.065,  138,     0.1
     8.0,0.000172,0.000357,  3,0.004127,0.000678,   4.060,  106,     0.1
     8.2,0.000204,0.000357,  3,0.004482,0.000581,   4.054,   60,     0.1
     8.4,0.000270,0.000402,  3,0.004165,0.000468,   4.055,   14,     0.1
     8.6,0.000296,0.000420,  3,0.003513,0.000222,   4.052,    7,     0.1
     8.8,0.000314,0.000448,  3,0.002507,0.000137,   4.049,   -1,     0.1
     9.0,0.000327,0.000483,  3,0.001972,0.000185,   4.049,   -2,     0.2
     9.2,0.000366,0.000503,  3,0.001504,0.000234,   4.052,   -3,     0.2
     9.4,0.000407,0.000527,  3,0.001085,0.000223,   4.049,   -4,     0.2
     9.6,0.000470,0.000547,  3,0.000732,0.000248,   4.053,   -4,     0.2
     9.8,0.000534,0.000620,  3,0.000447,0.000285,   4.056,   12,     0.2
    10.0,0.000601,0.000726,  3,0.000209,0.000213,   4.059,   29,     0.2
    10.2,0.000679,0.000855,  3,0.000123,0.000151,   4.064,   82,     0.2
    10.4,0.000770,0.000952,  3,0.000161,0.000088,   4.064,  134,     0.2
    10.6,0.000867,0.001061,  3,0.000303,0.000040,   4.068,  149,     0.2
    10.8,0.000967,0.001162,  3,0.000494,0.000088,   4.068,  164,     0.2
    11.0,0.001071,0.001260,  3,0.000770,0.000172,   4.071,  167,     0.2
    11.2,0.001063,0.001362,  3,0.001133,0.000199,   4.074,  170,     0.2
    11.4,0.000996,0.001464,  3,0.001419,0.000296,   4.073,  170,     0.2
    11.6,0.000864,0.001353,  3,0.001706,0.000382,   4.070,  171,     0.2
    11.8,0.000764,0.001130,  3,0.002012,0.000433,   4.074,  170,     0.2
    12.0,0.000650,0.000802,  3,0.002413,0.000507,   4.075,  169,     0.2
    12.2,0.000519,0.000710,  3,0.002843,0.000569,   4.064,  145,     0.2
    12.4,0.000482,0.000683,  3,0.003312,0.000484,   4.057,  120,     0.2
    12.6,0.000489,0.000718,  3,0.003140,0.000408,   4.056,   70,     0.2
    12.8,0.000549,0.000719,  3,0.002661,0.000246,   4.053,   21,     0.2
    13.0,0.000571,0.000733,  3,0.001868,0.000197,   4.049,   11,     0.2
    13.2,0.000586,0.000763,  3,0.001438,0.000162,   4.057,    1,     0.2
    13.4,0.000612,0.000745,  3,0.001066,0.000222,   4.059,   -1,     0.2
    13.6,0.000612,0.000713,  3,0.000723,0.000283,   4.057,   -3,     0.2
    13.8,0.000591,0.000654,  3,0.000466,0.000273,   4.059,   -3,     0.2
    14.0,0.000567,0.000701,  3,0.000266,0.000333,   4.060,   -4,     0.2
    14.2,0.000619,0.000791,  3,0.000152,0.000370,   4.061,    9,     0.2
    14.4,0.000703,0.000918,  3,0.000075,0.000347,   4.065,   21,     0.2
    14.6,0.000827,0.001007,  3,-0.000011,0.000370,   4.073,   72,     0.2
    14.8,0.000918,0.001098,  3,-0.000068,0.000345,   4.074,  123,     0.2
    15.0,0.001009,0.001199,  3,-0.000097,0.000297,   4.077,  143,     0.3
    15.2,0.001100,0.001297,  3,0.000027,0.000285,   4.076,  163,     0.3
    15.4,0.001213,0.001391,  3,0.000255,0.000273,   4.080,  167,     0.3
    15.6,0.001329,0.001498,  3,0.000598,0.000262,   4.079,  171,     0.3
    15.8,0.001459,0.001598,  3,0.000875,0.000299,   4.080,  170,     0.3
    16.0,0.001352,0.001455,  3,0.001161,0.000396,   4.083,  170,     0.3
    16.2,0.001126,0.001212,  3,0.001495,0.000422,   4.082,  170,     0.3
    16.4,0.000794,0.000871,  3,0.001839,0.000484,   4.094,  170,     0.3
    16.6,0.000700,0.000768,  3,0.002211,0.000569,   4.076,  151,     0.3
    16.8,0.000663,0.000733,  3,0.002603,0.000509,   4.072,  132,     0.3
    17.0,0.000700,0.000768,  3,0.002565,0.000422,   4.065,   80,     0.3
    17.2,0.000696,0.000762,  3,0.002335,0.000334,   4.063,   29,     0.3
    17.4,0.000702,0.000770,  3,0.001905,0.000274,   4.066,   15,     0.3
    17.6,0.000732,0.000803,  3,0.001590,0.000250,   4.067,    2,     0.3
    17.8,0.000700,0.000781,  3,0.001189,0.000285,   4.065,   -0,     0.3
    18.0,0.000637,0.000739,  3,0.000741,0.000262,   4.065,   -2,     0.3
    18.2,0.000567,0.000692,  3,0.000446,0.000287,   4.066,   -3,     0.3
    18.4,0.000576,0.000731,  3,0.000161,0.000359,   4.062,   -3,     0.3
    18.6,0.000614,0.000802,  3,-0.000086,0.000348,   4.067,    5,     0.3
    18.8,0.000696,0.000913,  3,-0.000333,0.000361,   4.073,   13,     0.3
    19.0,0.000807,0.001003,  3,-0.000579,0.000421,   4.076,   63,     0.3
    19.2,0.000891,0.001092,  3,-0.000806,0.000361,   4.080,  113,     0.3
    19.4,0.000982,0.001196,  3,-0.000702,0.000311,   4.084,  137,     0.3
    19.6,0.001079,0.001289,  3,-0.000427,0.000260,   4.085,  161,     0.3
    19.8,0.001199,0.001373,  3,0.000038,0.000237,   4.082,  164,     0.3
    20.0,0.001321,0.001462,  3,0.000361,0.000285,   4.084,  168,     0.3
    20.2,0.001461,0.001365,  3,0.000704,0.000370,   4.089,  170,     0.3
    20.4,0.001344,0.001170,  3,0.001075,0.000396,   4.090,  171,     0.3
    20.6,0.001104,0.000881,  3,0.001428,0.000481,   4.090,  170,     0.3
    20.8,0.000744,0.000791,  3,0.001800,0.000542,   4.096,  169,     0.3
    21.0,0.000646,0.000745,  3,0.002172,0.000556,   4.086,  155,     0.3
    21.2,0.000624,0.000749,  3,0.002306,0.000641,   4.078,  142,     0.4
    21.4,0.000669,0.000746,  3,0.002335,0.000678,   4.072,   89,     0.4
    21.6,0.000679,0.000767,  3,0.002230,0.000593,   4.067,   36,     0.4
    21.8,0.000702,0.000812,  3,0.001877,0.000542,   4.064,   20,     0.4
    22.0,0.000737,0.000823,  3,0.001314,0.000419,   4.064,    4,     0.4
    22.2,0.000718,0.000823,  3,0.000581,0.000382,   4.065,    1,     0.4
    22.4,0.000672,0.000815,  3,0.000258,0.000347,   4.064,   -1,     0.4
    22.6,0.000604,0.000849,  3,0.000029,0.000394,   4.064,   -2,     0.4
    22.8,0.000637,0.000897,  3,-0.000067,0.000431,   4.063,   -3,     0.4
    23.0,0.000697,0.000963,  3,-0.000190,0.000408,   4.065,   -1,     0.4
    23.2,0.000797,0.001034,  3,-0.000286,0.000456,   4.069,    1,     0.4
    23.4,0.000879,0.001119,  3,-0.000334,0.000481,   4.075,   49,     0.4
    23.6,0.000965,0.001211,  3,-0.000324,0.000396,   4.077,   98,     0.4
    23.8,0.001070,0.001283,  3,-0.000249,0.000357,   4.080,  129,     0.4
    24.0,0.001157,0.001340,  3,-0.000106,0.000246,   4.081,  159,     0.4
    24.2,0.001237,0.001393,  3,0.000084,0.000211,   4.085,  163,     0.4
    24.4,0.001326,0.001447,  3,0.000351,0.000296,   4.084,  168,     0.4
    24.6,0.001229,0.001394,  3,0.000674,0.000357,   4.087,  169,     0.4
    24.8,0.001036,0.001291,  3,0.001074,0.000371,   4.090,  169,     0.4
    25.0,0.000765,0.001143,  3,0.001399,0.000433,   4.089,  170,     0.4
    25.2,0.000681,0.001053,  3,0.001723,0.000495,   4.092,  170,     0.4
    25.4,0.000644,0.000966,  3,0.002038,0.000546,   4.087,  162,     0.4
    25.6,0.000674,0.000884,  3,0.002325,0.000632,   4.074,  155,     0.4
    25.8,0.000687,0.000863,  3,0.002612,0.000778,   4.072,   98,     0.4
    26.0,0.000709,0.000873,  3,0.002899,0.000706,   4.066,   41,     0.4
    26.2,0.000762,0.000913,  3,0.002660,0.000583,   4.060,   23,     0.4
    26.4,0.000778,0.000931,  3,0.002153,0.000421,   4.060,    5,     0.4
    26.6,0.000773,0.000950,  3,0.001399,0.000348,   4.061,    2,     0.4
    26.8,0.000772,0.000968,  3,0.001037,0.000361,   4.059,   -1,     0.4
    27.0,0.000794,0.000981,  3,0.000760,0.000433,   4.057,   -2,     0.4
    27.2,0.000819,0.000989,  3,0.000541,0.000410,   4.053,   -3,     0.5
    27.4,0.000859,0.000995,  3,0.000312,0.000435,   4.054,   -2,     0.5
    27.6,0.000904,0.001042,  3,0.000141,0.000482,   4.062,   -1,     0.5
    27.8,0.000952,0.001116,  3,-0.000020,0.000422,   4.062,   42,     0.5
    28.0,0.001021,0.001213,  3,-0.000049,0.000348,   4.067,   85,     0.5
    28.2,0.001086,0.001289,  3,-0.000011,0.000285,   4.074,  121,     0.5
    28.4,0.001157,0.001366,  3,0.000113,0.000250,   4.077,  156,     0.5
    28.6,0.001235,0.001449,  3,0.000143,0.000274,   4.078,  162,     0.5
