Run Name,Run 1
Run Date,03:35:32 PM   02-04-19
Method Name,Group 11 Spring 2019.multigradient
Export Format Version, 1.00
Method ID, 3775
Points/Second, 5.00
Number of Records,  14850
Offset from Run Start Time,00:00:00
Run End Time,00:49:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000686,0.000000,  5,0.018247,0.000000,  48.087,  172,     0.0
     0.2,-0.000108,0.000000,  5,0.018247,0.000000,  48.086,  172,     0.0
     0.4,-0.002274,0.000000,  5,0.018227,0.000000,  48.085,  172,     0.0
     0.6,-0.002365,0.000000,  5,0.018197,0.000000,  48.090,  170,     0.0
     0.8,0.000000,0.000000,  5,0.018168,0.000000,  48.091,  168,     0.0
     1.0,0.000000,0.000000,  5,0.018149,0.000000,  48.090,  171,     0.0
     1.2,0.000000,0.000000,  5,0.018265,0.000000,  48.089,  173,     0.0
     1.4,0.000000,0.000000,  5,0.018265,0.000000,  48.092,  171,     0.0
     1.6,0.000000,0.000000,  5,0.018265,0.000000,  48.094,  169,     0.0
     1.8,0.000000,0.000000,  5,0.018265,0.000000,  48.095,  169,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000000,  48.095,  170,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,  48.092,  169,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  48.096,  168,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  48.096,  168,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  48.107,  167,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  48.105,  167,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  48.110,  167,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  48.110,  169,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  48.110,  171,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  48.111,  169,     0.1
     4.0,0.000000,0.000091,  5,0.000000,0.000000,  48.106,  168,     0.1
     4.2,0.000081,0.000129,  5,0.000000,0.000000,  48.099,  167,     0.1
     4.4,0.000134,0.000173,  5,0.000000,0.000105,  48.101,  165,     0.1
     4.6,0.000196,0.000223,  5,0.000000,0.000119,  48.103,  166,     0.1
     4.8,0.000245,0.000273,  5,0.000000,0.000133,  48.109,  167,     0.1
     5.0,0.000289,0.000322,  5,0.000000,0.000192,  48.109,  167,     0.1
     5.2,0.000324,0.000382,  5,-0.000018,0.000194,  48.109,  166,     0.1
     5.4,0.000363,0.000407,  5,0.000057,0.000206,  48.105,  166,     0.1
     5.6,0.000386,0.000420,  5,0.000114,0.000206,  48.107,  166,     0.1
     5.8,0.000391,0.000425,  5,0.000161,0.000196,  48.110,  166,     0.1
     6.0,0.000402,0.000443,  5,0.000189,0.000208,  48.118,  166,     0.1
     6.2,0.000418,0.000455,  5,0.000218,0.000208,  48.119,  165,     0.1
     6.4,0.000426,0.000471,  5,0.000236,0.000220,  48.119,  165,     0.1
     6.6,0.000450,0.000489,  5,0.000236,0.000220,  48.121,  166,     0.1
     6.8,0.000456,0.000486,  5,0.000217,0.000220,  48.134,  167,     0.1
     7.0,0.000452,0.000489,  5,0.000180,0.000232,  48.136,  167,     0.1
     7.2,0.000453,0.000481,  5,0.000170,0.000232,  48.134,  166,     0.1
     7.4,0.000453,0.000473,  5,0.000189,0.000220,  48.135,  165,     0.1
     7.6,0.000442,0.000476,  5,0.000180,0.000232,  48.130,  164,     0.1
     7.8,0.000444,0.000479,  5,0.000085,0.000232,  48.141,  167,     0.1
     8.0,0.000440,0.000474,  5,-0.000028,0.000220,  48.142,  170,     0.1
     8.2,0.000433,0.000468,  5,-0.000208,0.000232,  48.145,  168,     0.1
     8.4,0.000437,0.000470,  5,-0.000264,0.000220,  48.146,  166,     0.1
     8.6,0.000434,0.000464,  5,-0.000283,0.000208,  48.146,  165,     0.1
     8.8,0.000423,0.000462,  5,-0.000264,0.000208,  48.150,  164,     0.1
     9.0,0.000424,0.000457,  5,-0.000349,0.000208,  48.152,  164,     0.2
     9.2,0.000424,0.000454,  5,-0.000481,0.000196,  48.156,  163,     0.2
     9.4,0.000420,0.000457,  5,-0.000641,0.000196,  48.164,  164,     0.2
     9.6,0.000424,0.000461,  5,-0.000688,0.000208,  48.166,  165,     0.2
     9.8,0.000424,0.000457,  5,-0.000717,0.000196,  48.171,  165,     0.2
    10.0,0.000432,0.000468,  5,-0.000707,0.000196,  48.176,  164,     0.2
    10.2,0.000421,0.000471,  5,-0.000698,0.000208,  48.170,  165,     0.2
    10.4,0.000426,0.000468,  5,-0.000688,0.000196,  48.175,  166,     0.2
    10.6,0.000429,0.000474,  5,-0.000650,0.000196,  48.173,  165,     0.2
    10.8,0.000437,0.000477,  5,-0.000641,0.000208,  48.182,  164,     0.2
    11.0,0.000440,0.000474,  5,-0.000650,0.000196,  48.183,  164,     0.2
    11.2,0.000443,0.000474,  5,-0.000650,0.000208,  48.186,  164,     0.2
    11.4,0.000442,0.000477,  5,-0.000641,0.000208,  48.188,  164,     0.2
    11.6,0.000453,0.000476,  5,-0.000622,0.000208,  48.190,  163,     0.2
    11.8,0.000456,0.000485,  5,-0.000594,0.000208,  48.198,  163,     0.2
    12.0,0.000448,0.000490,  5,-0.000575,0.000220,  48.199,  163,     0.2
    12.2,0.000456,0.000492,  5,-0.000537,0.000220,  48.200,  163,     0.2
    12.4,0.000459,0.000497,  5,-0.000509,0.000232,  48.204,  163,     0.2
    12.6,0.000458,0.000499,  5,-0.000500,0.000245,  48.207,  164,     0.2
    12.8,0.000469,0.000498,  5,-0.000481,0.000232,  48.213,  166,     0.2
    13.0,0.000475,0.000509,  5,-0.000481,0.000232,  48.215,  164,     0.2
    13.2,0.000467,0.000518,  5,-0.000434,0.000245,  48.224,  163,     0.2
    13.4,0.000472,0.000517,  5,-0.000349,0.000245,  48.229,  163,     0.2
    13.6,0.000475,0.000523,  5,-0.000245,0.000245,  48.230,  163,     0.2
    13.8,0.000467,0.000529,  5,-0.000198,0.000257,  48.233,  164,     0.2
    14.0,0.000478,0.000528,  5,-0.000188,0.000257,  48.239,  165,     0.2
    14.2,0.000482,0.000531,  5,-0.000179,0.000245,  48.237,  163,     0.2
    14.4,0.000482,0.000533,  5,-0.000132,0.000257,  48.236,  162,     0.2
    14.6,0.000492,0.000533,  5,-0.000085,0.000245,  48.237,  165,     0.2
    14.8,0.000496,0.000541,  5,-0.000009,0.000267,  48.242,  167,     0.2
    15.0,0.000502,0.000552,  5,0.000057,0.000245,  48.237,  165,     0.3
    15.2,0.000505,0.000555,  5,-0.000208,0.000245,  48.237,  162,     0.3
    15.4,0.000519,0.000555,  5,-0.000605,0.000279,  48.233,  162,     0.3
    15.6,0.000530,0.000557,  5,-0.001123,0.000257,  48.228,  163,     0.3
    15.8,0.000543,0.000561,  5,-0.001133,0.000279,  48.234,  163,     0.3
    16.0,0.000546,0.000560,  5,-0.000973,0.000301,  48.231,  162,     0.3
    16.2,0.000541,0.000568,  5,-0.000614,0.000279,  48.233,  162,     0.3
    16.4,0.000537,0.000573,  5,-0.000492,0.000279,  48.236,  163,     0.3
    16.6,0.000529,0.000576,  5,-0.000397,0.000279,  48.242,  162,     0.3
    16.8,0.000529,0.000577,  5,-0.000322,0.000257,  48.243,  162,     0.3
    17.0,0.000537,0.000580,  5,-0.000256,0.000257,  48.247,  164,     0.3
    17.2,0.000532,0.000583,  5,-0.000227,0.000291,  48.252,  166,     0.3
    17.4,0.000535,0.000583,  5,-0.000208,0.000269,  48.252,  165,     0.3
    17.6,0.000539,0.000591,  5,-0.000152,0.000269,  48.258,  164,     0.3
    17.8,0.000537,0.000596,  5,-0.000114,0.000303,  48.260,  163,     0.3
    18.0,0.000544,0.000590,  5,-0.000038,0.000281,  48.263,  163,     0.3
    18.2,0.000547,0.000599,  5,-0.000028,0.000281,  48.264,  164,     0.3
    18.4,0.000543,0.000604,  5,-0.000057,0.000303,  48.268,  164,     0.3
    18.6,0.000543,0.000603,  5,-0.000085,0.000257,  48.264,  164,     0.3
    18.8,0.000547,0.000609,  5,-0.000076,0.000257,  48.271,  163,     0.3
    19.0,0.000550,0.000608,  5,-0.000047,0.000291,  48.267,  162,     0.3
    19.2,0.000549,0.000613,  5,0.000010,0.000257,  48.267,  161,     0.3
    19.4,0.000557,0.000612,  5,-0.000019,0.000257,  48.267,  162,     0.3
    19.6,0.000560,0.000618,  5,-0.000094,0.000303,  48.272,  162,     0.3
    19.8,0.000559,0.000618,  5,-0.000198,0.000281,  48.279,  162,     0.3
    20.0,0.000566,0.000621,  5,-0.000227,0.000293,  48.274,  162,     0.3
    20.2,0.000566,0.000626,  5,-0.000274,0.000328,  48.284,  162,     0.3
    20.4,0.000570,0.000623,  5,-0.000293,0.000293,  48.283,  162,     0.3
    20.6,0.000565,0.000634,  5,-0.000274,0.000293,  48.284,  163,     0.3
    20.8,0.000568,0.000639,  5,-0.000255,0.000293,  48.287,  163,     0.3
    21.0,0.000571,0.000636,  5,-0.000217,0.000293,  48.287,  162,     0.3
    21.2,0.000564,0.000644,  5,-0.000226,0.000305,  48.289,  161,     0.4
    21.4,0.000571,0.000647,  5,-0.000264,0.000305,  48.293,  165,     0.4
    21.6,0.000575,0.000638,  5,-0.000339,0.000305,  48.291,  169,     0.4
    21.8,0.000575,0.000644,  5,-0.000358,0.000305,  48.297,  165,     0.4
    22.0,0.000582,0.000647,  5,-0.000330,0.000305,  48.297,  162,     0.4
    22.2,0.000586,0.000644,  5,-0.000292,0.000305,  48.293,  161,     0.4
    22.4,0.000586,0.000650,  5,-0.000311,0.000305,  48.293,  160,     0.4
    22.6,0.000582,0.000655,  5,-0.000358,0.000317,  48.296,  160,     0.4
    22.8,0.000590,0.000652,  5,-0.000414,0.000305,  48.299,  160,     0.4
    23.0,0.000593,0.000657,  5,-0.000433,0.000305,  48.307,  161,     0.4
    23.2,0.000593,0.000660,  5,-0.000452,0.000317,  48.310,  161,     0.4
    23.4,0.000601,0.000657,  5,-0.000443,0.000305,  48.311,  161,     0.4
    23.6,0.000604,0.000660,  5,-0.000443,0.000305,  48.315,  161,     0.4
    23.8,0.000596,0.000660,  5,-0.000452,0.000317,  48.321,  161,     0.4
    24.0,0.000596,0.000657,  5,-0.000480,0.000305,  48.328,  162,     0.4
    24.2,0.000600,0.000660,  5,-0.000499,0.000317,  48.334,  162,     0.4
    24.4,0.000600,0.000662,  5,-0.000518,0.000317,  48.340,  162,     0.4
    24.6,0.000595,0.000659,  5,-0.000527,0.000317,  48.338,  161,     0.4
    24.8,0.000598,0.000662,  5,-0.000527,0.000317,  48.350,  161,     0.4
    25.0,0.000602,0.000667,  5,-0.000574,0.000317,  48.359,  160,     0.4
    25.2,0.000597,0.000664,  5,-0.000650,0.000305,  48.360,  160,     0.4
    25.4,0.000594,0.000669,  5,-0.000735,0.000305,  48.365,  160,     0.4
    25.6,0.000602,0.000668,  5,-0.000754,0.000317,  48.372,  160,     0.4
    25.8,0.000608,0.000665,  5,-0.000773,0.000305,  48.384,  161,     0.4
    26.0,0.000600,0.000668,  5,-0.000754,0.000305,  48.391,  162,     0.4
    26.2,0.000604,0.000669,  5,-0.000801,0.000317,  48.412,  162,     0.4
    26.4,0.000607,0.000663,  5,-0.000857,0.000305,  48.418,  163,     0.4
    26.6,0.000602,0.000666,  5,-0.000933,0.000317,  48.422,  162,     0.4
    26.8,0.000599,0.000674,  5,-0.000952,0.000317,  48.427,  161,     0.4
    27.0,0.000599,0.000671,  5,-0.000970,0.000317,  48.437,  160,     0.4
    27.2,0.000602,0.000673,  5,-0.000970,0.000317,  48.440,  159,     0.5
    27.4,0.000602,0.000676,  5,-0.001206,0.000317,  48.448,  161,     0.5
    27.6,0.000610,0.000673,  5,-0.001554,0.000305,  48.457,  163,     0.5
    27.8,0.000605,0.000676,  5,-0.002034,0.000305,  48.459,  161,     0.5
    28.0,0.000618,0.000673,  5,-0.002053,0.000317,  48.467,  159,     0.5
    28.2,0.000614,0.000673,  5,-0.001902,0.000305,  48.473,  160,     0.5
    28.4,0.000607,0.000674,  5,-0.001592,0.000305,  48.478,  161,     0.5
    28.6,0.000611,0.000681,  5,-0.001516,0.000317,  48.484,  160,     0.5
    28.8,0.000611,0.000678,  5,-0.001469,0.000305,  48.500,  159,     0.5
    29.0,0.000611,0.000669,  5,-0.001451,0.000305,  48.508,  160,     0.5
    29.2,0.000607,0.000670,  5,-0.001451,0.000293,  48.518,  160,     0.5
    29.4,0.000607,0.000670,  5,-0.001488,0.000303,  48.538,  160,     0.5
    29.6,0.000607,0.000673,  5,-0.001545,0.000269,  48.547,  160,     0.5
    29.8,0.000602,0.000684,  5,-0.001526,0.000281,  48.557,  160,     0.5
