Run Name,RUN2 LG3%-60%
Run Date,04:08:39 PM   01-29-19
Method Name,Group14 Spring 19-LG3%-60%
Export Format Version, 1.00
Method ID, 3755
Points/Second, 5.00
Number of Records,  12738
Offset from Run Start Time,00:00:00
Run End Time,00:42:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000000,0.000000,  3,0.000000,0.000000,  40.290,  166,     0.0
     0.2,0.000000,0.000000,  3,0.000000,0.000000,  40.286,  166,     0.0
     0.4,0.000000,0.000000,  3,0.000000,0.000000,  40.280,  167,     0.0
     0.6,0.000000,0.000000,  3,0.000000,0.000000,  40.276,  166,     0.0
     0.8,0.000000,0.000000,  3,0.000000,0.000000,  40.266,  164,     0.0
     1.0,0.000000,0.000000,  3,0.000000,0.000000,  40.265,  163,     0.0
     1.2,0.000000,0.000000,  3,0.000000,0.000000,  40.265,  161,     0.0
     1.4,0.000000,0.000000,  3,0.000000,0.000000,  40.263,  163,     0.0
     1.6,0.000000,0.000000,  3,0.000000,0.000000,  40.260,  165,     0.0
     1.8,0.000000,0.000000,  3,0.000000,0.000000,  40.262,  164,     0.0
     2.0,0.000000,0.000000,  3,0.000000,0.000000,  40.253,  163,     0.0
     2.2,0.000000,0.000000,  3,0.000000,0.000000,  40.249,  164,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,  40.248,  165,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,  40.242,  163,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,  40.241,  162,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,  40.233,  162,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,  40.230,  162,     0.1
     3.4,0.000000,0.000042,  3,0.000000,0.000000,  40.231,  162,     0.1
     3.6,0.000051,0.000078,  3,0.000000,0.000000,  40.229,  162,     0.1
     3.8,0.000090,0.000112,  3,0.000000,0.000000,  40.224,  162,     0.1
     4.0,0.000127,0.000132,  3,0.000000,0.000000,  40.211,  162,     0.1
     4.2,0.000142,0.000148,  3,0.000000,0.000000,  40.208,  162,     0.1
     4.4,0.000154,0.000167,  3,0.000000,0.000054,  40.202,  162,     0.1
     4.6,0.000165,0.000173,  3,0.000062,0.000042,  40.203,  163,     0.1
     4.8,0.000170,0.000188,  3,0.000108,0.000076,  40.204,  163,     0.1
     5.0,0.000180,0.000198,  3,0.000135,0.000076,  40.199,  162,     0.1
     5.2,0.000190,0.000205,  3,0.000136,0.000088,  40.192,  161,     0.1
     5.4,0.000203,0.000218,  3,0.000117,0.000066,  40.195,  160,     0.1
     5.6,0.000212,0.000234,  3,0.000090,0.000102,  40.189,  160,     0.1
     5.8,0.000222,0.000239,  3,0.000054,0.000126,  40.196,  162,     0.1
     6.0,0.000228,0.000245,  3,0.000009,0.000126,  40.193,  164,     0.1
     6.2,0.000232,0.000250,  3,-0.000054,0.000126,  40.190,  162,     0.1
     6.4,0.000232,0.000256,  3,-0.000108,0.000138,  40.189,  161,     0.1
     6.6,0.000236,0.000255,  3,-0.000117,0.000138,  40.181,  162,     0.1
     6.8,0.000243,0.000263,  3,-0.000108,0.000151,  40.186,  164,     0.1
     7.0,0.000246,0.000263,  3,-0.000072,0.000163,  40.187,  162,     0.1
     7.2,0.000246,0.000265,  3,-0.000090,0.000140,  40.183,  160,     0.1
     7.4,0.000244,0.000269,  3,-0.000118,0.000140,  40.179,  160,     0.1
     7.6,0.000248,0.000271,  3,-0.000145,0.000118,  40.181,  161,     0.1
     7.8,0.000255,0.000276,  3,-0.000181,0.000130,  40.184,  161,     0.1
     8.0,0.000251,0.000281,  3,-0.000218,0.000118,  40.182,  162,     0.1
     8.2,0.000254,0.000284,  3,-0.000263,0.000084,  40.181,  162,     0.1
     8.4,0.000265,0.000287,  3,-0.000272,0.000130,  40.178,  161,     0.1
     8.6,0.000257,0.000297,  3,-0.000272,0.000130,  40.178,  161,     0.1
     8.8,0.000254,0.000300,  3,-0.000254,0.000130,  40.178,  160,     0.1
     9.0,0.000255,0.000291,  3,-0.000398,0.000142,  40.178,  161,     0.2
     9.2,0.000251,0.000293,  3,-0.000632,0.000142,  40.181,  162,     0.2
     9.4,0.000262,0.000298,  3,-0.000956,0.000142,  40.172,  160,     0.2
     9.6,0.000273,0.000300,  3,-0.001341,0.000154,  40.169,  158,     0.2
     9.8,0.000271,0.000313,  3,-0.001332,0.000154,  40.173,  159,     0.2
    10.0,0.000282,0.000318,  3,-0.001216,0.000154,  40.177,  160,     0.2
    10.2,0.000289,0.000320,  3,-0.000974,0.000132,  40.178,  160,     0.2
    10.4,0.000291,0.000324,  3,-0.000858,0.000166,  40.179,  161,     0.2
    10.6,0.000305,0.000324,  3,-0.000741,0.000166,  40.174,  159,     0.2
    10.8,0.000308,0.000327,  3,-0.000615,0.000144,  40.179,  158,     0.2
    11.0,0.000307,0.000329,  3,-0.000525,0.000179,  40.172,  160,     0.2
    11.2,0.000324,0.000340,  3,-0.000453,0.000179,  40.172,  162,     0.2
    11.4,0.000327,0.000345,  3,-0.000399,0.000191,  40.174,  160,     0.2
    11.6,0.000326,0.000345,  3,-0.000400,0.000179,  40.172,  157,     0.2
    11.8,0.000334,0.000354,  3,-0.000417,0.000189,  40.172,  158,     0.2
    12.0,0.000334,0.000361,  3,-0.000480,0.000201,  40.165,  160,     0.2
    12.2,0.000333,0.000363,  3,-0.000615,0.000179,  40.168,  159,     0.2
    12.4,0.000339,0.000371,  3,-0.000812,0.000213,  40.161,  158,     0.2
    12.6,0.000346,0.000373,  3,-0.001063,0.000225,  40.167,  159,     0.2
    12.8,0.000349,0.000383,  3,-0.001063,0.000191,  40.172,  159,     0.2
    13.0,0.000352,0.000391,  3,-0.000973,0.000225,  40.173,  158,     0.2
    13.2,0.000358,0.000394,  3,-0.000794,0.000237,  40.171,  158,     0.2
    13.4,0.000358,0.000400,  3,-0.000695,0.000203,  40.172,  159,     0.2
    13.6,0.000362,0.000406,  3,-0.000597,0.000237,  40.175,  161,     0.2
    13.8,0.000369,0.000406,  3,-0.000479,0.000215,  40.179,  160,     0.2
    14.0,0.000366,0.000405,  3,-0.000453,0.000215,  40.169,  159,     0.2
    14.2,0.000362,0.000414,  3,-0.000443,0.000203,  40.173,  159,     0.2
    14.4,0.000371,0.000419,  3,-0.000488,0.000191,  40.173,  159,     0.2
    14.6,0.000381,0.000421,  3,-0.000470,0.000191,  40.172,  159,     0.2
    14.8,0.000380,0.000426,  3,-0.000444,0.000213,  40.179,  160,     0.2
    15.0,0.000383,0.000434,  3,-0.000380,0.000213,  40.179,  158,     0.3
    15.2,0.000389,0.000436,  3,-0.000353,0.000179,  40.178,  157,     0.3
    15.4,0.000391,0.000441,  3,-0.000335,0.000225,  40.178,  160,     0.3
    15.6,0.000398,0.000444,  3,-0.000317,0.000225,  40.183,  163,     0.3
    15.8,0.000401,0.000444,  3,-0.000299,0.000237,  40.186,  160,     0.3
    16.0,0.000396,0.000447,  3,-0.000299,0.000203,  40.186,  158,     0.3
    16.2,0.000400,0.000450,  3,-0.000308,0.000237,  40.183,  159,     0.3
    16.4,0.000404,0.000449,  3,-0.000308,0.000249,  40.185,  159,     0.3
    16.6,0.000407,0.000457,  3,-0.000290,0.000237,  40.186,  158,     0.3
