Run Name,Multigradient-isocratic run1
Run Date,05:14:38 PM   01-29-19
Method Name,Group14 Spring 19-multigradient
Export Format Version, 1.00
Method ID, 3757
Points/Second, 5.00
Number of Records,  20550
Offset from Run Start Time,00:00:00
Run End Time,01:08:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000120,0.000000,  9,0.022359,0.000000,  54.615,  173,     0.0
     0.2,0.000248,0.000000,  9,0.022359,0.000000,  54.605,  173,     0.0
     0.4,-0.000121,0.000000,  9,0.022359,0.000000,  54.594,  173,     0.0
     0.6,-0.001621,0.000000,  9,0.022359,0.000000,  54.592,  172,     0.0
     0.8,0.000000,0.000000,  9,0.000000,0.000000,  54.585,  172,     0.0
     1.0,0.000000,0.000000,  9,0.000000,0.000000,  54.581,  171,     0.0
     1.2,0.000000,0.000000,  9,0.000000,0.000000,  54.576,  170,     0.0
     1.4,0.000000,0.000000,  9,0.000000,0.000000,  54.580,  170,     0.0
     1.6,0.000000,0.000000,  9,0.000000,0.000000,  54.572,  170,     0.0
     1.8,0.000000,0.000000,  9,0.000000,0.000000,  54.576,  170,     0.0
     2.0,0.000000,0.000000,  9,0.000000,0.000000,  54.575,  171,     0.0
     2.2,0.000000,0.000000,  9,0.000000,0.000000,  54.578,  170,     0.0
     2.4,0.000000,0.000000,  9,0.000000,0.000000,  54.571,  169,     0.0
     2.6,0.000000,0.000000,  9,0.000000,0.000000,  54.572,  169,     0.0
     2.8,0.000000,0.000000,  9,0.000000,0.000000,  54.575,  169,     0.0
     3.0,0.000000,0.000000,  9,0.000000,0.000000,  54.573,  169,     0.1
     3.2,0.000000,0.000000,  9,0.000000,0.000000,  54.585,  169,     0.1
     3.4,0.000000,0.000000,  9,0.000000,0.000000,  54.576,  167,     0.1
     3.6,0.000000,0.000000,  9,0.000000,0.000000,  54.581,  166,     0.1
     3.8,0.000000,0.000000,  9,0.000000,0.000000,  54.589,  167,     0.1
     4.0,0.000000,0.000000,  9,0.000000,0.000000,  54.585,  168,     0.1
     4.2,0.000000,0.000000,  9,0.000000,0.000000,  54.591,  167,     0.1
     4.4,0.000000,0.000000,  9,0.000000,0.000000,  54.595,  167,     0.1
     4.6,0.000000,0.000182,  9,-0.000121,0.000026,  54.595,  167,     0.1
     4.8,0.000212,0.000213,  9,-0.000028,0.000006,  54.592,  166,     0.1
     5.0,0.000224,0.000228,  9,0.000038,0.000052,  54.586,  166,     0.1
     5.2,0.000234,0.000240,  9,0.000094,0.000042,  54.589,  166,     0.1
     5.4,0.000243,0.000250,  9,0.000094,0.000076,  54.589,  166,     0.1
     5.6,0.000253,0.000263,  9,0.000094,0.000052,  54.587,  167,     0.1
     5.8,0.000255,0.000270,  9,0.000056,0.000030,  54.587,  166,     0.1
     6.0,0.000266,0.000281,  9,0.000000,0.000064,  54.593,  165,     0.1
     6.2,0.000272,0.000291,  9,-0.000056,0.000086,  54.603,  168,     0.1
     6.4,0.000271,0.000296,  9,-0.000150,0.000076,  54.604,  171,     0.1
     6.6,0.000288,0.000304,  9,-0.000159,0.000076,  54.604,  169,     0.1
     6.8,0.000298,0.000309,  9,-0.000150,0.000076,  54.605,  166,     0.1
     7.0,0.000293,0.000316,  9,-0.000112,0.000054,  54.609,  165,     0.1
     7.2,0.000304,0.000324,  9,-0.000112,0.000088,  54.605,  164,     0.1
     7.4,0.000315,0.000333,  9,-0.000140,0.000076,  54.608,  163,     0.1
     7.6,0.000319,0.000335,  9,-0.000178,0.000042,  54.615,  161,     0.1
     7.8,0.000323,0.000339,  9,-0.000206,0.000076,  54.620,  164,     0.1
     8.0,0.000334,0.000350,  9,-0.000215,0.000076,  54.621,  166,     0.1
     8.2,0.000337,0.000355,  9,-0.000234,0.000042,  54.629,  165,     0.1
     8.4,0.000330,0.000354,  9,-0.000243,0.000088,  54.633,  163,     0.1
     8.6,0.000336,0.000353,  9,-0.000234,0.000100,  54.635,  165,     0.1
     8.8,0.000346,0.000355,  9,-0.000225,0.000066,  54.636,  167,     0.1
     9.0,0.000360,0.000363,  9,-0.000187,0.000100,  54.641,  164,     0.2
     9.2,0.000366,0.000366,  9,-0.000122,0.000100,  54.640,  162,     0.2
     9.4,0.000369,0.000366,  9,-0.000038,0.000066,  54.645,  163,     0.2
     9.6,0.000376,0.000383,  9,0.000037,0.000100,  54.643,  164,     0.2
     9.8,0.000373,0.000389,  9,0.000075,0.000100,  54.647,  164,     0.2
    10.0,0.000371,0.000394,  9,0.000131,0.000078,  54.651,  163,     0.2
