Run Name,Run 1
Run Date,03:56:00 PM   04-12-19
Method Name,Group 17 Spring 19 Multigradient
Export Format Version, 1.00
Method ID, 3854
Points/Second, 5.00
Number of Records,  11337
Offset from Run Start Time,00:00:00
Run End Time,00:37:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.003693,0.000000,  5,0.029210,0.000000,  43.840,   23,     0.0
     0.2,0.003628,0.000000,  5,0.029210,0.000000,  43.861,    8,     0.0
     0.4,0.002373,0.000000,  5,0.029210,0.000000,  43.903,   -8,     0.0
     0.6,0.002373,0.000000,  5,0.029210,0.000000,  43.959,   -8,     0.0
     0.8,0.000000,0.000000,  5,0.000000,0.000000,  43.987,   -8,     0.0
     1.0,0.000000,0.000000,  5,0.000000,0.000000,  44.029,   31,     0.0
     1.2,0.000000,0.000000,  5,0.000000,0.000000,  44.040,   69,     0.0
     1.4,0.000000,0.000000,  5,0.000000,0.000000,  44.055,  120,     0.0
     1.6,0.000000,0.000000,  5,0.000000,0.000000,  44.093,  171,     0.0
     1.8,0.000000,0.000000,  5,0.000000,0.000000,  44.073,  179,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000000,  43.930,  186,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,  43.879,  189,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  43.856,  192,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  43.837,  192,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  43.832,  192,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  43.834,  191,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  43.837,  190,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  43.835,  191,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  43.835,  193,     0.1
     3.8,-0.000033,0.000000,  5,0.000000,-0.000823,  43.840,  192,     0.1
     4.0,-0.000031,-0.001260,  5,-0.005375,-0.000736,  43.842,  191,     0.1
     4.2,-0.000022,-0.001180,  5,-0.005465,-0.000661,  43.843,  140,     0.1
     4.4,0.000018,-0.001109,  5,-0.005576,-0.000635,  43.845,   89,     0.1
     4.6,0.000072,-0.001034,  5,-0.005676,-0.000584,  43.857,   40,     0.1
     4.8,0.000157,-0.000969,  5,-0.005777,-0.000522,  43.900,   -8,     0.1
     5.0,0.000219,-0.000903,  5,-0.005878,-0.000460,  43.967,   -8,     0.1
     5.2,0.000267,-0.000833,  5,-0.005989,-0.000421,  43.993,   -8,     0.1
