Run Name,Run 1
Run Date,02:45:16 PM   02-01-19
Method Name,Group18 Spring 19 LG5%-50%
Export Format Version, 1.00
Method ID, 3767
Points/Second, 5.00
Number of Records,  12929
Offset from Run Start Time,00:00:00
Run End Time,00:43:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.006811,0.000000,  5,0.000000,0.000000,   4.031,  181,     0.0
     0.2,0.006959,0.000000,  5,0.000000,0.000000,   4.029,  181,     0.0
     0.4,0.005845,0.000000,  5,0.000000,0.000000,   4.030,  180,     0.0
     0.6,0.005845,0.000000,  5,0.000000,0.000000,   4.028,  179,     0.0
     0.8,0.000000,0.000000,  5,0.000000,0.000000,   4.026,  177,     0.0
     1.0,0.000000,0.000000,  5,0.000000,0.000000,   4.027,  180,     0.0
     1.2,0.000000,0.000000,  5,0.000000,0.000000,   4.030,  182,     0.0
     1.4,0.000000,0.000000,  5,0.000000,0.000000,   4.026,  179,     0.0
     1.6,0.000000,0.000000,  5,0.000000,0.000000,   4.024,  176,     0.0
     1.8,0.000000,0.000000,  5,0.000000,0.000000,   4.028,  176,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000000,   4.022,  177,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,   4.023,  176,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   4.028,  176,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   4.028,  175,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   4.025,  175,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   4.025,  175,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   4.023,  175,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   4.023,  177,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   4.025,  179,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   4.019,  177,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   4.023,  176,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,   4.024,  175,     0.1
     4.4,0.000068,0.000048,  5,0.000000,0.000069,   4.024,  174,     0.1
     4.6,0.000135,0.000098,  5,-0.000127,0.000081,   4.026,  174,     0.1
     4.8,0.000186,0.000136,  5,-0.000108,0.000105,   4.027,  175,     0.1
     5.0,0.000228,0.000171,  5,-0.000099,0.000130,   4.026,  175,     0.1
     5.2,0.000240,0.000201,  5,-0.000089,0.000166,   4.025,  174,     0.1
     5.4,0.000250,0.000238,  5,-0.000107,0.000156,   4.029,  173,     0.1
     5.6,0.000266,0.000258,  5,-0.000144,0.000168,   4.030,  172,     0.1
     5.8,0.000276,0.000276,  5,-0.000207,0.000158,   4.029,  173,     0.1
     6.0,0.000287,0.000286,  5,-0.000225,0.000170,   4.028,  174,     0.1
     6.2,0.000297,0.000301,  5,-0.000225,0.000170,   4.030,  173,     0.1
     6.4,0.000309,0.000316,  5,-0.000243,0.000147,   4.029,  172,     0.1
     6.6,0.000330,0.000323,  5,-0.000262,0.000194,   4.028,  173,     0.1
     6.8,0.000333,0.000331,  5,-0.000271,0.000206,   4.026,  173,     0.1
     7.0,0.000336,0.000337,  5,-0.000272,0.000184,   4.032,  174,     0.1
     7.2,0.000344,0.000344,  5,-0.000416,0.000218,   4.032,  174,     0.1
     7.4,0.000338,0.000346,  5,-0.000623,0.000206,   4.030,  173,     0.1
     7.6,0.000341,0.000347,  5,-0.000892,0.000184,   4.033,  171,     0.1
     7.8,0.000341,0.000354,  5,-0.000919,0.000218,   4.029,  175,     0.1
     8.0,0.000344,0.000354,  5,-0.000857,0.000206,   4.030,  178,     0.1
     8.2,0.000347,0.000360,  5,-0.000704,0.000206,   4.029,  175,     0.1
     8.4,0.000347,0.000363,  5,-0.000651,0.000172,   4.028,  173,     0.1
     8.6,0.000347,0.000360,  5,-0.000588,0.000172,   4.025,  172,     0.1
     8.8,0.000354,0.000362,  5,-0.000525,0.000206,   4.028,  172,     0.1
     9.0,0.000349,0.000368,  5,-0.000651,0.000184,   4.029,  171,     0.2
     9.2,0.000352,0.000365,  5,-0.000875,0.000184,   4.025,  171,     0.2
     9.4,0.000356,0.000370,  5,-0.001180,0.000184,   4.030,  172,     0.2
     9.6,0.000354,0.000381,  5,-0.001583,0.000161,   4.032,  172,     0.2
     9.8,0.000362,0.000380,  5,-0.001521,0.000161,   4.029,  172,     0.2
    10.0,0.000365,0.000386,  5,-0.001315,0.000196,   4.031,  171,     0.2
    10.2,0.000364,0.000388,  5,-0.000974,0.000161,   4.032,  171,     0.2
    10.4,0.000370,0.000387,  5,-0.000813,0.000161,   4.032,  170,     0.2
    10.6,0.000363,0.000393,  5,-0.000696,0.000184,   4.033,  170,     0.2
    10.8,0.000363,0.000395,  5,-0.000597,0.000149,   4.032,  170,     0.2
    11.0,0.000355,0.000400,  5,-0.000507,0.000161,   4.033,  171,     0.2
    11.2,0.000354,0.000400,  5,-0.000453,0.000208,   4.033,  172,     0.2
    11.4,0.000357,0.000402,  5,-0.000399,0.000186,   4.033,  171,     0.2
    11.6,0.000363,0.000399,  5,-0.000336,0.000198,   4.036,  171,     0.2
    11.8,0.000362,0.000396,  5,-0.000273,0.000186,   4.034,  170,     0.2
    12.0,0.000366,0.000404,  5,-0.000192,0.000151,   4.036,  170,     0.2
    12.2,0.000371,0.000407,  5,-0.000155,0.000173,   4.038,  171,     0.2
    12.4,0.000366,0.000409,  5,-0.000146,0.000161,   4.034,  171,     0.2
    12.6,0.000374,0.000412,  5,-0.000146,0.000127,   4.038,  171,     0.2
    12.8,0.000377,0.000415,  5,-0.000145,0.000161,   4.037,  172,     0.2
    13.0,0.000376,0.000423,  5,-0.000182,0.000161,   4.036,  171,     0.2
    13.2,0.000384,0.000423,  5,-0.000226,0.000127,   4.039,  170,     0.2
    13.4,0.000387,0.000420,  5,-0.000226,0.000173,   4.038,  170,     0.2
    13.6,0.000390,0.000426,  5,-0.000208,0.000173,   4.041,  169,     0.2
    13.8,0.000386,0.000426,  5,-0.000181,0.000139,   4.037,  171,     0.2
    14.0,0.000383,0.000420,  5,-0.000164,0.000173,   4.040,  173,     0.2
    14.2,0.000390,0.000420,  5,-0.000137,0.000161,   4.037,  171,     0.2
    14.4,0.000386,0.000426,  5,-0.000110,0.000127,   4.039,  170,     0.2
    14.6,0.000397,0.000432,  5,-0.000100,0.000161,   4.038,  171,     0.2
    14.8,0.000403,0.000431,  5,-0.000119,0.000196,   4.038,  171,     0.2
    15.0,0.000406,0.000445,  5,-0.000146,0.000196,   4.037,  170,     0.3
    15.2,0.000409,0.000453,  5,-0.000136,0.000208,   4.041,  168,     0.3
    15.4,0.000417,0.000452,  5,-0.000127,0.000208,   4.041,  170,     0.3
    15.6,0.000424,0.000460,  5,-0.000146,0.000208,   4.039,  171,     0.3
    15.8,0.000419,0.000465,  5,-0.000281,0.000220,   4.041,  171,     0.3
    16.0,0.000430,0.000462,  5,-0.000460,0.000220,   4.041,  171,     0.3
    16.2,0.000436,0.000470,  5,-0.000748,0.000208,   4.040,  170,     0.3
    16.4,0.000435,0.000479,  5,-0.001071,0.000173,   4.041,  170,     0.3
    16.6,0.000446,0.000478,  5,-0.001035,0.000186,   4.035,  170,     0.3
    16.8,0.000445,0.000486,  5,-0.000891,0.000208,   4.040,  170,     0.3
    17.0,0.000445,0.000489,  5,-0.000649,0.000173,   4.043,  171,     0.3
    17.2,0.000445,0.000486,  5,-0.000568,0.000186,   4.040,  172,     0.3
    17.4,0.000440,0.000495,  5,-0.000514,0.000208,   4.040,  172,     0.3
    17.6,0.000448,0.000498,  5,-0.000478,0.000173,   4.039,  172,     0.3
    17.8,0.000445,0.000504,  5,-0.000433,0.000198,   4.039,  171,     0.3
    18.0,0.000437,0.000501,  5,-0.000388,0.000232,   4.036,  171,     0.3
    18.2,0.000448,0.000503,  5,-0.000343,0.000198,   4.040,  171,     0.3
    18.4,0.000451,0.000508,  5,-0.000298,0.000210,   4.032,  171,     0.3
    18.6,0.000447,0.000510,  5,-0.000253,0.000232,   4.037,  170,     0.3
    18.8,0.000458,0.000516,  5,-0.000208,0.000210,   4.036,  169,     0.3
    19.0,0.000464,0.000526,  5,-0.000172,0.000222,   4.037,  170,     0.3
    19.2,0.000467,0.000523,  5,-0.000145,0.000256,   4.041,  170,     0.3
    19.4,0.000467,0.000525,  5,-0.000118,0.000234,   4.037,  170,     0.3
    19.6,0.000478,0.000531,  5,-0.000091,0.000222,   4.037,  170,     0.3
    19.8,0.000484,0.000531,  5,-0.000055,0.000244,   4.037,  171,     0.3
    20.0,0.000480,0.000534,  5,-0.000028,0.000222,   4.037,  171,     0.3
    20.2,0.000494,0.000545,  5,-0.000082,0.000210,   4.039,  171,     0.3
    20.4,0.000501,0.000545,  5,-0.000154,0.000244,   4.037,  170,     0.3
    20.6,0.000496,0.000542,  5,-0.000253,0.000222,   4.039,  171,     0.3
    20.8,0.000507,0.000545,  5,-0.000244,0.000210,   4.030,  171,     0.3
    21.0,0.000504,0.000542,  5,-0.000208,0.000244,   4.035,  171,     0.3
    21.2,0.000496,0.000547,  5,-0.000136,0.000222,   4.035,  170,     0.4
    21.4,0.000504,0.000550,  5,-0.000145,0.000210,   4.032,  172,     0.4
    21.6,0.000504,0.000550,  5,-0.000163,0.000244,   4.030,  175,     0.4
    21.8,0.000507,0.000553,  5,-0.000226,0.000232,   4.034,  172,     0.4
    22.0,0.000499,0.000551,  5,-0.000235,0.000267,   4.032,  170,     0.4
    22.2,0.000504,0.000556,  5,-0.000244,0.000208,   4.037,  169,     0.4
    22.4,0.000502,0.000556,  5,-0.000217,0.000230,   4.033,  169,     0.4
    22.6,0.000502,0.000561,  5,-0.000217,0.000196,   4.035,  170,     0.4
    22.8,0.000502,0.000561,  5,-0.000217,0.000230,   4.032,  170,     0.4
    23.0,0.000498,0.000555,  5,-0.000235,0.000255,   4.036,  170,     0.4
    23.2,0.000506,0.000556,  5,-0.000235,0.000232,   4.034,  170,     0.4
    23.4,0.000502,0.000556,  5,-0.000235,0.000279,   4.034,  170,     0.4
    23.6,0.000495,0.000550,  5,-0.000244,0.000291,   4.034,  170,     0.4
    23.8,0.000506,0.000556,  5,-0.000253,0.000269,   4.036,  171,     0.4
    24.0,0.000509,0.000555,  5,-0.000226,0.000303,   4.033,  171,     0.4
    24.2,0.000501,0.000554,  5,-0.000190,0.000291,   4.032,  171,     0.4
    24.4,0.000509,0.000557,  5,-0.000154,0.000256,   4.030,  170,     0.4
    24.6,0.000509,0.000556,  5,-0.000128,0.000291,   4.036,  171,     0.4
    24.8,0.000504,0.000562,  5,-0.000118,0.000267,   4.035,  171,     0.4
    25.0,0.000515,0.000561,  5,-0.000118,0.000244,   4.038,  171,     0.4
    25.2,0.000518,0.000565,  5,-0.000091,0.000269,   4.037,  171,     0.4
    25.4,0.000514,0.000570,  5,-0.000082,0.000258,   4.037,  170,     0.4
    25.6,0.000525,0.000567,  5,-0.000064,0.000224,   4.038,  168,     0.4
    25.8,0.000528,0.000572,  5,-0.000155,0.000258,   4.034,  170,     0.4
