Run Name,Run 1
Run Date,03:47:53 PM   02-01-19
Method Name,Group18 Spring 19 multigradient
Export Format Version, 1.00
Method ID, 3769
Points/Second, 5.00
Number of Records,  15652
Offset from Run Start Time,00:00:00
Run End Time,00:52:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001495,0.001491,  5,0.016310,0.000770,  47.813,  186,     0.0
     0.2,0.001491,0.001485,  5,0.016310,0.000735,  47.798,  186,     0.0
     0.4,0.001491,0.001483,  5,0.016310,0.000735,  47.794,  185,     0.0
     0.6,0.001488,0.001486,  5,0.016291,0.000770,  47.789,  184,     0.0
     0.8,0.001488,0.001483,  5,0.016272,0.000735,  47.772,  182,     0.0
     1.0,0.001488,0.001483,  5,0.016310,0.000723,  47.757,  185,     0.0
     1.2,0.001473,0.000000,  5,0.016358,0.000745,  47.747,  187,     0.0
     1.4,0.000641,0.000000,  5,0.016424,0.000723,  47.746,  186,     0.0
     1.6,-0.001451,0.000000,  5,0.016434,0.000711,  47.729,  184,     0.0
     1.8,-0.001666,0.000000,  5,0.016434,0.000745,  47.730,  183,     0.0
     2.0,0.000000,0.000000,  5,0.016424,0.000723,  47.733,  182,     0.0
     2.2,0.000000,0.000000,  5,0.016434,0.000723,  47.733,  181,     0.0
     2.4,0.000000,0.000000,  5,0.016434,0.000758,  47.734,  179,     0.0
     2.6,0.000000,0.000000,  5,0.016217,0.000735,  47.727,  180,     0.0
     2.8,0.000000,0.000000,  5,0.016217,0.000770,  47.723,  181,     0.0
     3.0,0.000000,0.000000,  5,0.016217,0.000792,  47.716,  181,     0.1
     3.2,0.000000,0.000000,  5,0.016217,0.000792,  47.717,  181,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  47.716,  181,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  47.719,  181,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  47.705,  180,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,  47.711,  180,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,  47.708,  179,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,  47.701,  178,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,  47.694,  179,     0.1
     4.8,0.000000,0.000000,  5,0.000000,0.000000,  47.692,  179,     0.1
     5.0,0.000000,0.000000,  5,0.000000,0.000000,  47.696,  180,     0.1
     5.2,0.000000,0.000000,  5,0.000000,0.000000,  47.692,  180,     0.1
     5.4,0.000000,0.000000,  5,0.000000,0.000000,  47.689,  179,     0.1
     5.6,0.000000,0.000000,  5,0.000000,0.000000,  47.693,  179,     0.1
     5.8,0.000000,0.000249,  5,0.000000,0.000000,  47.689,  180,     0.1
     6.0,0.000353,0.000266,  5,0.000000,0.000000,  47.690,  180,     0.1
     6.2,0.000338,0.000270,  5,0.000000,0.000000,  47.663,  179,     0.1
     6.4,0.000335,0.000289,  5,0.000000,0.000000,  47.669,  177,     0.1
     6.6,0.000337,0.000293,  5,0.000000,0.000000,  47.667,  178,     0.1
     6.8,0.000326,0.000299,  5,0.000000,0.000000,  47.672,  180,     0.1
     7.0,0.000322,0.000293,  5,0.000000,0.000000,  47.676,  180,     0.1
     7.2,0.000330,0.000298,  5,0.000286,0.000000,  47.675,  180,     0.1
     7.4,0.000322,0.000309,  5,0.000351,0.000000,  47.671,  179,     0.1
     7.6,0.000327,0.000320,  5,0.000397,0.000000,  47.667,  178,     0.1
     7.8,0.000331,0.000323,  5,0.000397,0.000000,  47.667,  180,     0.1
     8.0,0.000321,0.000325,  5,0.000379,0.000062,  47.680,  183,     0.1
     8.2,0.000328,0.000322,  5,0.000332,0.000123,  47.676,  180,     0.1
     8.4,0.000325,0.000322,  5,0.000277,0.000182,  47.672,  177,     0.1
     8.6,0.000314,0.000327,  5,0.000240,0.000159,  47.669,  178,     0.1
     8.8,0.000319,0.000327,  5,0.000176,0.000147,  47.678,  178,     0.1
     9.0,0.000312,0.000324,  5,0.000130,0.000133,  47.679,  178,     0.2
     9.2,0.000312,0.000326,  5,0.000010,0.000099,  47.675,  177,     0.2
     9.4,0.000328,0.000329,  5,-0.000156,0.000099,  47.674,  177,     0.2
     9.6,0.000340,0.000326,  5,-0.000358,0.000123,  47.676,  177,     0.2
     9.8,0.000343,0.000324,  5,-0.000423,0.000135,  47.671,  177,     0.2
    10.0,0.000339,0.000324,  5,-0.000414,0.000135,  47.679,  178,     0.2
    10.2,0.000342,0.000321,  5,-0.000368,0.000135,  47.678,  179,     0.2
    10.4,0.000345,0.000319,  5,-0.000368,0.000147,  47.679,  180,     0.2
    10.6,0.000337,0.000319,  5,-0.000350,0.000147,  47.665,  179,     0.2
    10.8,0.000345,0.000327,  5,-0.000341,0.000135,  47.669,  177,     0.2
    11.0,0.000348,0.000321,  5,-0.000359,0.000135,  47.678,  176,     0.2
    11.2,0.000351,0.000327,  5,-0.000387,0.000147,  47.683,  174,     0.2
    11.4,0.000350,0.000333,  5,-0.000415,0.000159,  47.687,  176,     0.2
    11.6,0.000361,0.000332,  5,-0.000424,0.000159,  47.688,  177,     0.2
    11.8,0.000361,0.000340,  5,-0.000433,0.000159,  47.685,  177,     0.2
    12.0,0.000353,0.000348,  5,-0.000415,0.000159,  47.691,  177,     0.2
    12.2,0.000353,0.000350,  5,-0.000415,0.000159,  47.690,  177,     0.2
    12.4,0.000349,0.000355,  5,-0.000415,0.000159,  47.692,  177,     0.2
    12.6,0.000355,0.000355,  5,-0.000405,0.000147,  47.694,  177,     0.2
    12.8,0.000362,0.000357,  5,-0.000414,0.000147,  47.691,  177,     0.2
    13.0,0.000363,0.000364,  5,-0.000451,0.000147,  47.695,  176,     0.2
    13.2,0.000370,0.000370,  5,-0.000479,0.000135,  47.693,  175,     0.2
    13.4,0.000384,0.000374,  5,-0.000469,0.000135,  47.707,  176,     0.2
    13.6,0.000389,0.000379,  5,-0.000469,0.000147,  47.702,  177,     0.2
    13.8,0.000396,0.000395,  5,-0.000442,0.000147,  47.705,  177,     0.2
    14.0,0.000410,0.000405,  5,-0.000405,0.000147,  47.713,  177,     0.2
    14.2,0.000412,0.000407,  5,-0.000349,0.000159,  47.713,  176,     0.2
    14.4,0.000410,0.000415,  5,-0.000294,0.000147,  47.717,  175,     0.2
    14.6,0.000414,0.000423,  5,-0.000285,0.000147,  47.721,  179,     0.2
    14.8,0.000405,0.000422,  5,-0.000266,0.000159,  47.725,  183,     0.2
    15.0,0.000411,0.000424,  5,-0.000275,0.000159,  47.729,  180,     0.3
    15.2,0.000414,0.000430,  5,-0.000248,0.000172,  47.724,  176,     0.3
    15.4,0.000413,0.000429,  5,-0.000183,0.000137,  47.730,  176,     0.3
    15.6,0.000416,0.000435,  5,-0.000137,0.000172,  47.732,  175,     0.3
    15.8,0.000430,0.000443,  5,-0.000045,0.000172,  47.738,  175,     0.3
    16.0,0.000437,0.000442,  5,-0.000027,0.000149,  47.751,  174,     0.3
    16.2,0.000437,0.000455,  5,-0.000036,0.000161,  47.757,  175,     0.3
    16.4,0.000437,0.000461,  5,-0.000063,0.000196,  47.752,  176,     0.3
    16.6,0.000443,0.000466,  5,-0.000036,0.000173,  47.746,  175,     0.3
