Run Name,Run 1
Run Date,03:35:22 PM   02-22-19
Method Name,Group 19 Spring 19 MULTIGRADIENT1
Export Format Version, 1.00
Method ID, 3793
Points/Second, 5.00
Number of Records,  14124
Offset from Run Start Time,00:00:00
Run End Time,00:47:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001737,0.000000,  5,0.015856,0.000688,  44.429,  189,     0.0
     0.2,0.001905,0.000000,  5,0.015856,0.000711,  44.430,  187,     0.0
     0.4,0.000650,0.000000,  5,0.015856,0.000709,  44.426,  186,     0.0
     0.6,-0.001676,0.000000,  5,0.015856,0.000742,  44.426,  185,     0.0
     0.8,0.000000,0.000000,  5,0.000000,-0.003401,  44.426,  184,     0.0
     1.0,0.000000,0.000000,  5,0.000000,0.000000,  44.422,  185,     0.0
     1.2,0.000000,0.000000,  5,0.000000,0.000000,  44.424,  187,     0.0
     1.4,0.000000,0.000000,  5,0.000000,0.000000,  44.421,  185,     0.0
     1.6,0.000000,0.000000,  5,0.000000,0.000000,  44.418,  184,     0.0
     1.8,0.000000,0.000000,  5,0.000000,0.000000,  44.422,  186,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000000,  44.419,  188,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,  44.418,  185,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  44.414,  183,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  44.415,  184,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  44.416,  184,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  44.408,  184,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  44.406,  184,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  44.405,  184,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  44.404,  183,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  44.399,  182,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,  44.392,  181,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,  44.400,  183,     0.1
     4.4,0.000087,0.000000,  5,0.000000,0.000000,  44.390,  185,     0.1
     4.6,0.000158,0.000166,  5,-0.000076,0.000000,  44.389,  184,     0.1
     4.8,0.000205,0.000198,  5,-0.000349,0.000000,  44.387,  183,     0.1
     5.0,0.000239,0.000225,  5,-0.000547,0.000000,  44.385,  184,     0.1
     5.2,0.000265,0.000256,  5,-0.000650,0.000000,  44.394,  185,     0.1
     5.4,0.000279,0.000276,  5,-0.000669,0.000051,  44.386,  184,     0.1
     5.6,0.000295,0.000297,  5,-0.000594,0.000075,  44.387,  183,     0.1
     5.8,0.000308,0.000313,  5,-0.000434,0.000065,  44.388,  182,     0.1
     6.0,0.000317,0.000326,  5,-0.000368,0.000112,  44.385,  180,     0.1
     6.2,0.000330,0.000340,  5,-0.000321,0.000101,  44.388,  181,     0.1
     6.4,0.000343,0.000345,  5,-0.000264,0.000160,  44.388,  182,     0.1
     6.6,0.000353,0.000348,  5,-0.000236,0.000173,  44.388,  182,     0.1
     6.8,0.000367,0.000350,  5,-0.000245,0.000162,  44.383,  181,     0.1
     7.0,0.000370,0.000364,  5,-0.000264,0.000209,  44.386,  182,     0.1
     7.2,0.000361,0.000372,  5,-0.000255,0.000209,  44.388,  182,     0.1
     7.4,0.000365,0.000366,  5,-0.000255,0.000187,  44.389,  181,     0.1
     7.6,0.000365,0.000364,  5,-0.000274,0.000221,  44.389,  181,     0.1
     7.8,0.000359,0.000357,  5,-0.000311,0.000234,  44.388,  181,     0.1
     8.0,0.000354,0.000351,  5,-0.000368,0.000211,  44.389,  181,     0.1
     8.2,0.000357,0.000356,  5,-0.000472,0.000199,  44.394,  180,     0.1
     8.4,0.000368,0.000365,  5,-0.000491,0.000199,  44.394,  180,     0.1
     8.6,0.000364,0.000361,  5,-0.000481,0.000188,  44.394,  183,     0.1
     8.8,0.000370,0.000367,  5,-0.000453,0.000188,  44.393,  187,     0.1
     9.0,0.000375,0.000378,  5,-0.000462,0.000201,  44.390,  184,     0.2
     9.2,0.000378,0.000377,  5,-0.000481,0.000166,  44.391,  182,     0.2
     9.4,0.000377,0.000379,  5,-0.000500,0.000201,  44.394,  180,     0.2
     9.6,0.000380,0.000381,  5,-0.000453,0.000211,  44.394,  178,     0.2
     9.8,0.000386,0.000385,  5,-0.000396,0.000176,  44.393,  179,     0.2
    10.0,0.000388,0.000385,  5,-0.000311,0.000164,  44.389,  180,     0.2
    10.2,0.000391,0.000390,  5,-0.000302,0.000199,  44.399,  180,     0.2
    10.4,0.000398,0.000394,  5,-0.000302,0.000176,  44.396,  180,     0.2
    10.6,0.000397,0.000391,  5,-0.000330,0.000176,  44.395,  180,     0.2
    10.8,0.000392,0.000408,  5,-0.000283,0.000223,  44.396,  180,     0.2
    11.0,0.000406,0.000413,  5,-0.000208,0.000188,  44.399,  181,     0.2
    11.2,0.000413,0.000411,  5,-0.000104,0.000188,  44.398,  182,     0.2
    11.4,0.000408,0.000414,  5,-0.000066,0.000223,  44.382,  181,     0.2
    11.6,0.000416,0.000422,  5,-0.000066,0.000201,  44.382,  180,     0.2
    11.8,0.000419,0.000430,  5,-0.000075,0.000201,  44.383,  181,     0.2
    12.0,0.000411,0.000440,  5,-0.000038,0.000235,  44.386,  181,     0.2
    12.2,0.000419,0.000449,  5,-0.000009,0.000235,  44.384,  181,     0.2
    12.4,0.000429,0.000452,  5,0.000047,0.000248,  44.388,  181,     0.2
    12.6,0.000424,0.000456,  5,0.000104,0.000213,  44.386,  180,     0.2
    12.8,0.000442,0.000461,  5,0.000123,0.000260,  44.387,  178,     0.2
    13.0,0.000448,0.000466,  5,0.000142,0.000237,  44.387,  181,     0.2
    13.2,0.000448,0.000464,  5,0.000151,0.000237,  44.396,  184,     0.2
    13.4,0.000456,0.000470,  5,0.000142,0.000272,  44.396,  184,     0.2
    13.6,0.000462,0.000472,  5,0.000123,0.000237,  44.389,  184,     0.2
    13.8,0.000466,0.000478,  5,0.000104,0.000250,  44.393,  182,     0.2
    14.0,0.000469,0.000478,  5,0.000133,0.000272,  44.395,  181,     0.2
    14.2,0.000475,0.000480,  5,0.000208,0.000237,  44.396,  179,     0.2
    14.4,0.000478,0.000491,  5,0.000312,0.000250,  44.396,  176,     0.2
    14.6,0.000478,0.000500,  5,0.000378,0.000272,  44.404,  179,     0.2
    14.8,0.000489,0.000497,  5,0.000445,0.000237,  44.400,  181,     0.2
    15.0,0.000493,0.000502,  5,0.000501,0.000250,  44.396,  180,     0.3
    15.2,0.000504,0.000506,  5,0.000567,0.000272,  44.402,  180,     0.3
    15.4,0.000510,0.000508,  5,0.000624,0.000237,  44.402,  182,     0.3
    15.6,0.000516,0.000507,  5,0.000681,0.000250,  44.403,  185,     0.3
    15.8,0.000512,0.000515,  5,0.000709,0.000272,  44.400,  183,     0.3
    16.0,0.000511,0.000517,  5,0.000709,0.000250,  44.399,  181,     0.3
    16.2,0.000514,0.000525,  5,0.000700,0.000250,  44.407,  180,     0.3
    16.4,0.000514,0.000530,  5,0.000690,0.000284,  44.406,  180,     0.3
    16.6,0.000513,0.000529,  5,0.000681,0.000262,  44.407,  180,     0.3
    16.8,0.000511,0.000531,  5,0.000681,0.000250,  44.407,  180,     0.3
