Run Name,Run 1
Run Date,02:53:49 PM   02-19-19
Method Name,Group 2 SPRING 19 LG 5-50%
Export Format Version, 1.00
Method ID, 3779
Points/Second, 5.00
Number of Records,  13979
Offset from Run Start Time,00:00:00
Run End Time,00:46:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.031911,-0.047827,  5,0.294119,0.008537,   3.978,  -12,     0.0
     0.2,-0.031914,-0.047833,  5,0.294091,0.008515,   3.977,    5,     0.0
     0.4,-0.031914,-0.047834,  5,0.294082,0.008515,   3.979,   23,     0.0
     0.6,-0.031910,-0.047831,  5,0.294054,0.008549,   3.972,   93,     0.0
     0.8,-0.031910,-0.047837,  5,0.293907,0.008515,   3.978,  163,     0.0
     1.0,-0.031913,-0.047837,  5,0.293704,0.008515,   3.978,  163,     0.0
     1.2,-0.033130,-0.047828,  5,0.293456,0.008515,   3.969,  163,     0.0
     1.4,-0.033031,-0.047828,  5,0.293484,0.008515,   3.961,  162,     0.0
     1.6,-0.033271,-0.047831,  5,0.293603,0.008515,   3.958,  161,     0.0
     1.8,-0.034348,-0.047825,  5,0.293833,0.008515,   3.954,  160,     0.0
     2.0,0.000000,-0.047829,  5,0.293907,0.008515,   3.956,  160,     0.0
     2.2,0.000000,-0.047834,  5,0.293944,0.008503,   3.954,  160,     0.0
     2.4,0.000000,-0.047834,  5,0.000000,0.008525,   3.952,  160,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.008515,   3.949,  158,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.008515,   3.946,  155,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.008561,   3.951,  156,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.008515,   3.950,  157,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.008537,   3.950,  157,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   3.947,  157,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   3.948,  156,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   3.947,  156,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,   3.947,  156,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,   3.947,  155,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,   3.944,  155,     0.1
     4.8,0.000000,0.000000,  5,0.000000,0.000000,   3.948,  155,     0.1
     5.0,0.000000,0.000000,  5,0.000000,0.000000,   3.946,  155,     0.1
     5.2,0.000000,0.000000,  5,0.000000,0.000000,   3.947,  155,     0.1
     5.4,0.000000,0.000000,  5,0.000000,0.000000,   3.945,  157,     0.1
     5.6,0.000000,0.000000,  5,0.000000,0.000000,   3.944,  159,     0.1
     5.8,0.000000,0.000000,  5,0.000000,0.000000,   3.943,  157,     0.1
     6.0,0.000139,0.000000,  5,0.000000,0.000000,   3.943,  154,     0.1
     6.2,0.000181,0.000000,  5,0.000000,0.000000,   3.948,  153,     0.1
     6.4,0.000205,0.000000,  5,0.000000,0.000000,   3.947,  152,     0.1
     6.6,0.000239,0.000000,  5,0.000000,0.000000,   3.944,  153,     0.1
     6.8,0.000250,0.000000,  5,0.000000,0.000000,   3.941,  154,     0.1
     7.0,0.000263,0.000000,  5,-0.000889,0.000000,   3.942,  153,     0.1
     7.2,0.000266,0.000079,  5,-0.000646,0.000000,   3.942,  153,     0.1
     7.4,0.000268,0.000139,  5,-0.000448,0.000000,   3.946,  153,     0.1
     7.6,0.000278,0.000188,  5,-0.000304,0.000000,   3.946,  153,     0.1
     7.8,0.000295,0.000222,  5,-0.000205,0.000000,   3.947,  153,     0.1
     8.0,0.000290,0.000251,  5,-0.000160,0.000000,   3.947,  154,     0.1
     8.2,0.000290,0.000267,  5,-0.000151,0.000026,   3.945,  153,     0.1
     8.4,0.000292,0.000281,  5,-0.000196,0.000075,   3.945,  153,     0.1
     8.6,0.000281,0.000279,  5,-0.000304,0.000099,   3.946,  153,     0.1
     8.8,0.000278,0.000292,  5,-0.000458,0.000089,   3.945,  153,     0.1
     9.0,0.000279,0.000308,  5,-0.000485,0.000135,   3.947,  153,     0.2
     9.2,0.000271,0.000319,  5,-0.000476,0.000148,   3.946,  153,     0.2
     9.4,0.000268,0.000324,  5,-0.000422,0.000125,   3.946,  151,     0.2
     9.6,0.000276,0.000324,  5,-0.000441,0.000148,   3.946,  150,     0.2
     9.8,0.000268,0.000319,  5,-0.000441,0.000148,   3.946,  152,     0.2
    10.0,0.000268,0.000316,  5,-0.000441,0.000125,   3.944,  154,     0.2
    10.2,0.000269,0.000314,  5,-0.000531,0.000160,   3.943,  154,     0.2
    10.4,0.000266,0.000308,  5,-0.000684,0.000160,   3.947,  154,     0.2
    10.6,0.000266,0.000312,  5,-0.000882,0.000137,   3.945,  152,     0.2
    10.8,0.000266,0.000306,  5,-0.000883,0.000160,   3.945,  150,     0.2
    11.0,0.000263,0.000301,  5,-0.000802,0.000148,   3.943,  150,     0.2
    11.2,0.000263,0.000307,  5,-0.000659,0.000125,   3.950,  149,     0.2
    11.4,0.000263,0.000305,  5,-0.000632,0.000148,   3.947,  150,     0.2
    11.6,0.000255,0.000296,  5,-0.000624,0.000148,   3.945,  152,     0.2
    11.8,0.000247,0.000290,  5,-0.000651,0.000125,   3.948,  151,     0.2
    12.0,0.000266,0.000287,  5,-0.000615,0.000148,   3.944,  150,     0.2
    12.2,0.000271,0.000290,  5,-0.000571,0.000135,   3.946,  152,     0.2
    12.4,0.000266,0.000284,  5,-0.000499,0.000113,   3.947,  153,     0.2
    12.6,0.000269,0.000275,  5,-0.000499,0.000135,   3.947,  151,     0.2
    12.8,0.000272,0.000280,  5,-0.000526,0.000123,   3.950,  150,     0.2
    13.0,0.000268,0.000283,  5,-0.000571,0.000089,   3.949,  150,     0.2
    13.2,0.000271,0.000283,  5,-0.000571,0.000123,   3.948,  150,     0.2
    13.4,0.000278,0.000289,  5,-0.000544,0.000111,   3.946,  150,     0.2
    13.6,0.000273,0.000289,  5,-0.000526,0.000077,   3.947,  150,     0.2
    13.8,0.000273,0.000286,  5,-0.000499,0.000089,   3.949,  150,     0.2
    14.0,0.000273,0.000284,  5,-0.000481,0.000077,   3.949,  149,     0.2
    14.2,0.000269,0.000284,  5,-0.000454,0.000042,   3.948,  150,     0.2
    14.4,0.000272,0.000286,  5,-0.000454,0.000042,   3.950,  150,     0.2
    14.6,0.000276,0.000286,  5,-0.000472,0.000052,   3.949,  151,     0.2
    14.8,0.000269,0.000289,  5,-0.000490,0.000018,   3.950,  152,     0.2
    15.0,0.000269,0.000294,  5,-0.000490,0.000030,   3.953,  151,     0.3
    15.2,0.000273,0.000297,  5,-0.000472,0.000064,   3.949,  150,     0.3
    15.4,0.000265,0.000299,  5,-0.000445,0.000064,   3.951,  151,     0.3
    15.6,0.000265,0.000299,  5,-0.000418,0.000077,   3.948,  151,     0.3
    15.8,0.000273,0.000297,  5,-0.000436,0.000077,   3.954,  152,     0.3
