Run Name,Run 1
Run Date,02:56:59 PM   03-15-19
Method Name,Group 20 Spring 19 LG 3%-28%
Export Format Version, 1.00
Method ID, 3812
Points/Second, 5.00
Number of Records,   9382
Offset from Run Start Time,00:00:00
Run End Time,00:31:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.025721,-0.352422,  3,0.008549,-0.454701,   4.174,  187,     0.0
     0.2,-0.025490,-0.352419,  3,0.008500,-0.454689,   4.175,  186,     0.0
     0.4,-0.026357,-0.352419,  3,0.008470,-0.454701,   4.176,  185,     0.0
     0.6,-0.028252,-0.352419,  3,0.008430,-0.454701,   4.178,  183,     0.0
     0.8,0.000000,-0.352419,  3,0.008411,-0.454701,   4.174,  182,     0.0
     1.0,0.000000,-0.352425,  3,0.008421,-0.454701,   4.174,  186,     0.0
     1.2,0.000000,0.000000,  3,0.008460,-0.454713,   4.177,  189,     0.0
     1.4,0.000000,0.000000,  3,0.008469,-0.454690,   4.171,  187,     0.0
     1.6,0.000000,0.000000,  3,0.008450,-0.454692,   4.177,  185,     0.0
     1.8,0.000000,0.000000,  3,0.008411,-0.454671,   4.176,  183,     0.0
     2.0,0.000000,0.000000,  3,0.008480,-0.456564,   4.170,  181,     0.0
     2.2,0.000000,0.000000,  3,0.008588,0.000000,   4.175,  179,     0.0
     2.4,0.000000,0.000000,  3,0.008332,0.000000,   4.173,  178,     0.0
     2.6,0.000000,0.000000,  3,0.008332,0.000000,   4.175,  181,     0.0
     2.8,0.000000,0.000000,  3,0.008332,0.000000,   4.175,  183,     0.0
     3.0,0.000000,0.000000,  3,0.008332,0.000000,   4.174,  181,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,   4.174,  180,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,   4.173,  182,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,   4.176,  185,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,   4.174,  185,     0.1
     4.0,0.000000,0.000000,  3,0.000000,0.000000,   4.176,  185,     0.1
     4.2,0.000083,0.000000,  3,0.000000,0.000000,   4.179,  186,     0.1
     4.4,0.000118,0.000000,  3,0.000000,0.000000,   4.172,  186,     0.1
     4.6,0.000155,0.000000,  3,0.000000,0.000000,   4.175,  186,     0.1
     4.8,0.000177,0.000000,  3,0.000000,0.000000,   4.178,  186,     0.1
     5.0,0.000197,0.000000,  3,0.000000,0.000000,   4.176,  184,     0.1
     5.2,0.000205,0.000000,  3,0.000000,0.000000,   4.175,  182,     0.1
     5.4,0.000219,0.000000,  3,0.000000,0.000000,   4.172,  184,     0.1
     5.6,0.000239,0.000029,  3,0.000000,0.000000,   4.176,  186,     0.1
     5.8,0.000244,0.000049,  3,0.000000,0.000000,   4.182,  187,     0.1
     6.0,0.000268,0.000073,  3,0.000000,0.000000,   4.175,  188,     0.1
     6.2,0.000284,0.000085,  3,0.000000,0.000000,   4.180,  185,     0.1
     6.4,0.000290,0.000103,  3,0.000000,0.000000,   4.179,  183,     0.1
     6.6,0.000310,0.000121,  3,0.000000,0.000035,   4.175,  181,     0.1
     6.8,0.000323,0.000136,  3,0.000000,0.000037,   4.173,  179,     0.1
     7.0,0.000329,0.000152,  3,0.000019,0.000026,   4.176,  180,     0.1
     7.2,0.000349,0.000182,  3,-0.000000,0.000073,   4.177,  182,     0.1
     7.4,0.000356,0.000203,  3,-0.000019,0.000063,   4.179,  181,     0.1
     7.6,0.000358,0.000212,  3,-0.000048,0.000075,   4.177,  181,     0.1
     7.8,0.000366,0.000228,  3,-0.000096,0.000088,   4.178,  184,     0.1
     8.0,0.000366,0.000244,  3,-0.000134,0.000065,   4.172,  188,     0.1
     8.2,0.000372,0.000251,  3,-0.000182,0.000100,   4.180,  186,     0.1
     8.4,0.000379,0.000265,  3,-0.000249,0.000112,   4.180,  185,     0.1
     8.6,0.000382,0.000278,  3,-0.000325,0.000077,   4.179,  185,     0.1
     8.8,0.000392,0.000280,  3,-0.000421,0.000112,   4.180,  185,     0.1
     9.0,0.000390,0.000291,  3,-0.000478,0.000112,   4.178,  184,     0.2
     9.2,0.000394,0.000299,  3,-0.000497,0.000089,   4.182,  184,     0.2
     9.4,0.000400,0.000297,  3,-0.000526,0.000124,   4.177,  183,     0.2
     9.6,0.000399,0.000299,  3,-0.000555,0.000124,   4.184,  182,     0.2
     9.8,0.000402,0.000307,  3,-0.000564,0.000102,   4.185,  183,     0.2
    10.0,0.000401,0.000309,  3,-0.000574,0.000149,   4.185,  184,     0.2
    10.2,0.000407,0.000315,  3,-0.000603,0.000137,   4.187,  186,     0.2
    10.4,0.000410,0.000312,  3,-0.000631,0.000102,   4.187,  188,     0.2
    10.6,0.000406,0.000320,  3,-0.000669,0.000126,   4.182,  185,     0.2
    10.8,0.000420,0.000329,  3,-0.000669,0.000126,   4.186,  181,     0.2
    11.0,0.000417,0.000328,  3,-0.000650,0.000091,   4.190,  179,     0.2
    11.2,0.000412,0.000340,  3,-0.000612,0.000103,   4.190,  177,     0.2
    11.4,0.000423,0.000342,  3,-0.000679,0.000126,   4.189,  179,     0.2
    11.6,0.000427,0.000345,  3,-0.000784,0.000126,   4.191,  181,     0.2
    11.8,0.000430,0.000353,  3,-0.000946,0.000126,   4.193,  180,     0.2
    12.0,0.000430,0.000360,  3,-0.000937,0.000126,   4.191,  180,     0.2
    12.2,0.000441,0.000363,  3,-0.000870,0.000126,   4.194,  183,     0.2
    12.4,0.000444,0.000368,  3,-0.000727,0.000126,   4.194,  187,     0.2
    12.6,0.000436,0.000379,  3,-0.000708,0.000138,   4.198,  186,     0.2
    12.8,0.000444,0.000382,  3,-0.000717,0.000138,   4.196,  185,     0.2
    13.0,0.000443,0.000385,  3,-0.000727,0.000116,   4.196,  185,     0.2
    13.2,0.000449,0.000385,  3,-0.000775,0.000116,   4.197,  185,     0.2
    13.4,0.000453,0.000387,  3,-0.000755,0.000151,   4.197,  184,     0.2
    13.6,0.000448,0.000392,  3,-0.000717,0.000128,   4.197,  183,     0.2
    13.8,0.000459,0.000387,  3,-0.000669,0.000128,   4.199,  183,     0.2
    14.0,0.000459,0.000398,  3,-0.000631,0.000151,   4.195,  183,     0.2
    14.2,0.000458,0.000394,  3,-0.000612,0.000128,   4.192,  183,     0.2
    14.4,0.000469,0.000394,  3,-0.000583,0.000128,   4.197,  184,     0.2
    14.6,0.000472,0.000399,  3,-0.000555,0.000163,   4.197,  187,     0.2
