Run Name,Run 1
Run Date,03:47:38 PM   03-15-19
Method Name,Group 20 Spring 19 LG 3%-42%.2
Export Format Version, 1.00
Method ID, 3816
Points/Second, 5.00
Number of Records,  10290
Offset from Run Start Time,00:00:00
Run End Time,00:34:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.001281,0.000000,  3,0.000000,0.000000,  56.383,  202,     0.0
     0.2,-0.001163,0.000000,  3,0.000000,0.000000,  56.377,  202,     0.0
     0.4,-0.002142,0.000000,  3,0.000000,0.000000,  56.370,  202,     0.0
     0.6,-0.003142,0.000000,  3,0.000000,0.000000,  56.341,  202,     0.0
     0.8,0.000000,0.000000,  3,0.000000,0.000000,  56.338,  202,     0.0
     1.0,0.000000,0.000000,  3,0.000000,0.000000,  56.341,  201,     0.0
     1.2,0.000000,0.000000,  3,0.000000,0.000000,  56.345,  200,     0.0
     1.4,0.000000,0.000000,  3,0.000000,0.000000,  56.334,  202,     0.0
     1.6,0.000000,0.000000,  3,0.000000,0.000000,  56.335,  204,     0.0
     1.8,0.000000,0.000000,  3,0.000000,0.000000,  56.335,  204,     0.0
     2.0,0.000000,0.000000,  3,0.000000,0.000000,  56.331,  204,     0.0
     2.2,0.000000,0.000000,  3,0.000000,0.000000,  56.327,  189,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,  56.321,  174,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,  56.321,  171,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,  56.332,  167,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,  56.334,  169,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,  56.332,  171,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,  56.332,  170,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,  56.329,  169,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,  56.323,  182,     0.1
     4.0,0.000000,0.000137,  3,0.000000,0.000000,  56.327,  195,     0.1
     4.2,0.000241,0.000160,  3,-0.000347,0.000000,  56.326,  197,     0.1
     4.4,0.000265,0.000189,  3,-0.000616,0.000393,  56.309,  200,     0.1
     4.6,0.000305,0.000218,  3,-0.000809,0.000395,  56.297,  201,     0.1
     4.8,0.000341,0.000243,  3,-0.000924,0.000420,  56.292,  201,     0.1
     5.0,0.000380,0.000280,  3,-0.000972,0.000467,  56.294,  202,     0.1
     5.2,0.000417,0.000325,  3,-0.000924,0.000456,  56.297,  203,     0.1
     5.4,0.000464,0.000353,  3,-0.000963,0.000481,  56.291,  201,     0.1
     5.6,0.000498,0.000385,  3,-0.001001,0.000528,  56.290,  198,     0.1
     5.8,0.000537,0.000416,  3,-0.001050,0.000518,  56.284,  200,     0.1
     6.0,0.000576,0.000449,  3,-0.001117,0.000530,  56.283,  202,     0.1
     6.2,0.000605,0.000475,  3,-0.001184,0.000565,  56.287,  204,     0.1
     6.4,0.000625,0.000501,  3,-0.001261,0.000542,  56.285,  206,     0.1
     6.6,0.000649,0.000525,  3,-0.001300,0.000530,  56.277,  194,     0.1
     6.8,0.000662,0.000546,  3,-0.001280,0.000565,  56.276,  182,     0.1
     7.0,0.000657,0.000565,  3,-0.001242,0.000542,  56.270,  179,     0.1
     7.2,0.000665,0.000575,  3,-0.001463,0.000530,  56.280,  176,     0.1
     7.4,0.000671,0.000583,  3,-0.001790,0.000530,  56.285,  177,     0.1
     7.6,0.000664,0.000583,  3,-0.002241,0.000507,  56.288,  178,     0.1
     7.8,0.000671,0.000580,  3,-0.002250,0.000530,  56.287,  177,     0.1
     8.0,0.000670,0.000583,  3,-0.002087,0.000518,  56.286,  176,     0.1
     8.2,0.000669,0.000580,  3,-0.001771,0.000495,  56.289,  186,     0.1
     8.4,0.000678,0.000585,  3,-0.001751,0.000542,  56.290,  196,     0.1
     8.6,0.000685,0.000590,  3,-0.001780,0.000554,  56.290,  198,     0.1
     8.8,0.000691,0.000589,  3,-0.001886,0.000532,  56.284,  200,     0.1
     9.0,0.000701,0.000603,  3,-0.001857,0.000591,  56.271,  202,     0.2
     9.2,0.000712,0.000614,  3,-0.001790,0.000603,  56.271,  203,     0.2
     9.4,0.000722,0.000616,  3,-0.001703,0.000593,  56.272,  202,     0.2
     9.6,0.000732,0.000630,  3,-0.001751,0.000640,  56.271,  201,     0.2
     9.8,0.000745,0.000643,  3,-0.001866,0.000640,  56.267,  202,     0.2
    10.0,0.000746,0.000647,  3,-0.002029,0.000617,  56.267,  203,     0.2
    10.2,0.000767,0.000664,  3,-0.002029,0.000640,  56.268,  202,     0.2
    10.4,0.000777,0.000675,  3,-0.001981,0.000640,  56.266,  202,     0.2
    10.6,0.000779,0.000675,  3,-0.001876,0.000617,  56.269,  204,     0.2
    10.8,0.000796,0.000676,  3,-0.001818,0.000652,  56.267,  207,     0.2
    11.0,0.000800,0.000684,  3,-0.001760,0.000652,  56.263,  197,     0.2
    11.2,0.000795,0.000696,  3,-0.001703,0.000652,  56.268,  187,     0.2
    11.4,0.000806,0.000701,  3,-0.001780,0.000630,  56.272,  182,     0.2
    11.6,0.000800,0.000698,  3,-0.001943,0.000640,  56.278,  177,     0.2
    11.8,0.000789,0.000702,  3,-0.002164,0.000628,  56.285,  180,     0.2
    12.0,0.000793,0.000701,  3,-0.002192,0.000593,  56.283,  182,     0.2
    12.2,0.000787,0.000698,  3,-0.002144,0.000628,  56.291,  181,     0.2
    12.4,0.000776,0.000699,  3,-0.002058,0.000616,  56.290,  179,     0.2
    12.6,0.000777,0.000697,  3,-0.001885,0.000593,  56.291,  189,     0.2
    12.8,0.000774,0.000696,  3,-0.001885,0.000628,  56.293,  198,     0.2
